0	1	2	3	4	5	6	7	8	9
G1	0.0000000	0.7331094	0.7070529	0.8450825	0.8780137	0.6164494	0.6906661	0.7996258	0.7928387	0.7939821
G2	0.3726836	0.0000000	0.1391272	0.1071007	0.1364529	0.3975987	0.0855962	0.2786197	0.1223010	0.1399857
G3	0.2643345	0.3771581	0.0000000	0.6167796	0.4261411	0.4614097	0.3150332	0.3753798	0.2351013	0.4215866
G4	0.3623740	0.6002870	0.3730533	0.0000000	0.5616994	0.6272800	0.2712395	0.6637898	0.3983948	0.3636434
G5	0.8043362	0.1510230	0.0791767	0.1489169	0.0000000	0.0947163	0.0843933	0.1194226	0.1357722	0.1241278
G6	0.3751750	0.3396784	0.4025691	0.2836348	0.3271487	0.0000000	0.3024242	0.6322827	0.2983418	0.3397100
G7	0.8300751	0.5208251	0.6641803	0.1099868	0.5416993	0.4606635	0.0000000	0.5464286	0.6929004	0.6154742
G8	0.7745205	0.6787224	0.8045297	0.6342242	0.5681723	0.5924707	0.7503346	0.0000000	0.7674369	0.6776090
G9	0.6211513	0.7350115	0.7220312	0.5874284	0.7343038	0.7374282	0.8041040	0.7722994	0.0000000	0.7247379
G10	0.7196954	0.7922641	0.6658928	0.7160394	0.7933364	0.7962721	0.6355293	0.6917469	0.0362879	0.0000000
