G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	
G1	0.171843	-0.235178	0.000000	0.000000	-0.954643	0.000000	0.000000	0.000000	0.000000	0.000000	
G2	0.000000	1.007571	0.000000	-0.560699	-0.250645	0.000000	0.000000	0.000000	0.000000	0.000000	
G3	-0.320998	0.000000	1.061157	0.000000	0.000000	0.000000	0.000000	0.000000	-0.370679	0.000000	
G4	0.000000	0.000000	-0.769747	0.788776	0.000000	0.000000	0.000000	0.000000	0.000000	-0.259342	
G5	0.000000	0.000000	0.000000	0.000000	0.437783	0.000000	-0.155546	0.000000	0.000000	-0.192913	
G6	0.000000	-0.754784	0.000000	-0.534536	0.000000	0.840847	0.000000	0.000000	0.000000	0.000000	
G7	0.000000	0.000000	0.000000	0.000000	0.000000	-0.452918	0.707770	-0.468645	0.000000	0.000000	
G8	0.000000	-0.500311	0.000000	0.000000	0.000000	-0.952025	0.000000	0.516891	0.000000	0.000000	
G9	-0.726270	0.000000	0.000000	0.000000	-0.553804	0.000000	0.000000	0.000000	0.798157	0.000000	
G10	0.000000	0.000000	-0.344207	0.000000	0.000000	0.000000	0.000000	0.000000	-0.785348	0.915237	
