0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
G1	0.0000000	0.1255953	0.1360556	0.1630365	0.1584708	0.1419650	0.1019558	0.1815699	0.1204850	0.3048511	0.1097646	0.1488869	0.1787071	0.1359591	0.1469732	0.1326039	0.1342363	0.1002457	0.1737404	0.1758758	0.1632499	0.0765289	0.1177987	0.1438789	0.1406035	0.1102006	0.1709398	0.0908405	0.1264221	0.1356573	0.1774658	0.1185442	0.2138496	0.1958515	0.1825262	0.3128081	0.3155642	0.1369814	0.1089901	0.1456417	0.1443003	0.2536811	0.1749183	0.1385526	0.1277068	0.3609378	0.1751445	0.0817863	0.1475597	0.1175013	0.1350555	0.1026374	0.1824513	0.1394689	0.1097338	0.0784205	0.1765222	0.1392014	0.0943882	0.0683747	0.1422375	0.1271849	0.1687009	0.1379964	0.1734149	0.1291086	0.1323956	0.1757893	0.1039122	0.1610505	0.1204609	0.0913431	0.1377190	0.1438322	0.1069593	0.2368548	0.1097595	0.1588433	0.1423592	0.1345381	0.2197038	0.1315981	0.1991675	0.2148945	0.1255595	0.1244618	0.1172616	0.1176365	0.1328448	0.1747635	0.1659446	0.1573721	0.1641723	0.1775702	0.1184947	0.1110301	0.1288260	0.1240432	0.1169631	0.1622817
G2	0.2052669	0.0000000	0.2746569	0.2448662	0.0545325	0.2581625	0.2350860	0.2743154	0.2207040	0.2672372	0.2740755	0.3003248	0.2923465	0.1827996	0.2651258	0.2193662	0.2946717	0.1705391	0.1737042	0.2685578	0.2552545	0.2129481	0.2463810	0.2475129	0.1993051	0.2361958	0.2150602	0.1597536	0.2490320	0.2991037	0.2931077	0.2495181	0.2451601	0.2860058	0.2446876	0.2564441	0.3042675	0.1764764	0.3008071	0.2082350	0.2584407	0.2712496	0.1933146	0.2186074	0.2444999	0.2889218	0.2214785	0.2127473	0.3113386	0.2918970	0.2623478	0.1947776	0.1909067	0.2254729	0.2932415	0.2201280	0.2055902	0.2012139	0.2303656	0.2575827	0.1770889	0.2617409	0.2805590	0.2180423	0.2890108	0.1932511	0.2348198	0.3069587	0.1966780	0.1913422	0.2843997	0.3482629	0.2558256	0.2508941	0.2246872	0.2234798	0.2673561	0.2500879	0.2185659	0.2111142	0.2565534	0.2141471	0.2380526	0.3262257	0.2243972	0.2662650	0.1967885	0.2661585	0.2636766	0.2465558	0.3127285	0.2710593	0.3031826	0.2509213	0.2164891	0.1868931	0.2408193	0.2177401	0.2157580	0.2368680
G3	0.5197295	0.4307650	0.0000000	0.4088203	0.0483459	0.4555636	0.5459884	0.4631000	0.4898305	0.4515610	0.4308850	0.5118974	0.4622324	0.5137942	0.4402493	0.5652571	0.5796866	0.5565481	0.5032523	0.5601953	0.5281497	0.6000154	0.4630003	0.5180732	0.4474347	0.5634314	0.6449704	0.6194781	0.4493971	0.4669132	0.4224321	0.5088279	0.5047835	0.4577491	0.5421695	0.5497072	0.5055226	0.4962896	0.4793278	0.4397566	0.5218359	0.5070386	0.5601746	0.4571995	0.4647033	0.6173025	0.4834242	0.5306829	0.4775630	0.4656372	0.4306933	0.5449949	0.4568884	0.5516628	0.5367024	0.4935813	0.4233317	0.4706479	0.5617141	0.4572832	0.4655811	0.4899218	0.4957301	0.5011931	0.4802623	0.4636303	0.4990240	0.5559880	0.4721563	0.6404742	0.4778643	0.5316555	0.5167058	0.4642684	0.5465821	0.4896035	0.5393948	0.4727103	0.4967279	0.5616197	0.5051496	0.4543845	0.5355209	0.4012018	0.6101502	0.4900107	0.5135983	0.4307111	0.4522352	0.5356930	0.5977002	0.4946071	0.4255936	0.4804372	0.4996235	0.5195264	0.4674354	0.4065926	0.4602181	0.4917534
G4	0.3466931	0.3475272	0.3479154	0.0000000	0.0782316	0.2581179	0.3224409	0.3213668	0.3957459	0.4768754	0.3194662	0.3678123	0.4066468	0.3021666	0.3137300	0.4753314	0.3017435	0.3182189	0.3652510	0.3641363	0.2703672	0.2752249	0.3218178	0.3110247	0.3160146	0.3911807	0.3813824	0.3334246	0.4231369	0.4034690	0.3762222	0.3420604	0.2981353	0.3142291	0.4531926	0.3873313	0.5239432	0.2988797	0.2923391	0.3732309	0.3351779	0.4493681	0.3577036	0.3692830	0.3050455	0.4972074	0.4016270	0.3680913	0.3916397	0.3447921	0.3712730	0.3092242	0.3065081	0.3857134	0.3649837	0.3489811	0.2947992	0.3521119	0.3371057	0.3182960	0.2822721	0.3680873	0.3075552	0.4113441	0.4355498	0.3340328	0.3986154	0.3060044	0.3360340	0.3145560	0.3548562	0.3392041	0.4037878	0.3067005	0.3159326	0.2934326	0.4025239	0.3506719	0.3278832	0.2870973	0.3418705	0.4170888	0.5480121	0.3792966	0.4576522	0.3489864	0.4709840	0.3316015	0.2776125	0.2889051	0.3384053	0.4202118	0.3216106	0.3485324	0.3142341	0.3115440	0.3469828	0.3583522	0.3163231	0.3660972
G5	0.5943966	0.6213178	0.6510141	0.7754682	0.0000000	0.5986604	0.6364539	0.6720998	0.7115031	0.5827508	0.5665663	0.5988060	0.6651548	0.5818308	0.5578512	0.6655012	0.5208922	0.6998862	0.5544916	0.5524901	0.6457013	0.6603883	0.6197026	0.6571850	0.5769462	0.6324116	0.6994732	0.6087467	0.6614495	0.5933293	0.5888509	0.6816961	0.5090902	0.6791106	0.7027197	0.6447800	0.6415396	0.6469895	0.6567985	0.6468989	0.5497264	0.6233881	0.5501052	0.6076985	0.7830461	0.6266583	0.5916982	0.5817117	0.6420430	0.5418161	0.7857158	0.6312892	0.5914317	0.5793867	0.6481376	0.7179013	0.7183545	0.6390673	0.5439916	0.6825576	0.6910442	0.5502956	0.5309944	0.6151654	0.5767326	0.6998972	0.5337301	0.5891613	0.7341194	0.5843655	0.5437013	0.6856075	0.5686818	0.7056808	0.6662250	0.5880268	0.6200751	0.5630875	0.5218563	0.5592888	0.6891399	0.7077948	0.5499418	0.7215987	0.6565341	0.5569184	0.6181818	0.5215168	0.5010855	0.6166093	0.6221748	0.6236066	0.6245106	0.5527668	0.6334215	0.7082578	0.6283057	0.5622805	0.6308774	0.5354997
G6	0.0741808	0.0441554	0.0343458	0.0650850	0.5551619	0.0000000	0.0284206	0.0250359	0.0413212	0.0391570	0.0295504	0.0375756	0.0235096	0.0371253	0.0427758	0.0461061	0.0296033	0.0379994	0.0597255	0.0338575	0.0473725	0.0305134	0.0258831	0.0683508	0.0443011	0.0288058	0.0540566	0.0344266	0.0291202	0.0375404	0.0646300	0.0426492	0.0494117	0.0372222	0.0335020	0.0587352	0.0426138	0.0546138	0.0505236	0.0444557	0.0597531	0.0575818	0.0377662	0.0363864	0.0246888	0.0281739	0.0602271	0.0451306	0.0294080	0.0526478	0.0285320	0.0452589	0.0440421	0.0342260	0.0330348	0.0671916	0.0841284	0.0436050	0.0539767	0.0521728	0.0500506	0.0376508	0.0309488	0.0395549	0.0677925	0.0794680	0.0685150	0.0506372	0.0430128	0.0357589	0.0316976	0.0346557	0.0254259	0.0518889	0.0264845	0.0469524	0.0410436	0.0764104	0.0514224	0.0558616	0.0540673	0.0521181	0.0490509	0.0296373	0.0436523	0.1023528	0.0536656	0.0285958	0.0296648	0.0572132	0.0302795	0.0579345	0.0490214	0.0348186	0.0333969	0.0426022	0.0461040	0.0539112	0.0469409	0.0430072
G7	0.5479191	0.6772251	0.5933072	0.6992111	0.0026177	0.7312187	0.0000000	0.5413031	0.5514680	0.6644303	0.6063724	0.6203947	0.5982513	0.6913654	0.7238258	0.6153746	0.5397341	0.6708233	0.6713464	0.5720300	0.7034320	0.5125263	0.6137567	0.7187597	0.0095979	0.6230554	0.6659627	0.6403664	0.6812633	0.5643239	0.7102743	0.8218125	0.7834724	0.7010238	0.7945904	0.6036998	0.6490821	0.5651188	0.5143216	0.6558436	0.6751222	0.6391961	0.6351519	0.6243651	0.7223868	0.6466710	0.5387000	0.6247600	0.5971132	0.5374127	0.6436569	0.5836022	0.7178253	0.6009915	0.6784641	0.6296075	0.5833100	0.6928104	0.6824289	0.6487262	0.5260542	0.7012360	0.6380871	0.5939681	0.5509478	0.6440129	0.8005225	0.5931548	0.7111325	0.6631242	0.6774329	0.5432989	0.6131341	0.5905727	0.6298935	0.5478855	0.6499136	0.6675340	0.6084150	0.6127043	0.5952976	0.7158993	0.6208066	0.6684382	0.6048758	0.6606314	0.5254698	0.6703134	0.6558952	0.7719633	0.7472701	0.6226980	0.6365969	0.6396367	0.6240253	0.6801076	0.5136242	0.5308816	0.6311931	0.5808807
G8	0.3506777	0.3751694	0.3994553	0.3820592	0.2678743	0.4066321	0.3843694	0.0000000	0.4016301	0.4946630	0.4084035	0.3698664	0.4125871	0.3688256	0.4485421	0.4090796	0.4337663	0.4171637	0.3985619	0.4074699	0.4493403	0.4910578	0.4151625	0.3876373	0.4155072	0.3536957	0.3575554	0.4165394	0.3969067	0.4064017	0.4173448	0.4451932	0.5394202	0.3863990	0.5211521	0.5009934	0.5340470	0.4327078	0.3892930	0.4557361	0.4104198	0.3773326	0.4770451	0.4992133	0.3666190	0.5332352	0.4842602	0.3496495	0.3368221	0.5092075	0.4453643	0.4471164	0.3606620	0.4073753	0.4425132	0.4078373	0.5091440	0.4598157	0.3955598	0.3646287	0.5058301	0.4208292	0.3647043	0.4085365	0.4388918	0.3951212	0.4189818	0.4090997	0.4239323	0.4772606	0.4274557	0.4602683	0.5523594	0.4370769	0.4774616	0.4760125	0.4072467	0.3966113	0.4282567	0.4384385	0.4684028	0.3706709	0.4557646	0.4115929	0.4455953	0.4695577	0.4021468	0.4281878	0.4205598	0.4510710	0.4591130	0.3864169	0.3452345	0.4598363	0.4469209	0.4505451	0.3500853	0.4345187	0.4100547	0.5059881
G9	0.0116355	0.0172009	0.0157045	0.0135724	0.0101980	0.0151528	0.0045644	0.0056668	0.0000000	0.0239683	0.0122488	0.0170630	0.0224611	0.0083952	0.0302300	0.0280911	0.0051951	0.0136981	0.0096134	0.0105038	0.0172221	0.0093131	0.0170326	0.0307513	0.0168777	0.0448984	0.0087042	0.0121103	0.0114929	0.0226397	0.0066117	0.0128226	0.0157828	0.0078569	0.0096584	0.0022754	0.0191647	0.0116873	0.0176529	0.0068804	0.0149927	0.0120036	0.0257985	0.0187024	0.0144433	0.0977949	0.0167805	0.0125863	0.0067031	0.0096474	0.0201103	0.0222448	0.0123046	0.0143320	0.0107839	0.0232926	0.0211574	0.0068374	0.0072208	0.0077940	0.0167220	0.0147714	0.0131011	0.0048190	0.0106501	0.0121616	0.0160837	0.0139422	0.0146663	0.0260277	0.0072665	0.0162748	0.0125057	0.0182147	0.0231681	0.0243517	0.0067947	0.0019577	0.0118244	0.0098264	0.0159053	0.0092587	0.2444770	0.0028917	0.2043507	0.0224947	0.0307768	0.0193003	0.0081171	0.0135894	0.0077038	0.0228255	0.0064083	0.0297428	0.0196910	0.0360686	0.0508852	0.0126705	0.0630198	0.0056161
G10	0.4539591	0.5345721	0.4545480	0.4965117	0.2242894	0.4054735	0.4394328	0.6156968	0.5322616	0.0000000	0.5176567	0.4459489	0.5117819	0.4452553	0.4719672	0.4380931	0.5605088	0.5418669	0.4687680	0.4522542	0.3972125	0.4979996	0.5312228	0.5807692	0.4412131	0.4494311	0.5645026	0.5002841	0.4346217	0.4739486	0.4980283	0.4236441	0.4152814	0.4035703	0.4484633	0.4323773	0.4505351	0.4061346	0.4583642	0.4113651	0.5776730	0.4258469	0.3947933	0.3014038	0.4335481	0.5450707	0.3774838	0.4472955	0.5647847	0.5049880	0.4013005	0.4172077	0.4970342	0.3735218	0.4314111	0.5025665	0.3558186	0.3963805	0.3679850	0.4197676	0.3668922	0.4741866	0.4787645	0.4805053	0.3511572	0.5000562	0.4061819	0.5194302	0.5061218	0.4000871	0.4477584	0.4353924	0.3935960	0.4006511	0.3850754	0.3954830	0.3291819	0.4750846	0.3567110	0.4368398	0.3897690	0.4982624	0.4713712	0.4793222	0.3996771	0.4693246	0.4484967	0.5007234	0.4467634	0.5825667	0.4553971	0.5213268	0.4091522	0.4638361	0.5032097	0.5125764	0.4028252	0.4927455	0.4012163	0.4910586
