G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	
G1	0.537595	0.000000	0.000000	0.000000	0.118772	0.000000	0.000000	0.137783	0.000000	0.061046	0.000000	0.000000	0.000000	0.165338	0.000000	0.119764	0.000000	0.101221	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131392	0.000000	-0.285615	0.112361	0.000000	0.282181	0.000000	-0.153858	0.000000	0.000000	-0.107478	0.000000	0.000000	0.145342	0.039477	0.000000	0.000000	0.000000	0.057608	0.000000	0.000000	0.133872	-0.093596	0.000000	-0.095795	0.000000	0.000000	0.000000	-0.179659	0.105946	0.204857	0.000000	0.175159	0.000000	0.000000	0.094265	0.290178	0.000000	-0.360094	0.000000	0.000000	-0.128026	-0.139323	0.050962	0.000000	0.000000	0.000000	-0.341689	0.000000	0.000000	0.000000	0.000000	0.069698	0.117841	0.000000	-0.234364	0.000000	0.000000	0.000000	-0.232433	0.058145	0.000000	0.000000	-0.165531	0.000000	0.140433	0.078497	0.078913	0.000000	0.121209	-0.102619	-0.239033	0.000000	0.000000	-0.038874	0.000000	0.000000	
G2	0.000000	0.781960	0.116436	-0.077812	0.000000	0.036074	-0.056721	0.000000	0.000000	-0.318749	0.000000	0.000000	0.000000	0.000000	0.142500	-0.097725	0.000000	-0.093968	0.000000	0.122814	0.000000	0.000000	-0.297107	0.000000	0.116341	0.000000	0.000000	0.000000	-0.273264	0.118747	0.000000	0.000000	0.194253	-0.164100	0.067929	-0.140026	0.000000	-0.171203	0.000000	0.151272	0.193208	0.000000	0.000000	0.000000	-0.155115	0.000000	0.000000	-0.106117	-0.200314	0.000000	0.000000	0.000000	-0.093770	-0.082106	0.000000	-0.093733	0.000000	0.163606	0.158584	0.000000	0.000000	0.000000	0.160470	0.201632	0.000000	-0.059939	-0.088089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.095623	-0.174958	0.000000	0.000000	-0.248382	0.000000	0.000000	0.000000	0.000000	0.000000	0.107037	0.000000	0.123495	0.000000	0.000000	0.089695	0.209542	-0.059108	0.128646	0.000000	
G3	0.000000	0.000000	0.774821	-0.176861	0.000095	0.221895	0.033513	-0.067616	0.000000	-0.068347	0.000000	-0.100199	0.127828	0.000000	0.000000	0.000000	0.000000	0.120926	0.171563	0.000000	0.000000	0.000000	0.000000	0.000000	-0.261515	0.000000	0.000000	0.000000	0.000000	-0.039481	-0.059825	-0.121691	0.000000	0.000000	0.000000	0.079268	0.000000	0.000000	0.193464	0.000000	0.109364	0.000000	0.000000	-0.145480	0.109910	0.000000	0.000000	0.000000	-0.055007	-0.102645	0.133923	0.000000	-0.162553	-0.216247	0.000000	-0.080937	0.000000	0.000000	0.000000	0.000000	0.000000	0.233623	0.000000	-0.248494	0.000000	0.056088	0.000000	-0.035288	-0.098100	0.000000	-0.133584	0.091136	0.143737	0.000000	0.000000	0.000000	0.000000	0.000000	-0.136486	0.000000	0.000000	-0.103284	0.000000	-0.175846	0.000000	0.000000	-0.104921	0.000000	-0.071850	0.000000	0.000000	0.000000	0.035957	0.000000	0.000000	0.000000	-0.062138	-0.006448	0.000000	-0.086415	
G4	-0.159170	0.000000	0.191349	0.767271	-0.246337	-0.125296	-0.067883	0.000000	0.000000	-0.052163	0.000000	0.157748	0.206890	0.000000	0.000000	0.100713	0.077164	-0.143548	0.000000	0.000000	0.128384	-0.201336	0.000000	-0.276081	-0.270936	0.000000	0.141310	0.000000	0.159422	0.000000	-0.116410	0.000000	0.000000	0.000000	0.000000	0.106560	0.000000	-0.230958	0.000000	0.000000	0.000000	0.053964	0.077026	-0.124389	0.000000	0.000000	0.101858	0.000000	-0.106050	0.184827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.230887	0.000000	0.111413	0.000000	0.000000	0.073412	0.000000	0.115849	0.000000	-0.124406	0.000000	0.000000	0.000000	0.079343	0.000000	0.000000	0.000000	0.000000	-0.151958	-0.101876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.112022	-0.091040	0.000000	-0.314398	0.000000	0.067082	0.000000	0.059585	0.000000	0.000000	-0.054458	0.000000	0.000000	-0.118252	0.071954	0.000000	
G5	0.000000	0.000000	0.050247	0.047923	0.089385	-0.291463	0.031081	0.000000	0.000000	-0.003172	-0.112751	0.000000	-0.209681	-0.288352	-0.456632	0.000000	0.000000	0.000000	-0.150751	0.000000	0.038536	0.012277	0.000000	0.000000	0.000000	0.000000	-0.011536	0.029652	0.000000	-0.028595	-0.023542	0.004647	-0.031792	0.000000	0.008766	-0.043401	-0.020721	0.085080	0.058695	0.000000	-0.006612	0.000000	0.000000	0.044674	0.000000	0.000000	-0.020817	0.000000	0.000000	-0.057130	0.013694	0.000000	-0.019161	0.000000	0.000000	0.011214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024031	0.025265	0.000000	0.000000	-0.026138	0.000000	0.000000	0.000000	-0.058780	-0.057139	0.000000	0.000000	0.000000	-0.041323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010341	0.033867	0.000000	0.000000	0.067551	0.000000	0.000000	0.000000	0.000000	0.031213	0.000000	-0.037389	0.000000	0.000000	-0.032512	0.000000	0.000000	0.000000	
G6	0.000000	0.000000	0.114787	0.318377	0.000000	0.174746	-0.133693	0.000000	0.000000	0.160867	0.000000	0.000000	0.000000	0.000000	0.000000	0.196688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.209973	0.173327	-0.048760	0.000000	0.000000	-0.088321	0.000000	0.000000	0.075605	0.000000	0.000000	-0.079957	0.000000	-0.070331	0.000000	0.189552	0.000000	0.000000	0.000000	0.055119	0.080134	0.000000	-0.158419	0.000000	-0.068583	0.000000	0.110457	0.000000	-0.124913	0.139866	0.118222	0.000000	-0.150496	0.000000	-0.195717	0.179587	-0.171951	-0.133199	0.094292	0.000000	0.000000	0.000000	0.197870	0.000000	0.000000	0.068825	0.000000	0.000000	0.000000	0.000000	0.000000	0.137815	0.000000	-0.111580	0.000000	0.000000	0.126484	0.000000	-0.183204	-0.145905	0.253211	-0.123332	-0.109560	0.000000	0.000000	0.000000	-0.139461	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102087	-0.191632	-0.219115	0.136579	0.000000	0.000000	
G7	0.000000	0.000000	-0.159510	0.000000	-0.234425	0.171188	0.485377	0.071934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173731	0.000000	0.000000	0.132790	0.000000	0.000000	0.000000	-0.153529	-0.141462	-0.136673	0.000000	0.000000	0.000000	0.000000	-0.168850	0.177849	0.000000	0.283025	-0.132624	0.000000	0.000000	0.000000	-0.083587	0.000000	0.000000	0.000000	-0.125602	0.106306	-0.126302	-0.110062	-0.143946	0.000000	0.145931	0.000000	0.000000	0.064946	-0.057094	0.125846	0.000000	-0.149665	0.000000	0.000000	0.000000	0.128858	0.000000	0.000000	0.213181	0.118726	0.123100	0.000000	0.000000	0.000000	0.118186	0.000000	-0.104760	0.000000	0.000000	0.139376	0.192956	0.000000	0.000000	0.000000	0.000000	0.093913	0.000000	0.000000	0.000000	-0.174926	0.345038	0.000000	0.000000	-0.108948	0.151061	0.000000	0.013594	0.000000	0.000000	0.000000	0.000000	-0.201435	-0.087903	-0.129333	0.045240	0.000000	0.000000	
G8	-0.271952	0.000000	-0.046669	0.000000	-0.006104	0.000000	0.000000	0.753726	0.000000	-0.107252	-0.089932	0.133402	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.080979	0.000000	0.035278	-0.224489	-0.083704	0.093460	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094070	0.000000	0.080193	-0.141112	0.000000	0.065131	0.000000	0.000000	0.132541	0.069874	0.000000	0.062115	0.000000	0.000000	0.104256	-0.175785	0.062956	0.000000	-0.121024	0.067724	0.000000	0.221699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119633	0.000000	0.000000	-0.128981	0.000000	0.000000	0.000000	0.136302	-0.156039	0.061307	0.000000	0.000000	-0.056750	0.000000	0.159706	0.000000	-0.137078	0.000000	-0.111126	0.000000	-0.107538	0.137901	-0.236616	-0.179941	-0.124641	0.000000	0.000000	-0.033796	-0.094462	0.000000	0.033501	0.000000	-0.117117	0.000000	0.000000	
G9	0.000000	0.243368	0.000000	0.000000	-0.103633	0.000000	0.102299	-0.150148	0.170845	-0.144574	0.000000	0.000000	0.158914	0.000000	-0.096948	0.150847	-0.123322	0.000000	0.000000	0.000000	0.000000	0.081795	0.000000	0.198936	0.000000	-0.154964	-0.135845	0.000000	0.000000	0.136151	0.000000	-0.142897	0.000000	0.000000	0.000000	0.000000	-0.173170	-0.178205	-0.207961	0.000000	0.000000	0.000000	0.000000	0.158708	0.046930	0.000000	0.000000	0.097148	0.000000	-0.248577	0.082022	0.000000	-0.075005	0.000000	0.000000	0.189603	0.000000	-0.157512	0.000000	0.000000	0.000000	-0.275156	0.170120	0.000000	0.185698	0.091460	0.153890	0.000000	0.000000	0.000000	-0.228244	0.000000	0.000000	0.000000	-0.063162	0.000000	0.000000	0.000000	0.194961	0.000000	0.000000	0.000000	0.000000	-0.098370	0.000000	0.000000	0.109069	0.000000	0.000000	0.000000	0.120364	0.000000	-0.128194	0.000000	0.122959	0.000000	0.098587	-0.142071	-0.074905	0.000000	
G10	0.072311	-0.079404	0.101236	0.000000	0.000000	0.000000	-0.058659	0.102423	0.000000	0.522554	0.000000	0.000000	0.134857	0.000000	0.000000	0.000000	0.205446	0.067097	0.000000	0.000000	0.000000	0.000000	0.000000	0.082321	-0.111800	-0.111819	0.129779	0.000000	-0.170859	0.000000	0.123148	0.000000	-0.055050	0.000000	0.000000	-0.162498	0.000000	-0.156827	0.000000	0.000000	0.058312	0.000000	0.167110	-0.029240	-0.067425	-0.147780	0.000000	0.000000	0.000000	0.000000	0.000000	-0.130878	0.078103	0.000000	-0.128807	0.079838	0.000000	0.000000	0.124046	0.000000	-0.187475	0.000000	0.045127	0.000000	0.000000	0.000000	0.000000	-0.166289	-0.039811	0.000000	-0.157226	0.194270	0.000000	0.000000	0.000000	0.000000	-0.409493	0.160769	0.000000	0.000000	-0.047601	0.000000	-0.031326	0.000000	0.000000	-0.132129	0.132073	0.000000	0.000000	0.079246	0.000000	0.000000	-0.045999	-0.054556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
