"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6665114	0.1272186	0.3550646	0.7745716	0.1004299	0.2754930	0.6067846	0.7430983	0.6656366	0.6950638
50	0.3257748	0.1218223	0.3464115	0.7229108	0.1924591	0.3107637	0.6096963	0.7567515	0.5554138	0.7327167
100	0.1775012	0.0443587	0.5712888	0.5868280	0.2333497	0.3569736	0.4647324	0.6656993	0.7211032	0.6717156
150	0.1838851	0.0615354	0.4849771	0.6338205	0.4045100	0.3375671	0.4200074	0.7324089	0.6402268	0.6970434
200	0.0930693	0.1398431	0.3435551	0.5354375	0.5583316	0.2994227	0.4145393	0.6771472	0.5478739	0.7512751
250	0.0653015	0.0886361	0.3124305	0.5255509	0.6429076	0.3676576	0.5788573	0.8026375	0.5983088	0.6088625
300	0.1502136	0.0948080	0.4126412	0.4599706	0.5350145	0.2992928	0.5993621	0.6181808	0.7288696	0.6660468
350	0.0913323	0.0904510	0.3764574	0.4214017	0.5641511	0.3430145	0.6775364	0.5235399	0.7736935	0.7443968
400	0.1358562	0.1182462	0.5188737	0.5030134	0.6718907	0.2333228	0.5142803	0.6087675	0.6843619	0.8365310
450	0.1667014	0.0765614	0.3768678	0.4831358	0.6740419	0.3815948	0.4995680	0.5959077	0.7486546	0.7173045
500	0.1170103	0.0755040	0.4322347	0.5403027	0.7354699	0.3344889	0.5091151	0.7152812	0.6725776	0.6325963
550	0.4708819	0.0937210	0.3453156	0.6183860	0.4852550	0.3585150	0.4479249	0.7052075	0.7919255	0.5868152
600	0.5545089	0.1443166	0.4763379	0.6233838	0.3257959	0.3239021	0.4196698	0.7299200	0.5791635	0.6029599
650	0.5717737	0.1580246	0.3527660	0.6429242	0.2634359	0.2928635	0.4524902	0.7210641	0.6633159	0.6927663
700	0.6437458	0.0906398	0.3817925	0.7448212	0.1906673	0.3049710	0.6356541	0.6836201	0.8094115	0.7286575
750	0.6988616	0.0959292	0.4025808	0.6477586	0.1278089	0.2934906	0.5680143	0.7435989	0.6819686	0.8213812
800	0.6002293	0.1251139	0.3520098	0.7884273	0.1340147	0.3429125	0.5652458	0.6701132	0.7548764	0.6814079
850	0.7516840	0.0985328	0.4541817	0.7086632	0.1391781	0.3146772	0.3950302	0.6562918	0.6583495	0.6836276
900	0.7058190	0.0823597	0.4254553	0.7009680	0.0960015	0.3309160	0.4627621	0.6610090	0.6866225	0.7453896
950	0.6863142	0.1131190	0.3168437	0.6602306	0.1389801	0.3386791	0.5903798	0.6151949	0.7001660	0.6450720
1000	0.6785873	0.0780578	0.3340166	0.6695402	0.1181666	0.2846131	0.5938670	0.6823825	0.7702145	0.6068127

0	0.6927804	0.1735119	0.3080785	0.5990709	0.1445523	0.2494241	0.5905584	0.6367970	0.6891143	0.6944974
50	0.6137000	0.0954328	0.2815777	0.6576991	0.2136285	0.3952169	0.2199619	0.5711943	0.6843410	0.6816443
100	0.5923916	0.0704157	0.2896261	0.6349119	0.2556762	0.3336192	0.1706594	0.7645988	0.6408686	0.6201303
150	0.5868361	0.0880437	0.1935983	0.5846269	0.1315485	0.3849495	0.1213159	0.7072442	0.8166294	0.7047542
200	0.6293309	0.1149911	0.2186433	0.4509727	0.1687147	0.3736593	0.0786808	0.6970827	0.8038210	0.6925731
250	0.5170203	0.0990501	0.2137598	0.4333604	0.1772348	0.3834565	0.1242939	0.7901656	0.7563581	0.7286596
300	0.4709636	0.1159865	0.2892190	0.3898388	0.2365102	0.4000143	0.1323223	0.6791003	0.7090849	0.8249540
350	0.6269998	0.0802760	0.2997476	0.4384157	0.2065817	0.3912156	0.0792747	0.6322451	0.6641130	0.7280306
400	0.5284701	0.1042932	0.2573068	0.3779466	0.1484264	0.2349554	0.1492018	0.7928320	0.7596715	0.7133538
450	0.5110939	0.1482319	0.2196169	0.3494604	0.1235777	0.4213528	0.1158488	0.6740440	0.7145425	0.7374688
500	0.4882966	0.1153365	0.3025012	0.4211469	0.2365731	0.4517705	0.1350158	0.6484841	0.7176833	0.6872276
550	0.6433641	0.1181288	0.3245931	0.4513658	0.2487479	0.3075680	0.6042338	0.7092563	0.6728155	0.6264014
