G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3898410	0.0722337	0.3478002	0.6396958	0.3456091	0.3160643	0.6244579	0.6492305	0.6661835	0.6923661
0.8357763	0.0357751	0.4121334	0.6607454	0.1485260	0.3326363	0.4636410	0.8164285	0.7763790	0.5841345
0.6812331	0.0840938	0.2647904	0.7067496	0.1658057	0.2568047	0.5354631	0.7055173	0.6845420	0.7791802
0.6802011	0.0607266	0.4119282	0.4466983	0.0742647	0.2900926	0.4754313	0.5998749	0.6775331	0.7786995
0.6363000	0.0750232	0.4103195	0.7210109	0.1224172	0.2532243	0.4780143	0.6185092	0.6573481	0.6908296
0.6742165	0.1150666	0.3249278	0.6523474	0.1544049	0.1630253	0.5961106	0.7112882	0.7959911	0.6985576
0.7705951	0.1163645	0.2482135	0.5218381	0.1092644	0.2745215	0.3586357	0.6390914	0.6551592	0.6830314
0.8163943	0.1783586	0.5012037	0.6765084	0.1001786	0.5216254	0.4134679	0.3217026	0.6653574	0.6734377
0.7477993	0.1089892	0.4137001	0.7156928	0.1153215	0.2276353	0.6016538	0.7493981	0.4156160	0.6208126
0.6891057	0.1386172	0.4537613	0.7476172	0.0827235	0.3004501	0.6386655	0.6910927	0.8119234	0.2645752
