G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.3726836	0.2643345	0.3623740	0.8043362	0.3751750	0.8300751	0.7745205	0.6211513	0.7196954
0.7331094	0.0000000	0.3771581	0.6002870	0.1510230	0.3396784	0.5208251	0.6787224	0.7350115	0.7922641
0.7070529	0.1391272	0.0000000	0.3730533	0.0791767	0.4025691	0.6641803	0.8045297	0.7220312	0.6658928
0.8450825	0.1071007	0.6167796	0.0000000	0.1489169	0.2836348	0.1099868	0.6342242	0.5874284	0.7160394
0.8780137	0.1364529	0.4261411	0.5616994	0.0000000	0.3271487	0.5416993	0.5681723	0.7343038	0.7933364
0.6164494	0.3975987	0.4614097	0.6272800	0.0947163	0.0000000	0.4606635	0.5924707	0.7374282	0.7962721
0.6906661	0.0855962	0.3150332	0.2712395	0.0843933	0.3024242	0.0000000	0.7503346	0.8041040	0.6355293
0.7996258	0.2786197	0.3753798	0.6637898	0.1194226	0.6322827	0.5464286	0.0000000	0.7722994	0.6917469
0.7928387	0.1223010	0.2351013	0.3983948	0.1357722	0.2983418	0.6929004	0.7674369	0.0000000	0.0362879
0.7939821	0.1399857	0.4215866	0.3636434	0.1241278	0.3397100	0.6154742	0.6776090	0.7247379	0.0000000
