0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.5555045	0.3555008	0.2620705	0.2719655	0.2945811	0.2187720	0.1919765	0.2273364	0.2967460	0.2376414	0.2708511	0.4412400	0.3959531	0.4269099	0.5131476	0.5148722	0.5424534	0.5153548	0.5377068	0.4808581	0.3910597
G2	0.1746747	0.2198960	0.3556154	0.3677232	0.2604859	0.4125949	0.3497093	0.3590883	0.3528895	0.2817128	0.3712918	0.4218647	0.3694057	0.2840830	0.2527515	0.2105152	0.2102179	0.2085937	0.1392223	0.2233137	0.1687836
G3	0.6574277	0.7121422	0.5918309	0.7591962	0.7505010	0.6186504	0.6421281	0.4237708	0.5077665	0.6065460	0.5434445	0.4194946	0.3342113	0.3880153	0.3963262	0.5760449	0.7568021	0.6566123	0.7463944	0.7616903	0.7728175
G4	0.1903800	0.1701188	0.1534369	0.1488322	0.1889150	0.1824790	0.1693977	0.1971536	0.1428443	0.1955972	0.1845009	0.2821977	0.1739304	0.2153414	0.1518883	0.1306901	0.2075589	0.2784331	0.1761014	0.1953046	0.1913246
G5	0.6483176	0.8889556	0.7560917	0.7293011	0.7919610	0.8342246	0.7114487	0.6196255	0.7422718	0.7627155	0.7604297	0.6591257	0.8100265	0.6996610	0.7144751	0.8798850	0.7707432	0.6822562	0.6043507	0.8572520	0.8887839
G6	1.0000000	0.6717437	0.7182894	0.7966284	0.9380807	0.6648671	0.8495163	0.6494464	0.8520422	0.7914018	0.8205595	0.7769118	0.7819752	0.7435277	0.8791709	0.6308523	0.7283695	0.7589722	0.8676080	0.7764799	0.8145904
G7	0.4168944	0.6286689	0.5906926	0.6772766	0.6786083	0.6491125	0.6543304	0.5847441	0.6381635	0.6507040	0.6660704	0.3980921	0.3653166	0.3442761	0.3896735	0.3640090	0.3686720	0.3313162	0.4219050	0.3215403	0.3761447
G8	0.8166434	0.7310430	0.7503663	0.7485459	0.7370911	0.6960677	0.6762872	0.8309149	0.8183333	0.6855654	0.6385625	0.6182683	0.8339497	0.7666072	0.8246174	0.6514514	0.6368059	0.6856680	0.7061046	0.7953616	0.7070596
G9	0.7870182	0.8680104	0.5987324	0.7678843	0.6316737	0.6615028	0.7574534	0.5826517	0.6448681	0.6232496	0.6614907	0.7205753	0.6873955	0.6978954	0.6848657	0.7267002	0.5988297	0.6533754	0.6399133	0.6401745	0.7086034
G10	0.8484470	0.6795140	0.7629667	0.8124503	0.6776295	0.6808614	0.6962124	0.7084483	0.6707890	0.7042174	0.8190462	0.8701622	0.7295968	0.8267685	0.8651552	0.7866371	0.8036865	0.6815364	0.6768177	0.6438507	0.7629643
