0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.4383445	0.4026555	0.3869747	0.3869049	0.4877535	0.5116235	0.4627764	0.4176369	0.3878201	0.5770091	0.4519963	0.3484377	0.5298644	0.4129692	0.4968035	0.5037868	0.4410033	0.4440280	0.5001815	0.4906069	0.4521022
G2	0.1888870	0.1550300	0.1656177	0.2210656	0.2041071	0.1838878	0.2886499	0.2163149	0.3689076	0.2224033	0.2220014	0.2213509	0.2416551	0.2262711	0.2985681	0.2982901	0.2577218	0.1921915	0.2098848	0.2712995	0.2290707
G3	0.7342552	0.8276965	0.7514314	0.8737877	0.9260361	0.6627846	0.6650021	0.6275236	0.5882110	0.6479245	0.7873923	0.6757437	0.7150974	0.6644046	0.6649344	0.7416062	0.7095792	0.7356321	0.8663336	0.6381989	0.7544927
G4	0.1757747	0.1042558	0.1143410	0.1805435	0.1603323	0.1743919	0.2253840	0.1690689	0.1765127	0.1141438	0.1724410	0.1726594	0.1514980	0.1816348	0.2321961	0.1599352	0.1399685	0.2020040	0.2511219	0.2715013	0.2056249
G5	0.6286873	0.7800983	0.6973919	0.8542519	0.6362948	0.7296473	0.9412060	0.7626562	0.8169148	0.7788770	0.7736833	0.6934827	0.7212722	0.7644089	0.8182307	0.7738442	0.8235948	0.8630886	0.7577049	0.8433106	0.7010797
G6	0.9249941	0.6289937	0.9267591	0.7915925	0.7739877	0.7309455	0.7852656	0.7063224	0.7371200	0.7377653	0.6685614	0.7013994	0.8757506	0.7027484	0.7726265	0.7403866	0.7947049	0.8209186	0.7942283	0.7651208	0.8394898
G7	0.4288628	0.5931281	0.7248462	0.6170043	0.6025527	0.6561604	0.6228987	0.5997670	0.6385408	0.5852722	0.5873882	0.4124954	0.3857622	0.3186693	0.4449412	0.3199234	0.3261979	0.3814264	0.3906009	0.4694895	0.2941036
G8	0.6931253	0.8427652	0.6341588	0.7995589	0.8060750	0.8624540	0.7751198	0.7450021	0.6969434	0.7449525	0.6653701	0.7237948	0.7913107	0.8277109	0.7092502	0.6877112	0.9052617	0.7191389	0.7286223	0.7524093	0.6293164
G9	0.7827133	0.7013232	0.6674097	0.4841966	0.5528954	0.6616258	0.3697227	0.4233115	0.5684649	0.5499563	0.5103169	0.6109262	0.7621566	0.7371224	0.6745453	0.6923263	0.6475559	0.6444776	0.6583849	0.7841837	0.7169817
G10	0.7703483	0.3077065	0.2173861	0.2215793	0.1540931	0.1955531	0.2511457	0.2123683	0.2686462	0.2662611	0.1948642	0.6463588	0.6110341	0.7193290	0.6936618	0.6724200	0.8061833	0.6640223	0.7123245	0.7204603	0.7211045
