G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3279658	0.6299893	0.2195028	0.2333292	0.8026880	0.2003942	0.5726423	0.3483459	0.2659581	0.0867995	0.2868790	0.0703244	0.0497006	0.1098542	0.0019844	0.6644698	0.6220931	0.6125033	0.3946319	0.6389341	0.6226845	0.1633918	0.5177509	0.5289852	0.2581073	0.6495673	0.4023295	0.4538195	0.4104337	0.4118146	0.1493978	0.0413463	0.0352197	0.0234179	0.7796264	0.6485053	0.3197017	0.1104495	0.1532588	0.4518487	0.3767720	0.7137268	0.8053769	0.2773593	0.4284543	0.6481641	0.4931890	0.6639802	0.5036665	0.0483557	0.5915552	0.4192698	0.6486261	0.4302721	0.8019817	0.3558587	0.2267393	0.3798889	0.3103276	0.4170124	0.6236008	0.5481982	0.2575066	0.2097017	0.0162413	0.8444322	0.1268107	0.2875629	0.4718812	0.4451223	0.4028264	0.0368361	0.3714703	0.0399451	0.3148182	0.7052480	0.0002731	0.5066047	0.5583350	0.2091574	0.2845186	0.3521632	0.5160993	0.4740164	0.6024655	0.1297107	0.3134322	0.5433061	0.6863283	0.6624076	0.7127155	0.5106848	0.7061508	0.4664986	0.5252238	0.6841357	0.3021470	0.4379417	0.4991334	0.7613672
0.4254270	0.7239517	0.3717038	0.6082604	0.7515984	0.1093326	0.7831758	0.2383450	0.1564037	0.1562811	0.4223116	0.1124795	0.0653947	0.1084038	0.0327037	0.6020750	0.7870673	0.3018127	0.5143838	0.5153656	0.6726591	0.2471523	0.4147531	0.2191602	0.3422287	0.6339384	0.3878083	0.1583456	0.2034531	0.4212764	0.1563333	0.0125130	0.0003755	0.0308999	0.8211083	0.5647644	0.3981156	0.1010302	0.1112552	0.7195467	0.4893653	0.6049579	0.7865533	0.3850648	0.4704894	0.7200112	0.5757111	0.3768844	0.2995614	0.2156723	0.3887174	0.5567932	0.7125124	0.3971532	0.7223709	0.5197357	0.2950589	0.6916756	0.3627771	0.3498663	0.1506697	0.7462702	0.3410840	0.3200286	0.0287318	0.6019648	0.2384485	0.1710067	0.7060516	0.6189541	0.3116384	0.0026149	0.2178024	0.0002010	0.2599592	0.7251706	0.0052333	0.4947156	0.4022221	0.1726786	0.3110007	0.5768293	0.4201523	0.5385459	0.4024728	0.2069994	0.3042907	0.5320825	0.6140690	0.6793652	0.6233035	0.5190779	0.7398543	0.5735373	0.5826265	0.6041744	0.3082121	0.6801106	0.5203816	0.7144848
0.4500819	0.6322920	0.2051962	0.2448074	0.5085149	0.2884351	0.3412112	0.2557870	0.3214556	0.2059852	0.4821910	0.0434038	0.1375141	0.1300620	0.0128486	0.4624518	0.6520238	0.5156557	0.3871065	0.4234571	0.5473035	0.5308174	0.4495448	0.2164163	0.2293114	0.6956087	0.3507536	0.2089204	0.2715144	0.5314164	0.1103010	0.0329976	0.0412869	0.0135388	0.6650809	0.4322061	0.4639796	0.1195435	0.2035650	0.6995706	0.1824737	0.6177232	0.6098029	0.3110158	0.2764115	0.7017030	0.5133358	0.6054671	0.6186980	0.1778219	0.4147556	0.4523935	0.6883723	0.4244394	0.7013625	0.3625990	0.3373720	0.6189353	0.3365317	0.5042659	0.3333420	0.4888113	0.2458797	0.2593119	0.1290821	0.7398297	0.3342081	0.3317793	0.7440062	0.3039638	0.1922829	0.0223433	0.0630094	0.0036511	0.3166938	0.7696481	0.0746931	0.5146164	0.5928738	0.1914134	0.2669668	0.5395424	0.6892497	0.4053700	0.5721424	0.1552432	0.4466085	0.5521777	0.2469087	0.7208591	0.6509249	0.2660037	0.7358640	0.5649628	0.4205785	0.5302589	0.3866958	0.8014192	0.5644645	0.6707473
0.1678279	0.5796122	0.4024973	0.2471016	0.3775377	0.4356562	0.5240895	0.1396747	0.1951248	0.1656191	0.6664895	0.1376032	0.2931515	0.2523967	0.1365163	0.5187609	0.7973836	0.6063252	0.6689009	0.3881274	0.6780058	0.2154490	0.4409481	0.4803269	0.4425612	0.6621530	0.4233174	0.3591669	0.0020936	0.5763560	0.1465945	0.0202791	0.0027559	0.0107884	0.6780660	0.6548401	0.3463233	0.0039021	0.0003655	0.3881550	0.4998851	0.4922178	0.5955423	0.3309360	0.6558559	0.8105437	0.5218831	0.7016074	0.3269864	0.2693662	0.5277559	0.4975968	0.5978619	0.3966484	0.6871529	0.3344962	0.2518730	0.3794364	0.1308488	0.5070982	0.1318526	0.6200898	0.3333114	0.3829415	0.0801275	0.8575324	0.3392214	0.1708852	0.4724867	0.3900189	0.4297678	0.0021588	0.4726054	0.0117320	0.3918883	0.5817685	0.0001151	0.4870335	0.4797252	0.1624602	0.2394725	0.5513475	0.7053949	0.4235161	0.5135453	0.1296751	0.5363559	0.6400508	0.6087162	0.5629812	0.7230755	0.3686817	0.3689384	0.5226890	0.3899641	0.5167923	0.4642839	0.5850214	0.7179415	0.6539656
0.7022913	0.7397893	0.3610949	0.3624090	0.6845139	0.2339064	0.6869781	0.4740477	0.5387294	0.0111441	0.3746650	0.1234356	0.1099388	0.1131148	0.0066328	0.6015331	0.7105863	0.4869128	0.3971986	0.4356787	0.7693795	0.2164501	0.6506415	0.1153300	0.6168201	0.5361765	0.3791874	0.3653707	0.4799989	0.3146009	0.0153488	0.0612919	0.0006048	0.0472510	0.7170336	0.2860241	0.1173248	0.0058910	0.0698082	0.7429687	0.0953093	0.5765053	0.5348899	0.1477920	0.4130639	0.4264235	0.2013543	0.2742780	0.4569728	0.1383518	0.6285245	0.4288618	0.5967164	0.6429666	0.6775108	0.3908296	0.3031218	0.5049470	0.3308761	0.1892480	0.5095743	0.3124810	0.0563339	0.4510271	0.0181082	0.6445944	0.2894127	0.0489963	0.4903241	0.3817368	0.4288329	0.1020026	0.7403409	0.0567906	0.3202343	0.3035204	0.0799462	0.6003555	0.7671335	0.4783735	0.4289113	0.4509556	0.6421835	0.4438510	0.4148828	0.1099284	0.5413375	0.3556673	0.7655294	0.6787011	0.5830145	0.6283317	0.6569340	0.6399700	0.3726779	0.6610017	0.1985778	0.7691019	0.5010232	0.5919133
0.3358699	0.8530038	0.6791626	0.2911127	0.6664092	0.2847580	0.5670916	0.3974628	0.2343378	0.1577655	0.5183434	0.0999105	0.1258581	0.1546482	0.0487008	0.5020289	0.4960668	0.3990961	0.4435598	0.4960257	0.5276379	0.3774235	0.3246358	0.0446844	0.4962967	0.6525629	0.2997203	0.1929367	0.1154177	0.4532827	0.1199606	0.0409366	0.0344248	0.0311885	0.6773467	0.5419841	0.3329504	0.0021422	0.0994089	0.7512865	0.5449486	0.7234267	0.6995429	0.5306430	0.5039919	0.5152372	0.5370458	0.6932339	0.5123320	0.1328142	0.4631136	0.7270092	0.7734953	0.3113610	0.6493039	0.6199724	0.2173282	0.5987983	0.4503288	0.6406563	0.1227666	0.6607308	0.5043677	0.3920717	0.0838500	0.6716053	0.4295694	0.3921196	0.8281737	0.5633319	0.2913825	0.0049573	0.2010699	0.0199855	0.5390027	0.6258185	0.0420996	0.3488095	0.4060783	0.0617768	0.0629978	0.8029951	0.4643005	0.5092181	0.4099049	0.3197854	0.3323159	0.4250408	0.6017594	0.4826227	0.4566412	0.0605427	0.7100507	0.8063315	0.4579375	0.5754392	0.3488978	0.3879301	0.3683382	0.5268917
0.3783787	0.8725299	0.1469248	0.4696936	0.2649991	0.5613820	0.3217909	0.1681875	0.4720398	0.1932905	0.6031560	0.2220537	0.4282262	0.3126701	0.2080390	0.5756958	0.6356377	0.6506841	0.5548208	0.6495172	0.7361329	0.0411697	0.3352096	0.6093947	0.3892990	0.5156702	0.3335040	0.3876649	0.3194532	0.5333025	0.1408987	0.0115117	0.0117848	0.0365183	0.6909732	0.6678945	0.3328200	0.1350192	0.1463316	0.4928524	0.2192473	0.6036765	0.6148504	0.3728687	0.4670059	0.6100982	0.5167155	0.6250902	0.5577249	0.0598201	0.5414565	0.4666986	0.7102804	0.6846085	0.6993121	0.4207736	0.2263931	0.6847132	0.2969678	0.4992582	0.4462975	0.4411574	0.2803930	0.3135080	0.1171724	0.7175646	0.5269649	0.1368574	0.6454579	0.5123964	0.3859536	0.0123969	0.2716558	0.0601668	0.1195257	0.6352437	0.1067508	0.6545468	0.7369075	0.1893071	0.3764951	0.2900832	0.6478609	0.4539185	0.5876539	0.1513692	0.4149889	0.3603028	0.7354521	0.6769167	0.5667632	0.2503402	0.6854867	0.5955018	0.4892144	0.7603302	0.1560077	0.7994560	0.6719732	0.6361511
0.3700564	0.7342135	0.3866791	0.2453199	0.6553264	0.2568603	0.6395406	0.2185056	0.4485331	0.2703117	0.3714649	0.1179551	0.0744498	0.1136342	0.0374749	0.4596774	0.6070712	0.3552116	0.2824328	0.4233033	0.5723327	0.2358644	0.5275013	0.1327351	0.3711048	0.3876672	0.2176446	0.4614770	0.3903643	0.4056373	0.1082725	0.0670122	0.0010032	0.0422951	0.7089294	0.6021062	0.3397060	0.1054983	0.0378127	0.7386739	0.6562626	0.5756386	0.5495230	0.5118334	0.4394137	0.4572684	0.3218185	0.3614640	0.3535627	0.2339386	0.4890560	0.2701660	0.5745748	0.6449478	0.6535821	0.5110908	0.4927783	0.7156647	0.1810092	0.1275253	0.0989473	0.3910603	0.5469946	0.3307957	0.6097815	0.0107673	0.3395629	0.3623174	0.7718977	0.5115473	0.2482005	0.0332283	0.2314135	0.0325236	0.2686427	0.8627951	0.0008347	0.2501690	0.1821649	0.0513628	0.4228294	0.2321836	0.6865300	0.2635552	0.5852660	0.1724010	0.4100895	0.4548004	0.6471172	0.4880924	0.6296346	0.4147807	0.6364645	0.5397385	0.3721318	0.6567468	0.1258952	0.4681846	0.5752809	0.6929066
0.3253172	0.7144838	0.3816283	0.3176972	0.6515647	0.2559375	0.6574519	0.4393299	0.1990831	0.0143780	0.5002392	0.1373536	0.1195273	0.0646694	0.0497781	0.3288580	0.6613824	0.7730128	0.5195460	0.5025578	0.5203132	0.3449422	0.4799494	0.3832591	0.2990746	0.6252484	0.3148401	0.3924410	0.2789712	0.5852813	0.2269347	0.0095483	0.0003020	0.0528118	0.6411188	0.6157126	0.2129839	0.0214583	0.0254661	0.6261726	0.2087908	0.6411132	0.7416216	0.3219146	0.4960142	0.7969546	0.6126222	0.3431764	0.5352517	0.0664671	0.5262761	0.5204119	0.6887448	0.6238647	0.7006532	0.5297665	0.2682883	0.6722056	0.5232829	0.3288667	0.1852727	0.4955622	0.3413104	0.2514222	0.0650983	0.6833851	0.1723230	0.0717169	0.5007345	0.5205956	0.5378843	0.0325410	0.7157093	0.0346078	0.3921474	0.6575474	0.0001750	0.5857552	0.4232651	0.1504428	0.4861657	0.2984388	0.7055614	0.4056649	0.5030418	0.4389371	0.1678978	0.4464164	0.7333860	0.8126017	0.8213712	0.5788301	0.6580356	0.5226724	0.6506146	0.5377285	0.4015901	0.4665514	0.5383121	0.7410022
0.5361901	0.6781372	0.2905630	0.4357380	0.7162953	0.2432646	0.6542813	0.3299191	0.2023376	0.1447520	0.2241742	0.1269730	0.0623007	0.1320760	0.0500144	0.4620340	0.6008888	0.5205965	0.5089248	0.6102481	0.6156639	0.2669562	0.4565518	0.4765107	0.4995915	0.5846000	0.6441013	0.3949760	0.2757817	0.4931591	0.0698403	0.0648071	0.0153270	0.0177796	0.7523570	0.6953002	0.3520621	0.0927947	0.2391909	0.9566041	0.4408385	0.5838069	0.7517260	0.3978445	0.4743381	0.7116753	0.4600590	0.3932381	0.6213748	0.0334201	0.6428068	0.4624048	0.6181849	0.7921187	0.8555704	0.4368851	0.3434394	0.4188375	0.2056584	0.3399232	0.4141407	0.6478106	0.2571866	0.2539721	0.1081527	0.7069841	0.3348081	0.1033236	0.5208434	0.5177283	0.4376944	0.0198669	0.4928982	0.0003925	0.1839149	0.6563597	0.0012299	0.6119250	0.7047909	0.1292876	0.2967778	0.1886539	0.6509563	0.6153219	0.5844251	0.0935954	0.4096819	0.3312776	0.5496791	0.6426345	0.7717917	0.5211178	0.4499651	0.7299642	0.3146715	0.6995614	0.3128397	0.6785024	0.5719795	0.7366032
