"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6663720	1.0128585	0.5224263	0.4757630	0.9738471	0.3727542	1.0593333	0.3497073	0.3986566	0.2466968	0.7031250	0.1953081	0.1537921	0.1398050	0.0712759	0.7335453	0.9870807	0.9239848	0.6914503	0.9115604	0.8324566	0.4275356	0.7969851	0.4791722	0.6644248	0.9881284	0.5666924	0.5626889	0.3813269	0.7015202	0.2391902	0.0536305	0.0234936	0.0620708	0.9820329	1.0292285	0.4520208	0.2051367	0.0908180	0.9396764	0.5844689	0.9805550	0.9967429	0.4426250	0.6472910	1.0659954	0.7030093	0.6575767	0.8940745	0.0647241	0.7237072	0.6792145	0.9019644	0.9260270	1.0379179	0.7130965	0.5522636	0.9035634	0.5351929	0.6825940	0.5719955	0.9922554	0.4415312	0.5471015	0.1191177	1.0059267	0.5283476	0.2112298	0.8588279	0.8301927	0.6796384	0.0230383	0.6830701	0.0451006	0.5106533	1.0759368	0.0369599	0.8458556	0.8768733	0.2244400	0.4221500	0.5086863	0.9554047	0.6277215	0.7344974	0.1808367	0.6422451	0.7481872	1.0197454	1.0325988	1.0187941	0.6965825	1.0018482	0.8342459	0.7039966	0.9361381	0.4863099	0.9774341	0.8480118	0.9998393
50	0.5841773	1.0703272	0.6546342	0.3195160	0.9192219	0.3816247	0.9830207	0.3038554	0.3037574	0.2503313	0.6816857	0.1349137	0.0971579	0.1368728	0.0176655	0.7424162	1.0304225	0.8837621	0.1906936	0.8810694	0.7901787	0.1957792	0.7224070	0.4602222	0.6089123	1.0421435	0.6340732	0.5461262	0.2996659	0.7799921	0.2758677	0.0118985	0.0030755	0.0245329	0.9642862	0.7941137	0.4573038	0.0509731	0.6278931	1.0098273	0.5107260	0.5102851	1.0398026	0.7674222	0.6306862	1.0249791	0.9156927	0.7303555	0.8703728	0.0469838	0.8033733	0.8694967	0.9211323	0.8834613	1.0242022	0.6867023	0.2879569	0.2543888	0.4444286	0.8001811	0.1763272	0.7895770	0.6649192	0.8218962	0.0818174	0.5850881	0.4701750	0.2389272	0.9398172	0.6807691	0.5952822	0.0075621	0.5602589	0.0505552	0.5182592	1.0693164	0.0403865	0.7417841	0.8118500	0.1396663	0.5985850	0.1751996	0.9231591	0.6106883	0.8727416	0.1939986	0.6355536	0.7405642	0.9838410	1.0185946	1.0132647	0.6433838	0.9969970	0.9012735	0.7901747	0.9910574	0.2161881	0.6044669	0.7611329	0.9205410
100	0.6630891	0.9939892	0.7714754	0.2720765	0.8707401	0.3888743	0.9574068	0.3095590	0.3047071	0.2086192	0.7005857	0.1731386	0.1058302	0.1640543	0.0104531	0.7843607	1.0535344	0.8151645	0.0774881	0.7765049	0.7027290	0.0992493	0.6642879	0.4333808	0.6573657	0.9209436	0.6413440	0.4840903	0.3474228	0.8304443	0.3221535	0.0075714	0.0009072	0.0404466	0.9518876	0.6971528	0.4112980	0.0174299	0.6487949	1.0416619	0.6976233	0.3502136	1.0038896	0.8732673	0.5569081	0.9821998	0.9088671	0.7569220	0.7883526	0.0851357	0.7506010	0.9475624	0.9367813	0.8294326	1.0220531	0.7979109	0.2266080	0.0775596	0.4750539	0.8408310	0.0562811	0.7489229	0.8086685	0.8888526	0.1215950	0.5212524	0.4800001	0.2136226	0.9044626	0.6681008	0.6110825	0.0071843	0.5861611	0.0425934	0.6487042	1.0025401	0.0398353	0.6556302	0.7300933	0.1195459	0.5349478	0.1286385	0.9147120	0.5933457	0.8513841	0.2438022	0.5602018	0.7050661	0.9658310	1.0444881	0.9885747	0.6113320	0.9503392	0.9775097	0.8655279	1.0168079	0.1698613	0.3988496	0.8261111	0.8466613
150	0.8036030	1.0153445	0.8802257	0.3022979	0.8523010	0.3872775	0.8838089	0.3200244	0.2867632	0.2316224	0.7010390	0.1561919	0.1244534	0.1978358	0.0092020	0.8095082	1.0424427	0.8158288	0.0253324	0.6847047	0.8016038	0.0940143	0.6966476	0.4963123	0.6343591	1.0306103	0.6963916	0.4823374	0.3142578	0.7126754	0.3141194	0.0047280	0.0005501	0.0517975	0.9993363	0.6423747	0.4283770	0.0115885	0.6667288	0.9752589	0.7656968	0.3080547	1.0328749	0.9563982	0.5991551	0.9239445	0.9383412	0.7191169	0.8597141	0.0839057	0.7766914	1.0030722	0.9657288	0.7855932	0.9735928	0.8145314	0.2053291	0.0182037	0.4655752	0.7221326	0.0203246	0.7519029	0.8494058	0.9622609	0.1586180	0.4353053	0.5100605	0.2429320	0.8701932	0.7024816	0.6618046	0.0022354	0.7503167	0.0448013	0.7611702	0.9798047	0.0453617	0.5856466	0.5502264	0.0704693	0.4406731	0.1343765	1.0521761	0.5979720	0.7554130	0.2337131	0.5439309	0.7328780	0.9073246	1.0211822	1.0461891	0.5463496	0.9910020	0.9995393	0.8295507	1.0560584	0.1403938	0.3879618	0.7216725	0.9496254
200	0.7995918	0.9566027	0.8418586	0.3004210	0.8696544	0.4017541	0.9070036	0.3897644	0.1151822	0.2434154	0.6711057	0.1369994	0.0914730	0.1652908	0.0028600	0.7478774	1.1055994	0.8443374	0.0100020	0.6378432	0.9251470	0.0833015	0.6867240	0.5211780	0.6805995	0.9988617	0.6577739	0.4326470	0.3082313	0.6907098	0.3105226	0.0052825	0.0047788	0.0561920	1.0259498	0.7257184	0.3790623	0.0060740	0.6527357	0.9932022	0.9002501	0.3006575	0.9814568	0.9816614	0.6031565	1.0582104	0.9700023	0.6512483	0.8943891	0.0973591	0.6767806	0.9973314	0.9739947	0.7569821	1.0410226	0.8159795	0.2062596	0.0093145	0.4747735	0.7547421	0.0032579	0.7483852	0.8286460	0.9342451	0.2146641	0.3721744	0.4199576	0.2214524	0.8502688	0.6635153	0.6637921	0.0002916	0.7049511	0.0320335	0.8615123	0.9487630	0.0313423	0.4169308	0.3894038	0.0957436	0.4651085	0.1445310	0.9743165	0.5903100	0.7381306	0.2236296	0.5768254	0.7452012	0.9269528	1.0204595	0.9501499	0.4668771	1.0609733	1.0268167	0.8042599	1.0565896	0.1252764	0.3322293	0.6279813	0.9115852
250	0.8090032	1.0267103	0.8231987	0.3083819	0.8560806	0.3905360	0.9935183	0.3803723	0.0762332	0.3045350	0.7204505	0.1611325	0.1343054	0.1925137	0.0004617	0.7795702	1.0727297	0.7820350	0.0098563	0.7532939	0.8617994	0.0695940	0.7245302	0.4480324	0.6946952	0.9460402	0.6479286	0.3952860	0.2925519	0.6873010	0.3691545	0.0051894	0.0010910	0.0424905	1.0127744	0.6396439	0.3084966	0.0017280	0.6876632	1.0024566	0.8984163	0.3110668	0.9557007	1.0034941	0.5761127	0.9895715	0.9886134	0.6143606	0.9535202	0.0770800	0.6937218	0.9285933	0.9747437	0.8429494	0.8881117	0.7856983	0.1636666	0.0166283	0.4506993	0.9248410	0.0028235	0.7532147	0.8693428	0.9981115	0.2417705	0.3691358	0.4984802	0.2126952	0.8988338	0.7139836	0.6513931	0.0010435	0.7576047	0.0528491	0.8147927	1.1199138	0.0316559	0.3785486	0.4306287	0.0889040	0.4411344	0.1263161	1.0700457	0.5504715	0.7058400	0.2252348	0.5588217	0.6517008	0.9632754	1.0153810	1.0252656	0.5539695	1.0635916	1.0713099	0.8443141	0.9812397	0.1131446	0.3284595	0.5537361	0.9086284
300	0.7869196	1.0380173	0.8651255	0.2833966	0.9225191	0.4243481	0.9688722	0.3786790	0.0568770	0.2507347	0.7237281	0.1685890	0.1622564	0.1928133	0.0032814	0.7577540	0.9484401	0.8148255	0.0010166	0.6295570	0.7066991	0.0727153	0.7324766	0.4497220	0.7400012	0.9459376	0.6891562	0.3968529	0.3339496	0.6896499	0.3386873	0.0025664	0.0010346	0.0478851	0.9839437	0.6569736	0.3304399	0.0003439	0.6906315	0.9829214	0.8832290	0.2553341	0.9625825	0.9853129	0.5598289	1.0137287	0.9673365	0.7077998	0.9569735	0.0850717	0.7704805	0.9354816	0.9570863	0.8437335	0.9380242	0.8252604	0.1985957	0.0124222	0.4968176	0.8217883	0.0036736	0.7157944	0.9699676	1.0824859	0.3012294	0.3686013	0.4696264	0.2213500	0.7511414	0.7831986	0.7591639	0.0047744	0.8196846	0.0148120	0.7984318	1.0711553	0.0433826	0.4366240	0.4632083	0.0703909	0.4600435	0.1302997	1.0227024	0.5622840	0.7285734	0.2857763	0.5774138	0.7082724	0.9411397	0.8868660	1.0405462	0.6089155	1.0256235	1.0950409	0.7768359	1.0713353	0.1250616	0.3248140	0.4667429	0.8845350
350	0.7363810	1.0073651	0.8714076	0.2542306	0.8688873	0.3965764	1.0172406	0.3749706	0.0532515	0.2878425	0.7073398	0.1836654	0.1133931	0.1871773	0.0085898	0.7138018	0.9865868	0.8557202	0.0039886	0.6366028	0.8545764	0.0585481	0.7987959	0.4177701	0.7659994	1.0349040	0.6800888	0.3258815	0.3302496	0.6639949	0.3036316	0.0008221	0.0007315	0.0606982	0.9720445	0.7438501	0.3399088	0.0011344	0.7155147	1.0075227	0.8911423	0.2972803	0.9962626	0.9602096	0.6382954	0.9596919	0.9747120	0.6057267	0.8238060	0.0918804	0.6610077	1.0314569	0.9927628	0.7871274	0.8935725	0.8876730	0.1602645	0.0153003	0.4632414	0.7896797	0.0052869	0.7090285	0.9703620	1.0412090	0.3973110	0.3753265	0.4347052	0.2375062	0.7148411	0.8268216	0.7567703	0.0099607	0.7034272	0.0348385	0.8119366	1.0434585	0.0607607	0.4164818	0.4039326	0.0873657	0.4568481	0.1008412	0.9620750	0.5519792	0.7208451	0.2263474	0.6349267	0.6918740	1.0417450	0.9726164	0.9364371	0.5800559	0.9837083	1.0161557	0.8505252	1.0214338	0.1554232	0.3579804	0.4679502	0.9496761
400	0.7424174	1.0320555	0.8606179	0.2677863	0.8093205	0.4089967	1.0354894	0.3217248	0.0575540	0.2836383	0.6653125	0.2186970	0.1400059	0.1580996	0.0092004	0.7476623	0.9386839	0.8375223	0.0071159	0.6413899	0.8711729	0.0488175	0.6984592	0.4002028	0.8471639	0.9711765	0.7853785	0.3377167	0.3316436	0.7705107	0.3291631	0.0016312	0.0011364	0.0502016	0.9575694	0.7184896	0.3359534	0.0005147	0.7175579	1.0224477	0.9309929	0.3638859	1.0430095	0.9491158	0.6158172	0.9674772	1.0030601	0.6465510	0.8528534	0.1117279	0.6811447	0.9382027	0.9226775	0.8228159	0.9019416	0.9273228	0.1469191	0.0090787	0.6213782	0.8126531	0.0005890	0.7226959	0.9125415	0.9531205	0.4634815	0.3351283	0.4547538	0.1889582	0.7761850	0.9126515	0.7720747	0.0189303	0.8641417	0.0654781	0.8720659	0.9662014	0.0456931	0.3942664	0.3650973	0.0781770	0.4710042	0.1379571	1.0276304	0.6319033	0.6912502	0.1793353	0.5735790	0.7077773	1.0671303	0.9650738	1.0647519	0.5215076	1.0170631	1.0662115	0.8682316	0.9452073	0.1408949	0.3566191	0.5044111	0.9981263
