G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3298103	1.0123219	0.3419242	0.5368315	0.9562052	0.4094402	0.9276800	0.4239578	0.4202155	0.2653542	0.7979543	0.1794510	0.1483607	0.1788741	0.0482954	0.7146856	0.9308560	0.8377242	0.6429649	0.9317308	0.8328831	0.3730042	0.8018568	0.4991049	0.7118775	1.0639896	0.5123768	0.5858543	0.3224740	0.7944718	0.2663343	0.0443478	0.0454524	0.0375621	1.0207320	0.9777379	0.4727449	0.1735166	0.0574120	1.0034682	0.5959964	0.9036515	1.0154910	0.5295399	0.6647929	0.8724108	0.7045125	0.6791990	0.8347763	0.0755445	0.8089424	0.6262114	0.8698070	0.8442532	1.0068407	0.6436937	0.5296954	0.9121322	0.5162709	0.5705988	0.4302756	0.9186739	0.4357139	0.4554034	0.1324299	0.9875407	0.4887360	0.1951265	0.8929439	0.7052771	0.6492849	0.0145000	0.6186548	0.0608957	0.4904642	1.0246175	0.0573748	0.8030323	0.8192643	0.1943832	0.5271259	0.6017664	1.0547575	0.7382709	0.7623550	0.2083286	0.6092039	0.7151904	0.9032018	0.9528050	0.9420297	0.5533694	1.0503084	0.8928605	0.7195429	0.9219788	0.4395892	0.9965447	0.8432271	1.0639955
0.6670465	0.5267606	0.4339747	0.4048879	1.0920465	0.3845571	1.0366116	0.3106667	0.3372693	0.2131081	0.7517996	0.2080012	0.0991036	0.1435273	0.0843950	0.7552153	1.0228517	0.9601345	0.6445682	0.8757111	0.8021141	0.4511218	0.8320198	0.4851518	0.5820468	1.0610371	0.5492511	0.4874906	0.3582295	0.6952050	0.2439196	0.0358775	0.0440313	0.0545868	0.9690046	0.9122720	0.4626389	0.1507385	0.0844621	1.0286433	0.7088790	1.0679076	0.9175025	0.5926900	0.6428485	1.1130765	0.8355535	0.7181059	0.9708180	0.0764586	0.7765178	0.6967813	0.9325842	0.9969072	0.9520264	0.6351839	0.5111863	0.9032648	0.3670820	0.6370063	0.3414419	1.0253132	0.5752072	0.4197195	0.1385423	1.0577374	0.5122791	0.2059145	0.9040898	0.7554452	0.6076227	0.0084976	0.5569023	0.0525289	0.6413177	0.9352382	0.0692553	0.7216670	0.8755070	0.1977236	0.5493217	0.2882169	1.0634588	0.6641165	0.6817000	0.2064812	0.5957166	0.6885629	0.9712108	1.0887506	0.8824495	0.5107948	1.0119110	0.8340218	0.6698925	0.9905377	0.3892849	0.9937077	0.8449158	0.9153557
0.6464911	1.0796525	0.2550079	0.4369072	0.9606375	0.3107056	0.8737089	0.4414885	0.4036609	0.2177498	0.7949058	0.1819407	0.1505393	0.1528127	0.0571117	0.7724398	1.0175141	0.7550576	0.6181963	0.8794532	0.7210248	0.3864916	0.7967192	0.4371274	0.7132602	0.9691434	0.5977307	0.5531583	0.2914942	0.7410712	0.2542188	0.0343475	0.0352708	0.0527099	0.9966748	0.9930769	0.4675252	0.1902208	0.0714244	1.0029638	0.5679564	1.0759232	1.0093298	0.4804113	0.7396226	0.9456854	0.7207807	0.6073991	0.9052360	0.0532581	0.7741773	0.7103258	0.9420747	1.0290406	1.0046043	0.6980775	0.5475857	0.9223725	0.4920292	0.7121570	0.4546653	0.8917009	0.4357645	0.3830854	0.1114720	1.0610721	0.5272588	0.2021408	0.8388225	0.7534880	0.6167962	0.0254027	0.6519703	0.0389477	0.5425219	1.0010471	0.0422410	0.7615568	0.9222259	0.1563191	0.6376159	0.3972755	0.9578467	0.6005469	0.6986521	0.1871403	0.6532872	0.6845136	0.9815121	0.9625710	0.9926574	0.5602073	0.9269027	0.8149780	0.7576514	0.9639670	0.4286283	1.0219486	0.8399265	1.0747964
0.6858246	1.1359088	0.5070518	0.2520350	1.0234822	0.3442664	1.1277617	0.3717968	0.4214456	0.2563608	0.6778949	0.1599298	0.1290097	0.0988398	0.0647185	0.6868194	1.0867802	0.8368578	0.7239012	0.9161884	0.8383076	0.4423772	0.8492648	0.5027316	0.6654071	1.0029583	0.5802210	0.6436289	0.3272508	0.7805951	0.2449794	0.0450480	0.0355363	0.0498318	1.0686210	1.0036181	0.4484763	0.1822253	0.1619848	1.0190172	0.6534767	1.0085333	0.9244273	0.4284382	0.6506942	0.9736350	0.6898182	0.7363803	0.8262604	0.0637026	0.8364792	0.7136017	0.9864974	0.8810450	1.0572287	0.7842353	0.5269635	0.9322879	0.4281584	0.7889294	0.3623836	0.9452355	0.4165015	0.5106994	0.0995862	1.0265827	0.5880808	0.2533314	0.9980063	0.7678595	0.5705257	0.0038110	0.6593284	0.0590779	0.6179984	1.0709863	0.0557301	0.7769507	0.9200208	0.2245070	0.6159010	0.3553656	0.9894494	0.7363211	0.7172521	0.2017902	0.5358889	0.7765939	0.9125930	0.9466900	0.9304681	0.5292425	0.9173458	0.8445925	0.5803500	1.1324333	0.3514768	1.0059120	0.8600795	0.9291758
0.6354325	0.9526681	0.1175619	0.4795587	0.5293635	0.5587279	0.8780846	0.2671818	0.3235786	0.1896296	0.8345857	0.1755410	0.3691079	0.2822006	0.1749314	0.8672266	1.0137400	0.9230643	0.7682098	0.9009927	0.8139088	0.4325141	0.7887416	0.4913211	0.6397613	0.9366735	0.5468311	0.5757201	0.3178283	0.6250023	0.2988925	0.0497726	0.0267985	0.0262996	1.0869097	0.9993679	0.4734424	0.1842621	0.0733285	0.9819039	0.7478569	0.9665318	0.9798349	0.5765584	0.6523118	1.0844344	0.6975510	0.6927395	0.9409383	0.0679733	0.6996437	0.7169399	0.9177403	0.9806194	0.9990996	0.7788466	0.4461967	0.8874181	0.4612420	0.7182386	0.3545679	0.9092654	0.5566729	0.5387464	0.1294017	1.0016665	0.5194573	0.2255823	0.9614927	0.6926258	0.6591382	0.0292637	0.5520270	0.0308870	0.5993095	1.0956480	0.0367427	0.6610740	0.8037571	0.1564243	0.5680024	0.4989227	1.0246848	0.6429273	0.7417188	0.2190489	0.6176226	0.7577943	1.0155545	0.9711376	1.0645109	0.6109571	1.0319452	0.8679739	0.7318195	1.0237409	0.4496708	1.0941042	0.9030519	1.0937916
0.6120997	1.0387998	0.4328159	0.3781007	1.0552314	0.1784209	1.0245114	0.3550700	0.2451930	0.2968442	0.7207060	0.1725121	0.1393116	0.1485405	0.0435778	0.7602171	0.9292924	0.8248374	0.6622183	1.0744329	0.8038818	0.3496335	0.7667537	0.4632352	0.7307719	1.0176157	0.6337691	0.5843607	0.3303367	0.8280375	0.2132788	0.0538439	0.0269755	0.0244594	1.0076122	1.0114299	0.4722381	0.1428764	0.0547256	1.0042341	0.4528644	1.0808979	1.1087627	0.5274032	0.6394076	0.9970800	0.6813058	0.6261509	0.8234606	0.0763965	0.8285523	0.6631912	0.8682593	0.9782328	0.9850304	0.7406041	0.5298509	0.8759382	0.4672411	0.6222976	0.6892398	0.9116333	0.4412220	0.4306528	0.1530812	1.0194209	0.4831053	0.1767667	0.9344531	0.7279634	0.6109186	0.0139230	0.7494149	0.0431022	0.5067315	0.9871360	0.0358721	0.9252085	0.9801560	0.1952540	0.5998331	0.4045833	0.9970438	0.5514804	0.8121720	0.2305844	0.5806311	0.6292991	1.0773864	0.9735810	0.9747097	0.7022494	1.1313229	0.8036689	0.6658925	1.0428204	0.4668449	1.0142412	0.8541729	0.9782910
0.5841005	1.0278023	0.4134303	0.4617647	1.0317347	0.3314689	0.5961332	0.3382149	0.3589162	0.2432250	0.6275444	0.1501073	0.1100417	0.1401896	0.0617847	0.7752988	1.0573170	0.9150697	0.6866953	0.8392027	0.8023302	0.4714112	0.8455759	0.5218768	0.7627744	0.9716129	0.5232732	0.5562050	0.3171942	0.6727380	0.2073634	0.0465122	0.0293686	0.0395224	0.9648810	1.0769748	0.4988596	0.2044696	0.0870580	1.0011991	0.4753378	1.0937219	0.9191827	0.4756742	0.6518618	1.0658555	0.7383967	0.6315816	0.8910423	0.0812242	0.8223050	0.6446636	0.9440042	0.8494486	0.9302171	0.7382694	0.5593213	0.9778983	0.5670629	0.7955455	0.6965400	0.8666806	0.3236871	0.3947834	0.1642223	0.8700465	0.4919448	0.2023269	0.8440657	0.6981200	0.6420695	0.0079294	0.5778478	0.0763938	0.5133879	0.9977205	0.0473743	0.7891299	0.9025835	0.2440221	0.5954975	0.3698997	1.0419437	0.5282463	0.7192864	0.2204538	0.5143338	0.7610772	1.0188846	1.1304075	1.0449009	0.5720963	0.9722012	0.7337812	0.7215472	0.9103495	0.4442106	1.0279518	0.8583611	1.1476763
0.6374681	1.0279906	0.4430190	0.4289274	1.0734241	0.3831734	0.9658054	0.1614745	0.4538050	0.1886245	0.7998765	0.1324756	0.1397663	0.1340843	0.0743728	0.7448808	0.9931456	0.9240542	0.7008149	0.9762641	0.8454424	0.3288855	0.7422612	0.4594231	0.7261722	1.0230814	0.5714270	0.5857324	0.3455442	0.7094434	0.2608114	0.0236994	0.0369059	0.0538372	1.1262730	1.0116587	0.4357964	0.2322371	0.1110633	0.9314666	0.5122827	0.9400369	1.1017938	0.4445115	0.5844468	1.0902994	0.7217465	0.7321666	0.8260630	0.0662363	0.7885978	0.6487340	0.9748632	0.9375257	0.9574572	0.7681708	0.5707429	0.8233396	0.4479909	0.6538719	0.5271403	0.9417567	0.4183292	0.4034386	0.1167976	0.9774849	0.4714853	0.2600989	0.8632333	0.7930054	0.5682457	0.0107960	0.5523500	0.0563689	0.5869227	1.0200753	0.0595222	0.8446044	0.8285314	0.2056532	0.5442803	0.4191049	0.8975874	0.6562806	0.7286982	0.2097882	0.6284982	0.7375706	0.9007888	1.0677261	1.0156526	0.5722275	0.9998316	0.8046571	0.7612323	0.9904341	0.4181273	1.0640598	0.7921992	1.0725633
0.5507310	1.1314056	0.4028321	0.3955832	0.9227234	0.3625205	0.9179856	0.4931074	0.1395875	0.2128329	0.7857138	0.1601801	0.1143473	0.1974980	0.0734917	0.7702496	0.9537431	0.8318514	0.5827466	0.8749081	0.8464860	0.4623117	0.8239620	0.5425887	0.7297176	0.9429389	0.5303166	0.6164283	0.3927826	0.7176252	0.2895950	0.0425993	0.0387557	0.0704722	1.0133318	1.0623596	0.4959420	0.1794999	0.1243521	0.9728296	0.4725956	0.9834335	1.0648065	0.5122078	0.6308190	1.1000499	0.7033819	0.6544944	0.9911477	0.0834079	0.7110749	0.6684322	0.9505910	0.8577535	0.9682404	0.6228308	0.5000909	0.9090091	0.5822058	0.6719946	0.4489770	0.9007964	0.4858567	0.4633771	0.1099531	1.0113034	0.4874699	0.2622655	0.8265000	0.6447801	0.6005763	0.0261394	0.6739265	0.0607531	0.5196042	1.1368161	0.0375808	0.7177179	0.8377104	0.1929178	0.5504064	0.5104816	0.9917793	0.5570801	0.7387964	0.1489142	0.5904959	0.6709263	1.0268944	1.0702141	0.9765583	0.6336813	1.0274246	0.8251577	0.6221159	1.0835387	0.4867516	1.0281776	0.7755878	0.9157107
0.7185520	1.0008711	0.4823031	0.4707171	1.0047438	0.3743981	0.9443201	0.3748942	0.3891321	0.1158700	0.8033515	0.2013258	0.1859815	0.1329790	0.0898530	0.7082626	1.0620132	0.9139404	0.6698712	0.9215381	0.7714240	0.4596340	0.7719348	0.5334840	0.7668002	1.0458615	0.6070808	0.5341086	0.3125172	0.7686580	0.2063791	0.0509558	0.0400133	0.0476666	1.0281528	0.9935298	0.4782808	0.1754427	0.0911445	1.0024170	0.4399177	1.0548963	0.9534369	0.3780062	0.5793195	1.0776213	0.6915654	0.6560917	0.9445239	0.0443013	0.8323160	0.6312138	0.9889253	0.8278562	0.9574813	0.7099346	0.5218218	0.8587381	0.5424512	0.6544263	0.9361032	0.6908033	0.2707213	0.2780839	0.1251468	1.0935221	0.4860397	0.2230605	0.8747459	0.6621454	0.6798340	0.0251312	0.7252655	0.0675903	0.3408002	0.9020221	0.0299820	0.9117097	1.0100539	0.3617303	0.5532955	0.5088745	0.8963315	0.7227124	0.7595728	0.1923263	0.6607401	0.6740963	1.0557283	1.0908434	0.9574951	0.6975120	0.9605371	0.7719066	0.6831568	1.1044398	0.4373506	1.0158179	0.8563532	1.0298600
