"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6540227	0.9992524	0.4298210	0.4201106	1.0000000	0.3542693	0.9579771	0.3624167	0.3468699	0.2252618	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563138	0.9030832	0.8284126	0.4052072	0.7834334	0.4737846	0.6872474	1.0000000	0.5357085	0.5577409	0.3178233	0.7283032	0.2376017	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509088	0.1698524	0.0728972	1.0000000	0.5457579	1.0000000	1.0000000	0.4709428	0.6212892	1.0000000	0.6849724	0.6735627	0.8976600	0.0608710	0.7695010	0.6437400	0.9327701	0.9168807	0.9990809	0.7165872	0.5119921	0.8958286	0.4927132	0.6798398	0.5412482	0.8876752	0.4169952	0.4257417	0.1168941	0.9949608	0.4794274	0.2069384	0.8667407	0.7379966	0.6289756	0.0147822	0.6639715	0.0461495	0.5046737	0.9999874	0.0463549	0.8364591	0.8844096	0.2096231	0.5381362	0.4511104	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843264	1.0000000	1.0000000	0.5818468	1.0000000	0.8106025	0.7241400	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
50	0.5893606	0.9991926	0.7072868	0.3185656	0.9176155	0.3588487	0.9823409	0.3621619	0.3458826	0.2303449	0.7087504	0.1733392	0.1206854	0.1533811	0.0235700	0.7531267	0.9999463	0.8376784	0.2441473	0.8858828	0.8283728	0.1712241	0.7135920	0.4734906	0.6880880	1.0000000	0.6391106	0.5352951	0.3179332	0.7283032	0.2515377	0.0121863	0.0056666	0.0378535	0.9932044	0.7597474	0.4399167	0.0538082	0.5725095	1.0000000	0.5805822	0.4889191	1.0000000	0.8105580	0.6212892	1.0000000	0.8913408	0.6726434	0.8976600	0.0646024	0.7631914	0.8192156	0.9720317	0.9078679	0.9985294	0.7308089	0.2776101	0.2661643	0.4860501	0.7750973	0.1707204	0.7251956	0.6159354	0.8206121	0.1215916	0.5791794	0.4791616	0.2068326	0.8660848	0.7386758	0.6304427	0.0084287	0.6665667	0.0461549	0.5491588	0.9999912	0.0463441	0.8080250	0.8518379	0.1865899	0.5377185	0.1834873	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7075848	0.9843373	1.0000000	1.0000000	0.5818468	1.0000000	0.9165673	0.7528997	1.0000000	0.2146660	0.5800577	0.8011266	0.9545239
100	0.6472319	0.9990336	0.7947814	0.2869592	0.8828177	0.3727184	0.9859111	0.3638284	0.3201351	0.2404500	0.7162295	0.1733647	0.1246735	0.1597379	0.0114221	0.7565145	0.9999463	0.8379558	0.0935536	0.8281598	0.8282841	0.1022017	0.7068511	0.4705061	0.6953121	1.0000000	0.6697149	0.4691895	0.3189107	0.7283032	0.2890121	0.0053847	0.0011539	0.0378535	0.9932044	0.7121241	0.4142794	0.0171621	0.6593060	1.0000000	0.6867150	0.3520298	1.0000000	0.9307096	0.6212892	1.0000000	0.9433518	0.6653184	0.8976600	0.0745004	0.7491002	0.8881513	0.9785131	0.8844385	0.9941388	0.7725862	0.2046372	0.0835793	0.4739318	0.7992699	0.0579449	0.7334802	0.7550146	0.9432984	0.1457537	0.4539642	0.4769931	0.2060267	0.8604753	0.7441066	0.6418402	0.0070789	0.6870068	0.0461963	0.6549369	0.9999962	0.0463227	0.7114713	0.7356892	0.1441971	0.5326546	0.1204747	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7024814	0.9845789	1.0000000	1.0000000	0.5818468	1.0000000	0.9632446	0.8081360	1.0000000	0.1632896	0.4171620	0.7416828	0.9463626
150	0.6938174	0.9989388	0.8207722	0.2771215	0.8681198	0.3872574	0.9860986	0.3702921	0.1589170	0.2467854	0.7235262	0.1733925	0.1294869	0.1669121	0.0075439	0.7603213	0.9999464	0.8382568	0.0380873	0.7617035	0.8282121	0.0817789	0.7176473	0.4649407	0.7125774	1.0000000	0.6787729	0.4107499	0.3215686	0.7283032	0.3233215	0.0037778	0.0004079	0.0378535	0.9932044	0.7026842	0.3896872	0.0055894	0.6729604	1.0000000	0.7876617	0.3153650	1.0000000	0.9732891	0.6212892	1.0000000	0.9553365	0.6490943	0.8976600	0.0836831	0.7407465	0.9152327	0.9795831	0.8633472	0.9810433	0.8151419	0.1819176	0.0306348	0.4741631	0.8015236	0.0216954	0.7395394	0.8347760	0.9780153	0.1927331	0.4149441	0.4721837	0.2043172	0.8463909	0.7560093	0.6660285	0.0075793	0.7299517	0.0462884	0.7334769	0.9999981	0.0463093	0.5998088	0.5996452	0.1170510	0.5206412	0.1091920	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6988052	0.9855983	1.0000000	1.0000000	0.5818468	1.0000000	0.9838060	0.8413300	1.0000000	0.1509070	0.3539746	0.6547317	0.9448980
200	0.7165708	0.9989287	0.8310221	0.2740595	0.8619116	0.3978656	0.9864380	0.3797471	0.0827083	0.2495592	0.7285247	0.1734133	0.1334649	0.1725074	0.0064541	0.7632805	0.9999464	0.8384815	0.0174539	0.7112926	0.8281687	0.0757026	0.7320917	0.4600847	0.7355625	1.0000000	0.6814539	0.3766378	0.3258402	0.7283032	0.3459178	0.0033982	0.0002845	0.0378535	0.9932044	0.7008130	0.3730124	0.0019348	0.6750889	1.0000000	0.8513654	0.3055446	1.0000000	0.9884217	0.6212892	1.0000000	0.9569993	0.6291166	0.8976600	0.0899432	0.7400487	0.9258717	0.9797597	0.8459665	0.9635752	0.8450154	0.1748440	0.0152823	0.4862822	0.7973746	0.0101834	0.7414986	0.8737009	0.9877783	0.2491164	0.3994267	0.4665337	0.2024587	0.8258706	0.7704699	0.6943911	0.0088511	0.7785052	0.0464061	0.7749860	0.9999983	0.0463045	0.5146706	0.4997221	0.1036448	0.5051214	0.1110126	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6969625	0.9873947	1.0000000	1.0000000	0.5818468	1.0000000	0.9928633	0.8558775	1.0000000	0.1479226	0.3294643	0.5714025	0.9446352
250	0.7265132	0.9989538	0.8374928	0.2731064	0.8592894	0.4043214	0.9872719	0.3890036	0.0724845	0.2505799	0.7314084	0.1734262	0.1361521	0.1761174	0.0062263	0.7651851	0.9999465	0.8386186	0.0097101	0.6802229	0.8281459	0.0738791	0.7441680	0.4572532	0.7577537	1.0000000	0.6822474	0.3599446	0.3307832	0.7283032	0.3587515	0.0033085	0.0002641	0.0378535	0.9932044	0.7004421	0.3634497	0.0007807	0.6754377	1.0000000	0.8855640	0.3029143	1.0000000	0.9938166	0.6212892	1.0000000	0.9563245	0.6114261	0.8976600	0.0936310	0.7433442	0.9300512	0.9797888	0.8310569	0.9490377	0.8622948	0.1726418	0.0108306	0.5014053	0.7934776	0.0064305	0.7421383	0.8913991	0.9908107	0.2992161	0.3877353	0.4621801	0.2013942	0.8039971	0.7832093	0.7184492	0.0102718	0.8177479	0.0465157	0.7951806	0.9999977	0.0463056	0.4616699	0.4411414	0.0975040	0.4892178	0.1157726	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6961848	0.9893162	1.0000000	1.0000000	0.5818468	1.0000000	0.9968530	0.8615771	1.0000000	0.1472032	0.3199567	0.5101107	0.9445880
300	0.7307634	0.9989825	0.8421403	0.2728097	0.8581818	0.4078497	0.9882542	0.3962013	0.0713822	0.2509100	0.7329153	0.1734332	0.1377554	0.1781943	0.0062251	0.7662790	0.9999465	0.8386927	0.0067812	0.6631440	0.8281348	0.0733250	0.7523603	0.4559469	0.7753560	1.0000000	0.6824822	0.3524795	0.3352594	0.7283032	0.3654513	0.0032873	0.0002608	0.0378535	0.9932044	0.7003685	0.3584473	0.0004163	0.6754984	1.0000000	0.9026345	0.3022097	1.0000000	0.9957453	0.6212892	1.0000000	0.9554359	0.5986861	0.8976600	0.0956098	0.7473898	0.9316931	0.9797937	0.8191077	0.9393802	0.8711969	0.1719561	0.0095397	0.5137191	0.7913306	0.0051377	0.7423674	0.8991543	0.9918923	0.3383149	0.3750187	0.4599997	0.2015439	0.7852452	0.7924272	0.7352139	0.0114652	0.8439253	0.0465979	0.8049247	0.9999965	0.0463106	0.4321172	0.4105360	0.0947577	0.4744228	0.1207783	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6958871	0.9908629	1.0000000	1.0000000	0.5818468	1.0000000	0.9986105	0.8637074	1.0000000	0.1470299	0.3162687	0.4721914	0.9445795
350	0.7325980	0.9990044	0.8452582	0.2727174	0.8577140	0.4096484	0.9891066	0.4010192	0.0712672	0.2510014	0.7336551	0.1734367	0.1386368	0.1793023	0.0062624	0.7668619	0.9999465	0.8387297	0.0056654	0.6543972	0.8281296	0.0731538	0.7572678	0.4554276	0.7876366	1.0000000	0.6825517	0.3493060	0.3386259	0.7283032	0.3687604	0.0032823	0.0002602	0.0378535	0.9932044	0.7003540	0.3559692	0.0003012	0.6755094	1.0000000	0.9108223	0.3020210	1.0000000	0.9964361	0.6212892	1.0000000	0.9547945	0.5906790	0.8976600	0.0966016	0.7506841	0.9323381	0.9797944	0.8105965	0.9342551	0.8754589	0.1717426	0.0091653	0.5218827	0.7904440	0.0046638	0.7424553	0.9024702	0.9923259	0.3692101	0.3617150	0.4596725	0.2026940	0.7717208	0.7982859	0.7455021	0.0123021	0.8595040	0.0466506	0.8096255	0.9999950	0.0463174	0.4167209	0.3955738	0.0935463	0.4616235	0.1251980	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6957800	0.9919218	1.0000000	1.0000000	0.5818468	1.0000000	0.9993846	0.8644904	1.0000000	0.1469881	0.3148381	0.4512512	0.9445780
400	0.7334055	0.9990185	0.8471766	0.2726887	0.8575164	0.4105229	0.9897356	0.4039272	0.0712553	0.2510198	0.7340037	0.1734385	0.1390946	0.1798634	0.0062928	0.7671569	0.9999465	0.8387473	0.0052377	0.6501302	0.8281272	0.0730997	0.7599773	0.4552418	0.7954806	1.0000000	0.6825723	0.3479943	0.3408342	0.7283032	0.3703314	0.0032812	0.0002601	0.0378535	0.9932044	0.7003511	0.3547829	0.0002648	0.6755115	1.0000000	0.9146459	0.3019705	1.0000000	0.9966837	0.6212892	1.0000000	0.9544088	0.5860924	0.8976600	0.0970733	0.7529184	0.9325915	0.9797946	0.8051517	0.9324873	0.8774036	0.1716761	0.0090568	0.5266826	0.7901700	0.0044807	0.7424901	0.9038606	0.9925121	0.3956517	0.3488864	0.4603919	0.2043102	0.7633737	0.8016898	0.7512954	0.0128194	0.8681294	0.0466810	0.8118750	0.9999936	0.0463242	0.4090665	0.3885719	0.0930195	0.4514004	0.1287095	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.6957429	0.9925804	1.0000000	1.0000000	0.5818468	1.0000000	0.9997256	0.8647792	1.0000000	0.1469780	0.3142832	0.4405382	0.9445778
