G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3270239	0.9964348	0.3194956	0.4201106	1.0000000	0.3542693	0.9579840	0.3624292	0.3468699	0.2253009	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563865	0.9032657	0.8284126	0.4052072	0.7834483	0.4738026	0.6872767	1.0000000	0.5357085	0.5578281	0.3178261	0.7283032	0.2375319	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453804	1.0000000	1.0000000	0.4709221	0.6212892	1.0000000	0.6849599	0.6735443	0.8976600	0.0608572	0.7695935	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928107	0.6798514	0.5421961	0.8875050	0.4167182	0.4255543	0.1168938	0.9949609	0.4794202	0.2069338	0.8667125	0.7380121	0.6290034	0.0147839	0.6640308	0.0461496	0.5042414	0.9999874	0.0463549	0.8367656	0.8847197	0.2098362	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105602	0.7240261	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540345	0.4997329	0.4298306	0.4201106	1.0000000	0.3542693	0.9579841	0.3624294	0.3468699	0.2253016	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563880	0.9032694	0.8284126	0.4052072	0.7834484	0.4738032	0.6872771	1.0000000	0.5357085	0.5578298	0.3178261	0.7283032	0.2375308	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509060	0.1698524	0.0728972	1.0000000	0.5453726	1.0000000	1.0000000	0.4709225	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608571	0.7695954	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928124	0.6798515	0.5422141	0.8875029	0.4167142	0.4255518	0.1168938	0.9949609	0.4794201	0.2069337	0.8667120	0.7380123	0.6290037	0.0147839	0.6640316	0.0461496	0.5042332	0.9999874	0.0463549	0.8367720	0.8847259	0.2098401	0.5381384	0.4511060	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843329	1.0000000	1.0000000	0.5818468	1.0000000	0.8105592	0.7240241	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.9992524	0.2149241	0.4201106	1.0000000	0.3542693	0.9579840	0.3624292	0.3468699	0.2253009	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563865	0.9032657	0.8284126	0.4052072	0.7834483	0.4738026	0.6872767	1.0000000	0.5357085	0.5578281	0.3178261	0.7283032	0.2375319	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453804	1.0000000	1.0000000	0.4709221	0.6212892	1.0000000	0.6849599	0.6735443	0.8976600	0.0608572	0.7695935	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928107	0.6798514	0.5421961	0.8875050	0.4167182	0.4255543	0.1168938	0.9949609	0.4794202	0.2069338	0.8667125	0.7380121	0.6290034	0.0147839	0.6640308	0.0461496	0.5042414	0.9999874	0.0463549	0.8367656	0.8847197	0.2098362	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105602	0.7240261	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540348	0.9992524	0.4298308	0.2100738	1.0000000	0.3542693	0.9579842	0.3624297	0.3468699	0.2253025	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563896	0.9032735	0.8284126	0.4052072	0.7834488	0.4738035	0.6872779	1.0000000	0.5357085	0.5578318	0.3178262	0.7283032	0.2375291	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453643	1.0000000	1.0000000	0.4709216	0.6212892	1.0000000	0.6849594	0.6735436	0.8976600	0.0608567	0.7695975	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928147	0.6798518	0.5422361	0.8874983	0.4167070	0.4255468	0.1168938	0.9949609	0.4794199	0.2069336	0.8667114	0.7380127	0.6290045	0.0147839	0.6640332	0.0461496	0.5042231	0.9999874	0.0463549	0.8367787	0.8847329	0.2098451	0.5381384	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843330	1.0000000	1.0000000	0.5818468	1.0000000	0.8105583	0.7240214	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540360	0.9924394	0.1921461	0.4201106	0.5000029	0.6256903	0.8403571	0.2752668	0.3428484	0.2252837	0.8265996	0.1744747	0.3286039	0.3359462	0.1519604	0.8393477	0.9999473	0.8534189	0.8009902	0.9049268	0.8270626	0.3654622	0.7834510	0.4738052	0.6872807	1.0000000	0.5357085	0.5578362	0.3178265	0.7283032	0.2375215	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509021	0.1698524	0.0728972	1.0000000	0.5453443	1.0000000	1.0000000	0.4708870	0.6212892	1.0000000	0.6849578	0.6735412	0.8976600	0.0608524	0.7696029	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928216	0.6798529	0.5422835	0.8874698	0.4166739	0.4255186	0.1168938	0.9949609	0.4794193	0.2069335	0.8667097	0.7380145	0.6290081	0.0147841	0.6640402	0.0461496	0.5042018	0.9999874	0.0463549	0.8367954	0.8847484	0.2098565	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843333	1.0000000	1.0000000	0.5818468	1.0000000	0.8105557	0.7240154	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540345	0.9992524	0.4298306	0.4201106	1.0000000	0.1771378	0.9579841	0.3624294	0.3468699	0.2253016	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563880	0.9032694	0.8284126	0.4052072	0.7834484	0.4738032	0.6872771	1.0000000	0.5357085	0.5578298	0.3178261	0.7283032	0.2375308	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509060	0.1698524	0.0728972	1.0000000	0.5453726	1.0000000	1.0000000	0.4709225	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608571	0.7695954	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928124	0.6798515	0.5422141	0.8875029	0.4167142	0.4255518	0.1168938	0.9949609	0.4794201	0.2069337	0.8667120	0.7380123	0.6290037	0.0147839	0.6640316	0.0461496	0.5042332	0.9999874	0.0463549	0.8367720	0.8847259	0.2098401	0.5381384	0.4511060	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843329	1.0000000	1.0000000	0.5818468	1.0000000	0.8105592	0.7240241	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540352	0.9992524	0.4298307	0.4201106	1.0000000	0.3542693	0.4789958	0.3624302	0.3468699	0.2253032	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563906	0.9032761	0.8284126	0.4052072	0.7834495	0.4738027	0.6872788	1.0000000	0.5357085	0.5578334	0.3178263	0.7283032	0.2375267	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509055	0.1698524	0.0728972	1.0000000	0.5453592	1.0000000	1.0000000	0.4709183	0.6212892	1.0000000	0.6849589	0.6735428	0.8976600	0.0608559	0.7695988	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928172	0.6798522	0.5422550	0.8874908	0.4166968	0.4255390	0.1168938	0.9949609	0.4794196	0.2069334	0.8667106	0.7380133	0.6290056	0.0147840	0.6640355	0.0461496	0.5042144	0.9999874	0.0463549	0.8367826	0.8847382	0.2098501	0.5381385	0.4511058	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843331	1.0000000	1.0000000	0.5818468	1.0000000	0.8105579	0.7240188	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540345	0.9992524	0.4298306	0.4201106	1.0000000	0.3542693	0.9579841	0.1812194	0.3468699	0.2253016	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563880	0.9032694	0.8284126	0.4052072	0.7834484	0.4738032	0.6872771	1.0000000	0.5357085	0.5578298	0.3178261	0.7283032	0.2375308	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509060	0.1698524	0.0728972	1.0000000	0.5453726	1.0000000	1.0000000	0.4709225	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608571	0.7695954	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928124	0.6798515	0.5422141	0.8875029	0.4167142	0.4255518	0.1168938	0.9949609	0.4794201	0.2069337	0.8667120	0.7380123	0.6290037	0.0147839	0.6640316	0.0461496	0.5042332	0.9999874	0.0463549	0.8367720	0.8847259	0.2098401	0.5381384	0.4511060	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843329	1.0000000	1.0000000	0.5818468	1.0000000	0.8105592	0.7240241	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540357	0.9992524	0.4298304	0.4201106	1.0000000	0.3542693	0.9579842	0.3624307	0.1734352	0.2253031	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563898	0.9032745	0.8284126	0.4052072	0.7834503	0.4738003	0.6872797	1.0000000	0.5357085	0.5578333	0.3178264	0.7283032	0.2375244	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509047	0.1698524	0.0728972	1.0000000	0.5453634	1.0000000	1.0000000	0.4709117	0.6212892	1.0000000	0.6849582	0.6735419	0.8976600	0.0608547	0.7695981	0.6437400	0.9327701	0.9168854	0.9990811	0.7165872	0.5119921	0.8958286	0.4928187	0.6798525	0.5422578	0.8874811	0.4166855	0.4255292	0.1168938	0.9949609	0.4794190	0.2069331	0.8667098	0.7380140	0.6290070	0.0147841	0.6640382	0.0461496	0.5042129	0.9999874	0.0463549	0.8367785	0.8847372	0.2098523	0.5381385	0.4511058	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843331	1.0000000	1.0000000	0.5818468	1.0000000	0.8105586	0.7240176	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6630376	0.9992752	0.4373780	0.4201106	1.0000000	0.3542693	0.9622240	0.3724822	0.3468699	0.1321060	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6789924	0.9720370	0.8284126	0.4052072	0.7968500	0.4863969	0.7089357	1.0000000	0.5357085	0.5941770	0.3202638	0.7283032	0.1950431	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4327460	0.1698524	0.0728972	1.0000000	0.4155724	1.0000000	1.0000000	0.3464906	0.6212892	1.0000000	0.6743129	0.6577887	0.8976600	0.0503598	0.8326534	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5442917	0.6862663	0.9207793	0.6473552	0.2441824	0.2549530	0.1168938	0.9949609	0.4757431	0.2063201	0.8510216	0.7504100	0.6527639	0.0162729	0.7105371	0.0462265	0.3494392	0.9999828	0.0463735	0.9554798	0.9783924	0.3581633	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9873032	1.0000000	1.0000000	0.5818468	1.0000000	0.7885322	0.6652265	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
