G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0031211	0.3170900	0.1890239	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563850	0.9032620	0.8284126	0.4052072	0.7834485	0.4738010	0.6872767	1.0000000	0.5357085	0.5578267	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453885	1.0000000	1.0000000	0.4709189	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695917	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928100	0.6798514	0.5421830	0.8875025	0.4167164	0.4255519	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042472	0.9999874	0.0463549	0.8367587	0.8847144	0.2098341	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105612	0.7240273	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.0000020	0.4298299	0.4201106	1.0000000	0.3542693	0.9579837	0.3624292	0.3468699	0.2253000	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563845	0.9032608	0.8284126	0.4052072	0.7834484	0.4738009	0.6872765	1.0000000	0.5357085	0.5578262	0.3178261	0.7283032	0.2375321	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453909	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849598	0.6735442	0.8976600	0.0608568	0.7695911	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928094	0.6798513	0.5421770	0.8875034	0.4167180	0.4255530	0.1168938	0.9949609	0.4794200	0.2069337	0.8667126	0.7380121	0.6290035	0.0147839	0.6640310	0.0461496	0.5042499	0.9999874	0.0463549	0.8367568	0.8847125	0.2098328	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105615	0.7240280	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.9992524	0.0000003	0.4201106	1.0000000	0.3542693	0.9579837	0.3624292	0.3468699	0.2253000	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563845	0.9032608	0.8284126	0.4052072	0.7834484	0.4738009	0.6872765	1.0000000	0.5357085	0.5578262	0.3178261	0.7283032	0.2375321	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453909	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849598	0.6735442	0.8976600	0.0608568	0.7695911	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928094	0.6798513	0.5421770	0.8875034	0.4167180	0.4255530	0.1168938	0.9949609	0.4794200	0.2069337	0.8667126	0.7380121	0.6290035	0.0147839	0.6640310	0.0461496	0.5042499	0.9999874	0.0463549	0.8367568	0.8847125	0.2098328	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105615	0.7240280	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540342	0.9992524	0.4298302	0.0000011	1.0000000	0.3542693	0.9579838	0.3624291	0.3468699	0.2253003	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563854	0.9032630	0.8284126	0.4052072	0.7834482	0.4738019	0.6872765	1.0000000	0.5357085	0.5578269	0.3178261	0.7283032	0.2375324	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509058	0.1698524	0.0728972	1.0000000	0.5453861	1.0000000	1.0000000	0.4709212	0.6212892	1.0000000	0.6849599	0.6735444	0.8976600	0.0608571	0.7695922	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928097	0.6798513	0.5421842	0.8875055	0.4167197	0.4255549	0.1168938	0.9949609	0.4794202	0.2069337	0.8667127	0.7380120	0.6290033	0.0147839	0.6640305	0.0461496	0.5042467	0.9999874	0.0463549	0.8367609	0.8847155	0.2098338	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843327	1.0000000	1.0000000	0.5818468	1.0000000	0.8105608	0.7240274	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6709491	0.0031183	0.1595694	0.1890238	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081873	1.0000000	0.7112803	1.0000000	1.0000000	1.0000000	0.9627615	0.9999501	0.9896656	0.9964059	1.0000000	0.8253254	0.0000003	0.8081815	0.4873048	0.7276685	1.0000000	0.5357085	0.5968192	0.3229015	0.7283032	0.1886360	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	0.1698524	0.0728972	1.0000000	0.4072424	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649962	0.6437475	0.8976600	0.0486824	0.8477731	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5664828	0.6910353	0.9479132	0.5924278	0.2202418	0.2338537	0.1168938	0.9949609	0.4728087	0.2060491	0.8361170	0.7610325	0.6731470	0.0177670	0.7483313	0.0463000	0.3398808	0.9999772	0.0463950	0.9658378	0.9845582	0.3927446	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9891910	1.0000000	1.0000000	0.5818468	1.0000000	0.7868347	0.6591008	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540342	0.9992524	0.4298300	0.4201106	1.0000000	0.0000002	0.9579838	0.3624292	0.3468699	0.2253000	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563848	0.9032615	0.8284126	0.4052072	0.7834482	0.4738014	0.6872764	1.0000000	0.5357085	0.5578263	0.3178261	0.7283032	0.2375325	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509057	0.1698524	0.0728972	1.0000000	0.5453894	1.0000000	1.0000000	0.4709202	0.6212892	1.0000000	0.6849599	0.6735444	0.8976600	0.0608570	0.7695914	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928093	0.6798513	0.5421782	0.8875050	0.4167197	0.4255545	0.1168938	0.9949609	0.4794201	0.2069337	0.8667127	0.7380120	0.6290033	0.0147839	0.6640306	0.0461496	0.5042494	0.9999874	0.0463549	0.8367581	0.8847132	0.2098327	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105613	0.7240280	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.9992524	0.4298304	0.4201106	1.0000000	0.3542693	0.0000000	0.3624292	0.3468699	0.2253009	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563865	0.9032657	0.8284126	0.4052072	0.7834483	0.4738026	0.6872767	1.0000000	0.5357085	0.5578281	0.3178261	0.7283032	0.2375319	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453804	1.0000000	1.0000000	0.4709221	0.6212892	1.0000000	0.6849599	0.6735443	0.8976600	0.0608572	0.7695935	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928107	0.6798514	0.5421961	0.8875050	0.4167182	0.4255543	0.1168938	0.9949609	0.4794202	0.2069338	0.8667125	0.7380121	0.6290034	0.0147839	0.6640308	0.0461496	0.5042414	0.9999874	0.0463549	0.8367656	0.8847197	0.2098362	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105602	0.7240261	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579837	0.0000001	0.3468699	0.2252999	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563845	0.9032609	0.8284126	0.4052072	0.7834483	0.4738010	0.6872764	1.0000000	0.5357085	0.5578261	0.3178261	0.7283032	0.2375323	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453908	1.0000000	1.0000000	0.4709194	0.6212892	1.0000000	0.6849598	0.6735443	0.8976600	0.0608569	0.7695911	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928092	0.6798513	0.5421764	0.8875042	0.4167189	0.4255538	0.1168938	0.9949609	0.4794201	0.2069337	0.8667127	0.7380121	0.6290034	0.0147839	0.6640308	0.0461496	0.5042502	0.9999874	0.0463549	0.8367569	0.8847124	0.2098325	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105615	0.7240281	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540352	0.9992524	0.4298307	0.4201106	1.0000000	0.3542693	0.9579843	0.3624302	0.0000000	0.2253032	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563906	0.9032761	0.8284126	0.4052072	0.7834495	0.4738027	0.6872788	1.0000000	0.5357085	0.5578334	0.3178263	0.7283032	0.2375267	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509055	0.1698524	0.0728972	1.0000000	0.5453592	1.0000000	1.0000000	0.4709183	0.6212892	1.0000000	0.6849589	0.6735428	0.8976600	0.0608559	0.7695988	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928172	0.6798522	0.5422550	0.8874908	0.4166968	0.4255390	0.1168938	0.9949609	0.4794196	0.2069334	0.8667106	0.7380133	0.6290056	0.0147840	0.6640355	0.0461496	0.5042144	0.9999874	0.0463549	0.8367826	0.8847382	0.2098501	0.5381385	0.4511058	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843331	1.0000000	1.0000000	0.5818468	1.0000000	0.8105579	0.7240188	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710649	0.9992946	0.4442855	0.4201106	1.0000000	0.3542693	0.9655028	0.3815674	0.3468699	0.0000000	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6804166	0.9782690	0.8284126	0.4052072	0.8083432	0.4873089	0.7279471	1.0000000	0.5357085	0.5968057	0.3229440	0.7283032	0.1886347	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.4072343	1.0000000	1.0000000	0.3286008	0.6212892	1.0000000	0.6648610	0.6435422	0.8976600	0.0486712	0.8478416	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5667527	0.6911031	0.9479276	0.5924503	0.2202398	0.2339790	0.1168938	0.9949609	0.4727673	0.2060503	0.8359105	0.7611855	0.6734399	0.0177902	0.7488595	0.0463011	0.3399172	0.9999771	0.0463954	0.9658495	0.9845621	0.3927574	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892165	1.0000000	1.0000000	0.5818468	1.0000000	0.7868416	0.6591348	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
