G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4743102	0.9953340	0.3328887	0.3425600	1.0000000	0.3542693	0.7178286	0.5328357	0.3623037	0.1953436	0.3548394	0.0844175	0.1197084	0.1513802	0.0094495	0.9376256	0.9029290	0.8564150	0.6701260	0.8817786	0.7960912	0.2985138	0.8297954	0.6368549	0.3634777	1.0000000	0.4843653	0.5849449	0.7037660	0.6596300	0.1220007	0.0409769	0.0329625	0.0378535	0.9637398	0.8459152	0.3874556	0.1698556	0.3097377	0.6599450	0.5674131	1.0000000	1.0000000	0.3696415	0.6185425	1.0000000	0.6169716	0.7769756	0.7981731	0.0345368	0.9015235	0.6885895	0.9429345	0.7602510	0.9996544	0.4923081	0.3951690	0.5271795	0.6590180	0.6284533	0.6539296	0.7052356	0.3345637	0.3192704	0.0282828	0.9999212	0.2042348	0.5205305	0.6979248	0.7818224	0.6325160	0.0156604	0.8151009	0.0464687	0.4466012	0.9999848	0.0000762	0.8076185	0.9407922	0.2638364	0.4173337	0.4366448	1.0000000	0.6718615	0.7588846	0.2062325	0.5830918	0.7046479	0.9951881	1.0000000	1.0000000	0.5339580	0.9172186	0.7405893	0.8227088	1.0000000	0.3662044	0.6375886	0.7435156	0.9773148
0.5803388	0.9959016	0.4701853	0.7800042	1.0000000	0.1959227	0.8978403	0.2728611	0.2365611	0.2167945	0.6890049	0.2106124	0.1362217	0.1514214	0.0590937	0.7465754	0.9999354	0.4525255	0.6338837	0.8781227	0.7960912	0.3519751	0.5661115	0.3400481	0.5190621	1.0000000	0.4843653	0.2218973	0.2644468	0.6596301	0.2260567	0.0409769	0.0005700	0.0378535	0.9951813	1.0000000	0.5468669	0.1705929	0.0818133	1.0000000	0.6623666	0.8448246	1.0000000	0.5688566	0.7372111	1.0000000	0.8007163	0.6699363	0.5077610	0.3026611	0.6116057	0.6461972	0.9364437	0.4851544	0.9915483	0.7356574	0.4621757	0.8708433	0.3555770	0.5703428	0.1585247	0.9517245	0.5224736	0.4904721	0.0460639	0.9996701	0.4638445	0.2931155	0.8920223	0.6747724	0.4356327	0.0034460	0.3003426	0.0004743	0.4666435	0.9999999	0.0000017	0.7372927	0.5441374	0.1646617	0.3994440	0.7629352	0.6574013	0.7179758	0.5958099	0.3753992	0.4207282	0.6645253	0.8119611	1.0000000	1.0000000	0.6354914	1.0000000	0.7676110	0.8000173	1.0000000	0.3630228	1.0000000	0.8055238	1.0000000
0.5686684	0.9947802	0.2770973	0.3532670	0.8070794	0.3490829	0.5664415	0.3805975	0.3764454	0.2571604	0.5433191	0.0960639	0.1443358	0.1934695	0.0207594	0.7486230	0.9662000	0.8942781	0.5160869	0.5939979	0.7982043	0.6750354	0.6296560	0.2464947	0.3590883	1.0000000	0.4843653	0.3658589	0.3855938	0.7593288	0.1514906	0.0409769	0.0329625	0.0277833	0.9944722	0.7097542	0.6640228	0.1697474	0.2442645	1.0000000	0.2688495	1.0000000	0.7829391	0.4336531	0.5092735	1.0000000	0.8044452	0.7222818	0.8578508	0.2883895	0.6128246	0.6328125	0.8838391	0.7552085	0.9916876	0.5854673	0.5119921	0.9004672	0.5615374	0.5970312	0.5279330	0.7089148	0.3473438	0.3571783	0.1285643	0.8799798	0.3925507	0.4199811	0.8602705	0.6040994	0.2906016	0.0074218	0.1628446	0.0003826	0.5141877	0.9999987	0.0994528	0.7668269	0.7552343	0.2538309	0.4446117	0.6826951	1.0000000	0.5168327	0.7990564	0.1598114	0.5818925	0.6961556	0.6696800	1.0000000	0.8421527	0.2966238	1.0000000	0.9344459	0.7268642	0.7979644	0.5146910	0.9809260	0.8461036	1.0000000
0.2431732	0.9262169	0.5302869	0.2962849	0.4913968	0.5645008	0.8038969	0.2101541	0.3116104	0.2238210	0.8732744	0.2056897	0.3626708	0.3425164	0.1575162	0.6887787	0.9999704	0.9041776	0.7853858	0.6061094	0.7982554	0.3667256	0.5197456	0.6984897	0.6775963	0.9710371	0.7059165	0.3948378	0.0039124	0.6455521	0.1783634	0.0177495	0.0176348	0.0259822	0.9926825	1.0000000	0.5191262	0.0014798	0.0000004	0.6946206	0.7099668	0.7240874	0.8285606	0.5623774	0.7399416	1.0000000	0.6923635	0.9023793	0.5402791	0.3623452	0.7118218	0.6764735	0.9202040	0.7127880	0.9975148	0.6488692	0.3079471	0.5911622	0.1523041	0.7117721	0.2192767	0.9551770	0.5149325	0.5715445	0.1168938	0.9949609	0.5194470	0.2571901	0.8684088	0.4769705	0.4360031	0.0061353	0.4856509	0.0125361	0.7375843	0.8286378	0.0000071	0.7446927	0.7922367	0.1389289	0.2915170	0.7416566	0.7694444	0.7466763	0.6195333	0.2282974	0.5674658	0.7783581	0.9220905	0.8149996	1.0000000	0.5339580	0.4884075	0.7832867	0.5330159	0.6782239	0.5833576	0.8678059	0.8726049	1.0000000
0.8200775	0.9964335	0.6865294	0.4585132	1.0000000	0.3542693	0.9607403	0.5461303	0.7257782	0.0208826	0.5055414	0.1234744	0.0942804	0.1513802	0.0065814	0.8212976	0.9999837	0.7281153	0.5579947	0.7141996	0.9999995	0.3839975	0.9367905	0.1306586	0.9409886	0.7111928	0.5121826	0.5473885	0.5932027	0.4775319	0.0418210	0.0854216	0.0019189	0.0634161	0.9543143	0.5152790	0.2238282	0.0008730	0.1430237	1.0000000	0.1487996	0.8294575	0.7246414	0.2332050	0.6100906	0.6542655	0.3484833	0.3821542	0.7553737	0.1529874	0.9030161	0.5550990	0.7737749	0.8316180	0.9912131	0.4137858	0.4371114	0.8107665	0.5511806	0.2865886	0.6262905	0.3396996	0.1166818	0.5024161	0.0280051	0.9682356	0.4779615	0.0816091	0.6564526	0.5116066	0.5879598	0.1028759	0.9383857	0.0489381	0.4915331	0.4745780	0.1035103	0.9936157	0.9981082	0.6202522	0.4034754	0.5384539	0.9572070	0.5768484	0.7374483	0.1388691	0.6000167	0.3982583	0.9962594	1.0000000	0.8128018	0.7431044	0.7689550	0.9360195	0.5449925	1.0000000	0.3246450	1.0000000	0.8055238	0.9086426
0.5995063	0.9958589	0.8741235	0.5053867	0.9658927	0.3667403	0.9702393	0.5531575	0.3537451	0.2905166	0.8186289	0.1903162	0.1859013	0.1574455	0.0604608	0.5694635	0.6409633	0.4902861	0.6168093	0.8197483	0.7995254	0.6094060	0.6085796	0.0805789	0.7558924	0.8752022	0.4278343	0.2745567	0.1724158	0.7179120	0.1673953	0.0520319	0.0333763	0.0245979	0.9906321	0.8396748	0.4867335	0.0011110	0.1538554	0.9578028	0.6490288	1.0000000	0.8076056	0.6166210	0.7193625	0.6624677	0.5203621	0.7942528	0.7617340	0.1482508	0.7238086	0.7061205	0.7782457	0.4753826	0.9995185	0.8377689	0.2895512	0.7735367	0.6789704	0.8225793	0.2126104	0.8962891	0.6443381	0.5217993	0.0995609	0.9968461	0.5818635	0.5248937	0.9446782	0.6909382	0.3827791	0.0070984	0.5587064	0.0460225	0.7789031	0.9999988	0.0603749	0.6179381	0.6468770	0.0974504	0.0980229	0.9563021	0.6782569	0.7758439	0.5337150	0.3828340	0.4217339	0.5877283	0.9809945	0.6584509	0.7135448	0.1358021	1.0000000	0.9999744	0.6847473	0.7690136	0.5476954	0.5628330	0.6375258	0.6561506
0.6070803	0.9642230	0.1591958	0.6713655	0.3371850	0.7381405	0.4918486	0.1868334	0.4783149	0.2366077	0.8811390	0.1771895	0.5776107	0.4168197	0.2992048	0.7600698	0.9583032	0.9218170	0.8771547	0.9447742	0.9999998	0.0455103	0.5174835	0.7888894	0.5529382	0.7416518	0.4429047	0.7110742	0.3785799	0.7065951	0.2379197	0.0314074	0.0342993	0.0594196	0.9860725	0.9846844	0.5821883	0.1698556	0.2162282	0.7841546	0.4069177	0.8568117	0.8310264	0.4161730	0.6243065	0.9297116	0.7027071	0.8997886	0.8794701	0.1011620	0.7628468	0.6778883	0.8806268	0.9225424	0.9992112	0.5958358	0.2637736	0.9030384	0.3850735	0.7107470	0.6061474	0.8087785	0.3228144	0.3359663	0.0858238	0.9979573	0.6518157	0.1715878	0.9723495	0.6526576	0.4716285	0.0089577	0.3430300	0.0457924	0.1795170	0.9999975	0.1846279	0.9102133	0.9470603	0.2296608	0.4843988	0.4436188	1.0000000	0.7086405	0.7588846	0.1777841	0.5935381	0.5429947	0.9018973	1.0000000	0.9398008	0.5229745	0.9528218	0.9999733	0.5948675	1.0000000	0.1774990	1.0000000	0.8055238	1.0000000
0.6400899	0.9993928	0.4875777	0.3887002	1.0000000	0.3542693	0.9250284	0.3032594	0.6384000	0.3044750	0.4826639	0.1608334	0.1197084	0.1514214	0.0590937	0.6869545	0.9999405	0.4369288	0.4498330	0.6616019	0.7960912	0.2493625	0.6987481	0.1656593	0.6537550	0.7040782	0.3390287	0.6741569	0.4609299	0.5912962	0.1397570	0.0877744	0.0179826	0.0551117	0.9836095	0.9011180	0.4803621	0.1698556	0.0727847	1.0000000	0.9063306	1.0000000	0.8342563	0.7971327	0.5335640	0.5807236	0.4515222	0.5683898	0.4271298	0.3512457	0.7200430	0.4408427	0.7743629	0.9963551	0.9892947	0.7229300	0.6854280	0.9512376	0.2989895	0.1538603	0.0743541	0.4641617	0.8690446	0.5673065	0.9976539	0.0371864	0.5557681	0.3956005	0.8667554	0.7390323	0.4190321	0.0128519	0.4082436	0.0460431	0.4078286	0.9999920	0.0000457	0.3437842	0.2604738	0.0573471	0.6639389	0.3535210	1.0000000	0.5556741	0.7588846	0.1998911	0.5935381	0.6975230	0.9592263	0.6883161	1.0000000	0.5339580	0.8528744	0.7826976	0.6286868	1.0000000	0.1620867	0.6385822	0.7248337	1.0000000
0.4709942	0.9953082	0.4605430	0.4744242	1.0000000	0.3542693	0.8745042	0.4205589	0.2456469	0.0325544	0.7066363	0.1735448	0.1197084	0.1514214	0.0590937	0.5391062	0.9999816	0.9057510	0.6531444	0.7382893	0.7994480	0.4458027	0.7701763	0.5802786	0.5291271	1.0000000	0.4843653	0.5639267	0.4306515	0.8508392	0.3735287	0.0102664	0.0003793	0.0378535	0.9637398	0.8909397	0.3754249	0.0509400	0.0371611	1.0000000	0.4004050	1.0000000	0.9443565	0.4203753	0.7167269	1.0000000	0.8733918	0.5558616	0.7177627	0.1123495	0.6342045	0.7189585	0.9349945	0.9202468	0.9909297	0.7847590	0.3477778	0.8956921	0.4795120	0.4972991	0.2626352	0.8152984	0.4320063	0.4044132	0.1168938	0.9949609	0.3170739	0.1080684	0.7049890	0.7902176	0.7288271	0.0232916	0.8389097	0.0465480	0.5161684	0.9999452	0.0002127	0.7452161	0.5390860	0.1500918	0.6059157	0.4466766	1.0000000	0.6380041	0.7588846	0.7296684	0.2365763	0.5267485	0.9553671	1.0000000	1.0000000	0.7629895	0.9619906	0.7525077	0.9210142	0.7778058	0.5424409	0.7385638	0.7783021	1.0000000
0.6582969	0.9961450	0.4288581	0.5347080	1.0000000	0.2745909	0.9476551	0.4733913	0.2825268	0.2308952	0.2703952	0.1668296	0.0854681	0.1514214	0.0590937	0.5289039	0.9999674	0.7757878	0.6674156	0.9326555	0.7960912	0.3685728	0.7897521	0.6927602	0.6879695	0.8134000	0.8839548	0.6905117	0.3407623	0.6067718	0.1077511	0.0320607	0.0337130	0.0515481	0.9901804	1.0000000	0.4421923	0.1485953	0.3837173	1.0000000	0.4845627	1.0000000	1.0000000	0.4379442	0.6590301	1.0000000	0.6603481	0.5943595	0.8180295	0.0523591	0.8038688	0.6328126	0.9409084	0.9999993	0.9999976	0.5508737	0.5119921	0.5390302	0.3318203	0.4735393	0.6996865	0.8477102	0.3537818	0.3886879	0.1168938	0.9949609	0.4312447	0.1559972	0.7694178	0.6467052	0.6056122	0.0104167	0.6426570	0.0008291	0.1817548	0.9999960	0.0000269	0.7749292	0.9266254	0.2489655	0.5469651	0.3494756	1.0000000	0.8491355	0.7944804	0.1689143	0.5831876	0.5188642	0.9456001	0.8116567	1.0000000	0.6672983	0.6449866	0.8767108	0.4879467	1.0000000	0.4278294	1.0000000	0.8246638	1.0000000
