G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7486417	0.6288201	0.4461134	0.4736109	0.6367315	0.2495554	0.7550442	0.6110601	0.4808327	0.1296937	0.4874816	0.1501656	0.0977699	0.1095815	0.0486122	0.1440320	0.7055960	0.3181647	0.5226446	0.6087724	0.5380806	0.6558191	0.7938700	0.6238575	0.7078452	0.6651841	0.4630828	0.2622997	0.7038655	0.6529490	0.2222318	0.0306396	0.0294298	0.0503167	0.7448151	0.6660031	0.0000000	0.1299184	0.0901002	0.5797584	0.2572220	0.7068397	0.7187712	0.4649770	0.6321386	0.0000000	0.0269889	0.0460983	0.2452190	0.1287696	0.3083526	0.0123507	0.0188244	0.5379204	0.6821273	0.7456941	0.7351108	0.6570624	0.5769712	0.4584718	0.5130240	0.7879234	0.2354294	0.6403382	0.0603139	0.6504162	0.3826964	0.4355158	0.0456056	0.7088578	0.7365542	0.8747519	0.6956005	0.7141238	0.3662666	0.2209822	0.5535213	0.5809994	0.6779307	0.1933527	0.2428513	0.4765259	0.6452678	0.3886645	0.5710443	0.1583029	0.4081972	0.4163978	0.8233254	0.5943172	0.7030549	0.4490045	0.7076189	0.6254293	0.5004772	0.6602707	0.2698561	0.6597950	0.5804114	0.8761190
0.5120569	0.0020502	0.1315219	0.3121501	0.0000000	0.6185622	0.0247827	0.0379037	0.0393033	0.0108381	0.6530976	0.6401629	0.7486404	0.7549015	0.7131141	0.4983174	0.5411265	0.6572740	0.6016171	0.7635222	0.5123731	0.0022599	0.6262084	0.3584193	0.5746765	0.6568449	0.3901719	0.4865905	0.2148868	0.4542796	0.1313754	0.0463182	0.0076810	0.0082965	0.5847460	0.6583210	0.3971387	0.7883631	0.7436723	0.7267141	0.2704454	0.7066427	0.6158410	0.2406270	0.4322797	0.7417175	0.4721141	0.4474539	0.6926527	0.0185745	0.6504579	0.3971794	0.6429504	0.7219261	0.6999802	0.5027633	0.3390125	0.3130347	0.3418007	0.3699393	0.6444378	0.4214447	0.1847057	0.1682875	0.0815985	0.7585939	0.3620575	0.1688118	0.7851109	0.4101392	0.3816673	0.0083955	0.4278199	0.0277152	0.2152471	0.6967547	0.0359150	0.6689672	0.6634921	0.2234741	0.3643032	0.3717678	0.5796011	0.7124561	0.0000000	0.6621738	0.6470535	0.8342602	0.5337814	0.7682273	0.6125141	0.5092510	0.6979815	0.5453312	0.4710356	0.7154137	0.2562290	0.5932399	0.5355876	0.6736346
0.5328175	0.0035831	0.1463668	0.1274058	0.0000000	0.6429571	0.0056771	0.0201976	0.2043273	0.2254942	0.7837468	0.6316341	0.6295967	0.6905079	0.6674506	0.5428111	0.7048610	0.6125133	0.6071161	0.7283240	0.6104493	0.4878083	0.4502420	0.2408303	0.4425525	0.5964378	0.3411956	0.3418727	0.2760973	0.5123177	0.2140372	0.0208536	0.0498299	0.0396990	0.6592292	0.6319510	0.3399545	0.1858498	0.0726211	0.6811061	0.4043582	0.7558674	0.6126657	0.4424590	0.4281330	0.0000000	0.1583238	0.2555717	0.1937764	0.2167171	0.1886929	0.0131638	0.0526961	0.5329536	0.6407391	0.7563156	0.5537003	0.6090099	0.2108304	0.4125907	0.2272596	0.6340960	0.4595781	0.2379692	0.0799740	0.8177996	0.3519834	0.2104513	0.6126531	0.5410036	0.5076884	0.0239716	0.4262685	0.0258924	0.3676960	0.6618281	0.0212074	0.4883389	0.4975620	0.1005025	0.2916784	0.4682221	0.7517411	0.5585177	0.6756581	0.1445646	0.5649194	0.4423562	0.7515084	0.7531821	0.7105066	0.4090953	0.7390322	0.6067399	0.5341138	0.5719797	0.2770011	0.6207874	0.5149184	0.8205777
0.3716477	0.7031843	0.2982663	0.7542527	0.5795100	0.3410411	0.5585914	0.2156795	0.7345736	0.1723545	0.7245318	0.3487702	0.7426249	0.1095405	0.0489293	0.0884533	0.3015610	0.0016173	0.3795792	0.7101935	0.5934400	0.8387727	0.5825258	0.3149946	0.7015191	0.7279110	0.4467628	0.4703058	0.1174530	0.4987383	0.1271561	0.0233436	0.0080644	0.0271126	0.5451745	0.8027283	0.3313271	0.7675339	0.6681045	0.6233610	0.4699709	0.6911013	0.7266919	0.3673577	0.3927512	0.0000000	0.2133932	0.3462717	0.2476939	0.1368562	0.3157591	0.0164628	0.0494589	0.5031661	0.5800834	0.8523122	0.7091906	0.5852315	0.1717486	0.2239563	0.2212194	0.5891710	0.2851879	0.3726365	0.0419137	0.6970186	0.3888484	0.1483560	0.6611653	0.4768113	0.3717366	0.0222816	0.4846848	0.0401240	0.3544239	0.5427501	0.0447698	0.4533875	0.6421362	0.0869199	0.3458271	0.5103086	0.6768702	0.7663368	0.0000000	0.7707036	0.7076364	0.7208104	0.6841228	0.7050870	0.6057113	0.3513337	0.6872683	0.5603417	0.3982662	0.8355775	0.2939083	0.5825424	0.5290071	0.8236341
0.7961186	0.6953658	0.5033895	0.3495378	0.7178041	0.2707998	0.6744037	0.6722563	0.2036985	0.1092292	0.4562891	0.1201611	0.0973857	0.1690117	0.0638896	0.4914026	0.6683821	0.6492143	0.4571800	0.6362801	0.6222256	0.2707550	0.5538617	0.5362005	0.5636853	0.7869472	0.3084765	0.2719374	0.6805240	0.5883381	0.1240217	0.0797640	0.0181603	0.0067231	0.8037227	0.6394889	0.0000000	0.1385535	0.0343977	0.6408044	0.2835741	0.5902073	0.8090373	0.2999831	0.5029793	0.7274624	0.3804950	0.2366584	0.5792543	0.0188784	0.6611363	0.4651414	0.6142953	0.6358768	0.6921093	0.4360568	0.3693246	0.5250745	0.6749130	0.4910965	0.6605530	0.6685763	0.0000000	0.6411326	0.0856195	0.7212989	0.4575459	0.3278988	0.0262829	0.5980196	0.6945829	0.9041201	0.6531317	0.7957847	0.2543272	0.2433178	0.5237841	0.8170455	0.6447558	0.6993085	0.3605692	0.3193586	0.6756462	0.3582966	0.5400951	0.1856336	0.5392630	0.4941378	0.7679059	0.6392134	0.7198458	0.3803246	0.7084957	0.6378433	0.5971795	0.8628075	0.2842419	0.6395541	0.6141896	0.7068228
0.4040816	0.7072197	0.2905107	0.3716382	0.6862942	0.2520859	0.6543287	0.3335634	0.6590091	0.1443696	0.5087560	0.1045241	0.1058205	0.1135781	0.0437624	0.0684411	0.5573093	0.2568490	0.3925398	0.7461250	0.5162084	0.6594504	0.5524467	0.3433493	0.6708482	0.6333198	0.2991958	0.4324880	0.2365941	0.5222549	0.1661658	0.0357738	0.0184122	0.0259383	0.6875182	0.6341711	0.3241334	0.1059655	0.0836834	0.6730458	0.3656372	0.6775500	0.7892308	0.2615261	0.5235470	0.0000000	0.2454841	0.2383741	0.2075191	0.2236587	0.3490984	0.0101739	0.0341608	0.5538976	0.7660815	0.6010868	0.7942903	0.7607221	0.1499293	0.3234580	0.5619264	0.7113362	0.0000000	0.2960578	0.0992007	0.8048382	0.3121947	0.0915042	0.7073053	0.4622748	0.4830394	0.0039474	0.5061858	0.0191949	0.2586044	0.6567117	0.0228891	0.5529177	0.7666858	0.6675854	0.1987865	0.5460313	0.6844808	0.4180313	0.5074571	0.1581794	0.4478062	0.5155911	0.7338740	0.7694381	0.5738750	0.3378136	0.7053943	0.5870934	0.4861797	0.6410108	0.3534979	0.6891654	0.5526322	0.6307531
0.5429450	0.6352218	0.3780296	0.2383232	0.7811852	0.2352096	0.6300942	0.2463238	0.2444405	0.1820771	0.4984620	0.1066338	0.1402637	0.1709254	0.0595081	0.6256203	0.7765175	0.6426747	0.5772923	0.5403214	0.7156779	0.2936369	0.5186497	0.2519919	0.4743379	0.7177207	0.3478724	0.5673334	0.2617931	0.5352323	0.0890477	0.0614184	0.0074820	0.0250672	0.6444187	0.7482312	0.3257598	0.0919822	0.0895911	0.6899486	0.4003364	0.7715846	0.7962435	0.3716676	0.5117154	0.7538935	0.6139582	0.5599772	0.5604521	0.0480695	0.6291353	0.3686178	0.6225390	0.5620048	0.7540052	0.4532298	0.3160922	0.5887451	0.4107631	0.4337589	0.5111755	0.7031076	0.3505733	0.0000000	0.0401198	0.7069533	0.3980659	0.1452476	0.4719796	0.5155848	0.5102957	0.0089147	0.4888803	0.0948588	0.3098670	0.7129134	0.0791862	0.7755068	0.7393721	0.1183459	0.2977741	0.2524709	0.8071551	0.3497749	0.5009510	0.1514021	0.4392259	0.5127344	0.7183854	0.6197915	0.7307961	0.3738419	0.0000000	0.0345914	0.0445169	0.5646767	0.2710766	0.7197601	0.6095203	0.6905626
0.6481403	0.5447324	0.6244980	0.2756727	0.7565764	0.3459506	0.6063093	0.6548770	0.2212694	0.1549302	0.5193087	0.1392812	0.1086919	0.1814188	0.0366632	0.5139416	0.5960581	0.5975110	0.5099971	0.6712128	0.5555473	0.2227904	0.7285490	0.5356640	0.6633344	0.7137447	0.3391072	0.3205759	0.7094230	0.5196703	0.0674363	0.0411474	0.0071958	0.0431122	0.7609116	0.6290792	0.0000000	0.1172540	0.0466271	0.7181052	0.3350738	0.7500644	0.7572024	0.0000000	0.3967485	0.6996168	0.3420092	0.4526133	0.6080183	0.0125247	0.5956889	0.5359114	0.5834554	0.5438218	0.7444977	0.5058168	0.2493577	0.5779551	0.4947005	0.5443116	0.6615845	0.6707539	0.0207162	0.5220306	0.0838758	0.7320365	0.4456736	0.3644384	0.0909123	0.8336274	0.7479452	0.7959213	0.7774715	0.8147420	0.2840558	0.2284644	0.5972323	0.7015750	0.6964663	0.6303465	0.4118698	0.3632121	0.7725725	0.3804562	0.6242529	0.1373130	0.3710077	0.4957954	0.6455614	0.7295437	0.7747950	0.3606583	0.6392698	0.5157558	0.6213901	0.6863756	0.3300091	0.6707594	0.5983898	0.7791357
0.0000000	0.0022155	0.0019209	0.1239691	0.0000000	0.7110381	0.0260041	0.0091795	0.0411298	0.0057506	0.7656899	0.4859023	0.6362553	0.7668565	0.6688687	0.6884450	0.7461115	0.7941326	0.6577870	0.6560093	0.5395040	0.0004357	0.5228301	0.2889179	0.4893949	0.7122233	0.3110065	0.3783689	0.2038595	0.5327428	0.1266498	0.0380706	0.0373089	0.0235476	0.7470770	0.6712231	0.2145141	0.1193974	0.0803693	0.8862692	0.3164017	0.6041839	0.7583766	0.2528435	0.4075599	0.7337422	0.4103635	0.5637036	0.7767645	0.0304136	0.4653514	0.5529284	0.6211377	0.6595366	0.7002908	0.4533454	0.2951093	0.6461223	0.4874868	0.5972598	0.7977107	0.4482485	0.1512635	0.1360643	0.0719920	0.6817323	0.2850464	0.1889296	0.5226869	0.6201072	0.4707994	0.0029542	0.4475476	0.0412015	0.2259415	0.8413569	0.0440193	0.6243413	0.6881723	0.2671025	0.3431479	0.4527400	0.6184946	0.3457429	0.5356162	0.2429025	0.4319810	0.5718944	0.6899996	0.6938485	0.6020008	0.3308937	0.6660288	0.5490950	0.4948501	0.6068541	0.2764533	0.6629473	0.6005587	0.7531140
0.4476270	0.7584331	0.3253753	0.3224195	0.5525221	0.2437771	0.6728649	0.3151812	0.3164397	0.1580004	0.5229521	0.2150711	0.0821986	0.1929423	0.0273488	0.6058025	0.6902047	0.4924304	0.4794660	0.6410863	0.6304682	0.2436044	0.4782818	0.3076616	0.5408071	0.7365828	0.4228653	0.4551123	0.2232691	0.5252020	0.1495389	0.0570315	0.0286630	0.0315650	0.6790449	0.6799445	0.3836728	0.0665926	0.1287916	0.7207974	0.2994635	0.7533875	0.7020749	0.3389202	0.3975328	0.6761837	0.3995052	0.3403302	0.6667251	0.0460156	0.4714970	0.4177563	0.8177971	0.5583516	0.4060074	0.6166004	0.4130137	0.6156770	0.4373309	0.4752834	0.5352391	0.6075304	0.3315190	0.2930469	0.0839232	0.7003607	0.4234056	0.1412698	0.6509805	0.6119041	0.4758279	0.0126532	0.4831264	0.0336480	0.3241431	0.6802269	0.0518339	0.6996466	0.6224138	0.1957318	0.2666794	0.0000000	0.7513461	0.4756361	0.5816764	0.1392310	0.4328801	0.4506516	0.7546311	0.7053905	0.7440331	0.4177292	0.6899801	0.6665797	0.5777577	0.5743227	0.2860411	0.6689663	0.0000000	0.7060772
