G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0083834	0.2277169	0.1033295	0.7528888	0.3807257	0.6339922	0.3723407	0.3242440	0.1629498	0.5298810	0.0730396	0.0799813	0.1279782	0.0627381	0.6719904	0.6340328	0.5589264	0.4427706	0.6786307	0.5942416	0.2740450	0.5550926	0.3700736	0.6610577	0.7715711	0.3393609	0.4230462	0.2425923	0.4707418	0.1691325	0.0214651	0.0122535	0.0081203	0.7587879	0.6596852	0.2389436	0.1381938	0.0644185	0.5989814	0.4090284	0.6095142	0.5550897	0.2268549	0.3575505	0.8483653	0.5486957	0.4142152	0.6266302	0.0366803	0.5230565	0.4027027	0.5955806	0.7680777	0.7581867	0.4260206	0.4424100	0.6660065	0.4393657	0.4471555	0.3893925	0.5885343	0.3327235	0.3187941	0.0504502	0.6142105	0.2873678	0.1165775	0.5559852	0.6492884	0.4223711	0.0079972	0.5909924	0.0327424	0.4237486	0.6633732	0.0306057	0.6399615	0.5317217	0.1580656	0.3846323	0.1920504	0.7497853	0.3428944	0.5179459	0.1127987	0.3482373	0.5074769	0.8648140	0.6023405	0.8269912	0.3505658	0.6326592	0.5617334	0.4273474	0.6886916	0.2754620	0.6348665	0.5197600	0.6709996
0.4397049	0.0000000	0.2560241	0.2973370	0.7004833	0.3221093	0.6446623	0.2918357	0.3333891	0.1226450	0.5371793	0.1055482	0.0945510	0.1137571	0.0586500	0.5130789	0.7869971	0.5499546	0.4943194	0.5260444	0.6793766	0.3472993	0.4576685	0.3661557	0.6741838	0.7348996	0.3859555	0.3359970	0.2969058	0.5959275	0.1489214	0.0349457	0.0211548	0.0180257	0.7281734	0.6662828	0.2879215	0.1050635	0.0416080	0.7121919	0.4292193	0.6895656	0.6944702	0.4146352	0.3557731	0.7855203	0.5216321	0.4485265	0.5707769	0.0703888	0.5574006	0.5112618	0.6455445	0.6771593	0.7308353	0.4740986	0.4353763	0.6177079	0.3694047	0.5149080	0.2546108	0.7445370	0.4394536	0.3604562	0.0353828	0.7204315	0.3728155	0.1612958	0.4882087	0.4692405	0.5415794	0.0404236	0.5317831	0.0495183	0.4173977	0.7084701	0.0666781	0.4915508	0.6125185	0.1365004	0.3768976	0.3372862	0.7392171	0.4303349	0.5725985	0.1307269	0.4867129	0.5728504	0.6833826	0.6045127	0.6508603	0.3665638	0.7174934	0.4591771	0.5059883	0.6977519	0.3027893	0.6623036	0.6044809	0.8010735
0.3938527	0.6361901	0.0000000	0.3470402	0.5304591	0.3434772	0.6604270	0.2415178	0.2775971	0.1565455	0.4660473	0.1329168	0.1974120	0.1078694	0.0459480	0.5197271	0.6856110	0.6053365	0.4839827	0.5551156	0.5293840	0.2375267	0.6911281	0.3385159	0.5834715	0.5872182	0.2839778	0.4438346	0.1952195	0.4767311	0.1859454	0.0290744	0.0508051	0.0680608	0.7252630	0.5752549	0.3266499	0.0841895	0.0902832	0.7830391	0.3653954	0.7356124	0.6776844	0.3289365	0.3978857	0.6890310	0.4535396	0.5431357	0.5517799	0.0765734	0.6853108	0.4500984	0.6307025	0.6940537	0.6141662	0.5465143	0.3365771	0.6638579	0.2968886	0.4794833	0.2604728	0.5863162	0.2755422	0.2337592	0.0856265	0.5495675	0.3197964	0.1748462	0.5224113	0.5480741	0.4486465	0.0047106	0.4440146	0.0423799	0.3803201	0.6794568	0.0279956	0.4707971	0.5555688	0.1493542	0.4435804	0.2782293	0.6739826	0.4539272	0.5007220	0.1694875	0.3823427	0.5314815	0.6549772	0.7816810	0.6870740	0.4130231	0.7397155	0.6234464	0.5772606	0.6806617	0.2971134	0.6164572	0.5475157	0.5902497
0.4126277	0.8065186	0.2957179	0.0000000	0.7228879	0.2834782	0.6113206	0.3160211	0.2762783	0.1553519	0.5354877	0.1435147	0.1157489	0.1367648	0.0296113	0.5015633	0.7137593	0.5786399	0.4537984	0.6099817	0.6195888	0.2544538	0.4808331	0.2837549	0.5711198	0.5739971	0.3825611	0.4158255	0.2196593	0.5350773	0.1945871	0.0388962	0.0476517	0.0160395	0.8137785	0.8968769	0.4435523	0.1228063	0.0826207	0.7019857	0.4196180	0.7122157	0.7569506	0.4257611	0.4076302	0.6476415	0.5261729	0.5020708	0.5427711	0.0500029	0.6028350	0.4492798	0.6779758	0.5791917	0.5528401	0.4750022	0.4116407	0.5906933	0.3606639	0.4553811	0.3319433	0.7149716	0.2725551	0.2464685	0.0987189	0.7496594	0.3487072	0.1500642	0.7146940	0.5560531	0.5561379	0.0152553	0.3975120	0.0238499	0.4090539	0.7212238	0.0250220	0.4990661	0.5672101	0.1213621	0.4757378	0.3463310	0.7362492	0.4594234	0.4717969	0.1525065	0.5038314	0.5458820	0.6313756	0.6956771	0.8385325	0.3332547	0.8695643	0.5738503	0.5238206	0.6285269	0.3285507	0.6866555	0.4468712	0.7517195
0.4423773	0.0044968	0.0481304	0.1536833	0.0000000	0.6633846	0.0273553	0.0599662	0.0381618	0.0094049	0.6389327	0.5325322	0.6942275	0.8868805	0.6761224	0.6938078	0.8691773	0.7769928	0.7835436	0.9027985	0.5136036	0.0021934	0.4527154	0.4407345	0.4779224	0.6500389	0.2882661	0.4221501	0.2970810	0.5713631	0.1665550	0.0270745	0.0047837	0.0571636	0.6867570	0.6559091	0.2783458	0.0922891	0.0635447	0.6563167	0.2905461	0.8198312	0.5917475	0.2710837	0.3447028	0.9236218	0.5218698	0.4153162	0.6822195	0.0336069	0.4424834	0.4968389	0.7223240	0.7137974	0.9021748	0.4540360	0.3737594	0.7119139	0.3878923	0.3817002	0.5791268	0.4913500	0.2271443	0.2619951	0.0667047	0.7912849	0.3291364	0.1098672	0.5755725	0.4543704	0.5651917	0.0158425	0.5659069	0.0387267	0.3381386	0.8582010	0.0287368	0.5886375	0.6999136	0.2489060	0.3438757	0.3592514	0.7031479	0.3551076	0.6351724	0.1172486	0.3836575	0.4272189	0.6880550	0.7816950	0.5743336	0.4588311	0.7104088	0.6108347	0.4933030	0.6891134	0.3036641	0.8127639	0.5990161	0.6306746
0.4486379	0.7280012	0.3311104	0.3184464	0.7877287	0.0000000	0.6284429	0.2120830	0.3340417	0.1119953	0.5738863	0.1557937	0.0975250	0.1637093	0.0619276	0.5172847	0.6295781	0.5892629	0.5451253	0.5732173	0.5774598	0.3473461	0.5896447	0.3475087	0.4599662	0.8031589	0.3106180	0.3762631	0.1971503	0.5659427	0.1659376	0.0432848	0.0275370	0.0224996	0.7590994	0.6985150	0.2734262	0.0937045	0.0476730	0.7101028	0.3956839	0.6772085	0.7416421	0.3161268	0.4434400	0.6773416	0.4872552	0.4435221	0.6518562	0.0204846	0.6321170	0.5000349	0.7401971	0.5568237	0.7335895	0.5287140	0.3341751	0.6772674	0.3697299	0.4790888	0.3907613	0.7313484	0.2965969	0.2845805	0.0894296	0.6923509	0.3210189	0.1322220	0.5491669	0.5071706	0.4670746	0.0124561	0.5555098	0.0296527	0.3685757	0.7847288	0.0644202	0.6402370	0.7964369	0.1520745	0.2922029	0.3198480	0.7520498	0.5183524	0.3941644	0.1322300	0.4794843	0.4509899	0.7603348	0.6998853	0.8457095	0.3401872	0.6799380	0.5403365	0.4914497	0.8704699	0.2587066	0.6600270	0.6347634	0.7480452
0.4409872	0.7309954	0.3330693	0.3691023	0.7510987	0.2509520	0.0000000	0.2391309	0.2604911	0.1414203	0.5159324	0.1254126	0.0742054	0.1067816	0.0332949	0.4918059	0.7526665	0.5896357	0.4430432	0.6632687	0.7185606	0.3410082	0.4463822	0.3373796	0.4273156	0.6720625	0.4578212	0.3203570	0.2115592	0.5032915	0.1769897	0.0425622	0.0215753	0.0306390	0.6408300	0.6567047	0.3086037	0.1393990	0.0591005	0.6662910	0.3682075	0.8200072	0.7493327	0.3207797	0.4742930	0.7642299	0.4270692	0.5743210	0.5582920	0.0577254	0.5589531	0.3970541	0.5363766	0.6455555	0.7383830	0.5082509	0.4079474	0.5772482	0.3010305	0.4174964	0.3494919	0.7475435	0.2675074	0.2485206	0.1035325	0.6261880	0.3059898	0.2140971	0.5454660	0.4649103	0.4120168	0.0054860	0.4337906	0.0250204	0.3712981	0.6689992	0.0278182	0.5234064	0.5876275	0.1580239	0.4553631	0.2565978	0.6409115	0.3662310	0.5220114	0.1439186	0.4671070	0.5744527	0.5432919	0.7451324	0.7403601	0.4898686	0.7330160	0.5471218	0.4765432	0.7893430	0.3730954	0.7965557	0.5315276	0.6143679
0.4702616	0.6843330	0.3734626	0.2503614	0.6000415	0.1970101	0.7417674	0.0000000	0.2747273	0.1743747	0.5194998	0.1423889	0.1101055	0.1570088	0.0236086	0.5163132	0.7031987	0.5621492	0.5400175	0.6390550	0.5603815	0.3851577	0.5362017	0.3506712	0.6253366	0.8060321	0.3455911	0.3476080	0.1913016	0.4819284	0.1657184	0.0396099	0.0148191	0.0291491	0.6461795	0.7428303	0.3498723	0.0932940	0.0538577	0.6007507	0.6113408	0.6777236	0.7286810	0.3441788	0.5266498	0.6429349	0.4334336	0.4653492	0.5456135	0.0378097	0.5867005	0.3918462	0.6894012	0.6336489	0.7114465	0.5231159	0.4367755	0.6199789	0.3545962	0.5239045	0.3036795	0.7619057	0.4451624	0.2849509	0.0356307	0.7363385	0.4020742	0.1598394	0.6708475	0.5177300	0.3867407	0.0322543	0.3794963	0.0387866	0.3719326	0.7797870	0.0406822	0.5711692	0.6455797	0.1203682	0.5092101	0.3196501	0.8261597	0.4651752	0.5077233	0.1178002	0.4706293	0.5884346	0.6463236	0.6515780	0.7018970	0.4896442	0.5709988	0.5224934	0.4756977	0.7356597	0.3337679	0.8025172	0.5744162	0.6060065
0.5243743	0.5918666	0.2650190	0.2755300	0.6233864	0.2012153	0.7815476	0.2005988	0.0000000	0.1755938	0.5004996	0.1379222	0.1211472	0.1015744	0.0508405	0.5582731	0.6133185	0.5825581	0.3517286	0.6228633	0.5386361	0.3095029	0.5546651	0.4100697	0.4818184	0.7492976	0.3382775	0.3670414	0.2133438	0.5342004	0.1954554	0.0106904	0.0655087	0.0596728	0.7715697	0.7804399	0.2776710	0.1247983	0.0474961	0.6437568	0.4051938	0.7502423	0.8523870	0.3092700	0.4694426	0.7946159	0.5500042	0.4402757	0.5887147	0.0316313	0.5015836	0.5083263	0.7381036	0.4505455	0.7528022	0.5178810	0.3785436	0.7178792	0.4418514	0.5354388	0.4966696	0.6232764	0.3406084	0.2500397	0.1126977	0.5898370	0.3746919	0.1876377	0.7203819	0.5017213	0.4686426	0.0359032	0.4723603	0.0335060	0.3357628	0.6806455	0.0396665	0.6426571	0.6280377	0.1795628	0.3969572	0.3848378	0.6546766	0.3301529	0.5784541	0.1659239	0.3946409	0.4387292	0.8336025	0.5624731	0.6536510	0.3804898	0.7545223	0.4327217	0.4553260	0.6649387	0.2536079	0.6440097	0.5322876	0.8264484
0.5560802	0.7544046	0.2312160	0.2864431	0.7760078	0.2854180	0.6674943	0.2631950	0.1453134	0.0000000	0.5857277	0.1233548	0.0339974	0.1800195	0.0396175	0.5585024	0.7937174	0.6250121	0.5004806	0.6581723	0.4916782	0.2807899	0.4720849	0.4019324	0.6052931	0.6887608	0.4503079	0.3824209	0.2686410	0.4964989	0.1487912	0.0492832	0.0312122	0.0320861	0.6919787	0.6305405	0.2500716	0.1420914	0.0792202	0.6654773	0.4178753	0.6573684	0.7481023	0.2634603	0.4386338	0.7194514	0.3824397	0.4744653	0.6072185	0.0407166	0.6030525	0.4653549	0.7823013	0.5169098	0.6848324	0.4417395	0.2863359	0.7460541	0.4689694	0.3740857	0.6139495	0.5473228	0.2127878	0.2221511	0.0881130	0.7685544	0.3337949	0.1342718	0.6557221	0.5672259	0.4593653	0.0087999	0.4917100	0.0481228	0.2273519	0.7631479	0.0322546	0.6141644	0.6624521	0.2770795	0.4156392	0.3411528	0.5462303	0.3594918	0.5120756	0.1641706	0.3992245	0.4781196	0.6575731	0.7895116	0.6565360	0.5058348	0.8991289	0.6405411	0.4874898	0.7354816	0.3468972	0.7401477	0.4669417	0.6123617
0.4245208	0.6367707	0.3186231	0.2795031	0.6651136	0.3305725	0.5821573	0.2421471	0.2100453	0.1954932	0.0000000	0.1277526	0.1250654	0.0835240	0.0192942	0.4957302	0.7437927	0.6970382	0.3595347	0.5555972	0.5630614	0.2903554	0.6429069	0.3720626	0.5249249	0.6181788	0.4167400	0.4812356	0.2362627	0.4585978	0.1412815	0.0192526	0.0134345	0.0103159	0.6964782	0.6705431	0.3125187	0.1140315	0.0571109	0.7232489	0.4043311	0.6618905	0.7262829	0.3800820	0.5477087	0.7681270	0.4434958	0.5135735	0.6713457	0.0878232	0.6144330	0.4130795	0.8530210	0.6541421	0.7086776	0.4464559	0.3981881	0.6524487	0.3013981	0.5180750	0.2845380	0.7620616	0.3163566	0.2514404	0.0558552	0.7044358	0.3764728	0.1031348	0.7446954	0.4529931	0.4124482	0.0117794	0.4227560	0.0361562	0.3016055	0.7838495	0.0167387	0.6104630	0.6122573	0.1726559	0.3191758	0.3337733	0.6743103	0.4230913	0.6493614	0.1859487	0.4383920	0.5452761	0.6729672	0.6444318	0.6507579	0.4536047	0.7083100	0.5137537	0.5082385	0.6988942	0.3613110	0.6322204	0.6424473	0.8205104
0.3571253	0.6390795	0.3213190	0.2596826	0.6848124	0.1831827	0.8051183	0.2750274	0.1925419	0.1472060	0.5130917	0.0000000	0.0567282	0.0714790	0.0424676	0.5199529	0.7267697	0.6543094	0.3583481	0.5913942	0.5545286	0.2166427	0.6337951	0.4002167	0.5657075	0.5903885	0.4122649	0.3160904	0.2615562	0.5008543	0.1820813	0.0187712	0.0287286	0.0454722	0.6513727	0.7103967	0.3375317	0.1973486	0.0690912	0.7995005	0.4836672	0.7726711	0.6952515	0.2421107	0.6100939	0.5490237	0.7193688	0.5807695	0.5757656	0.0330727	0.5299051	0.4995993	0.7077982	0.6066888	0.7606400	0.5609067	0.3173937	0.7650270	0.3264871	0.3983901	0.3547998	0.4863084	0.2559862	0.3399503	0.0646676	0.6042465	0.3563310	0.1714789	0.6937261	0.3807765	0.4330702	0.0148371	0.4158580	0.0642213	0.3220621	0.6944095	0.0459192	0.5885820	0.7042509	0.2101253	0.3603080	0.3251659	0.7127775	0.3717832	0.5855592	0.1565075	0.3936990	0.4605789	0.6858570	0.8149383	0.6614329	0.3481885	0.6975333	0.6061155	0.5672761	0.7057382	0.3074293	0.7356686	0.5566897	0.7313098
