"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5098949	0.7724430	0.2724386	0.2675989	0.6908256	0.2787963	0.6341700	0.2794790	0.2422471	0.1651197	0.4272639	0.1002446	0.0746691	0.1174541	0.0464730	0.4666063	0.6010384	0.5915795	0.4196928	0.6352746	0.6091643	0.2743352	0.6064059	0.3733880	0.4477571	0.6882396	0.4919275	0.5514353	0.2004024	0.5522331	0.1918967	0.0170215	0.0327869	0.0344376	0.6504464	0.6192266	0.2654117	0.1198996	0.0879385	0.6841497	0.4207871	0.8071060	0.6784784	0.3968304	0.4425689	0.8185286	0.5107286	0.4972426	0.6443149	0.0483849	0.5317447	0.4569393	0.6684588	0.5809198	0.6202661	0.5175780	0.4297604	0.6525238	0.3857225	0.4723626	0.4142698	0.6187434	0.3375978	0.3835142	0.0699436	0.6685877	0.3482533	0.1413684	0.6164395	0.5959056	0.4498332	0.0352038	0.3182880	0.0366122	0.5084667	0.6302348	0.0498145	0.5587728	0.5959818	0.1483991	0.3557449	0.3438875	0.7459572	0.3185170	0.5521313	0.1359597	0.3733742	0.4867443	0.7338340	0.6669487	0.7889508	0.4360925	0.6410127	0.5041155	0.4911214	0.6876755	0.2529699	0.7219597	0.6356054	0.6599758
100	0.5262978	0.6525842	0.2944251	0.2387017	0.6620147	0.0763666	0.5676067	0.3080790	0.1787478	0.1257935	0.4584085	0.0511228	0.0778612	0.1373363	0.0371109	0.5182154	0.7164218	0.5467239	0.4154436	0.6175643	0.8143391	0.2839132	0.3407354	0.3934584	0.2922593	0.7070288	0.4006090	0.4492054	0.2116876	0.5954728	0.1290819	0.0163960	0.0000394	0.0017384	0.5746301	0.6961270	0.2565195	0.1187883	0.0275359	0.6328911	0.3396723	0.6768855	0.1761547	0.2286587	0.2032788	0.7100314	0.7342724	0.4733988	0.6207759	0.0101221	0.5172046	0.4439837	0.6959510	0.6199069	0.7688039	0.5361324	0.0690719	0.6573793	0.1929620	0.4855806	0.0783567	0.5966622	0.2912892	0.3067913	0.0944789	0.3922218	0.3299805	0.1661362	0.5561144	0.6260842	0.4196845	0.0009821	0.5103141	0.0389423	0.3848928	0.7570233	0.4595649	0.5077516	0.5978269	0.1266790	0.3093252	0.2996159	0.6509601	0.4031018	0.7080590	0.1502682	0.3621603	0.4753714	0.7620583	0.7272655	0.7233885	0.5004754	0.1891984	0.7587693	0.3463320	0.6599839	0.2880781	0.7649469	0.6554488	0.6453569
200	0.5122319	0.7743159	0.3247656	0.2885763	0.7203969	0.0332500	0.4570821	0.4144483	0.1678068	0.1733798	0.3931684	0.0599495	0.0482454	0.0679142	0.0665962	0.5224231	0.7554606	0.7214239	0.5063139	0.5640205	0.7064656	0.2676003	0.2608231	0.3977244	0.1867171	0.6659404	0.4153463	0.4042251	0.2250082	0.5388091	0.2067520	0.0077119	0.0009127	0.0042588	0.6118653	0.6717104	0.3939127	0.1341405	0.0585643	0.7679338	0.2624516	0.6027701	0.1552310	0.1975572	0.1242812	0.7072488	0.6608600	0.3655731	0.5704536	0.0155998	0.5819873	0.5013369	0.6966646	0.6938311	0.6966973	0.7302107	0.0251244	0.6396685	0.2265564	0.4482999	0.0786427	0.4152171	0.1716535	0.1453847	0.1246387	0.4147053	0.3061560	0.1482428	0.5651039	0.4764566	0.4405452	0.0015443	0.4907049	0.0514266	0.2741646	0.6599723	0.4619659	0.5465527	0.5590369	0.2793264	0.3440684	0.3030349	0.7893570	0.3481964	0.7596319	0.1663366	0.2674443	0.4188532	0.7432831	0.7555614	0.6834918	0.4546086	0.2097981	0.6902224	0.1660637	0.6375800	0.3495619	0.5905099	0.6354161	0.7028005
300	0.4564514	0.7541639	0.3820309	0.1574724	0.5906815	0.0454656	0.3034770	0.3929427	0.1999169	0.1599628	0.5363160	0.0434702	0.0544519	0.1068159	0.1175567	0.5571785	0.6499286	0.6790118	0.3499949	0.6566691	0.6639006	0.2673053	0.2675332	0.2735065	0.1381124	0.6519610	0.3291822	0.3909284	0.2514205	0.5269256	0.1812529	0.0368152	0.0000000	0.0038496	0.5305944	0.7480617	0.3628343	0.1765510	0.0375162	0.5732333	0.2971786	0.7389300	0.1406688	0.1244637	0.0444897	0.7048299	0.6765706	0.4758503	0.6560435	0.0061738	0.6149811	0.4705104	0.7230025	0.7291120	0.6357053	0.7261294	0.0214046	0.6305677	0.2589100	0.4146437	0.0940733	0.2285551	0.1177381	0.0984412	0.1874548	0.2824271	0.4110300	0.1571723	0.6968813	0.4471820	0.4022000	0.0029940	0.4097264	0.0111777	0.2325925	0.7581996	0.5289091	0.7605596	0.6668303	0.2727475	0.4651227	0.4325623	0.6420197	0.4179655	0.6645540	0.1356028	0.3591563	0.4341454	0.6032246	0.6550796	0.6649500	0.5419354	0.2119745	0.6203176	0.1445374	0.7847674	0.2313894	0.6308111	0.5843877	0.6716835
400	0.4266301	0.7803467	0.2520798	0.2942247	0.6516669	0.1823679	0.5233044	0.2823070	0.2564411	0.2797465	0.4859508	0.1140852	0.0376821	0.1099684	0.0380143	0.4341760	0.6617613	0.7260978	0.5606850	0.7542007	0.4614532	0.2646120	0.6207269	0.2807221	0.4753767	0.7566641	0.3045023	0.4327394	0.2176429	0.5317325	0.0958058	0.0252316	0.0163319	0.0205869	0.5976286	0.7175665	0.3951255	0.2244271	0.0263115	0.6767603	0.3442926	0.7517417	0.7016219	0.1688186	0.1605250	0.6720083	0.5079029	0.4766013	0.7227282	0.0420515	0.6047703	0.6105313	0.6010496	0.8033178	0.6530221	0.5581103	0.3966966	0.5823285	0.3803164	0.4590192	0.6239062	0.1356495	0.0782567	0.0252263	0.2322448	0.6134231	0.2467969	0.1269977	0.5613638	0.4961748	0.4297675	0.0080612	0.4588510	0.0754162	0.2316652	0.6901962	0.1126372	0.5424340	0.7741616	0.3871131	0.3537913	0.2692743	0.7503006	0.4012883	0.5309609	0.1635247	0.4441133	0.4737142	0.7035311	0.6733480	0.6330023	0.2857622	0.6215900	0.5137321	0.1700539	0.7147630	0.2865442	0.6404580	0.5498739	0.7687365
500	0.3701484	0.7458680	0.2979984	0.2460851	0.7677367	0.2616289	0.6851703	0.2497563	0.3085756	0.3075204	0.5431541	0.1465674	0.0541160	0.1229398	0.0260134	0.4540856	0.5739764	0.5258684	0.4513075	0.7359278	0.5683273	0.2085080	0.4384986	0.3667400	0.5182098	0.6076751	0.3559444	0.4820761	0.2452656	0.4684179	0.2123296	0.0332958	0.0264039	0.0199270	0.6842295	0.7180158	0.3189498	0.1408428	0.0727289	0.7218443	0.2807276	0.6960089	0.7482068	0.2390525	0.4170448	0.5825770	0.5982903	0.4445331	0.6590323	0.0819899	0.6310288	0.5305154	0.7017319	0.6442283	0.6255093	0.4985033	0.2924241	0.6787548	0.3596567	0.4712646	0.7030327	0.1748669	0.0663141	0.0631472	0.0667898	0.6489277	0.2632535	0.1494928	0.5906112	0.5272514	0.3392037	0.0285777	0.4072968	0.0768100	0.2390703	0.6626639	0.0378114	0.7383650	0.6082397	0.5854513	0.3313866	0.2989112	0.7583545	0.4847725	0.4662090	0.1405734	0.4257247	0.5499029	0.7766824	0.6927306	0.7095124	0.3564169	0.7076337	0.4924858	0.4947284	0.7661038	0.2888399	0.6226909	0.5713334	0.8197208
600	0.4179075	0.6420431	0.2250564	0.3674770	0.7552406	0.2196790	0.6552710	0.2397678	0.1879936	0.2206647	0.5532901	0.1022485	0.0810676	0.0812850	0.0269989	0.3670138	0.7601831	0.5882596	0.4654281	0.6935430	0.5154675	0.2340620	0.4104674	0.2987444	0.4452153	0.7283004	0.3646580	0.4276849	0.2846382	0.4895171	0.1215792	0.0364299	0.0129337	0.0095247	0.7266133	0.6999917	0.2747450	0.1447123	0.0860751	0.6740577	0.2790172	0.6460549	0.7766872	0.2902056	0.4061873	0.7060629	0.5247755	0.4199786	0.7388607	0.1506905	0.6085662	0.3741070	0.6279987	0.5493704	0.5852353	0.5265366	0.4092321	0.7750284	0.3759254	0.5085194	0.7094906	0.4530014	0.1130701	0.1196555	0.0743926	0.6791177	0.3464712	0.2195678	0.7308918	0.5645430	0.3268731	0.0071155	0.4245242	0.0525403	0.1822587	0.7814286	0.0390591	0.7288117	0.7227012	0.4738826	0.4574140	0.3345028	0.7088646	0.4646784	0.5892969	0.1774478	0.3707452	0.5668192	0.6111904	0.5999678	0.7510499	0.3990959	0.6704160	0.5133997	0.3471031	0.7898498	0.3234109	0.7041250	0.4984162	0.6754473

0	0.3184960	0.6364273	0.2632341	0.2757274	0.8400604	0.1999984	0.6993252	0.2962834	0.2065037	0.1410612	0.4333364	0.0886010	0.1165353	0.1691370	0.0326052	0.4969202	0.6487522	0.6136363	0.5165546	0.7657255	0.6276765	0.2866773	0.5976980	0.3481008	0.5353577	0.5756188	0.3909314	0.3940960	0.2416838	0.5314203	0.1492302	0.0350358	0.0198197	0.0574999	0.7025822	0.6438945	0.2421339	0.1136918	0.0439550	0.7372922	0.4289772	0.7650171	0.7304758	0.3485367	0.3947075	0.7236408	0.5161502	0.5970607	0.6928003	0.0363182	0.4956503	0.4957592	0.6091224	0.6162704	0.6708247	0.5575303	0.4126867	0.6359748	0.3537131	0.4487188	0.3573732	0.6166179	0.3062015	0.3130757	0.0835027	0.7670952	0.3789266	0.2109733	0.7335402	0.4982620	0.4908549	0.0144458	0.4847059	0.0260976	0.4143322	0.7425110	0.0409805	0.4554178	0.6049063	0.1832562	0.4001753	0.3075660	0.6396507	0.4325279	0.5702191	0.1958490	0.4265797	0.5125550	0.7062941	0.6076628	0.7278610	0.4311756	0.7394159	0.4505450	0.4694022	0.7257229	0.3283882	0.7078205	0.5070902	0.7117997
