G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0026949	0.3276616	0.0769591	0.6405517	0.2222288	0.7392075	0.2229451	0.2354197	0.1688757	0.4623127	0.0707721	0.0818807	0.0871518	0.0752712	0.4392882	0.7576371	0.6521456	0.4496199	0.5832518	0.5415725	0.2217486	0.5298423	0.3346253	0.3837360	0.7115047	0.4702375	0.4515989	0.3015624	0.4987796	0.1942502	0.0321363	0.0367703	0.0423348	0.6935664	0.7661623	0.3040210	0.2424443	0.0841377	0.8200714	0.4147835	0.7651734	0.8042120	0.3209064	0.3949321	0.7513173	0.5809407	0.4397803	0.7773276	0.0589624	0.5284868	0.3358937	0.7019429	0.6710749	0.5696504	0.5067472	0.3864796	0.6021782	0.3241459	0.5213592	0.4058636	0.7407814	0.2828842	0.3064133	0.0782481	0.6951068	0.2431784	0.1315836	0.6159767	0.5856137	0.5374454	0.0095353	0.5025940	0.0399758	0.3626595	0.7735765	0.0262954	0.6490832	0.5113123	0.1215932	0.4243810	0.3975625	0.6743701	0.4149756	0.5384627	0.1594553	0.4991824	0.5270638	0.6379613	0.8580115	0.7112183	0.4193056	0.6841135	0.5746598	0.4914212	0.7513844	0.2932723	0.6808189	0.5271378	0.6219049
0.4090425	0.0000000	0.3455604	0.3493305	0.6745212	0.2166862	0.6198316	0.3017686	0.3770883	0.1545465	0.4989404	0.1492592	0.0800624	0.1032246	0.0533968	0.4477201	0.6852855	0.6090435	0.3482827	0.5558372	0.5522127	0.2926299	0.5924761	0.3826983	0.5011749	0.6714335	0.3769703	0.3414614	0.1554706	0.5509121	0.1461160	0.0319898	0.0513812	0.0435348	0.8077755	0.7197179	0.2331922	0.1554989	0.0832584	0.7124381	0.4457078	0.6807183	0.7696446	0.3563160	0.3538035	0.7266923	0.4064796	0.3611905	0.7028701	0.0522189	0.4882648	0.4237643	0.7527893	0.7194577	0.6669011	0.5361427	0.4208251	0.5528085	0.3558993	0.4699888	0.2025215	0.6462420	0.2645691	0.2861922	0.0985472	0.6764231	0.4309382	0.1798295	0.7727263	0.4702744	0.4601569	0.0133615	0.5386047	0.0193453	0.4778122	0.6378472	0.0402710	0.4725921	0.6896624	0.1957688	0.4408387	0.2919861	0.5569656	0.5165294	0.5116063	0.1413173	0.4184921	0.5930304	0.6023807	0.8045548	0.6525388	0.4597589	0.6668103	0.5608828	0.6038493	0.7222360	0.2372289	0.7279906	0.6568162	0.6396898
0.4691028	0.5808413	0.0000000	0.2799738	0.7770319	0.2939503	0.6301798	0.3667338	0.2347074	0.1855300	0.4537595	0.1471380	0.0838389	0.1131211	0.0313580	0.5522106	0.7120681	0.7147692	0.4593735	0.7003567	0.5943592	0.3494518	0.5420386	0.3389180	0.4511958	0.6812315	0.3387611	0.3784338	0.2481003	0.5532801	0.1545422	0.0641070	0.0205429	0.0194988	0.7944747	0.6100510	0.2849532	0.1583702	0.0919364	0.7106099	0.2854774	0.6580486	0.7314450	0.3082713	0.3692445	0.6099459	0.4999089	0.3584290	0.6716950	0.0219355	0.5707161	0.4720603	0.5430743	0.6481941	0.6506520	0.4996778	0.4516820	0.5739877	0.4073815	0.4753358	0.4782629	0.6143540	0.2895206	0.3130875	0.0658294	0.7495917	0.3021268	0.1497944	0.6482183	0.6734826	0.4978085	0.0065792	0.5616594	0.0169398	0.3491086	0.6804575	0.0549878	0.6478973	0.6112536	0.1797234	0.4059825	0.3460389	0.8459646	0.4990332	0.5121781	0.1459585	0.3752210	0.5384462	0.5941934	0.7196185	0.5850848	0.3876770	0.7053345	0.5377487	0.4792467	0.6834537	0.2861898	0.6618574	0.5486812	0.7646373
0.4598047	0.6619592	0.2511981	0.0000000	0.7300000	0.2869431	0.7671765	0.2229210	0.2526894	0.1812831	0.4931812	0.1242025	0.1123254	0.1402458	0.0420090	0.5173942	0.6315859	0.7691100	0.4798443	0.6283891	0.5333981	0.2523073	0.5068679	0.3162070	0.4882672	0.7370158	0.4281736	0.3782477	0.1494028	0.4868082	0.1654540	0.0359601	0.0294064	0.0671346	0.7452295	0.7249625	0.3623053	0.1353525	0.0766358	0.7981305	0.3755192	0.7030021	0.6294290	0.3933338	0.4490320	0.9669059	0.5510024	0.3842349	0.6745876	0.0346910	0.4638455	0.4324029	0.6470347	0.6667405	0.6827271	0.4157306	0.3422120	0.6603955	0.3641687	0.3614743	0.4399457	0.5974728	0.3355407	0.3275064	0.0658324	0.6947557	0.3123992	0.1555720	0.4539511	0.5610295	0.4560609	0.0051350	0.5362694	0.0619397	0.3815398	0.7244834	0.0141468	0.5600785	0.6154101	0.1844240	0.3834495	0.3400099	0.7494333	0.4557606	0.5445731	0.1615062	0.3510877	0.5803950	0.7292821	0.6353977	0.6876501	0.4665935	0.7327521	0.5137243	0.4786780	0.6591716	0.2650379	0.7886524	0.6173154	0.7562039
0.4181108	0.0084696	0.1949726	0.1680803	0.0000000	0.8029922	0.0189074	0.0203212	0.0617116	0.0054380	0.8050375	0.5708889	0.7261783	0.8532468	0.8176019	0.7246168	0.7022998	0.6781362	0.7080071	0.6782450	0.6256204	0.0001675	0.5704623	0.3451867	0.5051997	0.5884477	0.4501821	0.3594842	0.2055375	0.4798423	0.1744190	0.0455184	0.0126377	0.0215977	0.7590957	0.6606162	0.2529298	0.1176012	0.0616567	0.7834856	0.2471399	0.7353548	0.6949299	0.2523856	0.3939031	0.6144512	0.4531450	0.4847081	0.6265287	0.0544208	0.6557250	0.3852963	0.6587475	0.7506503	0.6326687	0.4763508	0.4167935	0.6654667	0.3105766	0.4639973	0.7113421	0.4992634	0.2350600	0.2269580	0.1078434	0.5708037	0.4313688	0.1066281	0.5746469	0.5070230	0.5008110	0.0149670	0.5051357	0.0841755	0.2677429	0.7069949	0.0439407	0.7163297	0.6696758	0.3562097	0.4042222	0.3408148	0.7496084	0.3992665	0.5488401	0.0980053	0.4633537	0.6453075	0.6662402	0.7321610	0.8117074	0.4166754	0.6213492	0.4660986	0.4154314	0.6469949	0.2657164	0.5084164	0.6313037	0.7317500
0.5062276	0.8279347	0.2248124	0.2557153	0.7855510	0.0000000	0.5540810	0.2658018	0.2601002	0.2177670	0.5013887	0.1567670	0.0493631	0.0735575	0.0298856	0.5371296	0.6977284	0.5526347	0.4640783	0.6063559	0.5059558	0.3398368	0.5912360	0.3227092	0.5198218	0.7160273	0.3948754	0.3555084	0.2189041	0.6501104	0.1801519	0.0612094	0.0355406	0.0154499	0.6475059	0.7026832	0.4550907	0.1741618	0.1514733	0.7734556	0.3568320	0.6932022	0.7355482	0.3522079	0.4520798	0.5470765	0.5046765	0.4896082	0.6672393	0.1193113	0.4789133	0.3832479	0.5789765	0.8080133	0.8215850	0.5002443	0.4232991	0.8036847	0.2864683	0.5867642	0.3634315	0.6666335	0.3782362	0.2468879	0.0432863	0.6636059	0.3343122	0.1848833	0.7635066	0.5220250	0.3751527	0.0119147	0.5325173	0.0298667	0.4521977	0.7534209	0.0328480	0.6598601	0.5647086	0.1218423	0.4731243	0.2820904	0.6722375	0.3544415	0.5228290	0.1666871	0.3520824	0.4393559	0.8522840	0.6604000	0.8098517	0.3178500	0.4739919	0.5840644	0.4946635	0.6725224	0.3258869	0.6765175	0.5210075	0.5807911
0.5392256	0.6621471	0.2761152	0.3176967	0.7109995	0.3067235	0.0000000	0.2531746	0.2473915	0.1315491	0.4612875	0.1249330	0.0771301	0.1264261	0.0367068	0.5455390	0.7708923	0.4743884	0.4749156	0.6764563	0.4756637	0.3206346	0.5708557	0.2988222	0.6080278	0.6704711	0.3903779	0.3600989	0.2344579	0.5229554	0.1407083	0.0373563	0.0215064	0.0615477	0.5550063	0.6882046	0.2722749	0.1671014	0.0930021	0.7306398	0.4418899	0.8309183	0.7310677	0.3729347	0.3471370	0.6832430	0.4383055	0.5069425	0.6422339	0.0563437	0.3576604	0.4533344	0.6855533	0.6376412	0.6848399	0.4162449	0.3536037	0.7214287	0.3322470	0.5130780	0.4423068	0.6692457	0.3596184	0.2700233	0.0913054	0.7148851	0.3352601	0.1175936	0.5742336	0.4689795	0.4071860	0.0165166	0.3014684	0.0200565	0.4254976	0.5563519	0.0352519	0.5821282	0.6376577	0.1692816	0.3412407	0.2201991	0.6817378	0.4134878	0.6157978	0.3236490	0.4959619	0.5476688	0.7608145	0.7612998	0.6189751	0.3433719	0.7292922	0.6040843	0.5153371	0.5913962	0.3118647	0.6661637	0.5363185	0.6130352
0.4622216	0.7791729	0.3340936	0.3367450	0.7694911	0.1957962	0.6998938	0.0000000	0.3374994	0.1657082	0.6147965	0.1551253	0.0974675	0.0977399	0.0594451	0.5367456	0.6977691	0.6742740	0.4104290	0.7564180	0.6960017	0.3077068	0.4300933	0.2466599	0.5088572	0.7334880	0.4174442	0.4508998	0.2381335	0.4739590	0.1477100	0.0390906	0.0129956	0.0159178	0.6464046	0.6722353	0.3455884	0.1282641	0.0562909	0.8117420	0.3880921	0.7648686	0.6174279	0.4091757	0.3808394	0.7200218	0.5648313	0.4328963	0.7109672	0.0339121	0.5824893	0.4701143	0.6754489	0.6433035	0.7122484	0.4444349	0.3492951	0.6855019	0.3078445	0.4504679	0.4744407	0.6905185	0.3300131	0.2708168	0.0842387	0.8415704	0.3344015	0.1147587	0.7168870	0.4134401	0.4807017	0.0196683	0.3650947	0.0247888	0.3408212	0.6738301	0.0631013	0.6658529	0.7731398	0.1563811	0.3459262	0.3786219	0.7038915	0.4033450	0.4679007	0.1869975	0.5375191	0.5439438	0.6975577	0.8460728	0.6473461	0.4209710	0.7537089	0.5554257	0.4753607	0.7362995	0.3350209	0.6646099	0.6555723	0.6746361
0.4965399	0.7582908	0.2864584	0.2563855	0.6483938	0.1933264	0.5783298	0.1751781	0.0000000	0.1754690	0.5276597	0.1249570	0.0955655	0.0667214	0.0423425	0.5513352	0.6392883	0.5432043	0.3756875	0.6775849	0.5145720	0.3351930	0.6218221	0.3475625	0.4567342	0.7753988	0.4484646	0.4536600	0.2065022	0.5469207	0.1517350	0.0571105	0.0160556	0.0322913	0.6489816	0.6269725	0.2965195	0.1113397	0.0779097	0.5430881	0.4174498	0.7391352	0.7630496	0.4781655	0.4539281	0.7484300	0.4918879	0.4003501	0.5502920	0.0507419	0.4846033	0.4094323	0.5401624	0.5832855	0.7640673	0.5906219	0.4305647	0.6031099	0.2751847	0.4173225	0.4218259	0.6340488	0.3352512	0.3414909	0.0780112	0.7259453	0.3224473	0.1010529	0.5279661	0.4940494	0.3206270	0.0097837	0.3704413	0.0310226	0.3786814	0.7174793	0.0223038	0.5979375	0.5947315	0.1728284	0.3422507	0.4348460	0.7217526	0.4356286	0.5004480	0.1704646	0.5356250	0.4602048	0.6670614	0.5757818	0.6999810	0.5386704	0.6542052	0.6131226	0.3903078	0.7780125	0.3333627	0.6992281	0.7411542	0.8172104
0.4473959	0.6766642	0.3633142	0.2166026	0.7252891	0.2612133	0.6238524	0.2335304	0.2510336	0.0000000	0.5586205	0.0723706	0.0673446	0.1647467	0.0495842	0.4524421	0.7613728	0.4534285	0.3725483	0.6961624	0.5665032	0.2938905	0.5405646	0.3207405	0.4041244	0.7848094	0.3930522	0.3492626	0.1884256	0.5412974	0.1201064	0.0070842	0.0330911	0.0263538	0.7636598	0.6901184	0.3070441	0.1429334	0.0422767	0.6852869	0.2117727	0.7023615	0.6699511	0.2624979	0.3572295	0.7235404	0.4727981	0.5310213	0.6557767	0.0466021	0.5838310	0.4312233	0.6470588	0.6382827	0.7742086	0.5808649	0.3433305	0.7212272	0.3813948	0.4814251	0.5461885	0.4535576	0.1105792	0.2217068	0.0939266	0.6018498	0.3501088	0.1598292	0.5587294	0.5006980	0.4297552	0.0131043	0.4611947	0.0231090	0.2840492	0.7950028	0.0236624	0.6821073	0.6936128	0.2007078	0.4219217	0.3106992	0.6926667	0.3190744	0.7051136	0.1698633	0.4359028	0.5520306	0.7104331	0.7512610	0.7212744	0.4125184	0.6243868	0.4823831	0.4542658	0.7186334	0.3159972	0.6865184	0.5962775	0.6297697
