G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2804584	1.0795857	0.2271915	0.5168882	0.9552478	0.4189216	0.9613750	0.3205441	0.4086097	0.1841825	0.7298481	0.1872648	0.1525533	0.1818712	0.0835609	0.8105490	0.9672173	0.8924498	0.7343531	0.8989632	0.9299554	0.3955827	0.8391647	0.4497982	0.6915269	1.0322361	0.4950478	0.5331915	0.2928258	0.7316263	0.2213122	0.0674691	0.0353763	0.0353080	1.0171196	0.9919153	0.4561319	0.1732515	0.0399971	1.0351798	0.6340716	1.0230805	1.0738868	0.4308779	0.6615658	1.0381603	0.6896158	0.7013699	0.8641162	0.0721688	0.7993507	0.7250299	0.9759481	0.9672901	1.0563494	0.7171097	0.5199170	0.9360287	0.4728410	0.6774844	0.4485135	0.9864629	0.5314553	0.4412424	0.0865030	1.0008650	0.5250076	0.2208915	0.9171644	0.6290331	0.5191473	0.0255836	0.5004047	0.0437507	0.5706294	0.9619489	0.0428307	0.8203693	0.7898546	0.1957107	0.5685276	0.4157917	0.9852458	0.6562991	0.7712003	0.2188371	0.6497254	0.8226003	0.9728392	0.9908377	1.1259058	0.6667224	1.0011869	0.8359859	0.7979849	1.0540261	0.4644499	1.1049619	0.8223225	1.0407293
0.6445164	0.5057463	0.3423960	0.3478136	1.0798623	0.3492681	0.9685643	0.3647350	0.3526268	0.2503746	0.6771037	0.1664136	0.1434299	0.1746471	0.0840887	0.7795840	1.0395777	0.7880315	0.6845443	0.9804713	0.8622173	0.4425326	0.7387716	0.5013134	0.6279877	1.0373559	0.4994105	0.6597338	0.3066048	0.7284401	0.2324886	0.0551929	0.0261561	0.0300984	1.0079284	1.0286583	0.4468998	0.1868915	0.0858461	1.0482203	0.4917061	1.0619109	0.9514040	0.4073388	0.6266629	1.0188172	0.7412121	0.7036230	0.8877904	0.0635122	0.8056842	0.5921767	0.9011286	0.8570136	0.9657544	0.7383140	0.5793341	0.9036796	0.4551423	0.6572153	0.7121284	0.8069404	0.3382728	0.3564940	0.1251152	1.0120828	0.5132782	0.2345096	0.9045082	0.7190320	0.5805321	0.0151873	0.5836770	0.0511206	0.4286566	1.0753241	0.0495911	0.8461225	0.9793083	0.2514725	0.5766937	0.5045585	0.9838803	0.5810286	0.8464547	0.1821431	0.6200182	0.6528746	0.9567305	1.1087896	1.0494142	0.5684182	1.0028549	0.8321646	0.8129262	0.9590927	0.4200796	1.0242444	0.7850036	1.0615497
0.6666034	1.0083024	0.2229944	0.4478348	1.0788597	0.3668909	0.9974212	0.4193864	0.4253841	0.2432465	0.7497189	0.1760948	0.1198523	0.1397663	0.0723034	0.7940690	0.9873428	0.8749190	0.6088197	0.9257164	0.8209538	0.4400569	0.8540460	0.5270643	0.7758064	1.0449873	0.5257540	0.6504089	0.3544112	0.7086574	0.2277763	0.0761746	0.0310363	0.0511692	0.9889032	1.0945182	0.4229207	0.1428694	0.0627772	0.9909431	0.6015924	1.0044268	0.9519069	0.4787287	0.6392525	0.9890657	0.6356924	0.6576457	0.9375656	0.0750224	0.8763136	0.6146587	0.9470781	0.9235249	1.0087409	0.6780825	0.4970290	0.8722524	0.6019062	0.7176428	0.4513845	0.8886956	0.4138937	0.4592083	0.1307355	1.0944778	0.4800381	0.2355722	0.8861026	0.7326161	0.7016497	0.0300180	0.8240092	0.0575960	0.5664378	1.0084564	0.0389048	0.8309005	0.8176780	0.1935760	0.5782113	0.4332581	0.9943715	0.6780022	0.7138702	0.1623296	0.6139878	0.7652583	1.0550472	1.0253559	0.9224192	0.5858081	0.9746256	0.8078437	0.6788946	0.9555701	0.4505592	0.9092920	0.8999085	1.0353710
0.6916380	0.9700758	0.4988679	0.2030951	1.0076014	0.3481072	1.0301127	0.3665507	0.3530332	0.2499827	0.7388975	0.1579321	0.1372381	0.1649629	0.0443468	0.7959369	0.9862574	0.8531306	0.6577611	1.0291675	0.8691155	0.4349330	0.8115137	0.5194914	0.6700860	0.9528925	0.4981556	0.6254700	0.3168004	0.7745614	0.2743490	0.0497575	0.0336138	0.0338591	1.0311177	0.9917396	0.5049434	0.1941956	0.1281313	1.0646948	0.4631990	0.9901235	1.1052948	0.3841281	0.7224222	0.9783858	0.7456815	0.7173375	0.9100385	0.0547330	0.7918681	0.6653772	0.8845250	0.8001367	1.0605898	0.7757789	0.4848260	0.8632185	0.4758633	0.6709842	0.7943293	0.8340564	0.3792959	0.2759153	0.1068312	1.0201485	0.5037810	0.2267086	0.8631113	0.6908493	0.6723598	0.0146063	0.6475279	0.0540996	0.3950720	1.0041612	0.0556861	0.8931482	1.0031403	0.2683750	0.5601224	0.4690506	1.0634999	0.5670360	0.7542400	0.2105907	0.5843934	0.6996668	1.0054932	1.0138381	1.1174954	0.6857202	0.9104328	0.7613205	0.6300356	1.0496507	0.3856837	0.9461672	0.8075202	0.9698927
0.5620481	1.0370370	0.1437563	0.4051752	0.5278068	0.6922953	0.8510229	0.2954509	0.3499004	0.2113876	0.8335785	0.1541427	0.3250572	0.3878893	0.1859331	0.8827201	0.9735420	0.8879962	0.7942403	0.8757263	0.8545577	0.3609645	0.7847516	0.4988271	0.6411948	0.9755949	0.5088840	0.6088126	0.3106240	0.7408189	0.2061179	0.0772930	0.0482452	0.0558467	0.9518358	1.0398359	0.4745724	0.1412656	0.0511494	0.9537257	0.5326185	0.9802608	1.0163698	0.4947819	0.7111261	1.0422658	0.7622634	0.7558839	0.8641200	0.0875990	0.7443216	0.6214950	0.9305089	0.8287128	1.0330369	0.7330206	0.5886624	0.8836685	0.3879051	0.6050923	0.6050865	0.8673371	0.3892436	0.3847295	0.1182048	1.0468538	0.4557603	0.2087278	0.9234164	0.7368764	0.6461212	0.0136404	0.5188314	0.0266951	0.4685657	1.1024285	0.0548850	0.8472805	0.8935066	0.2238226	0.5465888	0.4236754	1.0491820	0.5188904	0.8119920	0.1965978	0.5886805	0.6514022	0.9420622	0.9538789	0.9642792	0.6715133	1.0035443	0.8655397	0.7434591	0.9132618	0.4440826	1.0765598	0.8487007	1.0990150
0.6368982	1.0482312	0.4211421	0.4422611	0.9523731	0.2303152	0.9001747	0.3919441	0.4118317	0.2217423	0.7358328	0.2104687	0.1060860	0.0998289	0.0478143	0.6310064	1.0167954	0.8690143	0.6336131	0.9230582	0.8544402	0.3877127	0.7138130	0.5163340	0.7025029	0.9677213	0.4803703	0.5813007	0.3493741	0.7397336	0.2624579	0.0354755	0.0469014	0.0464277	0.9435302	1.0041875	0.4739060	0.1641245	0.0717168	1.0547307	0.5422954	0.9321326	1.0082227	0.5355566	0.6566502	0.9919333	0.6593310	0.7730040	0.9829762	0.0593906	0.8402663	0.6535065	0.8486646	0.8780676	0.9528608	0.7794007	0.4823916	0.8992387	0.4769260	0.6772554	0.6267184	1.0684833	0.4884023	0.5092734	0.1391529	1.0349252	0.5041301	0.2142333	0.8112535	0.7417610	0.5472150	0.0179708	0.5779640	0.0429533	0.5079491	1.0997656	0.0602112	0.7705987	0.8826500	0.2102508	0.5667442	0.4403534	1.0260191	0.6147130	0.8514931	0.1915883	0.6018996	0.6758514	1.0723584	0.9793756	1.0810025	0.5948608	0.9721495	0.7668681	0.7239675	0.9864135	0.3925151	1.0536529	0.8466431	1.0429166
0.6675354	1.0153108	0.4836021	0.4214536	0.9492033	0.3454024	0.4941601	0.3445416	0.3415088	0.1884836	0.6837212	0.1836470	0.1610928	0.1285728	0.0747888	0.8564836	1.0364696	0.8197177	0.6118741	0.8328132	0.8222430	0.4205533	0.7488702	0.4438499	0.7235639	1.0627915	0.5516300	0.5694886	0.3154773	0.7623965	0.2551108	0.0390105	0.0238473	0.0272664	0.9991449	0.9727950	0.4929618	0.1621057	0.0770383	0.9466737	0.5599086	1.0310977	0.9741194	0.4470713	0.5960119	1.0253217	0.6899441	0.6181872	0.8635437	0.0948835	0.7487910	0.5942156	0.9045268	1.0135625	0.9643997	0.7792373	0.5356759	0.9587872	0.4434576	0.7110767	0.6043274	0.8836422	0.4153021	0.4406796	0.1441904	0.9584412	0.4984898	0.1867233	0.7850868	0.6735790	0.6390790	0.0209851	0.5755739	0.0559202	0.5360341	1.0289510	0.0322706	0.8840628	0.8534072	0.2045881	0.5243096	0.4970262	0.9503166	0.5588279	0.7132142	0.2997511	0.5681866	0.6931340	0.9864399	1.0983867	1.0857325	0.6104026	1.0410026	0.8568996	0.7480965	1.0282818	0.3926713	1.0361410	0.8416468	1.0563945
0.6384146	1.0825757	0.3385514	0.4328736	0.9699843	0.3786041	0.9573315	0.1795445	0.3800943	0.2193662	0.8063577	0.2094612	0.1537539	0.1192593	0.0544534	0.6738782	1.0307621	0.8414570	0.6723230	0.8418076	0.8547008	0.3465400	0.7715374	0.4620519	0.8116907	1.0086841	0.5631254	0.4201208	0.3467082	0.7329479	0.2576212	0.0208662	0.0290711	0.0397371	1.0261742	1.0087851	0.4783244	0.2041768	0.1804110	0.9623462	0.6279905	1.0056024	1.0855764	0.4643903	0.6028453	0.9959077	0.6878540	0.7050760	0.8516395	0.0457663	0.7735624	0.6438033	0.9302037	0.9307451	0.9880529	0.7029441	0.4997584	0.9282721	0.5523807	0.7029838	0.4016454	0.9625717	0.5032663	0.4809359	0.1112521	1.0424336	0.5232021	0.1991985	0.8116242	0.7084552	0.6745406	0.0159386	0.7966095	0.0556374	0.5938394	0.9927201	0.0640879	0.7962654	0.7879360	0.2300234	0.6278698	0.2896119	1.1254297	0.6835743	0.7903410	0.2167951	0.5724941	0.7051721	1.1245799	1.0493656	1.0099252	0.6657935	1.0728118	0.8115448	0.7526385	1.0335121	0.5010315	1.0371892	0.8086033	1.0661719
0.6886187	1.0515608	0.4319716	0.3383012	0.9505120	0.3422230	0.9395878	0.3193262	0.1712909	0.2350220	0.6667170	0.1756341	0.1275281	0.1478564	0.0570438	0.6988123	1.0489340	0.7996417	0.6592298	0.8488535	0.8450742	0.4378048	0.7639944	0.4890939	0.6777218	1.0226424	0.5876188	0.5906232	0.3284754	0.7099537	0.2722756	0.0313366	0.0524667	0.0145867	1.0146939	1.0389745	0.4425405	0.1395618	0.0249439	1.0865422	0.6047275	0.9760904	1.0407027	0.4182826	0.6157989	0.9826364	0.6914148	0.7067061	0.9520376	0.0748394	0.8142562	0.6992999	0.9926633	0.9932481	1.0080790	0.7854555	0.5058401	0.9209716	0.4265687	0.6735865	0.3986074	0.9830326	0.5002459	0.4442376	0.1271983	0.9399631	0.5698490	0.1858055	0.9158675	0.6997834	0.6639057	0.0153615	0.6014919	0.0584423	0.5654162	0.9786531	0.0496372	0.7770027	0.7132656	0.1637140	0.5088767	0.4894517	1.0024632	0.5283574	0.8029762	0.1843386	0.5946320	0.6673599	1.0672779	0.9724944	0.9573632	0.6049523	1.0511510	0.8358099	0.7223817	1.0103498	0.4796435	0.9815091	0.8446489	0.9845890
0.6242986	0.9908804	0.4633857	0.4357279	0.9393772	0.3156002	1.0260132	0.3355675	0.3207786	0.1194862	0.7144629	0.1771971	0.1659665	0.1597296	0.0364013	0.7568376	1.0552851	0.8411320	0.7180240	0.9669300	0.8975116	0.4254287	0.7626938	0.4796508	0.7371344	0.9805912	0.6213212	0.5227825	0.3004539	0.7494821	0.1906238	0.0473683	0.0393618	0.0449434	0.9579313	0.9396533	0.4414202	0.1645568	0.0615495	1.0544512	0.4269791	1.1129850	0.9431105	0.3266766	0.5862034	0.9989107	0.7246853	0.7291912	0.9146053	0.0504992	0.7465164	0.6173310	0.9249096	0.9460670	1.0129621	0.6433085	0.4949822	0.9296021	0.4753232	0.6496126	0.8980255	0.6923035	0.2450183	0.2725979	0.0892439	1.0247170	0.4854635	0.1503024	0.8333877	0.6889828	0.6497290	0.0227186	0.6341034	0.0434050	0.3767488	1.0374117	0.0669010	0.8634609	1.0461685	0.3727254	0.4733725	0.5525864	0.9393851	0.5640273	0.7789824	0.2465425	0.5143569	0.7355490	1.0566051	0.9635205	1.1020388	0.4340867	0.9709667	0.7720533	0.6974924	1.0044245	0.4090085	0.9280218	0.7898789	1.0102930
