G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0064337	0.3956762	0.1495943	0.9816703	0.3415059	0.8828266	0.3826649	0.3122132	0.2604694	0.6835660	0.1363269	0.0972453	0.1393318	0.0847363	0.7113649	0.9880792	0.8794421	0.6080741	0.9029370	0.8533085	0.3775511	0.7821153	0.4626380	0.7141690	1.0591505	0.5393016	0.5924754	0.3603208	0.7270492	0.2244661	0.0367540	0.0436308	0.0325999	1.0665065	1.0603367	0.4216176	0.1843338	0.0901326	1.0606051	0.5299494	0.9128851	1.0358317	0.5238695	0.6118246	1.0845726	0.6800185	0.6323641	0.9127188	0.0901565	0.7694591	0.6299013	0.9451426	0.8697090	1.0157176	0.6705035	0.5644006	0.8927377	0.5354920	0.7032870	0.6324509	0.9409711	0.4458617	0.4795379	0.1448645	0.9838692	0.4425313	0.2217142	0.8810331	0.8156661	0.7611430	0.0267855	0.6853020	0.0553216	0.5242481	1.0671376	0.0507922	0.8616492	0.8154384	0.2277218	0.5414473	0.5694582	1.0045521	0.5881693	0.7918939	0.2613135	0.6034174	0.7279777	1.0042829	1.0633753	1.0211661	0.6475821	0.9748611	0.8519821	0.7260437	0.9772398	0.4052133	1.0550931	0.8101007	0.9413019
0.6982408	0.0000000	0.4880280	0.5487231	0.9772405	0.3650820	0.9824467	0.4199126	0.4724438	0.2507166	0.7479234	0.2173224	0.1047557	0.1442555	0.0629868	0.6869843	1.0239641	0.7845873	0.6416004	0.8182711	0.8586319	0.4371538	0.8529400	0.4564969	0.7363710	1.0218113	0.5473698	0.5449538	0.2983659	0.7605235	0.2238195	0.0325850	0.0419181	0.0621474	1.0714643	0.9962910	0.3858552	0.1896417	0.1373805	1.0073733	0.6908780	1.0501468	1.0850735	0.5101649	0.5656609	0.9897849	0.6480494	0.6342139	0.9089683	0.0835182	0.7586185	0.5983851	0.9648887	0.9371744	0.9878869	0.6977159	0.5625516	0.8736756	0.4883905	0.6289152	0.3358988	0.8868125	0.4320627	0.4470907	0.1521896	0.9910371	0.4676655	0.2295253	0.9029960	0.7252176	0.6379901	0.0151509	0.6358505	0.0612786	0.6475679	0.9708872	0.0536377	0.7262454	0.8688689	0.1523207	0.6149454	0.3888062	0.9016335	0.7158130	0.7059223	0.1966406	0.6369477	0.7953469	0.8756872	1.0042258	1.0249125	0.6467847	1.0275761	0.7431131	0.7816253	1.0141148	0.4325810	0.9746775	0.7734051	0.9594537
0.6361502	0.9358880	0.0000000	0.3564467	0.9822819	0.3500467	0.9013377	0.3892696	0.3101578	0.2234671	0.7196400	0.1997611	0.1206972	0.1717166	0.0550508	0.7412275	1.0104168	0.8809999	0.7316247	0.9477468	0.8678963	0.4195941	0.7837635	0.4816214	0.8038914	1.0319090	0.5367611	0.6339114	0.3712057	0.7691076	0.2313258	0.0518624	0.0320333	0.0483662	1.0454507	0.9355792	0.4371842	0.1644476	0.1114777	0.9637976	0.5436656	0.9378501	1.0233890	0.4664619	0.5315920	1.0087084	0.7029784	0.6530445	0.8853996	0.0385252	0.8411971	0.6525610	0.8867894	0.9054120	0.9873385	0.7378795	0.5260292	0.8400388	0.5669962	0.7368397	0.5607301	0.9019532	0.4351252	0.4350016	0.1157351	0.9647823	0.4486381	0.2229627	0.8029437	0.6940682	0.6493060	0.0096705	0.6773485	0.0388617	0.5079417	1.0330554	0.0591803	0.9041714	0.9138702	0.2273710	0.5217880	0.4561777	1.0878211	0.5481773	0.8298378	0.2240480	0.5418402	0.6729943	0.9289358	1.0608120	0.9462403	0.5655469	1.0632412	0.8022963	0.7509505	0.9912761	0.4172132	1.0101119	0.7725896	0.9788012
0.6587687	0.9874618	0.3817277	0.0000000	0.9888604	0.4422405	1.0047777	0.3521950	0.3817483	0.2529465	0.7239036	0.1535054	0.1559470	0.2179136	0.0687661	0.7588386	1.0328362	0.9626090	0.7327597	0.9233887	0.8354162	0.3563169	0.8350511	0.4712305	0.6642020	0.9984591	0.5536667	0.5175962	0.2793222	0.7314662	0.2523495	0.0349955	0.0276719	0.0727395	1.0086056	1.0722367	0.4622954	0.1678884	0.0712539	1.0307263	0.5792760	1.0282698	1.0199012	0.4757463	0.6811196	1.0599451	0.7099170	0.5813792	0.9533075	0.0421830	0.7762407	0.6193273	0.9954598	0.8775522	1.0165972	0.6311031	0.5565690	0.9755335	0.4063128	0.6245606	0.5651549	0.8607442	0.4048026	0.4005583	0.1121920	1.0404856	0.4318272	0.2423792	0.8082216	0.8343460	0.6866009	0.0160469	0.7337118	0.0629847	0.5036667	0.9637878	0.0422483	0.8061252	1.0069111	0.2528271	0.5806651	0.4919053	1.0631102	0.5713234	0.8251432	0.2015074	0.5429396	0.7232426	0.9805602	0.9674820	0.9804044	0.6469710	1.0188484	0.8352933	0.6431081	0.9737191	0.3891718	0.9754302	0.8087764	0.9816707
0.6487199	0.0097115	0.2250044	0.2099205	0.0000000	0.9941911	0.0348313	0.0415157	0.0836748	0.0084483	1.0576849	0.8078868	1.0233187	1.0838097	1.0871388	0.9398071	1.0382833	0.9772646	1.0442859	0.9876855	0.8326282	0.0001961	0.8393361	0.5394451	0.7031730	0.9892307	0.5086832	0.5864997	0.3468027	0.7768285	0.2209641	0.0745517	0.0344268	0.0472713	1.0329721	0.9913179	0.3938002	0.1361911	0.0821033	1.0631094	0.3975867	1.0129552	1.0392123	0.3295859	0.5987275	0.9789646	0.6311408	0.6354615	0.8770934	0.0783869	0.9375061	0.6290939	0.8803756	0.9136811	0.8854239	0.7283341	0.5290873	0.8693779	0.5121877	0.6709893	1.1033740	0.7100635	0.3106377	0.3129457	0.1410173	0.9267118	0.5193860	0.2217902	0.7339411	0.7635184	0.6820510	0.0114115	0.6873786	0.0830125	0.3792701	1.0558954	0.0651533	0.9851804	1.0155573	0.4757212	0.4623011	0.5835296	1.0261046	0.5859288	0.7423796	0.1919932	0.6069185	0.7478765	0.9113275	0.9460076	1.0095667	0.6012585	1.0620638	0.7887948	0.6651840	0.9532125	0.4424207	0.9070579	0.9149710	1.0707903
0.7319842	0.9802971	0.3791380	0.4179428	1.0113614	0.0000000	0.9224783	0.3906292	0.4084496	0.2549882	0.7379701	0.1666880	0.1074583	0.1364041	0.0550662	0.8059249	0.9644498	0.7865848	0.6326720	0.9087361	0.8460590	0.4460027	0.7650468	0.5026383	0.7324662	1.0097521	0.5568904	0.5372534	0.3278040	0.8353197	0.2443116	0.0445800	0.0415037	0.0307053	0.9302840	1.0206980	0.4553061	0.2089707	0.1136147	1.0088730	0.5626504	1.0527273	1.0338763	0.4648052	0.6886344	0.9366256	0.5869754	0.7162819	0.8723037	0.0978505	0.7054242	0.5743154	0.9206019	0.9524539	1.0981267	0.7071428	0.5990143	1.0303935	0.4863866	0.7455635	0.5288107	0.8940314	0.4655602	0.4364068	0.1003452	0.9697393	0.4775974	0.2486860	0.9721439	0.7161886	0.6197948	0.0215855	0.6766331	0.0394425	0.5742096	0.9930040	0.0524885	0.8494173	0.8511420	0.2059245	0.6691536	0.4253441	0.9976433	0.5886352	0.7533227	0.2924306	0.5501204	0.6447338	0.9928736	0.9698445	1.1241696	0.4823684	0.9349457	0.8816832	0.6889755	1.0566076	0.4957870	0.9505490	0.8171474	0.9967626
0.7517313	0.9479961	0.4410472	0.4263650	1.1060195	0.3612103	0.0000000	0.3125469	0.3046729	0.2138700	0.7497210	0.1877311	0.1011472	0.1653564	0.0820006	0.7186858	1.1157394	0.8608487	0.6831697	0.9169963	0.7776578	0.3990980	0.7527823	0.4288592	0.7013116	1.0467220	0.5520356	0.5766666	0.2977667	0.7646912	0.2138146	0.0331242	0.0240619	0.0590384	0.8894835	1.0278005	0.4302385	0.1847769	0.0766295	0.9635809	0.5844825	1.0375757	0.9631609	0.5241336	0.5743033	1.0022062	0.7438577	0.7294996	0.9577855	0.0711473	0.6623278	0.6458305	0.9546206	0.9379021	0.9771996	0.6892589	0.5150578	0.9282285	0.4413491	0.6632970	0.5991376	0.9545537	0.4468648	0.4431291	0.1257943	1.0031955	0.5083808	0.1737003	0.8593068	0.7298505	0.5439877	0.0167075	0.5421916	0.0405521	0.5498517	0.8736459	0.0748267	0.8332800	0.9395264	0.2155385	0.5337109	0.3950154	1.0655687	0.6361965	0.8043656	0.2539499	0.6635094	0.7904897	1.0256529	0.9823828	0.8909287	0.5554079	1.0733745	0.8449762	0.7241735	0.8948951	0.4729670	0.9942896	0.8948421	1.0210305
0.7059503	1.0610032	0.4816634	0.4277088	0.9706491	0.2966210	0.9765635	0.0000000	0.3971083	0.2741369	0.7940912	0.1906602	0.1108024	0.1578092	0.0636857	0.7669462	0.9971922	0.8369451	0.6345744	1.0422726	0.8954049	0.3878087	0.6973820	0.4277239	0.6716199	1.0190079	0.5473620	0.6716775	0.3174634	0.7490611	0.2408883	0.0622078	0.0311765	0.0258123	0.9323905	1.0072100	0.4512562	0.2154136	0.0937617	1.0881214	0.5998422	1.0642561	0.9193335	0.5926400	0.6083484	1.0614106	0.6816004	0.6456315	0.9828481	0.0684493	0.7626962	0.6197319	0.8995924	0.8786624	0.9616972	0.6745930	0.5192335	0.9573958	0.4922914	0.6383229	0.5340571	0.9231846	0.5119733	0.4127110	0.0915240	0.9796839	0.4997160	0.1882708	0.9111709	0.6864497	0.6110241	0.0287148	0.5808408	0.0514181	0.5174069	1.0686809	0.0490416	0.9341719	0.9383607	0.2400377	0.4937697	0.5987397	1.0329405	0.5494289	0.7861408	0.2290907	0.7012211	0.7427751	0.9670147	1.0581503	0.9466439	0.6229737	1.0515411	0.8268998	0.7194623	1.0037711	0.4556598	1.0088164	0.8550465	1.0116916
0.7223467	0.9464390	0.4371013	0.4245990	1.0056594	0.3417285	0.9187368	0.3215603	0.0000000	0.2547210	0.6835767	0.1937401	0.1243534	0.1394320	0.0433360	0.7866061	0.9840349	0.8380999	0.6284018	0.9937826	0.7667585	0.4899891	0.7078052	0.5066234	0.6153222	1.0835960	0.5230797	0.6027477	0.3011096	0.7837521	0.2195956	0.0552448	0.0385820	0.0430994	1.0804181	0.9911700	0.5002166	0.1497901	0.1263236	0.9924669	0.5735808	1.0412342	1.1618191	0.5383414	0.7373003	0.9869763	0.7305335	0.7196649	0.8382207	0.0717228	0.7187173	0.7208748	0.8582705	0.8779734	1.0408594	0.7595020	0.5766156	0.8724935	0.4798542	0.6288249	0.5078952	0.9730937	0.5079815	0.4456393	0.1242602	1.0386432	0.4926708	0.1679433	0.7725185	0.7275833	0.5562033	0.0165460	0.5769746	0.0491338	0.5434294	1.0661806	0.0395158	0.7868091	0.8639312	0.2285667	0.4919561	0.5882583	1.0037853	0.6241715	0.7591361	0.1879290	0.6075621	0.6929522	1.0107108	0.9107701	1.0369817	0.7562454	1.0261003	0.8255751	0.8013453	1.0576281	0.4223638	0.9671117	0.8809436	1.0540537
0.6920213	1.0322519	0.5371251	0.3965201	1.0671953	0.3836377	0.9366500	0.4060900	0.3113604	0.0000000	0.7282122	0.1365798	0.1067531	0.1702418	0.0762141	0.7224034	0.9779810	0.8424906	0.6265491	1.0171828	0.9080813	0.4181977	0.7802213	0.5045805	0.6651257	0.9999252	0.5908677	0.5518572	0.3320541	0.7573843	0.1866592	0.0210169	0.0426065	0.0378006	1.0327483	0.9613614	0.4243605	0.1793923	0.0674502	1.0433601	0.4391486	1.0364523	0.9591750	0.3191888	0.5398188	1.0909787	0.6606473	0.7354467	0.9502886	0.0450281	0.8310453	0.6491331	0.9455524	0.9475606	1.0663642	0.7568713	0.4675879	0.8917090	0.5548938	0.7275046	0.8292321	0.7012249	0.2658902	0.2837180	0.1202708	1.0527413	0.4950219	0.2262925	0.8497409	0.8622300	0.6657955	0.0258837	0.7338797	0.0507924	0.4035572	1.0785060	0.0489081	0.9551695	0.9663285	0.3293076	0.5326271	0.4464346	0.9488898	0.4691553	0.8686796	0.2155872	0.5508993	0.7022556	1.0387658	1.0280216	1.0714422	0.6673349	0.9631082	0.7856514	0.7353085	0.9887369	0.4231407	0.9701975	0.8675436	0.9250082
