"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6683226	1.0473689	0.4027922	0.4057391	1.0326311	0.2832986	1.0292735	0.3410492	0.3735473	0.2282881	0.7194612	0.1546983	0.1148128	0.1871024	0.0494588	0.7320842	1.0258771	0.8234008	0.7174773	0.9493249	0.8750674	0.4011394	0.6989277	0.5235249	0.6807909	0.9672022	0.5750242	0.5853209	0.2847769	0.7510993	0.2022640	0.0373946	0.0198847	0.0557657	0.9798811	0.9997100	0.4447991	0.1610776	0.1060640	1.0294662	0.6149263	0.9943356	0.9978572	0.4658612	0.6446037	0.9903209	0.7238754	0.7126829	0.9262461	0.0622099	0.7406255	0.7392823	0.8149259	0.9504569	0.9401360	0.6303244	0.5137544	0.8412672	0.5760068	0.6363879	0.4929978	0.9810541	0.4357534	0.5053907	0.1295715	0.9870971	0.5248975	0.2358427	0.9361629	0.7468467	0.6593712	0.0185193	0.5960679	0.0496079	0.5948660	1.0806652	0.0566904	0.8324786	0.9134663	0.1873065	0.5427907	0.4419045	1.0087672	0.4822195	0.7653100	0.2564140	0.5733657	0.6546732	1.0319061	1.0154402	1.0536626	0.5694870	1.0650224	0.7924848	0.6727706	1.0457266	0.5118174	1.0958740	0.7850085	0.9587758
100	0.6906545	0.9152713	0.4210855	0.3737184	1.0067398	0.1550814	0.9151124	0.4817885	0.3381908	0.2084147	0.5928942	0.1179837	0.1136122	0.1754576	0.0419992	0.7525193	0.9967796	0.9228155	0.5194808	0.9151079	0.9335722	0.3728602	0.4845801	0.4951794	0.5250237	1.1152634	0.5684740	0.5283305	0.3458618	0.5912257	0.2745468	0.0310118	0.0092279	0.0159911	0.9363399	0.9363323	0.4891253	0.1447994	0.0555505	1.0200653	0.5372872	0.9638058	0.4317654	0.4565860	0.5212860	1.0317617	0.9791334	0.6398923	0.9963195	0.0528569	0.7291428	0.6648710	0.9989137	0.8916866	1.0385928	0.7890468	0.2215735	0.9592786	0.3083750	0.7654666	0.1729969	0.9088581	0.4428029	0.4397214	0.1279248	0.6910405	0.4635030	0.1830030	0.9210420	0.8098405	0.6318488	0.0069304	0.7095333	0.0407114	0.5316110	1.0426266	0.5068862	0.7954320	0.8699939	0.2065866	0.5496072	0.4398750	1.0890610	0.5132636	0.8736534	0.2162378	0.5291448	0.6732311	1.0272779	0.9943467	1.1081847	0.5929261	0.5227937	0.7943674	0.6550679	0.8774122	0.4384076	1.0156343	0.8345134	0.9242027
200	0.6996957	1.0972536	0.4673366	0.5019134	1.0318446	0.0688449	0.8342685	0.5223468	0.2531235	0.2261336	0.6455478	0.1048507	0.1181101	0.1819809	0.0688808	0.7583125	0.9936406	0.8463601	0.5754231	0.9366795	0.9730919	0.4118474	0.3841854	0.5173181	0.2801986	1.0448980	0.5266531	0.5210092	0.3290180	0.6909090	0.2626716	0.0231134	0.0031918	0.0104685	1.0121630	1.0101525	0.4054693	0.1794117	0.0434761	1.0940908	0.5398241	1.0103314	0.2210205	0.2807633	0.2326355	0.9623074	0.9909108	0.6999623	0.9614512	0.0280630	0.7465976	0.7208118	0.8664238	0.8941937	1.0300597	0.9178560	0.0768731	0.9182742	0.3340860	0.6999487	0.1104666	0.8316910	0.2971552	0.4150166	0.1918983	0.5275247	0.4372774	0.1867202	0.8552779	0.6664080	0.6757982	0.0072394	0.7793668	0.0275999	0.4206197	1.0391672	0.7435350	0.8100491	0.8748381	0.2789969	0.5804632	0.5289324	1.0394052	0.5968949	0.9971054	0.2723560	0.4697307	0.6728139	0.9807827	1.1069680	1.0388613	0.6803639	0.2575115	0.9436116	0.4197347	0.9634917	0.4486430	0.9154237	0.7387108	1.0314124
300	0.6711154	1.0065253	0.4416960	0.3404358	0.9318391	0.0927505	0.4260383	0.6274753	0.1997283	0.2137866	0.6955442	0.0694823	0.0781724	0.1104917	0.1016452	0.8882689	1.0479695	0.8865751	0.4986291	1.0468863	1.0450935	0.4135204	0.3392967	0.4788629	0.2507874	1.0106838	0.6357560	0.5089139	0.3836330	0.8350278	0.2215528	0.0352064	0.0019785	0.0002341	0.9397976	0.9163066	0.4976751	0.2020802	0.0707724	0.9628607	0.4594630	0.9343401	0.1485308	0.2687816	0.1326800	1.0160485	0.8746492	0.5805663	0.8201413	0.0064874	0.7697221	0.7548482	0.9606669	0.8789642	1.0150046	0.9498509	0.0466087	0.8952338	0.3785901	0.6929723	0.1280864	0.5267534	0.1681355	0.1973095	0.2534272	0.4667920	0.5152369	0.2045348	0.8782582	0.7207712	0.6337281	0.0005874	0.6862441	0.0457848	0.3867124	0.9393218	0.7388242	1.0318203	1.0581909	0.3221295	0.4942520	0.5529842	0.9821383	0.5724915	0.9810262	0.2410414	0.5321884	0.6802941	1.0191649	0.9460398	1.0238720	0.6488426	0.2012245	0.9893898	0.2410305	1.0414402	0.5096346	0.8666719	0.7981840	1.0630686
400	0.5784403	0.9640414	0.4143216	0.4378660	0.9296291	0.2641078	0.6440478	0.4111225	0.3005617	0.3150737	0.6400094	0.1565013	0.0966039	0.1317181	0.0732293	0.7748511	0.9610689	0.8966687	0.5841885	0.9672792	0.7126539	0.4792766	0.7213462	0.3160501	0.4914117	0.9423572	0.5870635	0.6039489	0.2888085	0.7614815	0.1545886	0.0272576	0.0467828	0.0452574	1.0293119	0.9574375	0.4048660	0.2015534	0.0646448	1.0044454	0.4808542	0.9778864	0.7293203	0.1834521	0.1544459	1.0059071	0.7616738	0.6893785	0.9672403	0.0476849	0.9202866	0.7019468	0.9503271	0.9800068	1.0963408	0.8644329	0.3693778	0.8823086	0.5426415	0.6851046	0.7463118	0.3101074	0.1358060	0.0794866	0.2664085	0.8764155	0.4696095	0.1636886	0.9678978	0.7700866	0.6515957	0.0193279	0.6776042	0.0331528	0.3720894	0.9572970	0.3686626	0.9970421	1.1299570	0.4857356	0.5335543	0.4162398	1.1146217	0.4529594	0.8440851	0.1814272	0.6186164	0.7162918	1.0292419	0.9856657	0.8742829	0.5654626	0.7513605	0.8550736	0.2055408	0.9311694	0.4688498	0.9987745	0.8629068	1.0578841
500	0.5543264	1.0655504	0.4505683	0.4263098	1.0954553	0.2911550	1.0233513	0.3660070	0.4025479	0.4152946	0.6510105	0.1896756	0.0991301	0.1369677	0.0664168	0.7036454	1.0898844	0.8012799	0.6225230	0.9961127	0.8162884	0.3400311	0.7056905	0.4958315	0.6859295	1.0129297	0.5334208	0.6861526	0.2712638	0.7054973	0.1655185	0.0345794	0.0435926	0.0389324	0.9489277	0.9509592	0.5398178	0.1690897	0.0918704	0.9374003	0.4011430	0.9896723	0.9969789	0.2612053	0.4639492	0.9227533	0.7060917	0.6160421	0.9619592	0.1248198	0.8775692	0.6523935	0.9572161	0.9261759	0.9661179	0.8877389	0.4438554	0.8207752	0.5303452	0.7210802	0.9603524	0.2135016	0.0790326	0.0562257	0.1456460	0.9998831	0.4712500	0.2151748	0.8450275	0.7914281	0.5661743	0.0091405	0.6340867	0.0385351	0.3159487	0.9824064	0.1386698	0.9345214	1.0021725	0.6984474	0.5837744	0.3937110	1.0233097	0.6335258	0.6986199	0.1954454	0.5927279	0.6940885	0.9904803	1.0215676	0.9500947	0.5392340	0.9329410	0.8448466	0.5233761	1.0761567	0.3622214	1.0031944	0.7431710	1.0709763
600	0.5866878	0.9404232	0.4556854	0.4329295	0.9970421	0.3471132	0.9495432	0.3614813	0.3397915	0.4330355	0.7546821	0.1502846	0.1414122	0.1377535	0.0444643	0.6782959	0.9639226	0.9110367	0.6683417	0.9993200	0.7488967	0.3236610	0.6772376	0.4544876	0.6323977	0.9944265	0.6012682	0.5821644	0.3592254	0.7828176	0.1562129	0.0446116	0.0228900	0.0242490	0.9252542	0.9642415	0.4656092	0.2194933	0.0739430	1.1270344	0.4093187	0.9755824	1.0671037	0.3883406	0.5810077	1.0221094	0.6787371	0.6697397	0.9236584	0.1888706	0.9414669	0.6757774	0.9817672	0.8914626	0.9377878	0.7803201	0.5002112	0.9700306	0.5170808	0.6402819	0.9337015	0.4875612	0.1652836	0.1892956	0.1426984	0.9285240	0.5257604	0.2014679	0.9287670	0.7444872	0.6055979	0.0154104	0.4613192	0.0450073	0.3320953	0.9908486	0.0668245	0.9971457	0.9795651	0.6478326	0.5174332	0.4070304	1.0349859	0.6779406	0.7330785	0.2719460	0.5715929	0.7115252	0.9770582	0.9084744	1.0045892	0.6470263	0.9451919	0.8329658	0.5646384	1.0036166	0.4263586	1.0448168	0.8923063	0.9922072

0	0.6683226	1.0473689	0.4027922	0.4057391	1.0326311	0.2832986	1.0292735	0.3410492	0.3735473	0.2282881	0.7194612	0.1546983	0.1148128	0.1871024	0.0494588	0.7320842	1.0258771	0.8234008	0.7174773	0.9493249	0.8750674	0.4011394	0.6989277	0.5235249	0.6807909	0.9672022	0.5750242	0.5853209	0.2847769	0.7510993	0.2022640	0.0373946	0.0198847	0.0557657	0.9798811	0.9997100	0.4447991	0.1610776	0.1060640	1.0294662	0.6149263	0.9943356	0.9978572	0.4658612	0.6446037	0.9903209	0.7238754	0.7126829	0.9262461	0.0622099	0.7406255	0.7392823	0.8149259	0.9504569	0.9401360	0.6303244	0.5137544	0.8412672	0.5760068	0.6363879	0.4929978	0.9810541	0.4357534	0.5053907	0.1295715	0.9870971	0.5248975	0.2358427	0.9361629	0.7468467	0.6593712	0.0185193	0.5960679	0.0496079	0.5948660	1.0806652	0.0566904	0.8324786	0.9134663	0.1873065	0.5427907	0.4419045	1.0087672	0.4822195	0.7653100	0.2564140	0.5733657	0.6546732	1.0319061	1.0154402	1.0536626	0.5694870	1.0650224	0.7924848	0.6727706	1.0457266	0.5118174	1.0958740	0.7850085	0.9587758
