G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0108035	0.3440714	0.1604593	1.0613214	0.3025378	0.9014411	0.3985693	0.2936980	0.2818120	0.7094534	0.1351451	0.0953042	0.1839286	0.0625165	0.8119489	0.8851879	0.9782835	0.6578425	0.8847272	0.9233841	0.4219026	0.8282821	0.4924362	0.6607824	1.0051970	0.4588088	0.5874888	0.4310288	0.7266090	0.2247916	0.0396852	0.0343273	0.0251869	1.0511552	1.0439707	0.3748007	0.1741018	0.1060063	1.0713927	0.6208837	1.0050548	1.0509588	0.4900701	0.6521988	1.0488794	0.7148141	0.6384497	0.8997634	0.0959684	0.8251570	0.6214620	0.9399585	0.8043800	1.0867932	0.5961466	0.5510448	0.8285465	0.5517209	0.6753346	0.5835259	0.9027270	0.4208720	0.4478384	0.1276295	0.9821671	0.5246590	0.1980967	0.8788992	0.8832498	0.6796487	0.0233810	0.7482966	0.0443369	0.6156752	1.0686040	0.0472647	0.8457993	0.8642102	0.2162712	0.4999303	0.4627835	1.0493253	0.5811678	0.8131927	0.2686469	0.4915896	0.7373007	1.0876921	1.0242239	1.0434813	0.6023341	0.9605988	0.9181950	0.7788446	1.0244714	0.4294516	1.0038962	0.9004641	0.9349139
0.6307363	0.0000000	0.4641293	0.4710728	1.0274690	0.3412279	0.9473609	0.4026883	0.4562816	0.2494177	0.7171681	0.1913126	0.0986323	0.1339569	0.0541516	0.7019606	1.1044986	0.8094898	0.6362005	0.9124190	0.8008329	0.4694237	0.7423616	0.4921778	0.7321464	0.9712872	0.5212039	0.5604980	0.3296580	0.7570361	0.2093173	0.0609859	0.0565847	0.0689004	1.0396942	1.0082987	0.4440518	0.2137858	0.1407332	0.9937795	0.5670983	1.0673572	1.1128709	0.4360634	0.6371211	0.9273663	0.6879040	0.6468210	0.9219974	0.0853352	0.8364801	0.6132360	0.9245271	0.8839407	1.0098414	0.7010284	0.5424266	0.9109920	0.4835242	0.6644087	0.3584192	0.8580310	0.5154379	0.4456811	0.1755067	1.0192546	0.5186924	0.1826583	0.9746804	0.8195207	0.5766220	0.0175464	0.6388726	0.0536652	0.6644852	1.0296488	0.0519868	0.7250651	0.8063354	0.1831203	0.6062100	0.4548867	0.9382808	0.7000074	0.6608736	0.1891736	0.6565367	0.7433324	0.9724781	0.9685840	0.9695582	0.6082206	1.0971948	0.7323319	0.6993349	0.9926006	0.4011222	0.8977003	0.7228562	1.0069878
0.6464590	0.9747568	0.0000000	0.3738348	0.9171263	0.3545324	0.8241158	0.3686245	0.2680540	0.2501436	0.7412373	0.1637798	0.1113395	0.1899234	0.0379820	0.7924171	1.0066887	0.7938888	0.7178862	0.9564206	0.8866406	0.3587900	0.8640623	0.5361389	0.7837896	1.0230798	0.5607400	0.6172954	0.3978931	0.7171551	0.2325356	0.0517134	0.0263857	0.0352638	0.9581961	1.0140547	0.3762180	0.2060223	0.1136188	1.0166886	0.5545223	0.9230623	0.9885578	0.4467142	0.6261245	1.0834662	0.7278548	0.6300049	0.9017019	0.0390705	0.7868306	0.6207347	0.8317213	0.9913810	1.0303454	0.7487877	0.5486025	0.9644337	0.6195936	0.6609656	0.5800384	0.8119136	0.4404228	0.4825407	0.1350287	0.9397204	0.4250779	0.2126192	0.7727428	0.7176933	0.5717964	0.0126458	0.6205320	0.0526129	0.5087317	1.0295546	0.0594504	0.9026931	0.8646941	0.2407505	0.4657069	0.4191612	1.0759120	0.6111992	0.8088974	0.2444191	0.5776981	0.6335686	0.9654882	1.0329306	0.9289841	0.5091239	1.0926818	0.7695922	0.7239443	0.9875796	0.3818234	0.9885985	0.7997225	1.0037301
0.6764768	0.9012636	0.3736348	0.0000000	0.8551142	0.4663637	0.9108781	0.3248543	0.3707733	0.2215997	0.7245171	0.1239954	0.1610437	0.1814021	0.0524325	0.7224047	0.9420682	0.9065895	0.6969367	0.8343564	0.7721092	0.4168550	0.7941160	0.5162690	0.7460501	1.0593634	0.5827763	0.5982439	0.3222650	0.7751520	0.2217182	0.0489551	0.0292710	0.0857984	1.0137617	1.0428473	0.4585376	0.1439995	0.0920907	0.9513812	0.6161552	1.0514496	1.0702255	0.4045116	0.6657967	0.9850748	0.6839648	0.7104663	0.8432842	0.0497397	0.7536439	0.5766876	0.8888271	0.9492041	1.0001261	0.6841093	0.4615909	0.9528353	0.3863008	0.7430428	0.5457660	0.9441265	0.4152276	0.4628740	0.1291040	0.9810277	0.4246821	0.2616669	0.8181387	0.7130529	0.6570337	0.0119986	0.6077008	0.0652272	0.4941322	0.9457552	0.0538920	0.8013084	0.8984729	0.2575087	0.5533548	0.4910582	1.1229075	0.7331444	0.8221661	0.1973628	0.6490006	0.6240829	0.9568885	1.0223616	1.0519329	0.6806065	0.9946182	0.8361761	0.6705787	1.0541722	0.4082923	0.9393554	0.8156724	0.9588556
0.7217879	0.0069739	0.2710265	0.2039468	0.0000000	1.0005859	0.0266625	0.0454783	0.1007509	0.0137192	1.0389794	0.7754650	1.0969144	1.0404513	1.1144185	0.9703924	0.9799558	1.0674936	0.9246993	0.9363927	0.8436629	0.0000991	0.8870731	0.5250719	0.7851450	1.0452837	0.5007301	0.6078746	0.3174676	0.7764654	0.1823705	0.0595229	0.0515134	0.0704992	0.9593808	1.0278648	0.4774891	0.1528683	0.0909263	1.0421301	0.4579860	1.0502036	0.9681475	0.3756000	0.6288451	0.9408240	0.6275945	0.5977472	0.8422099	0.0567335	0.9275527	0.6634595	0.9080605	0.8403573	0.9138924	0.7433251	0.4947669	0.8825836	0.5959457	0.7022386	1.0989628	0.6391150	0.2216605	0.2372914	0.1460012	0.8882917	0.4698640	0.2304263	0.7054862	0.7658439	0.7234577	0.0240167	0.7552851	0.0720150	0.3490720	1.0386482	0.0394039	0.9314790	1.0287296	0.4670461	0.5331937	0.5288812	1.0763564	0.5842644	0.7483754	0.2103827	0.6217321	0.7158363	0.9804634	1.0636450	0.9420186	0.6104612	1.0634730	0.8237070	0.7473826	0.9850439	0.5314692	0.9053606	0.7899517	1.1905513
0.6800321	0.9592765	0.4360656	0.3798275	0.9614370	0.0000000	0.9636251	0.3350544	0.3624117	0.2381152	0.6497153	0.1524349	0.1097388	0.1567832	0.0483045	0.7684198	0.9740750	0.8493099	0.5310009	0.9193209	0.9145748	0.4746880	0.7760862	0.4816675	0.7146791	1.0579345	0.5090162	0.5025863	0.3532333	0.7720346	0.2107940	0.0446130	0.0522794	0.0326247	1.0348178	0.9534651	0.4466909	0.1951016	0.0925255	1.0166812	0.4842364	1.0482071	1.1264107	0.4824469	0.5889567	0.9151625	0.6365278	0.6351424	0.8535649	0.0824445	0.7587544	0.6029826	0.8962186	1.0648829	1.0532453	0.6113411	0.5805708	1.0299402	0.4823710	0.6687767	0.4529824	0.7708020	0.4494462	0.4601747	0.0825379	0.9290112	0.4860792	0.2513391	0.9886727	0.6501044	0.5758061	0.0147774	0.7176178	0.0337991	0.5777452	1.0635958	0.0575294	0.8908793	0.8520094	0.1861479	0.5773979	0.4624987	0.9403279	0.5050523	0.7090582	0.2871859	0.5232678	0.6957431	0.9808141	1.0956175	1.0019732	0.4532478	0.8827538	0.8942439	0.6811678	0.9709115	0.4282503	0.9701906	0.8890028	1.0363331
0.7418659	0.8705002	0.4630450	0.4237326	1.1255072	0.3553918	0.0000000	0.2804086	0.3414499	0.2363722	0.7538587	0.1913423	0.0954749	0.1786892	0.0689198	0.7447680	1.0826557	0.8285973	0.7380945	0.9363656	0.8308534	0.3924747	0.7808053	0.4920827	0.6963215	0.9972793	0.5212447	0.6018147	0.3063046	0.7194000	0.2234746	0.0417430	0.0390862	0.0654589	0.9095862	0.9612282	0.5392860	0.1808828	0.0972884	0.9818409	0.5925044	0.9998907	0.8935888	0.4823953	0.6350191	1.0410445	0.6794393	0.7555740	0.9404281	0.0423350	0.6658408	0.5880533	0.9090988	0.8740286	1.0440962	0.7710381	0.5976990	0.9457426	0.4629784	0.6042776	0.5539167	0.9720430	0.4402494	0.4760272	0.1344761	1.0652719	0.4143860	0.2232669	0.9806490	0.7029023	0.5834163	0.0102209	0.5397138	0.0602243	0.4944816	0.9787172	0.0578627	0.7685859	0.8447719	0.2034581	0.6291916	0.3667144	1.0405486	0.5347141	0.6707398	0.2744825	0.5914703	0.7734915	1.0317595	1.0588780	0.9106907	0.5950882	0.9640868	0.8570515	0.6566966	0.8717323	0.4381657	1.0398225	0.8302274	0.9910711
0.7349019	1.0387931	0.4310574	0.4350206	1.0470867	0.3352164	0.9881745	0.0000000	0.3513840	0.2620902	0.7965542	0.1947176	0.1277522	0.1617476	0.0582142	0.6884312	0.9800314	0.8301380	0.6672968	0.9850613	0.8909299	0.4270791	0.7797937	0.4863654	0.7036795	0.9858012	0.5790063	0.5985801	0.2721552	0.7109744	0.2241737	0.0606361	0.0431808	0.0333918	0.9327857	1.0031794	0.4669363	0.2137138	0.0760617	1.0160317	0.6229674	1.0196195	0.9794845	0.5133721	0.7060854	1.0029606	0.7253206	0.6768819	0.8765875	0.0470625	0.7172155	0.6186093	0.8545319	0.8905042	0.9866117	0.6477402	0.5380754	0.9244871	0.4682893	0.6353587	0.4692508	0.8200873	0.4289814	0.3344620	0.0883966	1.0963338	0.4274706	0.1943894	0.9190954	0.6231762	0.6762614	0.0226130	0.5598646	0.0752516	0.5704274	0.9896391	0.0474338	0.8552634	0.9193652	0.2119575	0.5366145	0.5245055	1.0798103	0.6029653	0.7081431	0.2311151	0.5784773	0.6988634	1.1733607	1.0810639	0.9953565	0.6790474	1.0699827	0.8464612	0.7022329	0.9604713	0.4919856	1.0375295	0.9478099	0.9519546
0.6540928	0.9741379	0.4694970	0.4299878	1.0063052	0.3888713	0.8697391	0.3048621	0.0000000	0.2099065	0.7435562	0.2117300	0.1003202	0.1808459	0.0521146	0.7740545	0.9614482	0.8462520	0.7067760	0.9565266	0.8566178	0.4663472	0.7578470	0.4856530	0.6335752	0.9845043	0.5930909	0.5990989	0.3544665	0.7147147	0.2739100	0.0369008	0.0138739	0.0347590	0.9383903	1.1155277	0.5327859	0.2313367	0.0825594	0.9886156	0.5804674	0.9473048	1.1611875	0.5940848	0.7528084	0.9511356	0.5916853	0.7049525	0.8864608	0.0499808	0.7828732	0.6783120	0.9346546	0.8673972	1.0745719	0.7777948	0.5883895	0.9597709	0.5783047	0.6338087	0.5525184	0.8678377	0.4306834	0.4324155	0.1108626	1.0432535	0.4613415	0.2434991	0.8184964	0.7747240	0.6272226	0.0288365	0.6174089	0.0403335	0.4925382	0.9454164	0.0634402	0.7618561	0.8829542	0.2197750	0.4763733	0.5130729	0.9679546	0.6944876	0.8049464	0.1827623	0.6442373	0.7101133	1.0067805	0.9672798	1.0934320	0.7243037	1.0281187	0.8873114	0.7580183	0.9137072	0.4086775	0.9248089	0.8194975	1.0876642
0.8208839	1.0518886	0.5478715	0.3340578	1.0949444	0.4110728	1.0291707	0.4003441	0.3288424	0.0000000	0.6616889	0.1713085	0.0913729	0.1593755	0.0844593	0.7692950	0.9646701	0.8766550	0.6067176	0.9961028	0.8374182	0.4402908	0.8698899	0.4437827	0.7403103	1.0001432	0.6189195	0.6506221	0.3590788	0.6990687	0.2026302	0.0338273	0.0312963	0.0447369	1.1023462	0.9541053	0.4809144	0.1871485	0.0448635	1.0070448	0.3410318	1.0608014	0.9643179	0.3338149	0.5367190	1.0455800	0.7368120	0.5857135	0.9906380	0.0525923	0.8824484	0.7215995	0.8660324	0.9154875	1.1202798	0.7168890	0.4530760	0.9969348	0.6314955	0.6761044	0.8840197	0.6767742	0.3050603	0.2989424	0.1413760	1.0380235	0.4876307	0.2054617	0.7776152	0.8486585	0.7028466	0.0621505	0.7662247	0.0516130	0.4287096	0.9809578	0.0504726	0.9706856	0.9941669	0.3956499	0.5774582	0.4186849	1.0793496	0.5086705	0.8843810	0.1958167	0.5642898	0.6811767	0.9748411	0.9650202	1.0673273	0.7354140	0.9285125	0.7876221	0.7153784	0.9858257	0.5097806	1.0096104	0.7341530	0.8267058
0.6896036	0.9628838	0.4854090	0.5044920	1.0528741	0.4049133	0.9616219	0.3713387	0.3762910	0.2355074	0.0000000	0.1887956	0.0763798	0.1717376	0.0692172	0.7752952	0.9451279	0.8723416	0.6861744	0.8407702	0.8432598	0.4483303	0.7916940	0.5171255	0.6066458	1.0583883	0.5429341	0.5186170	0.3421195	0.7950054	0.2576254	0.0585725	0.0160241	0.0376678	0.9961320	0.9609210	0.4292717	0.1935141	0.0978478	1.0058783	0.5668731	1.0239848	1.0392900	0.5142578	0.6783651	0.9770618	0.7347780	0.6900486	0.9101292	0.0671045	0.8311678	0.6639996	0.9338415	0.8415025	0.9819161	0.7326506	0.4841929	0.9207367	0.4535216	0.7108353	0.3720070	0.9040491	0.4767320	0.4835988	0.1520295	1.0419531	0.5027088	0.1459271	0.8941060	0.7216554	0.7874951	0.0154731	0.6989765	0.0465062	0.6059486	0.9485822	0.0954263	0.7207455	0.8467777	0.2200062	0.5042161	0.5520275	1.0712245	0.5318283	0.7880476	0.2238489	0.6370541	0.6526179	1.0723035	1.0800088	0.9159459	0.5710758	0.9953564	0.8330297	0.7462759	1.1025811	0.3645740	1.0981000	0.8504894	1.0796932
0.6172115	0.8882599	0.4047280	0.4690547	1.0933129	0.2729133	0.8952965	0.3814257	0.3237705	0.1824980	0.6745513	0.0000000	0.1084180	0.1530940	0.0500523	0.7404521	0.9730860	0.8792681	0.5766091	0.8422242	0.7509486	0.3751928	0.7538205	0.5890480	0.5783580	1.0077663	0.5757865	0.6132107	0.3319816	0.7716134	0.1542799	0.0369731	0.0375934	0.0377621	0.9848840	1.1511095	0.4888977	0.1844353	0.0965578	0.9629656	0.4817989	1.0374253	1.1194088	0.4614484	0.5874896	1.0348934	0.6273110	0.6165443	0.8481497	0.0461455	0.6414483	0.6713449	0.9645508	0.8945030	1.0314853	0.7295969	0.6060764	0.8990018	0.4265065	0.8078182	0.5603427	0.9176989	0.4112255	0.3315441	0.1110205	1.0520720	0.5019793	0.2401273	0.9480025	0.6759745	0.6139070	0.0139095	0.5555592	0.0274177	0.5600687	0.9971930	0.0479044	0.8804255	0.9379198	0.2530819	0.5003418	0.6196793	0.9949788	0.5726616	0.8102399	0.2651996	0.5754947	0.6995608	0.9693598	1.0059203	1.0021918	0.5048133	1.0244877	0.8929339	0.7782920	0.9513393	0.4446294	0.9810319	0.8483165	0.9182692
0.7446599	1.1132320	0.4067605	0.5191392	1.0623001	0.3426815	0.9506649	0.4721258	0.2855726	0.2739028	0.7174598	0.1696439	0.0000000	0.1848262	0.0605233	0.8059849	1.0131637	0.8764337	0.6455706	0.9647849	0.8789995	0.4861317	0.7837572	0.5813886	0.7689871	1.0868340	0.5380351	0.5829763	0.4070853	0.7590665	0.2534345	0.0481932	0.0477584	0.0641836	0.9681113	0.9835627	0.4560898	0.1465828	0.0947847	1.0057024	0.5717294	1.0347768	0.9181446	0.6094136	0.6215914	1.0867483	0.6515157	0.7160027	0.9136308	0.0417191	0.8047231	0.6409130	0.9143015	0.8720805	0.9020072	0.7620747	0.5106962	0.7703630	0.5309737	0.7284950	0.6642181	0.9686089	0.3997801	0.4944678	0.1428997	1.0514951	0.4847436	0.2479263	0.8441297	0.8785904	0.7218201	0.0202885	0.8396590	0.0452174	0.4305706	1.0350304	0.0619251	0.8425608	0.9076196	0.2753002	0.6300436	0.4267583	0.9406039	0.7287229	0.7621510	0.1663114	0.5463886	0.7321367	0.9059762	0.9914953	1.0208284	0.6327362	1.0185693	0.8636831	0.7447887	0.9612695	0.3742600	1.0304891	0.8451241	0.9251132
0.6912547	1.0872584	0.5376783	0.5038655	0.9782350	0.3272700	0.9729456	0.3329603	0.3392798	0.2513878	0.6533344	0.1352166	0.1276531	0.0000000	0.0703564	0.7066737	1.0702126	0.8793260	0.6858338	0.9621870	0.8515880	0.4424272	0.8419334	0.4348927	0.7455559	1.0065239	0.5595696	0.5766336	0.3433005	0.7675328	0.1697703	0.0445740	0.0346940	0.0552475	0.9506974	0.9677349	0.3812655	0.1686580	0.0578189	1.1011762	0.5301817	1.0289145	0.8643974	0.6021379	0.6710096	0.9650725	0.6200979	0.6712694	0.7937297	0.0978014	0.7168143	0.7012963	0.8013921	0.9938608	1.0342292	0.7400355	0.4755136	0.9659222	0.5371207	0.7230401	0.7129930	0.9492852	0.3957406	0.4020975	0.1340526	1.0268251	0.5019412	0.2099132	0.8273534	0.8425417	0.6472602	0.0319766	0.7293879	0.0465784	0.4575806	0.9986056	0.0503527	0.8433693	0.8847498	0.2517602	0.5938655	0.4986889	0.9884277	0.5961318	0.7460181	0.1999826	0.6325298	0.7489074	1.0238280	0.9545876	1.0164669	0.5748152	0.9036675	0.7229250	0.6187814	0.9437647	0.4271566	0.9815691	0.7903694	1.0398719
0.6303903	1.0838231	0.3099371	0.4481415	0.8822049	0.3916952	1.0021201	0.3501237	0.3959018	0.2231688	0.7512192	0.1848832	0.1233303	0.1787524	0.0000000	0.7014178	0.9354896	0.8656018	0.6930021	0.9628526	0.7204679	0.4313222	0.8416486	0.4639207	0.7536652	1.0059164	0.5388811	0.5340626	0.3389835	0.6981712	0.2363546	0.0544153	0.0311816	0.0404849	1.0380281	0.9027717	0.4780762	0.1640136	0.0757948	1.0288051	0.7029020	0.9423260	1.0458726	0.4557443	0.6381492	0.9221491	0.7049997	0.6585887	0.8809585	0.0952306	0.6671972	0.6411695	0.9506520	0.8480672	1.0688041	0.7556874	0.5076898	0.9400456	0.4244094	0.7288095	0.4130316	0.8971684	0.4392555	0.4452511	0.0862488	1.0294534	0.4949094	0.2457412	0.8620151	0.7907756	0.7352976	0.0192933	0.5781425	0.0329112	0.5703555	1.0742832	0.0415196	0.7849874	0.8781851	0.2084829	0.5139075	0.5079482	0.9954255	0.6569987	0.6853784	0.2282054	0.5746441	0.6155259	1.0017220	0.8837012	1.0090175	0.5645727	1.0380288	0.8160139	0.8021389	1.0576278	0.4930473	1.0851662	0.8574203	0.9919461
0.7626678	1.0275084	0.4591982	0.4081577	1.0083499	0.4028956	0.9818171	0.3695898	0.4125461	0.1978984	0.6989366	0.1747420	0.1448399	0.2110732	0.0773154	0.0000000	1.0793875	0.8749027	0.6970963	0.8531530	0.7802946	0.3549320	0.7794883	0.4593590	0.7266870	0.9945895	0.5750021	0.5226491	0.2729996	0.7257516	0.2582976	0.0456939	0.0331522	0.0403839	1.0223941	1.1251537	0.4589702	0.1678737	0.0997205	1.1203529	0.5629149	0.9849770	1.0771804	0.3949985	0.6220158	0.9148361	0.7087075	0.6674484	0.9164877	0.0665573	0.8939324	0.6496016	1.0083054	0.9899748	1.0708404	0.7755785	0.5396000	0.9155633	0.5273853	0.7113815	0.4721352	0.9434828	0.4346037	0.4007661	0.1347404	0.9399165	0.5185562	0.2285527	0.8266282	0.7399344	0.6765793	0.0137657	0.7963270	0.0539884	0.5499189	1.1134814	0.0592751	0.8068369	0.7339557	0.1867793	0.5695640	0.4906019	0.9701233	0.6374253	0.7996865	0.1895817	0.6295862	0.8168443	0.9935397	1.0818659	0.9894018	0.5255751	1.1317312	0.8996440	0.6361197	1.0931308	0.4591670	0.9635843	0.8062336	1.0616177
0.6338556	1.1540170	0.5112367	0.4451109	1.0037963	0.4076922	1.0051249	0.3342909	0.4348940	0.2056619	0.7783094	0.1593255	0.1240632	0.1530867	0.0899297	0.7194152	0.0000000	0.8842929	0.6942113	0.9045510	0.8341655	0.3825634	0.8434703	0.5052437	0.6817967	0.9320944	0.5314803	0.5849900	0.3122696	0.8314064	0.2063852	0.0388770	0.0373232	0.0383498	1.0612905	1.0001301	0.4061002	0.1861810	0.0435718	1.0410357	0.4455504	1.0901338	0.9530740	0.4178008	0.5884533	0.9373853	0.6812956	0.6034537	0.8849365	0.0673482	0.7520767	0.6133585	0.9935286	0.9139226	0.9237531	0.7347109	0.5744258	0.8690753	0.5830547	0.8017011	0.6931860	0.8351656	0.3544575	0.2973115	0.1319303	0.9599303	0.4361666	0.1860557	0.9012314	0.6668698	0.6474817	0.0162496	0.7383827	0.0500654	0.4690093	1.0218962	0.0284501	0.9864328	0.9454804	0.1976032	0.4866511	0.4907548	0.9475388	0.6323672	0.7473449	0.2020046	0.6002415	0.7000248	1.0001054	0.9923965	0.9971519	0.6016302	0.9866261	0.7131690	0.7467480	0.9634842	0.4958886	1.0338278	0.7937887	1.0117702
0.6268764	0.9976063	0.3941712	0.5172713	1.0274466	0.3753254	0.9427589	0.4217032	0.3720547	0.3039117	0.6218108	0.1334748	0.0926997	0.1268663	0.0635419	0.7515065	0.9103956	0.0000000	0.6340164	0.9636377	0.9235026	0.4423990	0.8451629	0.5349953	0.6603969	0.9455967	0.5342637	0.4680205	0.3744945	0.7021778	0.2553970	0.0292174	0.0440371	0.0545292	0.9374620	0.9994202	0.3953921	0.1651657	0.0679786	1.0828799	0.6185569	1.0076267	1.0064376	0.6353712	0.6580000	0.9837663	0.7061440	0.7110641	0.8857476	0.0612161	0.7442889	0.5828248	0.9898042	0.9113170	0.9730041	0.6986498	0.5600862	0.9042823	0.4966707	0.6926128	0.4011285	0.8704601	0.6158561	0.5083921	0.1391333	1.0247928	0.5883262	0.2090160	0.9543604	0.7179319	0.6894859	0.0136594	0.7421077	0.0634668	0.5679124	0.9647752	0.0679704	0.8153956	0.8615428	0.1626011	0.5334775	0.4181040	0.9370915	0.6455961	0.8041891	0.2075174	0.5700057	0.7589237	0.9488180	0.9590776	0.9025735	0.5839999	1.0431439	0.8847266	0.6170186	0.9191357	0.5004026	1.0342026	0.7966295	0.8980533
0.6486539	0.9730670	0.4122186	0.4361898	1.0110054	0.3844963	0.9337586	0.3233202	0.3054858	0.2656481	0.5891579	0.1755429	0.0880307	0.1605911	0.0514177	0.7314305	0.9445064	0.8375279	0.0000000	0.8715870	0.8929331	0.4666533	0.7666789	0.3981083	0.6010860	0.9974207	0.5422701	0.5670628	0.3240618	0.7127601	0.2990689	0.0554713	0.0229822	0.0457169	0.8518923	0.9521965	0.4922733	0.1632241	0.0748947	0.9431203	0.6487095	0.9911586	1.0621069	0.5681837	0.6558662	1.0498973	0.6504730	0.7283356	0.8200263	0.1002027	0.7194213	0.6139871	0.9453277	0.9699626	0.9802589	0.7534710	0.5469310	0.9716930	0.4554470	0.6204141	0.4124053	0.9172525	0.6226351	0.5497173	0.1137741	0.9303689	0.4355843	0.2077289	0.8146595	0.6901479	0.6494649	0.0007891	0.6535863	0.0753701	0.5965333	1.0765707	0.0663594	0.7980169	0.7817218	0.1180139	0.5104572	0.4617931	1.0361650	0.5377522	0.8002537	0.2072327	0.5664277	0.7726755	0.9468964	1.0172008	0.9347749	0.5091693	1.0617184	0.8609421	0.6802161	1.0546657	0.4855479	1.0652410	0.8211752	1.0361924
0.6169925	0.9807362	0.4718367	0.4414289	1.0329102	0.3890183	0.8996785	0.4433083	0.3382179	0.3041839	0.6727688	0.1469330	0.1289083	0.1521375	0.0448293	0.8091246	1.0026119	0.9372844	0.6758312	0.0000000	0.8462285	0.4220304	0.7982959	0.4976084	0.7541939	0.9408794	0.5220247	0.6308169	0.3381460	0.6612208	0.2329006	0.0456015	0.0258204	0.0417472	1.0092046	0.9526096	0.4603205	0.1714446	0.0707574	0.9826010	0.4861956	0.8832516	1.0894329	0.5236667	0.6570557	0.9917516	0.6760853	0.6852453	0.8391085	0.0883439	0.8036775	0.6514481	0.9086702	0.9015828	0.9064766	0.6261648	0.6115231	0.8968060	0.4905735	0.5950389	0.6612811	0.8891483	0.4099233	0.3631911	0.1098201	0.9858455	0.3914664	0.1985505	0.7883678	0.8723158	0.6174051	0.0386143	0.7945858	0.0657168	0.4605916	0.9869601	0.0436283	0.8893840	1.0026064	0.2460337	0.5838839	0.4552127	1.0227749	0.5268803	0.7784942	0.2726355	0.4897380	0.6671532	1.0419161	0.9473820	0.9583561	0.5162523	1.0688369	0.8168734	0.6742293	1.1125109	0.3751276	1.0113308	0.7639118	0.9398185
