G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
1.0000000	0.9997144	0.7577954	0.6552110	1.0000000	0.3542693	0.9886294	0.8309566	0.8031899	0.2108333	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6626257	0.9192658	0.8284126	0.9964773	1.0000000	0.9514003	1.0000000	1.0000000	0.5357085	0.3928285	0.9263946	0.7283032	0.2295872	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.5118562	1.0000000	1.0000000	0.4467673	0.6212892	0.0000000	0.0293152	0.0717591	0.2401067	0.2253543	0.5194818	0.0109275	0.0520304	0.7440730	0.9233235	1.0000000	1.0000000	1.0000000	0.5274052	0.5349425	0.6258476	1.0000000	0.3836342	0.8612756	0.1168938	0.9949609	0.5738106	0.4432080	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6234375	0.2915479	0.8045809	0.8647219	0.9098483	0.2289734	0.3796906	0.6984540	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8950664	0.8445829	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6709509	0.0031183	0.1596112	0.4251521	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081879	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6462399	0.6399650	0.9212750	0.9964088	1.0000000	0.8253254	0.0000003	0.8081824	0.4873092	1.0000000	1.0000000	0.5357085	0.5968220	0.3229021	0.7283032	0.1886336	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	1.0000000	0.9072047	1.0000000	0.4072260	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649952	0.6437459	0.8976600	0.0487034	0.8478012	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.3736170	0.5664878	0.6910359	0.9479352	0.5924254	0.2202385	0.2338529	0.1168938	0.9949609	0.4728027	0.2060497	0.8361397	0.7610341	0.6731490	0.0177672	0.7483367	0.0463000	0.3398712	0.9999771	0.0463950	0.9658616	0.9845657	0.3927683	0.5381383	0.4511061	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9891938	1.0000000	1.0000000	0.5818468	1.0000000	0.7868281	0.6590979	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.0031184	0.1597384	0.1890239	0.0000000	1.0000000	0.0251615	0.0438826	0.4268992	0.2252062	1.0000000	0.7112803	1.0000000	1.0000000	1.0000000	0.6462399	0.9999501	0.9433199	0.9720021	1.0000000	0.8253254	0.5690676	0.8083436	0.4748656	0.7279539	1.0000000	0.5357085	0.5540760	0.3229443	0.7283032	0.2374821	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.5451700	1.0000000	1.0000000	0.4707667	0.6212892	0.0000000	0.2262010	0.3836262	0.2401067	0.2439628	0.3366454	0.0109275	0.0520304	0.7440730	0.9233235	1.0000000	1.0000000	1.0000000	0.2575168	0.4414268	0.4320710	0.8882422	0.4165103	0.4382630	0.1168938	0.9949609	0.4727599	0.2060458	0.8359160	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.5101107	0.9999771	0.0463954	0.8369398	0.8848820	0.2099445	0.3796906	0.6984540	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127243	0.7286060	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.9992947	0.4443016	1.0000000	1.0000000	0.3542693	0.9886294	0.3815680	0.9999996	0.2252062	1.0000000	0.4620507	1.0000000	0.1514214	0.0590937	0.1243557	0.3155142	0.0060010	0.6564270	0.9033653	0.8284126	0.9964773	0.8083436	0.4748656	1.0000000	1.0000000	0.5357085	0.5540760	0.3229443	0.7283032	0.2374822	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	1.0000000	0.9072047	1.0000000	0.5451703	1.0000000	1.0000000	0.4707667	0.6212892	0.0000000	0.2262010	0.3836262	0.2401067	0.2439628	0.3366454	0.0109275	0.0520304	0.7440730	0.9233235	1.0000000	1.0000000	1.0000000	0.2575168	0.4414268	0.4320705	0.8882423	0.4165105	0.4382630	0.1168938	0.9949609	0.4727599	0.2060458	0.8359160	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.5101110	0.9999771	0.0463954	0.8369396	0.8848818	0.2099444	0.3796906	0.6984540	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127243	0.7286060	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999998	0.9997143	0.7577826	0.4201106	1.0000000	0.3542693	0.9886293	0.8309565	0.3468699	0.2108333	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839481	1.0000000	0.8284126	0.4052072	1.0000000	0.7271414	0.9999995	1.0000000	0.5357085	0.3927991	0.9263946	0.7283032	0.2296005	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.3888574	1.0000000	1.0000000	0.4467695	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0554504	0.9910298	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8385295	0.7679524	1.0000000	1.0000000	0.0000000	0.8612869	0.1168938	0.9949609	0.5738054	0.4432078	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.4595222	0.2915479	0.8045794	1.0000000	1.0000000	1.0000000	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8950879	0.8445926	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.9992947	0.4443016	0.6552110	1.0000000	0.3542693	0.9655078	0.3815680	0.8031899	0.2252062	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6839481	1.0000000	0.8284126	0.9964773	0.8083436	0.4890208	0.7279539	1.0000000	0.5357085	0.5540760	0.3229443	0.7283032	0.2374822	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.3888574	1.0000000	1.0000000	0.4707667	0.6212892	0.0000000	0.2262010	0.3836262	0.2401067	0.2439628	0.5194818	0.0109275	0.0520304	0.7440730	0.9233235	1.0000000	1.0000000	1.0000000	0.2575168	0.4414268	0.8017832	0.8882423	0.0000000	0.4382630	0.1168938	0.9949609	0.4727599	0.2060458	0.8359160	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.3102665	0.9999771	0.0463954	1.0000000	1.0000000	1.0000000	0.3796906	0.6984540	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127243	0.7286060	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563850	0.9032620	0.8284126	0.4052072	0.7834484	0.4738011	0.6872767	1.0000000	0.5357085	0.6184535	0.3178261	0.7283032	0.2375318	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453884	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695917	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928099	0.6798514	0.5421828	0.8875026	0.4167166	0.0000000	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042473	0.9999874	0.0463549	0.8367588	0.8847144	0.2098340	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	0.0000000	0.0545912	0.0729931	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999998	0.9997143	0.7577826	0.4201106	1.0000000	0.3542693	0.9886293	0.8309565	0.3468699	0.2108335	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839473	0.9999624	0.8284126	0.4052072	1.0000000	0.7271414	0.9999995	1.0000000	0.5357085	0.4737528	0.9263946	0.7283032	0.0811673	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.3888589	1.0000000	1.0000000	0.0000000	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0119731	0.9910298	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8381321	0.7679524	0.9999993	1.0000000	0.0180023	0.6578091	0.1168938	0.9949609	0.5738054	0.4432078	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.4595258	0.2915479	0.8045794	0.9999579	0.9999962	0.9637121	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8559063	0.7992083	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.0000000	0.0031183	0.0045045	0.1890238	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081879	1.0000000	0.7112803	1.0000000	1.0000000	1.0000000	0.9627615	0.9999501	0.9896656	0.9964088	1.0000000	0.8253254	0.0000003	0.8081824	0.4873092	0.7276831	1.0000000	0.5357085	0.5968220	0.3229021	0.7283032	0.1886336	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	0.1698524	0.0728972	1.0000000	0.4072260	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649952	0.6437459	0.8976600	0.0487034	0.8478012	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5664878	0.6910359	0.9479352	0.5924254	0.2202385	0.2338529	0.1168938	0.9949609	0.4728027	0.2060497	0.8361397	0.7610341	0.6731490	0.0177672	0.7483367	0.0463000	0.3398712	0.9999771	0.0463950	0.9658616	0.9845657	0.3927683	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9891938	1.0000000	1.0000000	0.5818468	1.0000000	0.7868281	0.6590979	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563850	0.9032620	0.8284126	0.4052072	0.7834485	0.4738011	0.6872767	1.0000000	0.5357085	0.5578267	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453884	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695917	0.6437400	0.9327701	0.8230123	0.6379586	0.7165872	0.5119921	0.8958286	0.4928100	0.6798514	0.5421831	0.8875025	0.4167165	0.4255520	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042472	0.9999874	0.0463549	0.8367588	0.8847145	0.2098341	0.4540228	0.0000000	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105612	0.7240273	1.0000000	0.4278294	1.0000000	0.0000000	1.0000000
0.6540344	0.9992524	0.4298300	0.7100993	1.0000000	0.3542693	0.9886290	0.3624293	0.4910241	0.2253002	1.0000000	0.4619656	0.9999894	0.1514214	0.0590937	0.1243558	0.6124377	0.4330825	0.6839481	1.0000000	0.8284126	0.4052072	0.7834485	0.4888174	0.9999985	1.0000000	0.5357085	0.5578267	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.9999214	0.9071793	1.0000000	0.3888574	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849597	0.6735441	1.0000000	0.0608568	0.9910298	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.3762124	0.5510830	0.6806404	0.9974503	0.8875025	0.0000000	0.4255520	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.3041760	0.9999874	0.0463549	1.0000000	1.0000000	1.0000000	0.5381383	0.4511061	0.0000000	0.0389999	0.0010991	0.9999997	0.9995280	1.0000000	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105612	0.7240273	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
