"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6540280	0.9992524	0.4298220	0.4201106	1.0000000	0.3542693	0.9579785	0.3624229	0.3468699	0.2252731	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563313	0.9031296	0.8284126	0.4052072	0.7834423	0.4737719	0.6872611	1.0000000	0.5357085	0.5577691	0.3178251	0.7283032	0.2375715	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509034	0.1698524	0.0728972	1.0000000	0.5456585	1.0000000	1.0000000	0.4709033	0.6212892	1.0000000	0.6849638	0.6735531	0.8976600	0.0608591	0.7695248	0.6437400	0.9327701	0.9168833	0.9990810	0.7165871	0.5119921	0.8958286	0.4927574	0.6798451	0.5415501	0.8875856	0.4168278	0.4256278	0.1168940	0.9949608	0.4794238	0.2069352	0.8667280	0.7380084	0.6289969	0.0147832	0.6640096	0.0461496	0.5045240	0.9999874	0.0463549	0.8365285	0.8845023	0.2097121	0.5381370	0.4511094	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843283	1.0000000	1.0000000	0.5818468	1.0000000	0.8105933	0.7241000	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
100	0.6540340	0.9993183	0.4298254	0.3987678	1.0000000	0.1635077	0.9213482	0.4721512	0.3059218	0.2253703	0.6845869	0.1233081	0.1119050	0.1514214	0.0590937	0.7636036	0.9999581	0.8608385	0.5293432	0.9035022	0.9941949	0.4052072	0.4780525	0.4737937	0.4553330	1.0000000	0.5357085	0.5616457	0.3178263	0.7283032	0.2364390	0.0409769	0.0085978	0.0087923	0.9972005	1.0000000	0.4509023	0.1697361	0.0679245	1.0000000	0.5449816	1.0000000	0.4316908	0.4379337	0.5185755	1.0000000	0.9159097	0.6735434	0.8976600	0.0353940	0.7697002	0.7178281	0.9327701	0.9169291	0.9963208	0.7462813	0.2242571	0.9023194	0.3552905	0.6798587	0.1877778	0.8810142	0.4092615	0.4183317	0.1264541	0.7010511	0.4788320	0.2061107	0.8832381	0.7380142	0.6290077	0.0066210	0.6640365	0.0461496	0.5032853	0.9999933	0.4702718	0.8372017	0.8852938	0.2105080	0.5381418	0.4510988	1.0000000	0.6239920	0.9267436	0.1998271	0.5728870	0.6888227	0.9843312	1.0000000	1.0000000	0.5818468	0.4348342	0.9162255	0.6024551	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
200	0.6540278	0.9993440	0.4298286	0.3692238	1.0000000	0.0929417	0.7329284	0.5208920	0.2648580	0.2296268	0.6440330	0.0952891	0.0993600	0.1514214	0.0590937	0.7839151	0.9999737	0.8728145	0.4854492	0.9153963	0.9999351	0.4052072	0.3965620	0.4748190	0.3214369	1.0000000	0.5357085	0.5760319	0.3178237	0.7283032	0.2207448	0.0409769	0.0013580	0.0023865	0.9987955	1.0000000	0.4510489	0.1695327	0.0588793	1.0000000	0.5228079	1.0000000	0.2021486	0.3196344	0.2328988	1.0000000	0.9660295	0.6735586	0.8976600	0.0232363	0.7760708	0.7575919	0.9327701	0.9170263	0.9955125	0.8470344	0.0771643	0.9131636	0.3367295	0.6800957	0.0881534	0.7683860	0.3220318	0.3214508	0.1724561	0.5565459	0.4771038	0.2041550	0.8895972	0.7379911	0.6289641	0.0040705	0.6639752	0.0461495	0.4660297	0.9999987	0.7091590	0.8584736	0.9078198	0.2364836	0.5381892	0.4510149	1.0000000	0.5771292	0.9769377	0.2142058	0.5447407	0.6620799	0.9843323	1.0000000	1.0000000	0.5818468	0.2380050	0.9771449	0.3476307	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
300	0.6538297	0.9993486	0.4298010	0.3605955	1.0000000	0.0819224	0.5578010	0.5301687	0.2568430	0.2603285	0.6266906	0.0881510	0.0947380	0.1514214	0.0590937	0.7922234	0.9999782	0.8756490	0.4867926	0.9531470	0.9999993	0.4052072	0.3870695	0.4803087	0.2846885	1.0000000	0.5357085	0.6014582	0.3177590	0.7283032	0.1828586	0.0409769	0.0003523	0.0014339	0.9990804	1.0000000	0.4529426	0.1694517	0.0556974	1.0000000	0.4562053	1.0000000	0.1603779	0.1731268	0.0913005	1.0000000	0.9704469	0.6739706	0.8976600	0.0229419	0.8096045	0.7671696	0.9327701	0.9170605	0.9954129	0.9241364	0.0431040	0.9170065	0.3503755	0.6803220	0.1057484	0.4176784	0.1657996	0.1338354	0.2188750	0.5191041	0.4760968	0.2030818	0.8903138	0.7374983	0.6280233	0.0037282	0.6624781	0.0461472	0.3669818	0.9999997	0.7699741	0.9241212	0.9622961	0.3663824	0.5382504	0.4509189	1.0000000	0.5548886	0.9835480	0.2269028	0.5369182	0.6550216	0.9843099	1.0000000	1.0000000	0.5818468	0.2086564	0.9905127	0.1945435	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
400	0.6524090	0.9992822	0.4294713	0.3767916	1.0000000	0.2712842	0.6983103	0.4202225	0.2937135	0.3348679	0.6385376	0.1299191	0.0988344	0.1514214	0.0590937	0.7877567	0.9999725	0.8546728	0.6232738	0.9854779	0.8342176	0.4052072	0.6885007	0.4861517	0.4919293	1.0000000	0.5357085	0.6131423	0.3173396	0.7283032	0.1420301	0.0409769	0.0245903	0.0303538	0.9951277	1.0000000	0.4614041	0.1695046	0.0607355	1.0000000	0.4079534	1.0000000	0.7221723	0.1643951	0.1810809	1.0000000	0.7424017	0.6768024	0.8976600	0.1090786	0.8802721	0.6949776	0.9327701	0.9170135	0.9981625	0.9104200	0.3242477	0.9126733	0.5092523	0.6793498	0.7628127	0.1933467	0.0669135	0.0502516	0.2049969	0.7943239	0.4770959	0.2038088	0.8755693	0.7344130	0.6221047	0.0115752	0.6524212	0.0461322	0.3131378	0.9999983	0.3587561	0.9775703	0.9926526	0.6563889	0.5382742	0.4508908	1.0000000	0.4906314	0.8175417	0.2296330	0.5532602	0.6673167	0.9840686	1.0000000	1.0000000	0.5818468	0.7701759	0.8729532	0.1880350	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
500	0.6481885	0.9992513	0.4279321	0.4071831	1.0000000	0.3416886	0.8995186	0.3667592	0.3363973	0.3834939	0.6778374	0.1605854	0.1112756	0.1514214	0.0590937	0.7684804	0.9999562	0.8421293	0.6739793	0.9964125	0.8284775	0.4052072	0.7620554	0.4881752	0.6169782	1.0000000	0.5357085	0.6093270	0.3162930	0.7283032	0.1407439	0.0409769	0.0318144	0.0367387	0.9935389	1.0000000	0.4754255	0.1697010	0.0694311	1.0000000	0.3929780	1.0000000	0.9507500	0.2719902	0.4594272	1.0000000	0.6985644	0.6847244	0.8976600	0.1676899	0.9293664	0.6555571	0.9327701	0.9169110	0.9989697	0.8092003	0.4701551	0.9018162	0.5281122	0.6762424	0.9671944	0.2325752	0.0879727	0.0706780	0.1501603	0.9408870	0.4810532	0.2064682	0.8758335	0.7266727	0.6072328	0.0134176	0.6247243	0.0460934	0.3027570	0.9999930	0.1223053	0.9946995	0.9988539	0.7747093	0.5382318	0.4509716	1.0000000	0.5493692	0.7674298	0.2159460	0.5821118	0.6959120	0.9829528	1.0000000	1.0000000	0.5818468	0.9665838	0.8041603	0.4573526	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
600	0.6427681	0.9992350	0.4245815	0.4176534	1.0000000	0.3526902	0.9420460	0.3513381	0.3454919	0.3533529	0.6982445	0.1705774	0.1174441	0.1514214	0.0590937	0.7568548	0.9999485	0.8385014	0.6820245	0.9952338	0.8284132	0.4052072	0.7626235	0.4884485	0.6462015	1.0000000	0.5357085	0.6060178	0.3152427	0.7283032	0.1682655	0.0409769	0.0328182	0.0376881	0.9932549	1.0000000	0.4823854	0.1698107	0.0722213	1.0000000	0.3913779	1.0000000	0.9923807	0.3916688	0.5813976	1.0000000	0.7006747	0.6939911	0.8976600	0.1706886	0.9084202	0.6460386	0.9327701	0.9168755	0.9990692	0.7484682	0.5040098	0.8971547	0.5123399	0.6725276	0.9889991	0.4943680	0.1868302	0.1801417	0.1265060	0.9814190	0.4849532	0.2083571	0.8838103	0.7190274	0.5926204	0.0130100	0.5935681	0.0460527	0.3045798	0.9999914	0.0619394	0.9928561	0.9973839	0.5821194	0.5381691	0.4510713	1.0000000	0.5828938	0.7608283	0.2045382	0.5913011	0.7071823	0.9804365	1.0000000	1.0000000	0.5818468	0.9958855	0.7860735	0.5911580	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000

0	0.6540280	0.9992524	0.4298220	0.4201106	1.0000000	0.3542693	0.9579785	0.3624229	0.3468699	0.2252731	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563313	0.9031296	0.8284126	0.4052072	0.7834423	0.4737719	0.6872611	1.0000000	0.5357085	0.5577691	0.3178251	0.7283032	0.2375715	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509034	0.1698524	0.0728972	1.0000000	0.5456585	1.0000000	1.0000000	0.4709033	0.6212892	1.0000000	0.6849638	0.6735531	0.8976600	0.0608591	0.7695248	0.6437400	0.9327701	0.9168833	0.9990810	0.7165871	0.5119921	0.8958286	0.4927574	0.6798451	0.5415501	0.8875856	0.4168278	0.4256278	0.1168940	0.9949608	0.4794238	0.2069352	0.8667280	0.7380084	0.6289969	0.0147832	0.6640096	0.0461496	0.5045240	0.9999874	0.0463549	0.8365285	0.8845023	0.2097121	0.5381370	0.4511094	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843283	1.0000000	1.0000000	0.5818468	1.0000000	0.8105933	0.7241000	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
