G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9999999	0.9997144	0.7577939	0.6552110	1.0000000	0.3542693	0.9886294	0.8309566	0.8031899	0.2108333	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6626235	0.9192572	0.8284126	0.9964773	1.0000000	0.9514003	0.9999999	1.0000000	0.5357085	0.3928273	0.9263946	0.7283032	0.2295893	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.5118838	1.0000000	1.0000000	0.4467675	0.6212892	0.0000000	0.0293152	0.0717591	0.2401067	0.2253551	0.5194818	0.0109275	0.0520304	0.7441158	0.9233241	0.9999998	1.0000000	1.0000000	0.5274052	0.5349425	0.6258177	1.0000000	0.3836358	0.8612764	0.1168938	0.9949609	0.5738083	0.4432080	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6234445	0.2915479	0.8045800	0.8647091	0.9098424	0.2289710	0.3796182	0.6985301	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8950689	0.8445846	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6709499	0.0031183	0.1596014	0.4251521	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081878	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6462399	0.6399650	0.9212750	0.9964084	1.0000000	0.8253254	0.0000003	0.8081822	0.4873090	1.0000000	1.0000000	0.5357085	0.5968218	0.3229021	0.7283032	0.1886348	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	1.0000000	0.9072047	1.0000000	0.4072321	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649953	0.6437465	0.8976600	0.0487006	0.8477954	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.3736170	0.5664875	0.6910357	0.9479308	0.5924272	0.2202388	0.2338530	0.1168938	0.9949609	0.4728037	0.2060499	0.8361359	0.7610340	0.6731490	0.0177672	0.7483362	0.0463000	0.3398721	0.9999771	0.0463950	0.9658582	0.9845650	0.3927668	0.5381383	0.4511061	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9891933	1.0000000	1.0000000	0.5818468	1.0000000	0.7868298	0.6591003	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.0031184	0.1597376	0.1890239	0.0000000	1.0000000	0.0251615	0.0438826	0.4268992	0.2252063	0.9999999	0.7112803	1.0000000	1.0000000	1.0000000	0.6462399	0.9999501	0.9433199	0.9720022	1.0000000	0.8253254	0.5690676	0.8083436	0.4748657	0.7279537	1.0000000	0.5357085	0.5540761	0.3229443	0.7283032	0.2374820	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.5451692	1.0000000	1.0000000	0.4707667	0.6212892	0.0000000	0.2262010	0.3836263	0.2401067	0.2439628	0.3366456	0.0109275	0.0520304	0.7441158	0.9233241	0.9999998	1.0000000	1.0000000	0.2575168	0.4414268	0.4320723	0.8882420	0.4165101	0.4382628	0.1168938	0.9949609	0.4727604	0.2060461	0.8359165	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.5101101	0.9999771	0.0463954	0.8369404	0.8848824	0.2099447	0.3796182	0.6985301	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127241	0.7286057	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.9992947	0.4443010	1.0000000	1.0000000	0.3542693	0.9886294	0.3815680	0.9999996	0.2252063	1.0000000	0.4620507	1.0000000	0.1514214	0.0590937	0.1243557	0.3155142	0.0060010	0.6564271	0.9033657	0.8284126	0.9964773	0.8083436	0.4748657	0.9999999	1.0000000	0.5357085	0.5540761	0.3229443	0.7283032	0.2374821	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.9999999	0.9072046	1.0000000	0.5451693	1.0000000	1.0000000	0.4707668	0.6212892	0.0000000	0.2262010	0.3836263	0.2401067	0.2439628	0.3366455	0.0109275	0.0520304	0.7441158	0.9233241	0.9999998	1.0000000	1.0000000	0.2575168	0.4414268	0.4320719	0.8882421	0.4165103	0.4382629	0.1168938	0.9949609	0.4727604	0.2060461	0.8359165	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.5101104	0.9999771	0.0463954	0.8369402	0.8848822	0.2099446	0.3796182	0.6985301	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127241	0.7286057	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999966	0.9997143	0.7577476	0.4201106	1.0000000	0.3542693	0.9886292	0.8309553	0.3468699	0.2108335	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839481	1.0000000	0.8284126	0.4052072	1.0000000	0.7271413	0.9999987	1.0000000	0.5357085	0.3927791	0.9263946	0.7283032	0.2296318	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000001	0.1698524	0.0728972	1.0000000	0.3888575	1.0000000	1.0000000	0.4467760	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0554541	0.9910297	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8385295	0.7679524	1.0000000	0.9999999	0.0000000	0.8613052	0.1168938	0.9949609	0.5737558	0.4432068	0.0532005	1.0000000	1.0000000	1.0000000	1.0000000	0.9999974	0.4595222	0.2915486	0.8045477	1.0000000	1.0000000	1.0000000	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8951144	0.8446155	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710656	0.9992947	0.4443010	0.6552110	1.0000000	0.3542693	0.9655078	0.3815680	0.8031899	0.2252063	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6839481	1.0000000	0.8284126	0.9964773	0.8083436	0.4890208	0.7279537	1.0000000	0.5357085	0.5540761	0.3229443	0.7283032	0.2374821	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.3888574	1.0000000	1.0000000	0.4707668	0.6212892	0.0000000	0.2262010	0.3836263	0.2401067	0.2439628	0.5194818	0.0109275	0.0520304	0.7441158	0.9233241	0.9999998	1.0000000	1.0000000	0.2575168	0.4414268	0.8017832	0.8882421	0.0000000	0.4382629	0.1168938	0.9949609	0.4727604	0.2060461	0.8359165	0.7611862	0.6734408	0.0177902	0.7488617	0.0463011	0.3102665	0.9999771	0.0463954	1.0000000	1.0000000	1.0000000	0.3796182	0.6985301	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892175	1.0000000	1.0000000	0.5818468	1.0000000	0.8127241	0.7286057	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563850	0.9032620	0.8284126	0.4052072	0.7834484	0.4738011	0.6872767	1.0000000	0.5357085	0.6184535	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453884	1.0000000	1.0000000	0.4709190	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695917	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928100	0.6798514	0.5421829	0.8875026	0.4167166	0.0000000	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042472	0.9999874	0.0463549	0.8367588	0.8847145	0.2098340	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	0.0000000	0.0545948	0.0729931	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999966	0.9997143	0.7577476	0.4201106	1.0000000	0.3542693	0.9886292	0.8309553	0.3468699	0.2108345	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839473	0.9999623	0.8284126	0.4052072	1.0000000	0.7271413	0.9999987	1.0000000	0.5357085	0.4737529	0.9263946	0.7283032	0.0811684	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000001	0.1698524	0.0728972	1.0000000	0.3888592	1.0000000	1.0000000	0.0000000	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0119750	0.9910296	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8381321	0.7679524	0.9999993	0.9999995	0.0180023	0.6578091	0.1168938	0.9949609	0.5737558	0.4432068	0.0532005	1.0000000	1.0000000	1.0000000	1.0000000	0.9999974	0.4595257	0.2915486	0.8045477	0.9999578	0.9999962	0.9637120	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8559050	0.7992078	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.0000000	0.0031183	0.0045045	0.1890238	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081878	1.0000000	0.7112803	1.0000000	1.0000000	1.0000000	0.9627615	0.9999501	0.9896656	0.9964084	1.0000000	0.8253254	0.0000003	0.8081822	0.4873090	0.7276805	1.0000000	0.5357085	0.5968218	0.3229021	0.7283032	0.1886348	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	0.1698524	0.0728972	1.0000000	0.4072321	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649953	0.6437465	0.8976600	0.0487006	0.8477954	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5664875	0.6910357	0.9479308	0.5924272	0.2202388	0.2338530	0.1168938	0.9949609	0.4728037	0.2060499	0.8361359	0.7610340	0.6731490	0.0177672	0.7483362	0.0463000	0.3398721	0.9999771	0.0463950	0.9658582	0.9845650	0.3927668	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9891933	1.0000000	1.0000000	0.5818468	1.0000000	0.7868298	0.6591003	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563850	0.9032620	0.8284126	0.4052072	0.7834485	0.4738010	0.6872767	1.0000000	0.5357085	0.5578267	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453885	1.0000000	1.0000000	0.4709189	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695917	0.6437400	0.9327701	0.8230063	0.6379586	0.7165872	0.5119921	0.8958286	0.4928100	0.6798514	0.5421829	0.8875025	0.4167164	0.4255520	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042472	0.9999874	0.0463549	0.8367587	0.8847144	0.2098341	0.4539059	0.0000000	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105612	0.7240273	1.0000000	0.4278294	1.0000000	0.0000000	1.0000000
