G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1749008	0.7261808	0.1716800	0.2974257	0.5781790	0.2832614	0.5831933	0.2542272	0.2861778	0.1403817	0.5829490	0.1400706	0.1277799	0.1533766	0.0483121	0.5706996	0.7293361	0.6113217	0.5594028	0.6420912	0.6515578	0.3653838	0.4531777	0.3638917	0.4750557	0.7085979	0.5051703	0.4795425	0.2135432	0.5448251	0.1336141	0.0358953	0.0340674	0.0433379	0.7832924	0.7822899	0.2627718	0.0752895	0.0361535	0.6303032	0.4330403	0.7583850	0.7587089	0.3589649	0.5641132	0.6012985	0.4262474	0.5459395	0.5749137	0.1045969	0.5007918	0.4883564	0.5810198	0.6363807	0.8980801	0.5091412	0.2948530	0.5716459	0.3916046	0.4355753	0.3134778	0.6072556	0.3044569	0.2334771	0.0395079	0.6682492	0.3167422	0.2154589	0.5744598	0.2909819	0.4436113	0.0255560	0.4337997	0.0512695	0.4489689	0.6404428	0.0157027	0.5562350	0.5376475	0.1240036	0.3017327	0.3209806	0.7915144	0.3390069	0.5046660	0.1927214	0.4782788	0.5828745	0.6862529	0.7892583	0.7693101	0.4799037	0.7663694	0.6394776	0.5224472	0.7424007	0.3551870	0.6945566	0.6143017	0.7632883
0.4536462	0.4125452	0.2603299	0.2535574	0.7821249	0.2595089	0.7152839	0.2021286	0.2332397	0.1534241	0.5340402	0.1089590	0.1749210	0.1096570	0.0463500	0.5174889	0.5308650	0.6234827	0.5088707	0.6901305	0.5647588	0.2767218	0.5769228	0.3597596	0.5163177	0.7686863	0.4588814	0.3715826	0.2317844	0.5296816	0.2151679	0.0357330	0.0303586	0.0254171	0.7690512	0.8007603	0.3194683	0.1152430	0.0895017	0.7596200	0.3151216	0.7645433	0.6636412	0.2717593	0.5887040	0.6785146	0.5297966	0.5259232	0.6055428	0.0682409	0.8204028	0.4009965	0.5819344	0.6864963	0.6928074	0.5482044	0.3590180	0.5063347	0.3536168	0.4467024	0.5237656	0.6024689	0.2741902	0.3400676	0.0559405	0.6293116	0.3880620	0.2359878	0.6483140	0.5600077	0.4376259	0.0057004	0.3244023	0.0426337	0.4158302	0.7162868	0.0310494	0.5985545	0.7036733	0.1312631	0.5030257	0.3155419	0.7165168	0.4712480	0.6210768	0.1885643	0.4300376	0.3909821	0.6354253	0.6650123	0.6846949	0.3415337	0.6996643	0.6088716	0.5873602	0.7334460	0.3258869	0.7766232	0.4701293	0.8234405
0.4722188	0.6767297	0.1673169	0.2769482	0.8318303	0.2691806	0.7928863	0.2954319	0.2184606	0.1631492	0.4920124	0.1573170	0.0751333	0.0896473	0.0585773	0.5489781	0.6599851	0.6253944	0.3210707	0.6095694	0.5482939	0.2318175	0.5471676	0.3893533	0.5212776	0.6511719	0.3184562	0.3546267	0.1947122	0.5224865	0.1713123	0.0325738	0.0218464	0.0342952	0.5912477	0.7940128	0.2862444	0.0920291	0.0294783	0.7095640	0.3949773	0.8209217	0.6700883	0.2869779	0.5006584	0.6747324	0.4804433	0.4258223	0.5479529	0.0505041	0.8018091	0.3414775	0.7205741	0.7188726	0.6878883	0.4774325	0.4240761	0.6825940	0.4495851	0.5385106	0.2564018	0.5016402	0.3149581	0.3501192	0.0767348	0.7352359	0.2681408	0.1073372	0.5354359	0.4538264	0.4824611	0.0089241	0.4303954	0.0240255	0.3399645	0.5898996	0.0274626	0.4979072	0.5376761	0.1518639	0.3432602	0.2662786	0.6269074	0.3623809	0.5490305	0.1846258	0.5469784	0.4629311	0.7269514	0.7524586	0.7018378	0.4747400	0.5966534	0.5547815	0.4535480	0.6660710	0.2674594	0.6238364	0.7808237	0.6930391
0.5111558	0.6703126	0.2745493	0.1287739	0.7398544	0.2307970	0.6094637	0.2583281	0.2327418	0.1616567	0.4646749	0.1616215	0.1231218	0.1887345	0.0166452	0.6164201	0.6366762	0.6367612	0.6331807	0.6288374	0.5817578	0.2619883	0.5205615	0.3495233	0.4968788	0.6970427	0.3059774	0.3805357	0.2148313	0.4798456	0.1798199	0.0515541	0.0444118	0.0277235	0.6706843	0.8131615	0.3705920	0.1911766	0.0757905	0.8298483	0.3389158	0.6947435	0.7985946	0.3598595	0.5595561	0.6705052	0.5911212	0.4285968	0.7643128	0.0249896	0.6482687	0.4044586	0.5882329	0.7379843	0.6523056	0.5125854	0.3055616	0.6618071	0.4021542	0.4488999	0.5242372	0.5839251	0.2281470	0.2775635	0.0959090	0.6266917	0.4090536	0.1977796	0.6352485	0.4666476	0.4693149	0.0128386	0.5467808	0.0566162	0.2617656	0.6610930	0.0472241	0.5490327	0.7189460	0.1886941	0.4337727	0.3501727	0.6755465	0.3677949	0.4363314	0.1028563	0.4480130	0.4216036	0.7316967	0.6943803	0.7190622	0.3684552	0.7058911	0.6055203	0.5595546	0.8527085	0.2406656	0.6324970	0.5505691	0.6762897
0.4450473	0.6585028	0.1558263	0.3654761	0.4000047	0.5519137	0.5887211	0.2239535	0.3249078	0.1440097	0.5809476	0.0935737	0.2086921	0.3076177	0.1005038	0.5745372	0.7067590	0.6546686	0.6673159	0.5662163	0.6088041	0.3289206	0.6036127	0.4372454	0.3384718	0.8082291	0.4003192	0.4656912	0.2068917	0.4600068	0.1256318	0.0372124	0.0226865	0.0284565	0.7765842	0.7562986	0.3374608	0.1050047	0.0511294	0.7669323	0.2708251	0.7110241	0.6989116	0.2352978	0.4049443	0.6202043	0.5382429	0.5306109	0.6431012	0.0720367	0.4903958	0.4273049	0.6762514	0.6349872	0.6064274	0.5706839	0.4189222	0.6080890	0.2636417	0.3600223	0.3242372	0.6294889	0.2409568	0.3650823	0.0719396	0.6897030	0.3561866	0.1171497	0.6295783	0.7457035	0.4749735	0.0062653	0.4316056	0.0466782	0.3372889	0.6385308	0.0387465	0.7011382	0.5686680	0.1186388	0.3736436	0.3309480	0.8475006	0.4124402	0.6704047	0.1598433	0.3989921	0.4878986	0.6068754	0.6292642	0.7873354	0.3550724	0.7644431	0.5514726	0.4034237	0.7026542	0.3266426	0.7607527	0.4750353	0.6665280
0.4041910	0.7643380	0.2415786	0.2952078	0.6314627	0.1582894	0.5608370	0.3025072	0.2499315	0.2195218	0.5353224	0.1208343	0.0634705	0.0830787	0.0332253	0.3970887	0.7078563	0.6080429	0.4660469	0.5740277	0.6681153	0.2885976	0.4746598	0.3278162	0.5459773	0.6762150	0.3568316	0.4003080	0.2188237	0.4699065	0.1867986	0.0279716	0.0060878	0.0348857	0.7369895	0.7423920	0.3531689	0.1037339	0.0313965	0.7620276	0.3663717	0.6382350	0.6481703	0.4299844	0.5612738	0.6795077	0.4476975	0.3630726	0.6495125	0.0370218	0.4996951	0.4394323	0.6828899	0.6414757	0.6307114	0.5076915	0.3769075	0.6614254	0.3873412	0.4822033	0.4150220	0.7086487	0.2951722	0.2984351	0.1336069	0.7534025	0.2938506	0.1115139	0.7380086	0.4531224	0.4649861	0.0135149	0.4813947	0.0467605	0.4057977	0.6831038	0.0273636	0.5548744	0.5452094	0.1559520	0.4517114	0.3312468	0.7614330	0.4632062	0.4705150	0.1455598	0.5298678	0.3846264	0.6819800	0.6684807	0.6724542	0.4020500	0.6348169	0.5618529	0.5240330	0.7452599	0.2810515	0.7963552	0.5967342	0.7743360
0.5028747	0.7215010	0.4029247	0.2605632	0.6675545	0.2090115	0.2422081	0.3313164	0.2071877	0.1702528	0.4628359	0.0858039	0.1459469	0.0931664	0.0773182	0.5483343	0.7067323	0.5295754	0.4342154	0.6766165	0.5840989	0.3148899	0.4779490	0.3547658	0.3823986	0.7400557	0.3206797	0.3142580	0.2950159	0.4742137	0.1479875	0.0162999	0.0185862	0.0332541	0.7010933	0.7718698	0.3660534	0.0945098	0.0501003	0.6404153	0.3427149	0.6956608	0.6776634	0.2836900	0.5091803	0.6237401	0.4955765	0.4652945	0.5183398	0.0716816	0.3929551	0.5355080	0.6609292	0.7279229	0.6946846	0.6018938	0.3965061	0.6790375	0.3320669	0.4839180	0.3820525	0.6693686	0.3442812	0.2830884	0.0940245	0.7449680	0.3273357	0.0737163	0.6370113	0.4843856	0.5181142	0.0169977	0.4053450	0.0872346	0.3177114	0.7669396	0.0560345	0.5980543	0.7355388	0.1813120	0.3027534	0.2982537	0.6393619	0.3509150	0.5490336	0.2443174	0.4029538	0.6349728	0.6917165	0.7043722	0.7648095	0.3960782	0.7148573	0.5838230	0.3885405	0.7436281	0.2495021	0.7866115	0.6050551	0.7526294
0.4972854	0.7391553	0.1906162	0.3299128	0.6839669	0.2936683	0.6336306	0.1187002	0.3594456	0.1731899	0.5878302	0.1040321	0.1034603	0.0992080	0.0265188	0.5445684	0.6109799	0.6895187	0.5644594	0.6492013	0.4723930	0.2053122	0.5385860	0.3254880	0.5141667	0.6240238	0.4001489	0.2981136	0.2760421	0.6815520	0.1452727	0.0191987	0.0045332	0.0419432	0.6799850	0.8058905	0.3236366	0.1622148	0.0840112	0.6675708	0.4292235	0.6648379	0.8263855	0.2613539	0.4063432	0.8070560	0.4307149	0.4514484	0.6544116	0.0240848	0.4952092	0.4791971	0.7819544	0.6836984	0.6936224	0.5440741	0.3313048	0.6093337	0.3496174	0.5073802	0.2826816	0.5861923	0.2586562	0.3076448	0.0686877	0.6511981	0.4000387	0.1756166	0.5931746	0.5203345	0.4655136	0.0068579	0.5613375	0.0472217	0.4768441	0.6677546	0.0214907	0.4626886	0.6140992	0.1418026	0.3751075	0.1769686	0.7867582	0.6538794	0.4393234	0.1196488	0.3877582	0.4889823	0.6655489	0.7418622	0.7544424	0.3994693	0.8047142	0.6048112	0.5919820	0.6336482	0.3945523	0.7196511	0.6552497	0.6618973
0.4656177	0.9382757	0.3393582	0.2800208	0.8225511	0.2799778	0.7048118	0.2359766	0.2049797	0.1814471	0.4144238	0.1145165	0.0787466	0.0796145	0.0747985	0.5242708	0.7799097	0.6860139	0.4624570	0.5634605	0.6329287	0.3024345	0.5293554	0.3442406	0.3965337	0.5768765	0.3680305	0.2802722	0.2396859	0.5404819	0.1447328	0.0279118	0.0406529	0.0252419	0.7751768	0.7164272	0.3871910	0.1287275	0.0543234	0.8420254	0.5137167	0.8080534	0.6579857	0.3309598	0.4692986	0.7829107	0.3917035	0.5663207	0.7239746	0.0775640	0.5074200	0.4895907	0.6605533	0.7017605	0.7921584	0.6781662	0.4091278	0.5529692	0.2455097	0.4142716	0.2695406	0.6978871	0.3497044	0.2711016	0.0673182	0.5845204	0.5020605	0.2200001	0.5677701	0.5335462	0.5269474	0.0211370	0.5038318	0.0559393	0.4214884	0.7565397	0.0453356	0.6788730	0.6947720	0.1083358	0.4411653	0.4261747	0.6253739	0.3800817	0.5610092	0.1497763	0.3980638	0.4966060	0.6951180	0.8009078	0.7132329	0.4077873	0.6041960	0.5290844	0.5181409	0.7204635	0.2932846	0.6635928	0.5689404	0.6992101
0.3931086	0.7431261	0.3217290	0.3079180	0.6220966	0.2439730	0.5978998	0.2762853	0.3237226	0.0718937	0.5138182	0.1203582	0.0641806	0.0862495	0.0200568	0.5137204	0.9124791	0.6736800	0.4184444	0.6409179	0.5901884	0.3280122	0.5676496	0.3583841	0.3605381	0.6959658	0.4388718	0.3888059	0.2704960	0.4923112	0.1440471	0.0405451	0.0094861	0.0806221	0.6380082	0.7038307	0.3696058	0.0983414	0.0487793	0.6907489	0.3614055	0.8678737	0.8260753	0.2890955	0.4745946	0.7252322	0.5224805	0.5010723	0.6328757	0.0526732	0.4684239	0.5417323	0.6792837	0.5887363	0.6191455	0.4895174	0.4460937	0.6187661	0.3279046	0.4318781	0.8096155	0.5967692	0.2599637	0.2025824	0.1074367	0.7649228	0.3181054	0.1398192	0.6185217	0.5335412	0.4470985	0.0104174	0.4694996	0.0475139	0.2587230	0.6400828	0.0412530	0.5763291	0.6314545	0.2178223	0.3911469	0.3625837	0.7538784	0.3936532	0.5361194	0.1488543	0.2674843	0.5695023	0.6433466	0.6291207	0.6207662	0.3334105	0.6726213	0.5661453	0.5045464	0.5883449	0.2741892	0.6149400	0.7023777	0.6839739
