G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4288006	0.6670444	0.2880285	0.2322092	0.5231552	0.2102169	0.7869198	0.3787946	0.3009163	0.1980755	0.4311313	0.1355097	0.0032499	0.1504917	0.0099083	0.3909650	0.5816633	0.2990537	0.3264482	0.4076472	0.6210832	0.3433157	0.4964847	0.1512140	0.4463220	0.4935477	0.2694325	0.3937628	0.1227486	0.4089860	0.0909651	0.0392787	0.0160228	0.0514736	0.6772657	0.7233562	0.4225524	0.0004427	0.0952881	0.6772738	0.4439156	0.4939369	0.5197432	0.5554873	0.3487334	0.4914748	0.4535179	0.5428397	0.6578783	0.0724164	0.2444534	0.4854178	0.7312957	0.7972344	0.7336409	0.5321639	0.3330215	0.5930380	0.3447709	0.4237905	0.2198884	0.6701710	0.4250323	0.4256110	0.0083388	0.6459811	0.4077950	0.0188313	0.6225891	0.5615355	0.4456934	0.0119759	0.4251747	0.0047645	0.5650151	0.7591554	0.0058846	0.4243865	0.3428887	0.0615221	0.4047670	0.2097471	0.6819632	0.6018663	0.5159736	0.5790746	0.1914049	0.2585055	0.6885596	0.4525799	0.7930201	0.4220039	0.4902686	0.6494624	0.4645412	0.6809708	0.3275390	0.6941509	0.5853730	0.3669199
0.5396903	0.7481567	0.4662060	0.3575408	0.5910805	0.3185813	0.5553944	0.2307112	0.1044050	0.1344264	0.3329647	0.1620810	0.1484520	0.1056501	0.0042749	0.2660448	0.7724829	0.5851412	0.3959792	0.6219917	0.5567441	0.4968637	0.7041089	0.0785410	0.4837592	0.7437927	0.3257869	0.1283437	0.4715515	0.3643470	0.3401910	0.0143959	0.0428197	0.0418917	0.6751358	0.2060249	0.1310533	0.1027149	0.0336491	0.6979793	0.3669755	0.7733144	0.7259123	0.4088189	0.4420440	0.5882987	0.5543104	0.4147982	0.5064196	0.1421787	0.6201718	0.3790816	0.7446598	0.7007874	0.7362707	0.6236779	0.3473904	0.5588281	0.5551884	0.2126084	0.0660189	0.4987710	0.4536898	0.5945575	0.0124183	0.6502766	0.4214506	0.4053696	0.4595308	0.6670201	0.7048643	0.0627172	0.6192394	0.0037583	0.1945133	0.6686563	0.0161445	0.4831902	0.2518195	0.0750088	0.4200825	0.1730439	0.5531781	0.5028386	0.4377344	0.2123401	0.2644059	0.4919883	0.6142337	0.6826853	0.4216069	0.2128290	0.6331224	0.7270097	0.5969012	0.6926248	0.1765885	0.6884179	0.5891792	0.7594259
0.4966129	0.6504652	0.5273469	0.3939880	0.8802730	0.2420948	0.7139465	0.3707131	0.4405575	0.0838694	0.4003578	0.1374487	0.0555718	0.1487648	0.0312145	0.1719003	0.5455191	0.5483779	0.5042656	0.5716963	0.5010187	0.6094182	0.4811133	0.7729272	0.4485550	0.5636009	0.3013394	0.3105449	0.6135693	0.3143466	0.1160678	0.0393228	0.0722600	0.0239002	0.6651717	0.4424513	0.2003475	0.0089741	0.0029204	0.8040041	0.3990073	0.7418316	0.4078734	0.4221541	0.2194403	0.4783956	0.3361193	0.3483918	0.5914389	0.1057441	0.5834403	0.3948757	0.4731088	0.5940569	0.5712457	0.3968600	0.4789514	0.3845412	0.4817837	0.4765432	0.1805624	0.7485112	0.4233374	0.5466651	0.0885121	0.6952465	0.2645848	0.1686438	0.2793649	0.4893250	0.4163789	0.0165858	0.6970508	0.0009212	0.2361809	0.6200753	0.1753667	0.4055005	0.4160216	0.1139293	0.2986774	0.3619844	0.6803925	0.5792539	0.4403055	0.1226927	0.4419536	0.4249234	0.7183121	0.7450266	0.5248808	0.1712737	0.7563529	0.7003609	0.6557475	0.8284019	0.2486423	0.7974591	0.6240118	0.7077043
0.4526075	0.7661395	0.4841223	0.2582358	0.6665129	0.2361058	0.7944868	0.2351396	0.4474235	0.1058776	0.3349090	0.0207532	0.0974963	0.0379687	0.0096462	0.3195695	0.6811261	0.5004562	0.4979350	0.7654516	0.5914109	0.0839973	0.5810414	0.3726899	0.5507746	0.7864776	0.5467261	0.2089148	0.0478482	0.5140890	0.0535382	0.0197210	0.0379504	0.0085940	0.5869560	0.7747580	0.2319498	0.1686381	0.0439265	0.5806517	0.3016787	0.5407637	0.5848767	0.2160306	0.4024520	0.3020267	0.2667386	0.5428861	0.3726829	0.1818554	0.7152417	0.2941041	0.6860135	0.6492431	0.5751599	0.4851830	0.3459052	0.3602079	0.1792893	0.3343208	0.8825193	0.2381926	0.1703687	0.3183266	0.3671567	0.1954268	0.3537309	0.0182204	0.5359715	0.5140432	0.4578014	0.0104008	0.4466925	0.0026086	0.1268657	0.6748212	0.2034270	0.6776475	0.6254577	0.1965653	0.3913350	0.2391342	0.6494503	0.4330434	0.4874689	0.1738250	0.3496548	0.4382124	0.5624485	0.7228902	0.9143392	0.4953294	0.6869639	0.6162161	0.6654529	0.6445340	0.3274263	0.6991786	0.5070837	0.5909040
0.4620137	0.6342061	0.3947869	0.3274643	0.7680163	0.1579795	0.6503045	0.4738266	0.2125610	0.0998541	0.4583811	0.1203276	0.0701950	0.0679792	0.0403004	0.6415954	0.5017436	0.6477123	0.5263308	0.4465990	0.6871006	0.3124317	0.6231834	0.4091028	0.3936046	0.7913822	0.4255384	0.1782163	0.2475363	0.4961495	0.1711893	0.0142693	0.0347119	0.0389403	0.4895377	0.6072642	0.2596152	0.1820556	0.0549532	0.7136372	0.3742109	0.7108147	0.5135389	0.3968200	0.3138186	0.6278043	0.5219895	0.4601905	0.5335857	0.1228705	0.4478554	0.5428328	0.5174128	0.5617902	0.7777872	0.7040428	0.2429812	0.6475179	0.5251173	0.6023753	0.1511300	0.6793614	0.3485792	0.5547634	0.1547784	0.4634569	0.1567569	0.4355128	0.1534642	0.5571159	0.2309705	0.0194753	0.4322568	0.0031449	0.2649397	0.6579737	0.2389305	0.5152289	0.3562734	0.1220228	0.3431696	0.3792387	0.6930551	0.4395062	0.4910218	0.1261109	0.4347491	0.3790440	0.6473879	0.4878046	0.2818320	0.4355715	0.7449934	0.6715885	0.6552684	0.1519292	0.5568106	0.6415417	0.5108329	0.7483578
0.5250343	0.6755979	0.3629539	0.4767241	0.6701832	0.1394066	0.6246477	0.2939643	0.5343622	0.1196090	0.3192972	0.0877949	0.0469419	0.1254746	0.0553065	0.6665400	0.7011975	0.6579850	0.2018314	0.5222777	0.6105380	0.2044623	0.6055713	0.5212069	0.5365887	0.8786158	0.4046067	0.1660182	0.2400695	0.5686010	0.3360590	0.0076339	0.0260426	0.0202209	0.6355161	0.4206454	0.2004296	0.0848407	0.0101799	0.7361624	0.5852261	0.6533164	0.7646995	0.5929719	0.4618602	0.7436032	0.4317889	0.4666945	0.4022017	0.0408084	0.5530286	0.4567812	0.7510526	0.4646219	0.6998346	0.5296981	0.4011106	0.4043246	0.5036587	0.4986294	0.1140972	0.7643826	0.5331264	0.6111521	0.0173760	0.6265855	0.5085899	0.2488530	0.5119845	0.5716700	0.7985014	0.0149653	0.6498823	0.0455209	0.5137946	0.7244781	0.0201959	0.3955432	0.3206958	0.0457510	0.1930929	0.3239688	0.6561824	0.4161404	0.5718939	0.2083473	0.2733674	0.5593412	0.7162710	0.8436655	0.8069754	0.5750569	0.7110737	0.6609732	0.7893577	0.5441175	0.2544453	0.5581924	0.5570603	0.7044324
0.4084769	0.7502922	0.4330804	0.2636996	0.6908778	0.2669554	0.6265350	0.2115075	0.3343451	0.1196354	0.4993483	0.0770422	0.0405778	0.0718306	0.0016073	0.4792656	0.6333790	0.4972979	0.3126470	0.3448023	0.6463214	0.0636794	0.4260594	0.1598142	0.5610955	0.6425083	0.3313466	0.2507070	0.0805338	0.5431999	0.4637576	0.0056426	0.0240648	0.0445823	0.5848111	0.8003097	0.3671616	0.0014123	0.1497677	0.7018556	0.6023906	0.7502120	0.5299857	0.1508152	0.3340222	0.7335065	0.6336192	0.6826508	0.5152373	0.0494632	0.6587522	0.4906056	0.6516125	0.6563391	0.8121063	0.6082250	0.3165691	0.6360152	0.4294318	0.5197349	0.1578594	0.1130709	0.3529904	0.0793696	0.0890584	0.6336628	0.2937598	0.1709904	0.6257785	0.5929737	0.4481275	0.0107476	0.4335481	0.0012048	0.6479751	0.5820368	0.1051367	0.5151483	0.4170613	0.1169335	0.6150363	0.2589709	0.6744062	0.2533526	0.4368087	0.1336334	0.2821951	0.4510132	0.6541197	0.4724853	0.7084856	0.4806500	0.6667561	0.5842999	0.6090006	0.9448350	0.2979720	0.5780512	0.5377408	0.5277989
0.6297107	0.6727940	0.3185126	0.3382334	0.6308094	0.1653723	0.7243909	0.2741439	0.3815184	0.1235728	0.4558039	0.1177830	0.0456432	0.1518382	0.0536798	0.4597309	0.6284393	0.5565090	0.3912451	0.6892898	0.7948256	0.2932375	0.5494070	0.4050604	0.3941277	0.5052731	0.2213739	0.5202322	0.3306398	0.4572322	0.1970455	0.0184264	0.0145244	0.0377713	0.6725779	0.5689850	0.3049560	0.1435267	0.0613387	0.5373273	0.5600317	0.5026674	0.6085539	0.4844558	0.6917335	0.5738700	0.2920415	0.4006385	0.4448535	0.1706630	0.4756314	0.3777635	0.5567907	0.6694496	0.5490654	0.4672695	0.5246310	0.6243754	0.6259678	0.5145912	0.1673069	0.7447168	0.5276225	0.5924319	0.1402246	0.6241209	0.3855744	0.0576799	0.5443886	0.5152285	0.5080959	0.0216262	0.2320934	0.0003915	0.5690501	0.7703258	0.0235094	0.3242820	0.6471232	0.0568046	0.3858764	0.1207195	0.7810487	0.4281506	0.6211686	0.1974426	0.2610108	0.4325906	0.6957117	0.7947628	0.8018450	0.4773463	0.5197240	0.4586964	0.7261337	0.6865191	0.3135319	0.6404869	0.5862317	0.6604573
0.3990276	0.7718259	0.2538705	0.4082553	0.7135195	0.2525957	0.6270271	0.3198502	0.1250031	0.1292064	0.5738407	0.1247725	0.0713256	0.0962678	0.0123475	0.2550700	0.2714915	0.5748280	0.4695845	0.5143001	0.6448952	0.4829378	0.4882329	0.3887578	0.6093116	0.6450732	0.3475884	0.3537973	0.4154279	0.5280789	0.1814431	0.0138372	0.0098895	0.0487228	0.8091114	0.5019890	0.2619979	0.1660736	0.0948757	0.5764796	0.3635099	0.7664179	0.7068093	0.4885825	0.4172132	0.6220620	0.4415446	0.4964453	0.5472667	0.0348938	0.6514051	0.4556077	0.7145020	0.6323081	0.6911007	0.4248928	0.4121323	0.4368203	0.4037234	0.6231755	0.1607527	0.7196729	0.4652332	0.4222406	0.0267031	0.6632105	0.4164149	0.2475171	0.7555834	0.3117207	0.3103523	0.0098256	0.5233923	0.0303399	0.6698077	0.3266749	0.0014784	0.4011825	0.3943142	0.0510729	0.4568430	0.2104408	0.5361390	0.3486891	0.4782927	0.2863015	0.3071376	0.4706696	0.6674360	0.7408359	0.7224862	0.4424472	0.7401385	0.7730931	0.5958896	0.5177589	0.3279257	0.5836650	0.4301647	0.7627505
0.3649555	0.7540140	0.2700755	0.2853694	0.8072058	0.1051913	0.6583068	0.2406665	0.5210715	0.1379619	0.3178611	0.0930817	0.1150063	0.1247480	0.0094933	0.6719875	0.6766882	0.3861703	0.3288644	0.4965154	0.7067170	0.3188244	0.4796434	0.1008905	0.5466293	0.7292802	0.4770992	0.2618649	0.2224556	0.4388890	0.2909353	0.0135128	0.0004181	0.0203206	0.7077728	0.6071571	0.3089712	0.1305669	0.0881291	0.6270301	0.5121105	0.6342112	0.3305938	0.5801555	0.1467109	0.7421804	0.4295667	0.4787124	0.5128668	0.0399535	0.4878060	0.4384752	0.6113516	0.5902865	0.6623653	0.4980947	0.3459213	0.6265294	0.3013251	0.4759755	0.1315473	0.6761705	0.5870664	0.3599394	0.1070772	0.6338240	0.4756668	0.1764594	0.4503340	0.5819305	0.4372116	0.0151729	0.2398875	0.0010348	0.5086543	0.5780891	0.2523605	0.3520267	0.1130515	0.0706963	0.5300045	0.2563365	0.6295499	0.4195346	0.5653085	0.3211163	0.1810776	0.2339509	0.6518363	0.6456749	0.6896064	0.1067729	0.5886462	0.7021522	0.5131157	0.6479121	0.2644313	0.6020449	0.4880145	0.5881700
