G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6128729	0.6024878	0.4894392	0.4972637	0.8937708	0.2437561	0.6794771	0.7454087	0.5461858	0.1258176	0.5072189	0.0966158	0.0853478	0.0996089	0.0331100	0.0670765	0.7685204	0.2793749	0.4489913	0.6262968	0.6019494	0.7344801	0.7813492	0.6434138	0.6809014	0.7005434	0.4022036	0.2295379	0.6009566	0.4311209	0.1373483	0.0399282	0.0149537	0.0336542	0.6580327	0.6681664	0.0000000	0.1577097	0.0481686	0.6052337	0.3204906	0.7404522	0.7628814	0.2537150	0.4148565	0.0000000	0.0412727	0.0575635	0.1781458	0.1754773	0.3765887	0.0070395	0.0558119	0.4628919	0.7609808	0.6354277	0.7904221	0.6611307	0.3853107	0.4244415	0.5452328	0.6589015	0.2310544	0.6074103	0.1066533	0.6362418	0.4564714	0.3603686	0.0421811	0.6267719	0.6771977	0.7367571	0.6571858	0.7350927	0.4302054	0.2527249	0.6275820	0.6630896	0.6953968	0.1751261	0.2162499	0.4841691	0.6897931	0.4039143	0.6868837	0.1257984	0.4557118	0.4936006	0.7117751	0.7305421	0.6990146	0.4598815	0.8184310	0.6148257	0.6275193	0.7096637	0.3038101	0.6175187	0.5801553	0.7282858
0.5002709	0.0053294	0.1324949	0.2497007	0.0000000	0.7098126	0.0216661	0.0225477	0.0730880	0.0013133	0.6858386	0.7836521	0.5605868	0.7429475	0.6633342	0.4225857	0.4263320	0.6839788	0.6804416	0.7928408	0.5095228	0.0000036	0.4632805	0.3248751	0.6638875	0.6827059	0.3886538	0.4062534	0.2438984	0.5285078	0.1438538	0.0321952	0.0491460	0.0279142	0.6526391	0.7271263	0.3135528	0.8497676	0.6677791	0.8119704	0.4149846	0.7664202	0.6541570	0.3098283	0.6143992	0.7423367	0.4643555	0.4139473	0.6188165	0.0549105	0.6128024	0.4277967	0.5291194	0.6344050	0.8096383	0.7325453	0.4477847	0.2868726	0.3358613	0.5369677	0.6317752	0.4920275	0.1349110	0.1407649	0.0816807	0.6816762	0.3560015	0.1670681	0.5431270	0.5282153	0.4574989	0.0111423	0.5380226	0.0227543	0.2677843	0.6222117	0.0282058	0.6476553	0.7029776	0.3443444	0.3368885	0.4763045	0.6791432	0.7805487	0.0000000	0.6992563	0.6348468	0.5511647	0.6860883	0.7830682	0.6751103	0.4070121	0.6720773	0.5373682	0.5075081	0.5841704	0.3181545	0.7696293	0.5415220	0.7067863
0.5754543	0.0077999	0.1162257	0.1475374	0.0000000	0.8051199	0.0172648	0.0175227	0.3469770	0.1404341	0.6115228	0.5529653	0.6342717	0.6229628	0.7424373	0.5833757	0.7789901	0.6414058	0.6300997	0.7670381	0.5155265	0.3736060	0.7502554	0.4186668	0.5237923	0.7204981	0.4421548	0.2707753	0.2381263	0.4284073	0.1367503	0.0124177	0.0159660	0.0176123	0.7054896	0.6447270	0.2220837	0.1283629	0.0462856	0.7226895	0.5242853	0.7447325	0.6986959	0.2984459	0.5159541	0.0000000	0.1864021	0.3354446	0.1437653	0.2015320	0.2049644	0.0004355	0.0413884	0.5584443	0.6817851	0.7377948	0.6588948	0.6744689	0.2569603	0.3209327	0.2116704	0.6496048	0.3611451	0.3226577	0.1435401	0.7177164	0.3647674	0.1032879	0.6664489	0.5132660	0.4132668	0.0114352	0.6262544	0.0258813	0.4470299	0.8591969	0.0346113	0.4612362	0.5734554	0.1725019	0.2551120	0.5507337	0.7874254	0.4361616	0.5707569	0.1484052	0.4416845	0.6118967	0.8229322	0.6894740	0.6932198	0.4873112	0.6914132	0.5081652	0.5307283	0.7368780	0.2370095	0.7251634	0.5818162	0.6542261
0.5584144	0.7851637	0.2314461	0.7026372	0.7931174	0.2239691	0.6526280	0.2787493	0.6205598	0.1163949	0.7203380	0.4264217	0.5935472	0.0902895	0.0251941	0.0619817	0.1532334	0.0023203	0.6731478	0.6068058	0.5098474	0.6686141	0.5626442	0.3944385	0.6326390	0.6211949	0.3095091	0.3919672	0.3904073	0.5482123	0.1621804	0.0130274	0.0462759	0.0185398	0.8032523	0.7482641	0.2818406	0.6274149	0.5814092	0.6813510	0.5162993	0.7894319	0.6882043	0.3024572	0.4900871	0.0000000	0.1247726	0.1479157	0.1873203	0.2019900	0.2370440	0.0038976	0.0423791	0.5330796	0.7282741	0.5793723	0.7426732	0.6739010	0.2473199	0.3428999	0.1249249	0.7280214	0.3893319	0.3207459	0.0629118	0.7192470	0.3516582	0.1590923	0.6306277	0.5368575	0.5350674	0.0288695	0.5278873	0.0604356	0.4047816	0.7492016	0.0373053	0.4898268	0.5152128	0.1414502	0.1827137	0.4112484	0.5969033	0.7182641	0.0000000	0.6196943	0.7421460	0.6158258	0.6384642	0.7058651	0.7725388	0.3504035	0.7093624	0.6567749	0.5500835	0.7005370	0.3626612	0.6069954	0.5940709	0.6327196
0.6561966	0.6959266	0.5388028	0.2691945	0.6736780	0.2198960	0.7717243	0.6506406	0.2859331	0.1636763	0.5261458	0.1715703	0.0680577	0.1147744	0.0177536	0.5937851	0.6466234	0.5281337	0.6124194	0.8473079	0.5850705	0.3714077	0.6562705	0.5134703	0.6796152	0.7289566	0.4090032	0.2082398	0.6758487	0.4832407	0.1511090	0.0283265	0.0367019	0.0380289	0.6827639	0.7376090	0.0000000	0.1401666	0.0331531	0.7672762	0.2724424	0.7364761	0.6252500	0.3611434	0.4005951	0.7491366	0.3197973	0.2897223	0.5933172	0.0288589	0.6879984	0.5215261	0.6567393	0.6520882	0.6380267	0.5014487	0.3118420	0.6939052	0.6119363	0.6133783	0.7870969	0.8966268	0.0000000	0.5910952	0.0649861	0.7344841	0.4858886	0.3311479	0.0248499	0.7896970	0.7433913	0.6755134	0.7822113	0.6436022	0.3249027	0.1757020	0.4861125	0.7384754	0.7492538	0.8844455	0.3473010	0.3212165	0.9094144	0.4012575	0.5190565	0.1923362	0.4395609	0.5251860	0.6540569	0.7030983	0.5438594	0.3320828	0.7542079	0.6643111	0.6341773	0.7674421	0.3841376	0.5597337	0.5231228	0.6157074
0.5190151	0.8628565	0.3081586	0.4496339	0.6568041	0.3098873	0.7967940	0.2857024	0.5806601	0.1523571	0.5989969	0.1537024	0.0451061	0.1399799	0.0650763	0.0750610	0.7282229	0.2789254	0.4664713	0.7793990	0.6965520	0.6544817	0.6300845	0.3638454	0.4951188	0.5904499	0.3689092	0.3537941	0.2688508	0.5893685	0.2178043	0.0246795	0.0317748	0.0468647	0.7624617	0.6121857	0.2880964	0.1513500	0.0369294	0.6838134	0.2804088	0.7562088	0.6893372	0.3279043	0.4106588	0.0000000	0.1415861	0.2681026	0.1818272	0.1620535	0.4313969	0.0163521	0.0330967	0.5416575	0.6204558	0.8274247	0.7120521	0.7167705	0.1620540	0.3651937	0.5561491	0.7622736	0.0000000	0.4254844	0.0927923	0.6225882	0.3317806	0.1526709	0.7124950	0.5262570	0.4607139	0.0148263	0.4820209	0.0157594	0.2568194	0.6708325	0.0512161	0.7837880	0.7236724	0.7090509	0.2211195	0.4734456	0.7092365	0.3593721	0.5618028	0.1178393	0.3402787	0.4938762	0.7438206	0.5590471	0.6995199	0.4395981	0.7126887	0.5063375	0.5711480	0.6872562	0.2703744	0.7964806	0.7012322	0.7443159
0.4279987	0.8093180	0.3694962	0.3143938	0.6639020	0.2605426	0.6908401	0.2819708	0.2639251	0.1241870	0.4432055	0.1049493	0.1292126	0.0930866	0.0304943	0.5334375	0.6854549	0.6692219	0.4365203	0.5936928	0.5507405	0.2635038	0.6569272	0.3754593	0.3914438	0.8005602	0.3106524	0.3750401	0.1939530	0.5623329	0.1978170	0.0318476	0.0290462	0.0337071	0.6902366	0.6149224	0.2884906	0.1072351	0.0516313	0.7754855	0.4242133	0.6259965	0.8333690	0.2326237	0.4932111	0.7007050	0.4891564	0.3743434	0.6800692	0.0505080	0.4710103	0.4033888	0.7195229	0.5743569	0.7460555	0.5866543	0.3013874	0.5919613	0.3733484	0.4656474	0.3273350	0.6174593	0.3728502	0.0000000	0.1123152	0.7193308	0.2982080	0.1620495	0.5790995	0.4985729	0.4931514	0.0063998	0.3961727	0.0539710	0.5202702	0.6900725	0.0081283	0.5134088	0.6257291	0.1207843	0.4047326	0.3241508	0.7292883	0.3254447	0.6086033	0.1583305	0.3839324	0.5394040	0.6700348	0.6370262	0.6617344	0.4147277	0.0000000	0.0506033	0.0747570	0.6692147	0.3391075	0.8781239	0.7108617	0.8096329
0.7536041	0.6879795	0.5334730	0.2593146	0.7555099	0.2283812	0.7381630	0.6667129	0.3214957	0.1294191	0.5363568	0.1293977	0.0734186	0.0848388	0.0822514	0.5491202	0.7174826	0.5151121	0.4959578	0.6917132	0.7148385	0.2797948	0.5982206	0.5329490	0.7242893	0.7377040	0.3704741	0.3311832	0.6217077	0.5481394	0.0425033	0.0308278	0.0219800	0.0257489	0.6618521	0.7335277	0.0000000	0.0966498	0.0270589	0.6211623	0.2869258	0.6725659	0.6998201	0.0000000	0.4723064	0.6295657	0.3464978	0.2614259	0.6633886	0.0225961	0.8044523	0.4407973	0.6934423	0.6759878	0.5506174	0.5709211	0.3918096	0.5265807	0.6125751	0.6280689	0.7596003	0.7190585	0.0084516	0.3455932	0.0726185	0.7586083	0.4103276	0.4291452	0.0234786	0.6429593	0.6966933	0.9229054	0.6744539	0.6709517	0.3057347	0.2191392	0.6388786	0.7281848	0.5463188	0.7609836	0.3132683	0.3436708	0.7606789	0.5438604	0.5611968	0.1813907	0.5148473	0.5160542	0.6741855	0.5658564	0.7367502	0.3997104	0.6119023	0.7785328	0.5638160	0.7189732	0.3305613	0.6774215	0.6130061	0.6322014
0.0000000	0.0017825	0.0022398	0.0811805	0.0000000	0.6217318	0.0099879	0.0226509	0.0304691	0.0020898	0.6453628	0.4394359	0.6694981	0.7872122	0.6858965	0.7548811	0.7100833	0.6634362	0.6536633	0.7811399	0.6938698	0.0000115	0.6052419	0.3570759	0.5148034	0.6547350	0.3231495	0.4945293	0.2722374	0.4346416	0.1204323	0.0245562	0.0235994	0.0117364	0.7382615	0.7493406	0.3940808	0.1385452	0.0592391	0.7152305	0.2510087	0.8778624	0.6512249	0.2304286	0.4110186	0.7550062	0.4348988	0.4439958	0.6984352	0.0290096	0.5462419	0.5311258	0.6501037	0.6288543	0.7824091	0.4923187	0.5354126	0.8109460	0.4342068	0.5089840	0.8903075	0.4553412	0.1819512	0.3041831	0.0636608	0.7412633	0.3765654	0.1692194	0.6627218	0.5385695	0.4648539	0.0209382	0.5528923	0.0232751	0.1880533	0.7207390	0.0504175	0.7128867	0.7022914	0.2173344	0.3861041	0.3737035	0.6565860	0.4274812	0.6281244	0.1882812	0.3897510	0.4548801	0.8280762	0.8957618	0.6496632	0.4550863	0.7464168	0.6157137	0.4465375	0.6197591	0.2767240	0.6932836	0.6237196	0.7896228
0.4203913	0.6544351	0.2791449	0.3314200	0.6302070	0.2848325	0.6172099	0.2403099	0.2262880	0.2020183	0.4714048	0.1528767	0.0978919	0.1054647	0.0252998	0.5528874	0.7187099	0.5822404	0.4700641	0.6283149	0.5803630	0.2660918	0.5839606	0.3459638	0.4045701	0.7733318	0.3443994	0.3740044	0.2112274	0.5958286	0.1529516	0.0469991	0.0181993	0.0117534	0.5956053	0.6892798	0.4059023	0.1127464	0.0518458	0.7554157	0.4300011	0.6953796	0.7795588	0.3748753	0.4035033	0.6319671	0.4365922	0.5177907	0.5856701	0.0334715	0.5011416	0.4801679	0.6120192	0.6663997	0.4337270	0.5148014	0.3550150	0.5234185	0.4484090	0.4400089	0.3866432	0.6201367	0.4133096	0.3824790	0.0637161	0.6208645	0.3749742	0.2402775	0.5740520	0.4828818	0.3138479	0.0081983	0.3780141	0.0185909	0.3544820	0.7545060	0.0179354	0.6183901	0.6144274	0.1116713	0.3262454	0.0000000	0.6340181	0.4695411	0.4860805	0.1067305	0.3962994	0.4384049	0.6591272	0.6879001	0.6944453	0.4002394	0.7134386	0.7025939	0.5689879	0.7460025	0.2893153	0.8777123	0.0000000	0.7198287
