"G_i"	"G_j"
37	46
5	85
5	46
46	85
37	63
46	63
64	93
37	44
1	5
82	99
63	83
46	99
46	82
46	62
44	96
44	62
44	46
38	85
37	96
37	72
37	69
37	67
10	62
10	46
5	96
5	83
5	63
5	37
96	100
92	93
91	96
90	93
90	92
85	100
85	87
83	85
72	75
67	69
64	92
64	90
62	100
62	96
55	99
55	82
54	99
54	82
46	100
46	96
46	83
46	75
46	72
46	57
46	55
46	54
45	62
44	100
44	93
43	62
43	45
40	63
38	46
37	100
37	93
37	90
37	85
37	75
37	62
37	42
36	46
26	93
26	92
26	90
26	64
26	44
26	37
23	75
23	72
23	46
23	37
10	45
10	44
10	43
10	36
5	100
5	91
5	62
5	44
5	38
5	25
5	15
1	85
1	46
