G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2333661	0.6822236	0.2100852	0.2331255	0.6595709	0.2286593	0.8210115	0.2332067	0.3196506	0.1632873	0.6004171	0.1224334	0.0882791	0.0918794	0.0384172	0.6291075	0.7209803	0.5824157	0.5031416	0.4918365	0.6270425	0.2451772	0.6237947	0.2978602	0.4772137	0.7185601	0.4110248	0.4183304	0.2086277	0.4805819	0.1920499	0.0225467	0.0202068	0.0221846	0.8294391	0.6648013	0.3358916	0.1850446	0.0679310	0.6947030	0.4410402	0.7667769	0.6722124	0.3767907	0.4547509	0.7847684	0.3527833	0.4484341	0.6024659	0.0733905	0.4876831	0.6249756	0.6559036	0.6905097	0.7040588	0.4899584	0.2782152	0.7234669	0.4162168	0.4691948	0.2371937	0.5847307	0.2721685	0.3773542	0.0942332	0.5749115	0.3477977	0.2101798	0.7101289	0.5791560	0.5255698	0.0272333	0.4371945	0.0324382	0.3835545	0.7452763	0.0320436	0.5458354	0.6154806	0.1146346	0.3264827	0.3342732	0.8621925	0.4788382	0.5548823	0.1876950	0.4001309	0.4469665	0.6459336	0.6857922	0.7479216	0.4629188	0.6179097	0.6476194	0.5283034	0.7489973	0.2830928	0.7100447	0.6477508	0.7419846
0.4374363	0.4423939	0.2931214	0.2788578	0.6639431	0.2923751	0.6005725	0.3063427	0.2749022	0.1747241	0.5198463	0.1853680	0.0717143	0.1181889	0.0294770	0.5790635	0.6968941	0.6117753	0.4448143	0.5999991	0.6860626	0.3049265	0.6430843	0.3754649	0.4511919	0.6452784	0.3831549	0.3558200	0.2433729	0.5114640	0.2263323	0.0233383	0.0147904	0.0422800	0.6026612	0.7230685	0.3367783	0.1520507	0.1438504	0.7880433	0.4994651	0.8167077	0.7817853	0.3125624	0.3540945	0.6779432	0.4933205	0.4602415	0.5882396	0.0915314	0.5571254	0.4218902	0.6612502	0.6711880	0.9344331	0.5083469	0.4174086	0.5311740	0.4097198	0.4516717	0.2606962	0.6260579	0.2976343	0.3352785	0.0684460	0.8870122	0.3082960	0.1985313	0.5765645	0.5935955	0.5124535	0.0084188	0.4265962	0.0135173	0.4549370	0.6457336	0.0698782	0.5670862	0.5455731	0.1218065	0.4030192	0.3115313	0.6782053	0.4153980	0.4768581	0.1383733	0.4403337	0.5780841	0.6643855	0.7709641	0.6868065	0.3736269	0.7391013	0.5191486	0.4439376	0.7139849	0.2846490	0.6855732	0.5510251	0.7604622
0.4993052	0.6972899	0.1560346	0.3240133	0.6655096	0.3121678	0.7015499	0.2538457	0.2478974	0.1744193	0.5434097	0.1866265	0.0613934	0.1447420	0.0243747	0.6617172	0.7712165	0.6118727	0.4456177	0.5848518	0.6098977	0.2591737	0.6227541	0.3387693	0.4254027	0.6764105	0.3730065	0.5098007	0.2922485	0.6062929	0.1444201	0.0263841	0.0506163	0.0268984	0.6680849	0.5989522	0.3094879	0.1363669	0.0472249	0.5934511	0.4100791	0.7271932	0.7407788	0.2696476	0.5614605	0.8104410	0.4590011	0.4619748	0.6844646	0.0394309	0.5708359	0.4934926	0.6735422	0.6871157	0.6982289	0.5972734	0.3354290	0.6050058	0.3242132	0.4157112	0.2867781	0.6262028	0.3469403	0.2976777	0.0983806	0.7391161	0.3824143	0.1703006	0.5449378	0.5241108	0.5185466	0.0097423	0.4221509	0.0168898	0.3645212	0.6915512	0.0301946	0.5987133	0.5746409	0.1692149	0.4788968	0.3914367	0.6899986	0.2899949	0.6170013	0.1327762	0.3226560	0.5080645	0.7112889	0.6704852	0.7446823	0.5527409	0.6498066	0.6095892	0.3902142	0.6167046	0.3064063	0.6516801	0.5964791	0.8010729
0.4634089	0.7400992	0.3089956	0.2144001	0.7301864	0.1758090	0.6320655	0.2928441	0.2439212	0.1105082	0.4720513	0.1086574	0.0516545	0.0986460	0.0567146	0.5379464	0.7109556	0.5928807	0.4546960	0.5821469	0.6905053	0.2488937	0.5279357	0.2988844	0.4847163	0.7363578	0.3881272	0.3665296	0.3097765	0.5274960	0.1883106	0.0402983	0.0239572	0.0643989	0.7534944	0.6401876	0.2939972	0.1299893	0.0737942	0.6948651	0.3235552	0.7566397	0.6911379	0.3056034	0.4991899	0.6692651	0.5414534	0.3971313	0.5181309	0.0641009	0.5050736	0.4390465	0.5422746	0.6248636	0.6922884	0.5141083	0.2743119	0.6510127	0.4161379	0.5504967	0.5211002	0.7241952	0.2627474	0.2389400	0.0640747	0.6763832	0.4745838	0.1683494	0.6067003	0.5546503	0.4429686	0.0136933	0.4194256	0.0168632	0.2966006	0.6779929	0.0511135	0.5655548	0.6438300	0.1637683	0.4372651	0.3333337	0.7271586	0.3718675	0.5012492	0.1859787	0.3771469	0.4623303	0.6654570	0.7298757	0.7022953	0.4413653	0.5924151	0.5340132	0.4635354	0.6454353	0.2790911	0.6857376	0.5995821	0.7225627
0.5753462	0.6576144	0.1570585	0.2535936	0.3359313	0.5361155	0.5598097	0.2016280	0.1891896	0.1757937	0.5521851	0.1084023	0.3609434	0.2160897	0.1148670	0.6323046	0.7914555	0.6284604	0.6286315	0.7159135	0.6907311	0.2677499	0.6047496	0.4578783	0.5614592	0.6109988	0.3877329	0.4151636	0.2215222	0.4635285	0.0973826	0.0204326	0.0336479	0.0416565	0.6502222	0.5620798	0.2609412	0.1138986	0.0584653	0.7262255	0.3727856	0.8387800	0.7022144	0.4966759	0.4909235	0.8500617	0.4057279	0.5136950	0.5284030	0.0551362	0.5251516	0.5001490	0.7351751	0.5338499	0.7060671	0.5078649	0.3992063	0.5741769	0.4196904	0.5269584	0.3786234	0.5713354	0.3533810	0.2967598	0.0532548	0.8423206	0.3117358	0.1325969	0.5758649	0.5847047	0.4445284	0.0257755	0.5008712	0.0137333	0.3773471	0.7166084	0.0250559	0.5926716	0.5610969	0.1556100	0.3146387	0.3488153	0.6895217	0.4551548	0.5603730	0.1977509	0.4602098	0.5364132	0.6864241	0.6225475	0.7367690	0.4162052	0.7856294	0.6273783	0.5519642	0.6556028	0.2943785	0.6932259	0.5418377	0.7920669
0.4575247	0.7412074	0.2465680	0.2595840	0.6272210	0.1392760	0.6738507	0.2326133	0.2965210	0.1671868	0.3980727	0.1132937	0.0911624	0.1096438	0.0539728	0.4680283	0.7470632	0.5491633	0.5308754	0.5893880	0.6118127	0.3074831	0.5518917	0.4221225	0.4874132	0.7185348	0.3673855	0.4466207	0.1556231	0.5724082	0.2015768	0.0309018	0.0446870	0.0321952	0.7217088	0.7636238	0.3782990	0.1228808	0.0515061	0.7027796	0.4650938	0.6578622	0.6482052	0.2798680	0.4583494	0.7136643	0.6339104	0.5734054	0.6881986	0.0573144	0.5796598	0.4664409	0.5634562	0.6541197	0.6734326	0.6022194	0.3288983	0.7503273	0.2880020	0.4321835	0.3306557	0.6126070	0.3199716	0.2221207	0.0838377	0.6547533	0.3175318	0.1206534	0.6175821	0.6221731	0.4299099	0.0060980	0.3619825	0.0325316	0.3770519	0.7609678	0.0560908	0.5923307	0.5948230	0.1142830	0.3726064	0.3026147	0.5260036	0.5781381	0.5221875	0.2089098	0.4430141	0.4800361	0.7515356	0.6553416	0.7104034	0.5151496	0.7860663	0.6673181	0.4685704	0.7027015	0.3484985	0.7249867	0.4655871	0.6812926
0.4309000	0.6834863	0.3045292	0.3651398	0.5870524	0.2483724	0.3355023	0.2519543	0.2476183	0.1981877	0.5075595	0.1739640	0.1111456	0.1225624	0.0647703	0.5244149	0.6830022	0.6379468	0.4671767	0.6838187	0.5920490	0.2530074	0.5269475	0.3025796	0.4500016	0.6885806	0.3949132	0.3928639	0.2764749	0.3581791	0.1270677	0.0236272	0.0110353	0.0142333	0.7035782	0.6551866	0.2825894	0.1675917	0.0438748	0.7441286	0.5139736	0.8826301	0.6753514	0.3475793	0.4830387	0.7739502	0.4351593	0.4385684	0.6718688	0.0279669	0.5058206	0.4998402	0.7017293	0.6030980	0.6369625	0.4964683	0.2931174	0.6931011	0.3037232	0.5070695	0.2901877	0.5348367	0.3826320	0.2559394	0.1086694	0.6946492	0.3940639	0.0823907	0.6477200	0.6128615	0.4541319	0.0151229	0.4301014	0.0550533	0.4047641	0.6995306	0.0424930	0.5580089	0.5905729	0.1522141	0.3828355	0.2758154	0.6892683	0.3308917	0.5370818	0.1465997	0.4464935	0.5388570	0.7903773	0.6217288	0.6694231	0.3371273	0.6372524	0.5239249	0.6143785	0.6882429	0.4271208	0.7756903	0.5388294	0.6471785
0.3778562	0.7588861	0.2274970	0.3542851	0.8146773	0.2947963	0.7748980	0.1660343	0.3214752	0.1475276	0.5700430	0.1111761	0.0734209	0.1056132	0.0586315	0.5284361	0.6990100	0.5107423	0.4160957	0.6127227	0.5247452	0.2476115	0.6066799	0.3721612	0.4922287	0.7537803	0.4346737	0.4372558	0.2407965	0.5859890	0.1494166	0.0358751	0.0230648	0.0251607	0.6790554	0.5979559	0.2525306	0.1575750	0.0592495	0.6646899	0.5266071	0.6728082	0.7619932	0.2917550	0.4165153	0.7081557	0.4857885	0.4823422	0.6273675	0.0639011	0.5438249	0.4244618	0.6244280	0.6075617	0.7269534	0.4524273	0.3186853	0.5502297	0.3082765	0.5322780	0.2004349	0.6328249	0.3615152	0.3319420	0.0748471	0.6332517	0.3334937	0.1653953	0.5863745	0.5242537	0.3408102	0.0032395	0.3914951	0.0533871	0.4366641	0.7457789	0.0227960	0.5743054	0.4997024	0.0650722	0.4297482	0.2642435	0.6912555	0.4030677	0.5314371	0.1775133	0.3464533	0.5281656	0.7333770	0.8055889	0.6420918	0.3589194	0.6412883	0.5461514	0.5072910	0.6230517	0.2473415	0.6880508	0.5814164	0.5574714
0.3993184	0.6656198	0.2877023	0.3540639	0.6374713	0.2711237	0.6372242	0.2603178	0.1930197	0.1842954	0.5084170	0.1309344	0.0968150	0.1540469	0.0386009	0.5408995	0.6545564	0.5461491	0.5174787	0.7441679	0.5754775	0.2427595	0.6263636	0.3551513	0.4323096	0.8108187	0.2704798	0.4291550	0.2611903	0.5907736	0.1343729	0.0316107	0.0223750	0.0187380	0.7177394	0.7233241	0.3137086	0.0791159	0.0397844	0.6474568	0.3863224	0.7490017	0.6275810	0.2771058	0.4313770	0.7421104	0.4954160	0.4986346	0.5958991	0.0702591	0.5499738	0.3954296	0.7185864	0.5875373	0.7104401	0.5952932	0.3486892	0.5528976	0.3577867	0.4631201	0.5592793	0.5532784	0.2748573	0.2762391	0.0998419	0.6868446	0.3116176	0.1421149	0.6762830	0.4488607	0.4090104	0.0251297	0.4468763	0.0170538	0.3467908	0.6869466	0.0173354	0.4938666	0.7746288	0.2256482	0.3996385	0.3056971	0.7499755	0.5136248	0.5159965	0.2333633	0.3130374	0.5730879	0.7432162	0.6920500	0.8254763	0.5905478	0.8253433	0.6005579	0.4421764	0.6149164	0.3241729	0.6192538	0.6350437	0.8603019
0.6001782	0.7812300	0.2647867	0.3637573	0.6950980	0.2597928	0.8357254	0.3465328	0.3056854	0.0862830	0.6328816	0.1168417	0.0625001	0.1279190	0.0673077	0.4962599	0.6386451	0.6249268	0.5659185	0.8116244	0.6246509	0.2565113	0.6268061	0.3401683	0.4413190	0.7070983	0.4493576	0.5594273	0.2389343	0.5289601	0.1522630	0.0446083	0.0248631	0.0308313	0.7243148	0.6675952	0.3112758	0.1450821	0.0417957	0.7297288	0.2725145	0.7194925	0.6896358	0.2600442	0.5470623	0.7428939	0.4934754	0.4617640	0.5740495	0.0321368	0.6191217	0.4724272	0.6865856	0.7389397	0.6798035	0.5302140	0.3853172	0.6916644	0.4155288	0.5288443	0.6692636	0.4294205	0.1944489	0.2541410	0.1016538	0.5863051	0.3540311	0.1671960	0.6571597	0.5848002	0.4731064	0.0315889	0.5881504	0.0252342	0.2876476	0.5977859	0.0201580	0.7348487	0.6976284	0.3106844	0.4494972	0.2863263	0.6480548	0.5349984	0.4351868	0.1390857	0.4068819	0.4680808	0.6208478	0.7415704	0.6766099	0.4506077	0.7874737	0.6198484	0.5224087	0.7978827	0.3644871	0.6744821	0.5730452	0.7721681
