G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9988937	0.9819409	0.7685945	0.5791394	1.1122409	0.3384880	0.9989805	0.9293150	0.8285633	0.1978749	0.6666948	0.1575939	0.1236147	0.1479409	0.0488285	0.1136378	1.0031794	0.3763464	0.6420496	0.9110446	0.7582019	1.0136679	0.9968260	0.9821600	0.9919067	1.0814299	0.6010766	0.3489259	0.8807371	0.6721464	0.2230132	0.0304575	0.0365846	0.0460492	1.0611414	1.0171235	0.0000000	0.1534997	0.0595024	0.9337844	0.4765341	1.0311745	1.0257165	0.3855672	0.6022477	0.0000000	0.0407915	0.0706692	0.2468591	0.2082500	0.5434909	0.0149795	0.0493394	0.6950516	0.9867498	0.9566932	1.0145037	1.0834377	0.5412934	0.5871714	0.7677617	0.9442971	0.3935712	0.8045181	0.1505216	0.9763376	0.5864877	0.4758328	0.0504169	1.0491974	0.9896345	1.0447532	1.0113964	1.0093465	0.5475396	0.3133654	0.8435792	0.9441110	0.9774799	0.2595099	0.2829632	0.7193454	1.0405995	0.6033819	0.8239873	0.1993490	0.6073939	0.7379892	0.9020699	0.9275813	1.0223057	0.6829773	1.0638954	0.9198566	0.7664861	1.0054080	0.4608947	1.0160574	0.8631268	1.0640929
0.7264177	0.0025546	0.1919402	0.4387097	0.0000000	0.9639685	0.0358856	0.0487346	0.1015862	0.0043422	0.9571352	1.0066426	1.0171370	1.0131888	1.0221686	0.6480003	0.6353098	0.9303869	1.0087207	1.0321530	0.7304046	0.0000046	0.7351758	0.4381863	0.9934000	1.0276442	0.4995096	0.5218538	0.3215921	0.7616423	0.2183242	0.0432841	0.0347480	0.0292774	0.9707034	0.8605418	0.4199976	1.0485710	0.9251601	1.0282714	0.3889925	1.0120633	1.0551231	0.3439879	0.7547511	1.0019021	0.6495440	0.5796485	0.8711160	0.0413853	0.8657883	0.6999788	0.9507390	0.9326974	1.0345721	0.7592971	0.5854948	0.3859107	0.6241983	0.6665087	0.9623397	0.5406005	0.2340499	0.2331423	0.1216282	0.9893903	0.4795215	0.2361402	0.7898610	0.7822144	0.6788143	0.0185481	0.7878826	0.0532522	0.3822515	0.9904592	0.0353238	0.9494338	0.9442008	0.3959131	0.4586775	0.5369995	0.8670512	1.0483160	0.0000000	1.0084307	0.9842690	0.9960754	1.0504080	1.0563462	0.9301752	0.5760707	1.0114125	0.8346528	0.6437953	0.9499578	0.4791791	1.0040046	0.7435620	1.0743756
0.7380308	0.0082389	0.2039540	0.2126065	0.0000000	1.1726749	0.0282284	0.0345975	0.4738946	0.2176155	0.9859346	0.7940078	0.9419078	1.0195391	1.0796022	0.7348236	1.0202749	0.9755749	0.9348849	0.9982497	0.8308113	0.5530250	0.8491579	0.5041225	0.7821607	1.0256384	0.5758151	0.5139878	0.2946902	0.7364727	0.2519565	0.0401410	0.0438476	0.0135092	0.9575665	0.9599120	0.3582268	0.1790644	0.0580010	0.9587478	0.6913124	1.0010558	0.8793429	0.5190149	0.6227600	0.0000000	0.2461993	0.3523593	0.2240800	0.2492912	0.3403278	0.0030991	0.0628794	0.7950004	0.9062116	0.9959637	0.9188484	1.1057128	0.2950629	0.4453779	0.2969007	0.9463544	0.4890124	0.4714374	0.1311543	0.9711817	0.4667160	0.1953343	0.8650558	0.8050123	0.7412452	0.0320749	0.8420501	0.0472104	0.6662594	0.9500589	0.0537549	0.7171299	0.8050245	0.1572388	0.3218099	0.7973595	0.9886220	0.6448798	0.8260505	0.2006848	0.6539570	0.7617360	1.0364383	1.0423684	0.9938392	0.6114886	1.0040503	0.8077492	0.7577827	1.0879438	0.3367736	0.9918605	0.7876523	1.1179948
0.7330624	1.0607538	0.4391004	0.9526675	1.0631060	0.3911027	1.0435380	0.3735832	1.0107014	0.2123917	1.0129344	0.5050982	0.8994202	0.1262984	0.0393761	0.1163316	0.2748689	0.0073831	0.6477154	0.8420880	0.8163729	0.8825693	0.8405959	0.4825246	0.9819416	1.0145638	0.5487781	0.5764159	0.3431719	0.7184420	0.2312627	0.0237754	0.0513269	0.0246000	0.9837547	1.0853653	0.4378074	0.9784373	0.9507559	1.0185329	0.7386599	1.1138267	1.0624323	0.4832851	0.7413744	0.0000000	0.2307292	0.2662044	0.2699280	0.3111983	0.3411211	0.0048489	0.0546143	0.7010080	0.9793657	0.9317344	0.9744149	0.9650193	0.3376521	0.4349084	0.2298334	0.9297870	0.4769859	0.5065689	0.1197400	0.9715955	0.4993122	0.2311890	0.7812137	0.7651676	0.7386352	0.0220158	0.8006525	0.0709644	0.6153815	1.0590921	0.0517486	0.7624781	0.7246514	0.1513152	0.3548657	0.6396733	1.0137659	1.0555045	0.0000000	1.0001783	1.0486499	0.9731801	0.9466930	1.0044256	1.0583589	0.4855186	1.0370839	0.8603375	0.9007745	1.0275198	0.5418624	1.0016373	0.8244237	1.0284969
0.9919764	0.9463474	0.7124917	0.4567541	1.0234780	0.3286274	1.0268044	0.8667262	0.4010979	0.2496314	0.6448003	0.1822419	0.1390234	0.1404881	0.0448340	0.8185530	1.0790075	0.7936403	0.7414387	1.0415960	0.7851735	0.4447147	0.9885269	0.7527170	1.0375764	1.0124758	0.5342171	0.3365111	0.9983194	0.7652128	0.2516269	0.0490495	0.0310027	0.0558051	0.9758470	1.0534267	0.0000000	0.1962629	0.0681397	0.9632025	0.4659766	0.9717451	1.0233239	0.4571456	0.6191905	1.0625105	0.4593098	0.4550419	0.8830883	0.0448577	1.0035768	0.6596415	0.9770959	0.9796357	1.0136938	0.7211072	0.4965551	0.8733408	0.8101439	0.7870065	1.0199763	1.0373521	0.0000000	0.8289287	0.1110910	1.0459210	0.5989915	0.5190033	0.0515556	1.0531916	1.0275906	0.9675076	1.0395563	1.0775096	0.4818576	0.2510059	0.7306616	0.9645722	1.0130638	1.0426538	0.5828985	0.4463953	1.0443306	0.5469828	0.8141390	0.2407852	0.5466809	0.7518189	0.9948696	1.0141094	0.8967376	0.4470030	0.9981046	0.8831897	0.8320132	0.9879207	0.5235907	0.9778494	0.7759131	0.9479611
0.6887592	1.1026123	0.4706963	0.6222461	0.9976664	0.3808074	1.0730654	0.3595705	0.8216030	0.2123086	0.7273277	0.1770546	0.1211637	0.1701076	0.0669443	0.1164021	0.9859565	0.3741502	0.6963133	0.9611150	0.8899243	0.9738265	0.7556168	0.4915928	0.7240627	1.0379335	0.5798483	0.5038439	0.3510821	0.8272986	0.2457183	0.0387132	0.0384745	0.0446956	0.9526122	0.9153518	0.4157691	0.1647513	0.0737654	0.9506421	0.3766938	1.0805512	0.9986947	0.5336142	0.6777998	0.0000000	0.2283601	0.4041502	0.2617081	0.2501819	0.5134513	0.0137135	0.0516128	0.7813564	0.9624331	1.0343299	0.9562950	0.9621339	0.2406380	0.4165260	0.7783200	1.0059434	0.0000000	0.5108618	0.1197741	1.0089147	0.4955568	0.2106602	0.8814276	0.7067219	0.6101462	0.0358441	0.7017063	0.0448262	0.3319100	1.0523093	0.0608495	1.0640693	1.0410919	1.0176566	0.3445771	0.7744372	1.0252517	0.5651727	0.8015507	0.2094047	0.5488174	0.7013512	1.0168620	0.9655284	0.9859203	0.6490421	1.0264255	0.8404451	0.7426916	0.9649116	0.3927000	1.0404967	0.8056807	1.1520083
0.6514779	1.0264999	0.4857533	0.4264199	1.0034813	0.3915973	1.0126470	0.3655037	0.3744615	0.2514913	0.7081472	0.1727079	0.1410560	0.1381151	0.0440835	0.7466701	1.0619135	0.8958589	0.6574953	0.8635636	0.8265955	0.4326625	0.8217126	0.5327424	0.6468688	1.0299453	0.5262786	0.5884558	0.3755978	0.8014951	0.2290305	0.0591499	0.0412697	0.0431507	1.0239326	0.9792343	0.4290570	0.1919746	0.0718043	1.0713065	0.6382605	1.0405683	1.0099912	0.4526777	0.6433075	0.9949481	0.6688725	0.6290216	0.9804854	0.0625499	0.7759576	0.6504599	0.9511243	0.8779576	1.0194722	0.7011035	0.4451662	0.9053967	0.5069267	0.6598825	0.4147183	0.9061912	0.5080644	0.0000000	0.1643114	1.0051201	0.4083042	0.1982686	0.8513054	0.7531694	0.7227657	0.0141942	0.6555000	0.0573661	0.6521095	0.9943252	0.0353112	0.7888672	0.8446406	0.1725225	0.4943612	0.5402012	0.9913708	0.5578856	0.7733771	0.2267823	0.5726991	0.7286200	0.9544506	0.9895107	0.9903566	0.6685118	0.0000000	0.0748968	0.0832338	0.9925752	0.4578217	1.0284924	0.8070267	1.0138622
1.0496572	0.9641886	0.7796342	0.4736560	0.9885745	0.3623402	1.0117586	0.9173976	0.4153866	0.2026584	0.7225823	0.1991499	0.1327876	0.1355377	0.0747642	0.7269359	0.9963235	0.7787331	0.6660357	1.0246593	0.8658610	0.4091975	1.0305113	0.8359908	0.9838022	1.0325882	0.6070966	0.4866452	0.9910522	0.7606289	0.0597822	0.0545799	0.0492171	0.0388260	0.9290252	0.9621404	0.0000000	0.1441369	0.0577092	0.9606175	0.4420355	1.0351629	0.9610902	0.0000000	0.6149097	1.0521842	0.4902648	0.4155256	0.8424506	0.0147143	1.0075877	0.6196150	0.9519824	0.9208390	0.9144974	0.7816122	0.5777247	0.8565877	0.8535652	0.8151084	1.0402257	0.9987004	0.0190725	0.6144569	0.1140436	0.9960989	0.5543626	0.4651195	0.0620704	1.0452382	1.0813946	1.1129536	0.9550074	0.9544618	0.4963629	0.2833277	0.8459071	1.0590563	0.9231483	1.0419197	0.4839133	0.5396180	0.9994524	0.6297267	0.7663436	0.2260048	0.5541734	0.7563379	1.0330207	0.9844623	1.0454284	0.6069209	0.9549087	0.9166578	0.6806894	1.0305734	0.4663908	1.0251718	0.8312377	1.0642877
0.0000000	0.0008020	0.0026396	0.1556150	0.0000000	0.9776711	0.0231108	0.0380269	0.0468693	0.0053606	0.9060795	0.6629428	1.0364314	1.0875500	0.9970285	0.9787745	0.9103684	0.9569193	1.0096423	0.9897631	0.8246581	0.0000510	0.8322934	0.5053695	0.7919798	1.0513875	0.5564951	0.6087210	0.3722929	0.7667328	0.2137410	0.0499202	0.0475057	0.0391110	0.9771307	1.0858445	0.4409363	0.2003057	0.0750325	0.9662805	0.3858130	1.0676733	1.0000862	0.3349133	0.5956630	1.0278101	0.6625652	0.6612837	1.0187625	0.0518914	0.7857681	0.7382876	1.0091657	0.9850954	1.0178359	0.7465163	0.5925730	0.9874553	0.5803314	0.6887278	1.0028844	0.7737549	0.3318520	0.3715252	0.1173226	1.0583353	0.5295480	0.2302712	0.7914524	0.8514844	0.6746845	0.0197156	0.8003268	0.0542536	0.3439519	1.0373113	0.0662252	0.9798045	1.0031509	0.3401942	0.5528951	0.5541253	1.0017815	0.6069670	0.7593839	0.2171880	0.6483685	0.7323522	1.0109252	1.1298979	0.9629530	0.7010228	1.0052838	0.8881795	0.7204447	0.9793998	0.4399258	1.0367438	0.8721400	1.0411611
0.7002362	1.0254287	0.4003513	0.4265757	1.0337253	0.3684239	0.9386694	0.3818546	0.3080355	0.3132128	0.7088855	0.1676766	0.1321896	0.1669509	0.0439916	0.8330284	1.0231921	0.9367940	0.7031306	0.7997056	0.7693707	0.4194281	0.7871621	0.5151851	0.6274031	1.0760173	0.5233284	0.5853909	0.3084410	0.7276355	0.2210063	0.0454092	0.0232996	0.0303745	0.9117357	1.0735397	0.4668845	0.1568858	0.0582647	1.0324783	0.5944377	1.0502283	1.0485558	0.5497389	0.6434645	0.9693101	0.7022786	0.6938467	0.9213492	0.0476976	0.7198964	0.7613773	0.9446573	0.9044930	0.6526296	0.6954334	0.5310374	0.9089945	0.5340010	0.7080649	0.4991683	0.9131654	0.4769826	0.5275359	0.1153757	0.9013823	0.5311425	0.2566347	0.8276531	0.7319719	0.5537600	0.0251539	0.6726454	0.0354244	0.5252798	1.0252892	0.0432229	0.8313538	0.8201608	0.1708465	0.4456838	0.0000000	0.9052991	0.6167694	0.7281238	0.1666218	0.5978820	0.6857401	0.9860086	0.9479122	1.0847846	0.6558503	1.0025433	0.7816955	0.7047995	1.0103888	0.4134263	1.0313326	0.0000000	1.0490632
