G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5677846	1.0116396	0.2432939	0.6111205	0.7006880	0.5072554	0.9648259	0.3114354	0.0957138	0.3794030	0.8704413	0.0715428	0.1627435	0.2074767	0.0624226	0.4757174	1.0921174	0.8571893	0.6669358	0.7970870	0.8142902	0.5933078	0.6511905	0.4725423	0.5146199	0.9840574	0.5366203	0.5463624	0.3294833	0.6532478	0.1400527	0.0274070	0.0001548	0.0118252	0.9577518	1.0455526	0.6608201	0.0009454	0.0004772	0.9139347	0.6965395	1.0833894	1.0377998	0.5069721	0.6252803	0.7810265	0.6903473	0.7331234	0.8438676	0.1116134	0.8177741	0.4970309	0.9090449	0.7713793	0.9385996	0.7953578	0.5745341	0.4387187	0.2954502	0.8933352	0.0571245	0.4576920	0.6931818	0.4185959	0.1090801	1.0564007	0.3845368	0.1493876	0.7411445	0.6140522	0.2309520	0.0096934	0.1128621	0.0639522	0.5019773	0.9998418	0.1881899	0.4197905	0.3866883	0.1105654	0.7866009	0.6908224	1.0551348	0.6333469	0.7764296	0.3269822	0.4619596	0.6189179	0.3097089	1.0099448	0.9903599	0.6781507	0.9912835	0.7928533	0.9101000	0.8198561	0.4327522	1.0749273	0.7449798	0.8906708
0.6054360	1.0479237	0.7341676	0.3937965	0.9410710	0.3257558	0.9509931	0.2629326	0.5658873	0.2494410	0.7372036	0.1403448	0.1322884	0.1900766	0.0701843	0.6334488	0.9311920	0.8853806	0.7359709	0.7514271	0.9898390	0.6544984	0.7643263	0.7254138	0.6540900	0.9872901	0.4960678	0.3657641	0.0088189	0.6483473	0.4725494	0.0299276	0.0337419	0.0260794	0.9874535	0.9595978	0.4367207	0.1678645	0.0529272	1.0349852	0.2347868	0.6404079	1.0389707	0.4442781	0.7517533	1.0617286	0.7139265	0.8000162	0.8318056	0.0481829	0.8024331	0.6723188	0.9238513	0.9639341	1.0432904	0.7965689	0.3606281	0.9020226	0.6673956	0.5217610	0.8128682	0.8452786	0.3741675	0.8125158	0.0683842	0.8436509	0.4777842	0.2976177	0.9030135	0.5853157	0.5689398	0.0191881	0.6906611	0.0202356	0.5494809	0.9697614	0.3365069	0.7750113	0.8514053	0.3126541	0.4314315	0.3940358	1.0298825	0.5484465	0.7407889	0.1606125	0.5277937	0.4779639	0.9361884	1.0366500	0.7457865	0.3403457	1.0723553	0.9614433	0.9735427	1.0406864	0.4609103	0.8282399	0.6964930	0.9475574
0.6989959	0.9741054	0.4983782	0.2085897	0.9125360	0.3853586	0.8908262	0.3287097	0.0557376	0.2072325	0.7216603	0.1655536	0.1393837	0.1282341	0.0085873	0.3004657	0.8599462	0.3095218	0.5586584	0.7981242	0.7745618	0.3036567	0.7418416	0.3214766	0.4457672	1.0595400	0.5052796	0.4569272	0.4272945	0.8871589	0.6063897	0.0679081	0.0272910	0.0449422	0.9241455	1.0259871	0.4992418	0.1138620	0.0406595	1.0596494	0.8218038	1.0571631	1.0912953	0.7991873	0.6283202	1.0913769	0.7282434	0.5977874	0.8924874	0.5717547	0.7252586	0.7061778	0.9868218	1.0029032	0.9763010	0.4167487	0.4688473	0.8780626	0.2686877	0.5616705	0.1920434	0.9690259	0.6631334	0.5351621	0.1051722	0.8891728	0.6391063	0.2045372	0.9532751	0.7897752	0.6525009	0.0046762	0.5496800	0.0020618	0.9392857	0.9875578	0.2063136	0.5153248	0.5212594	0.0939473	0.5587253	0.3361685	1.0129117	0.5866058	0.7567814	0.1943462	0.6169335	0.7248426	1.0262702	0.6818797	0.9996610	0.5010027	0.9816850	0.9488749	0.8057865	0.9871056	0.4496567	0.8020429	0.8073929	0.7990946
0.6651912	1.0016676	0.3708627	0.2499319	0.8842405	0.3653827	0.7780152	0.3885189	0.2495614	0.2003282	0.8169175	0.1681927	0.0868175	0.1892449	0.0138282	0.7582832	1.0498451	0.4321966	0.4417271	0.7454403	0.7897436	0.0789390	0.6455817	0.4088495	0.4469697	0.9211696	0.4139195	0.6063167	0.5902149	0.7025522	0.1123694	0.0090132	0.0056816	0.0529313	1.0217053	0.8057405	0.6960721	0.0010372	0.1874895	0.9778051	0.3518671	0.7148667	0.6305648	0.4309280	0.4859834	0.7899885	0.6943603	0.7209498	0.5695698	0.5557561	0.7078698	0.5735713	0.8709125	0.6587759	0.9028834	0.5660859	0.5134694	0.9486378	0.1949562	0.6522217	0.7895378	0.7311049	0.3735873	0.6114796	0.0307248	0.9592916	0.6822554	0.1398331	0.9898580	0.3661031	0.4367361	0.0067960	0.1569708	0.0582364	0.3034604	0.8448165	0.0152912	0.9746168	0.9431473	0.3268880	0.5464880	0.8439642	1.0154574	0.7403604	0.7505915	0.6794321	0.2636981	0.6566680	0.4476328	0.8999658	0.8571466	0.2805351	0.6991124	0.9042817	0.7242928	0.7982104	0.4351136	0.9863449	0.8696300	0.8001043
0.4124084	0.9999422	0.2315329	0.3337163	0.7604855	0.3158386	0.7708243	0.7248372	0.6297312	0.1248324	0.7463972	0.1167686	0.1610415	0.1869341	0.0334989	0.6912851	0.9601475	0.8024643	0.6076595	0.5661401	0.8762095	0.5690002	0.4604062	0.4658308	0.5826779	0.9835273	0.6678715	0.2659963	0.3451916	0.7078220	0.3202729	0.0501770	0.0012714	0.0320196	0.9784932	0.7765166	0.5614083	0.1990046	0.0854711	0.9517220	0.5908169	1.0429821	0.7774820	0.6607771	0.5126655	1.0228212	0.6869615	0.7974275	0.3553351	0.1732246	0.8642213	0.5884260	0.9394956	1.0056697	0.9616772	0.7595162	0.3569313	0.6429370	0.3203798	0.6692969	0.1617178	0.5757376	0.7319811	0.5634579	0.1249804	0.5249234	0.4262718	0.0442582	0.7428571	0.6846165	0.5227189	0.0024177	0.2408457	0.0682471	0.5237409	0.8426852	0.0000955	0.5358744	0.5577669	0.1047390	0.4774322	0.4068085	0.7390406	0.7480810	0.6976733	0.1321119	0.6347169	0.7992117	0.7441557	0.9707490	1.0370912	0.5428661	0.9506900	1.0138189	0.8294995	0.7982092	0.4032772	1.0028681	0.7287680	1.0497601
0.8268205	0.8924061	0.6107660	0.3344410	0.9642164	0.4400731	0.8933110	0.4646923	0.5673816	0.1357963	0.7119429	0.1749764	0.0512801	0.1556001	0.0521046	0.2417507	0.6306045	0.8820633	0.6385590	0.9311106	0.9728530	0.3583443	0.4333197	0.5103926	0.6785587	0.9892438	0.5143788	0.5808907	0.3908659	0.7260078	0.2026735	0.0186165	0.0367079	0.0477077	0.9792264	0.6587759	0.3378394	0.1822196	0.1003490	0.9054649	0.1786858	0.7217862	0.5866018	0.3655083	0.3715205	0.9420540	0.4780189	0.4903816	0.8969260	0.5566465	0.9175541	0.6241950	0.9460118	1.0472419	0.9827637	0.8216569	0.4959306	0.3103684	0.8485407	0.7736408	0.6510967	0.5610481	0.3162777	0.5348682	0.1115416	0.8686392	0.5656605	0.1618478	0.6769981	0.8008386	0.6384964	0.0366494	1.0183087	0.0527809	0.2444283	0.9877006	0.2812045	0.8843083	0.8836101	0.2551102	0.5330873	0.3674484	0.9636823	0.5552206	0.7894477	0.4286665	0.3433699	0.6973518	1.0606182	0.5303383	0.8303374	0.3578049	0.9050160	1.0571435	0.9373701	1.0321972	0.3635782	0.9453043	0.7757432	1.0143480
0.5921039	0.9814187	0.3794762	0.7719408	1.0793596	0.3479851	0.8204596	0.5161712	0.1948265	0.0126008	0.7453218	0.1013896	0.0860746	0.1739883	0.0510792	0.8135448	1.0182533	0.9332356	0.7200444	1.0315360	0.7862476	0.6300520	0.8060583	0.9482499	0.3527809	0.7393018	0.4123718	0.7102201	0.4029661	0.5060492	0.0478318	0.0910756	0.0343011	0.0394790	0.9712768	0.9976934	0.3975099	0.1607320	0.5179652	0.6161740	0.4575523	0.9914453	0.6122228	0.2851797	0.3894952	1.0412166	0.6756607	0.5520197	0.6963415	0.3950055	0.9475531	0.6433333	0.9422742	0.8130143	1.0739759	0.7015631	0.4958641	0.8745761	0.6766187	0.6411246	1.0306913	0.3697432	0.1509636	0.2072882	0.0224679	1.0295146	0.6523775	0.2378937	0.9179627	0.5580909	0.7515585	0.0176469	0.8296430	0.0050601	0.4444112	1.0176796	0.3688326	1.0341080	0.7525784	0.4141422	0.3471029	0.6677897	0.9556728	0.5095086	0.6897861	0.1448549	0.5619784	0.6986633	0.9345304	1.0076747	0.9606612	0.4414176	0.9330888	1.0167009	0.8354551	0.8972495	0.4648184	1.0388340	0.9088424	1.0031248
0.6588864	0.9768089	0.5600794	0.4311560	0.8280611	0.3462893	0.9810181	0.3222633	0.0960426	0.2302055	0.7465269	0.1270867	0.0675262	0.1698336	0.0762860	0.8800269	0.9190766	0.8561932	0.5962692	0.7179824	0.7875796	0.0010862	0.8105275	0.0021673	0.7098169	0.9609671	0.6007911	0.2790356	0.1877180	0.8634234	0.2582505	0.0165038	0.0019993	0.0388940	0.9746019	1.0731669	0.4333411	0.0010187	0.0598007	0.9716171	1.0017112	0.9424681	1.0531027	0.7098056	0.5945450	0.9417871	0.6238663	0.6231918	0.8136435	0.2287729	0.7800742	0.6719392	0.9578289	0.7136485	1.0281270	0.8020747	0.4272478	0.9181454	0.1234445	0.7027258	0.0436131	0.9548071	0.8305792	0.5445989	0.1275960	1.0136044	0.6382417	0.2442881	0.9319745	0.9312857	0.6797488	0.0197581	0.5246675	0.0014486	0.9818411	0.9829328	0.1854467	0.4414471	0.4132389	0.1280909	0.4578517	0.4569486	1.0297841	0.4461558	0.8453211	0.2232841	0.5993293	0.6218391	0.7959349	0.3997869	0.9949734	0.6635472	0.8250627	0.7275388	0.6213314	0.9483332	0.2847286	1.0400019	0.8225773	1.0003988
0.6548408	1.0303951	0.5000337	0.0975797	1.0284798	0.3086033	0.9736729	0.4729618	0.2605476	0.1740993	0.7510438	0.1681042	0.1243530	0.1305609	0.0602443	0.6999602	1.0142198	0.9173438	0.6468646	0.8309002	0.9079427	0.3900274	0.6345571	0.3536631	0.5926383	1.0335947	0.6998032	0.3845798	0.3060091	0.8316925	0.2012147	0.0361993	0.0006614	0.0409701	0.9781352	1.0505144	0.5410980	0.2006155	0.2186712	0.9354934	0.4806419	0.9912969	0.7621820	0.6751713	0.8808232	0.9456699	0.7402480	0.9001132	0.8282927	0.0326556	0.7072026	0.6156817	0.9975294	0.7367393	1.0015856	0.7134069	0.5110260	0.7949595	0.4507469	0.2874080	0.2402653	1.0141727	0.6156282	0.8611411	0.1013517	0.9776634	0.8146533	0.0633447	0.9778926	0.6324034	0.5325340	0.0029247	0.2917293	0.0041105	0.9414017	0.7927416	0.3624691	0.6185214	0.6558245	0.0836842	0.4192373	0.6343636	0.9745007	0.8754346	0.7546563	0.7839300	0.1932957	0.4658585	0.7408671	0.9580384	0.9710314	0.5838846	0.9626470	0.9100430	0.8881037	0.4289887	0.8605465	0.9192954	0.8130148	0.8798355
0.5872073	0.9687841	0.2510895	0.6196129	0.8716072	0.3669469	0.8698117	0.3212903	0.0170318	0.2527413	0.7657411	0.1754740	0.0861438	0.2283564	0.0174434	0.8704123	0.8162568	0.8774675	0.6836402	0.9693126	0.8512277	0.5325651	0.7924500	0.9241550	0.7142078	0.6859850	0.3165369	0.7721791	0.8421211	0.7048567	0.0253060	0.1062181	0.0009359	0.0551440	1.0171162	0.7897906	0.4434162	0.0009614	0.0000399	1.0031708	0.1671100	1.0686062	0.5615052	0.2245557	0.3621239	0.9353456	0.5682478	0.5447554	0.8460103	0.5872188	0.9659778	0.6445615	0.9676297	0.6516849	1.1579702	0.7677852	0.4224101	0.9767639	0.6303730	0.6104463	0.7285385	0.1898177	0.0755148	0.3612162	0.1705098	0.9418295	0.2223338	0.4008138	0.6992935	0.8222648	0.6761355	0.0110087	0.7557279	0.0016030	0.4957276	0.8645408	0.1040833	0.9648470	0.9430874	0.6132989	0.4996750	0.7773505	0.9706033	0.6551478	0.7616883	0.3236928	0.4419130	0.7620886	0.9959717	1.0125305	1.0261413	0.7710562	0.8391546	0.9702146	0.8753750	0.7273942	0.5660810	0.5048375	0.6810593	0.9301616
0.6140375	0.9608062	0.5487524	0.5929118	0.8414650	0.3226735	0.5374357	0.5777403	0.6074156	0.2504899	0.7508251	0.1209406	0.1234978	0.0586559	0.0129470	0.7740851	0.3142133	0.4004957	0.5801144	0.7504562	1.0034094	0.5233004	0.5043990	0.6077333	0.3828943	0.9824653	0.4079941	0.6451530	0.1976494	0.5456815	0.1764020	0.0448322	0.0302427	0.0262489	0.9275389	1.0820867	0.8614538	0.0007349	0.0000062	0.8707940	0.8177353	0.8194121	0.9116429	0.7086849	0.6932357	0.7134065	0.6359452	0.9356960	0.3610810	0.0339981	0.9021533	0.4995255	0.8962968	0.8886566	0.9651989	0.6825425	0.5528362	0.5186115	0.2491541	0.4903858	0.1624526	0.8424223	0.7530729	0.5825320	0.2020317	0.6351511	0.6315786	0.1096310	0.9624810	0.8037831	0.2835634	0.0138293	0.0883624	0.0409369	0.7096079	0.8867939	0.4014893	0.5135489	0.5625360	0.0811182	0.6943336	0.4625927	0.9765363	0.6093010	0.8894979	0.1779723	0.5634685	0.6643263	0.0319071	0.7056441	1.0064845	0.5889163	0.7176565	0.9599972	0.4979768	1.0593320	0.4248446	0.3044088	0.5745556	1.0902855
0.5552988	1.0107924	0.3364830	0.4613542	0.9574044	0.4327196	0.8277758	0.8644723	0.0757893	0.1398304	0.5668322	0.0487188	0.1049265	0.1682362	0.0109983	0.6128428	0.9528880	0.9391038	0.7307592	0.7245764	1.0244392	0.6106890	0.6418308	0.4458571	0.5531970	0.4872549	0.2179522	0.7596730	0.2788840	0.4824696	0.3279788	0.2299614	0.0112522	0.0737496	1.0270593	0.6750918	0.5947968	0.0389670	0.0042103	1.1219298	0.4570835	1.0341354	1.0377585	0.2932535	0.6375427	0.9200831	0.7099992	0.6968403	0.7154484	0.3453827	0.8182306	0.6696174	0.9383481	0.9526205	0.9845862	0.6279529	0.5081240	0.8036853	0.1722321	0.6501337	0.8841345	0.5639292	0.2678332	0.2737609	0.1347043	0.8400546	0.5321589	0.3282501	0.8992934	0.7451136	0.5009577	0.0116759	0.4115891	0.0016955	0.1495050	0.7457449	0.1387811	0.7832516	0.9730031	0.3208861	0.6788949	0.4360728	1.0760897	0.7593242	0.9367577	0.2362977	0.5882283	0.6059819	0.9315109	0.9618892	0.8467543	0.1987716	0.6295833	0.8441927	0.3282105	0.7611486	0.4030829	1.0013163	0.8297065	0.9592711
