G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9094559	0.9499178	0.7919251	0.5643092	1.0716712	0.2933067	0.9539694	0.9447826	0.8165028	0.1903764	0.6603309	0.1668407	0.1291090	0.1382051	0.0625859	0.1285222	1.0207550	0.3711078	0.6287188	0.8542153	0.8246720	1.0762247	0.9877955	0.9683528	0.9874258	0.9169277	0.5788321	0.3511623	0.8882292	0.6506032	0.2232119	0.0364111	0.0308036	0.0312901	1.0191709	1.0143381	0.0000000	0.1785296	0.0759508	0.9775321	0.5493404	1.0288852	0.9320033	0.3882363	0.6165510	0.0000000	0.0297136	0.0726509	0.2708535	0.2186285	0.5267189	0.0212023	0.0456218	0.6749937	1.0132212	1.0017930	0.9782740	1.0212407	0.5993422	0.6149113	0.7510991	0.9404247	0.3542435	0.9271298	0.1506592	1.0043485	0.6021802	0.4614174	0.0740898	1.0035133	0.9772710	1.0801853	1.1035449	1.1232357	0.6320207	0.3230325	0.7412624	0.9949905	0.9360713	0.3010213	0.4016889	0.6718610	1.0924751	0.6308007	0.7984304	0.1538200	0.6047196	0.7200210	1.0656032	0.9859844	1.0340077	0.6432185	1.0531078	0.8995665	0.8274168	0.9498599	0.3987616	1.0540965	0.8776226	1.0480352
0.6587186	0.0087238	0.1783515	0.4144570	0.0000000	0.9631328	0.0389600	0.0260360	0.0807627	0.0083365	0.9573024	0.9480502	0.9863097	0.9862149	1.0475132	0.6140954	0.6624026	0.9338355	1.0295319	1.0411230	0.7724297	0.0015941	0.8332861	0.4310291	0.9201022	1.0122586	0.5352955	0.4997617	0.2690620	0.7686166	0.2859195	0.0351666	0.0234640	0.0319939	0.9235438	0.8901860	0.4228026	1.0373151	0.9505732	1.0136384	0.3889315	1.0463208	1.0094920	0.2925175	0.6541548	0.9578984	0.7025189	0.6597169	0.8240053	0.0527391	0.8685693	0.6896287	0.9659079	0.8463417	0.9598790	0.7449053	0.4803995	0.3711252	0.6142969	0.6805519	0.8522832	0.7548729	0.2476227	0.2875789	0.1246103	0.9894377	0.5194595	0.2023846	0.7638089	0.7416672	0.7532484	0.0360767	0.8003722	0.0523542	0.3390643	0.9180475	0.0515135	0.9559117	1.0033974	0.4348535	0.5463285	0.4700182	0.9294400	1.0364509	0.0000000	1.0374131	1.0831214	0.9757370	1.0295755	1.0692359	1.0038464	0.5669012	0.9491956	0.8147221	0.6619702	0.9063152	0.4362731	1.1599636	0.8085525	1.0345024
0.7381879	0.0067505	0.2169718	0.2070581	0.0000000	1.1077644	0.0233002	0.0328874	0.4415322	0.2376307	1.0636451	0.7360733	1.0194581	0.9706760	1.0706833	0.7122307	0.9782916	1.0306052	0.9463915	1.0549860	0.7971505	0.5230240	0.8055371	0.5235001	0.8199101	1.0694449	0.6566466	0.5144147	0.3295169	0.7487304	0.2805176	0.0325382	0.0395715	0.0118438	0.9084150	0.9390422	0.3556909	0.1793708	0.0797250	0.9404804	0.6674882	1.0328792	0.9899230	0.5273253	0.6431398	0.0000000	0.2355136	0.3467771	0.2556792	0.2427559	0.3158479	0.0094086	0.0752006	0.6899709	0.9312301	1.0834659	0.9402438	1.0343418	0.3296422	0.5254957	0.3349901	0.9498804	0.5168972	0.5211476	0.1322096	0.9140196	0.5227987	0.2049762	0.8629990	0.7643186	0.7079431	0.0357901	0.7882459	0.0531163	0.6164051	1.0454343	0.0494027	0.7471556	0.8147078	0.1801671	0.3412402	0.7947326	1.0968561	0.6126247	0.7685777	0.2166373	0.5788967	0.6802782	1.0707966	1.0477077	0.9856557	0.5992108	1.0244947	0.7904360	0.8168365	1.1117339	0.3658815	0.9814453	0.7955228	1.0286289
0.7304920	0.9750032	0.4299336	1.0453608	1.0278599	0.3395641	1.0495454	0.4205236	0.9968630	0.2063833	0.9937590	0.5387608	0.9948343	0.1258958	0.0664253	0.1579467	0.3034596	0.0074392	0.6640973	0.8030437	0.8992511	0.9288209	0.8467757	0.4242783	1.0207850	1.0049252	0.5621053	0.5921538	0.3387606	0.6967030	0.2711140	0.0428096	0.0346739	0.0387389	1.0979129	0.9716083	0.4266222	1.0544740	0.9164853	0.9537656	0.7502861	1.1489644	1.0267259	0.4784406	0.6607399	0.0000000	0.2228069	0.2920968	0.2373965	0.2541578	0.3193655	0.0138419	0.0641519	0.7703496	1.0789795	0.9029661	0.9300754	0.9500996	0.3741840	0.3729479	0.3161504	0.9849712	0.5319484	0.5230445	0.0910292	0.9538878	0.5453283	0.2208776	0.7811076	0.7977303	0.6666115	0.0383640	0.9204009	0.0411120	0.6568983	1.0664786	0.0484564	0.7659118	0.7619219	0.1756576	0.3726210	0.7290000	1.0069829	1.0190271	0.0000000	1.0664758	0.9967755	0.9125033	0.9463457	1.0278750	0.9977687	0.5094792	1.0793638	0.8297302	0.7045027	0.9362568	0.4669920	1.0809380	0.8280228	1.0349303
0.9997879	0.9044007	0.7255090	0.5048333	1.0530920	0.3231416	1.0204004	0.8140304	0.3790439	0.2574823	0.7872921	0.1859696	0.1798271	0.1425235	0.0587889	0.8105007	1.0716471	0.7926092	0.6808911	0.9597635	0.6682781	0.4419778	0.9639674	0.7940860	1.0586649	1.0190973	0.5310398	0.3520888	1.0554364	0.8098535	0.2661495	0.0442313	0.0499894	0.0573902	0.9085289	1.0101381	0.0000000	0.1832407	0.0344475	0.9930505	0.4308273	0.9821445	0.9101827	0.4094522	0.5655870	0.8966395	0.5039373	0.3897646	0.8762885	0.0483854	0.9719542	0.7176649	0.9520802	0.9605626	1.0542849	0.7093850	0.4776056	0.9602652	0.8379250	0.8142461	0.9747443	0.9469578	0.0000000	0.8560470	0.1210326	1.0557884	0.5701694	0.4122738	0.0564292	1.1043187	1.0302221	0.9360051	0.9933812	1.0274426	0.4805103	0.3553576	0.7193053	0.9981273	1.0254369	0.9899334	0.5027109	0.4327414	1.0059436	0.5297125	0.7647425	0.2826902	0.5942581	0.7279246	1.0539019	0.9586186	0.9449330	0.4529929	1.1383244	0.7989986	0.8630378	0.9532156	0.4926988	0.9406110	0.7643801	0.9188675
0.6667951	1.0101053	0.4671118	0.6547612	0.9661472	0.3314674	1.0111470	0.3926419	0.8667677	0.2704578	0.6171735	0.1867972	0.1125240	0.1793561	0.0629511	0.1071160	1.0304309	0.3377247	0.6781675	1.0072171	0.8818816	0.9767633	0.7978470	0.5458518	0.7685326	1.0324872	0.5657434	0.5465822	0.3826490	0.7635378	0.2397934	0.0268751	0.0469512	0.0464473	1.0798244	0.9550369	0.4349284	0.1682353	0.0629819	1.0292228	0.4424486	1.0979816	1.0424226	0.5352149	0.6447885	0.0000000	0.2277800	0.4492416	0.1918790	0.2455487	0.4283290	0.0086109	0.0492356	0.7194250	0.8957384	1.0177409	0.9723749	1.0117858	0.2378771	0.4333495	0.7798069	0.9832723	0.0000000	0.4869448	0.0981959	0.9873782	0.4815317	0.2318444	0.8300019	0.6963580	0.6982524	0.0319966	0.6624043	0.0735116	0.3347515	1.0474688	0.0304493	0.9782447	1.0438803	0.9659255	0.3906317	0.7276150	1.0866239	0.5328515	0.8349034	0.2170666	0.5670535	0.7223820	1.0331335	1.0945332	1.0450183	0.5471685	0.9832050	0.8411000	0.7093517	1.0312749	0.4202665	0.9377330	0.9241373	1.0403123
0.6445159	1.0276428	0.5550655	0.4155445	1.1074973	0.3398435	0.9083959	0.3762308	0.3710289	0.2613634	0.7482942	0.1802281	0.1142617	0.1083062	0.0420323	0.6608905	1.0719022	0.8861117	0.6405055	0.9085963	0.8238152	0.4123629	0.8578342	0.4813561	0.6386578	1.0021214	0.5276899	0.5525080	0.3083454	0.7457298	0.2869856	0.0633501	0.0511895	0.0643962	0.9976853	0.9297227	0.4358105	0.1545153	0.0667174	1.0434027	0.5969105	1.0789471	1.0403380	0.4773043	0.5351466	1.0288724	0.6986160	0.6544850	0.9986996	0.0434761	0.7688530	0.6842897	0.9664188	0.8357855	0.9980585	0.6629425	0.3784891	0.7905764	0.4315728	0.6153068	0.4019274	0.9662116	0.5269923	0.0000000	0.1587606	0.9130931	0.4069594	0.2058059	0.9738161	0.7782072	0.7298139	0.0224113	0.7074400	0.0454430	0.6457965	1.0126877	0.0612456	0.8556238	0.7959295	0.1580609	0.6209811	0.4465327	1.0848104	0.5682525	0.8029139	0.2360808	0.5314366	0.6933538	0.9321174	1.0828423	1.1095812	0.6320115	0.0000000	0.0813339	0.0996722	1.0204192	0.4407650	1.0547372	0.8121531	1.0299717
1.0827544	0.9586505	0.7715756	0.5236844	1.0536121	0.3462472	0.9712320	0.8272648	0.3550673	0.1943236	0.7385835	0.1867778	0.1185447	0.1521431	0.0584719	0.8003314	1.0673669	0.8089125	0.6027250	1.0770577	0.9180672	0.4517664	1.0366032	0.7160073	0.9406894	1.0119411	0.6197106	0.4717517	0.9756656	0.8137458	0.0784068	0.0524191	0.0249489	0.0597213	0.9563212	1.1072605	0.0000000	0.1246028	0.0479776	1.0496561	0.4163229	1.0234261	0.9752602	0.0000000	0.6066721	0.9364130	0.5222011	0.4424476	0.9318722	0.0132970	1.0687235	0.6793985	0.9479155	0.8822715	0.9646705	0.7519799	0.4624644	0.9668483	0.8472175	0.8587728	1.0174551	1.0863959	0.0206462	0.5765347	0.1311232	0.9450277	0.6227263	0.4603388	0.0496121	1.0748611	1.0493694	1.0672790	1.0630113	1.0177241	0.4614714	0.2516093	0.8275981	1.0076579	0.9802843	1.0211128	0.5837687	0.4959886	1.0005493	0.6230000	0.7340540	0.2448980	0.5950488	0.7837310	1.0677068	1.0857859	1.0464757	0.5966308	0.8522249	0.8847375	0.8505249	0.9268625	0.4015301	1.1276936	0.8574987	0.9900465
0.0000000	0.0066694	0.0104167	0.1574998	0.0000000	1.0064483	0.0127420	0.0394078	0.0488342	0.0069728	0.9387682	0.6895504	1.0659731	1.0790183	0.9645075	0.9373138	0.9808236	1.0898201	1.0779761	1.0271426	0.8272460	0.0002950	0.8196526	0.4893745	0.7805626	1.0458666	0.5409348	0.5732578	0.3685439	0.7725495	0.1673805	0.0566082	0.0408199	0.0370192	1.0282283	1.0271053	0.3830397	0.1988416	0.0973771	0.9950650	0.3564257	1.0621770	1.0344537	0.4452267	0.5952378	1.1335900	0.6948385	0.6255829	0.8528703	0.0583688	0.7963550	0.7599917	1.0077177	0.8988018	1.0331177	0.7001413	0.4949209	0.8679112	0.5871434	0.6949658	1.0652162	0.6719997	0.2843955	0.3314639	0.1283853	0.9854661	0.5406463	0.2300673	0.7453060	0.8263596	0.7491634	0.0323542	0.8584347	0.0585522	0.3077061	0.9815947	0.0654371	1.0168167	0.9968241	0.4550342	0.5563597	0.5058259	0.9608932	0.6251681	0.8125141	0.2307509	0.5620275	0.6839756	1.0172614	1.0815924	1.0552450	0.7768656	1.0524161	0.9117440	0.6949154	1.0377278	0.4366860	1.0275622	0.8884062	1.0821181
0.6545804	0.9567691	0.4117147	0.4446719	1.0201617	0.3843990	0.9247325	0.3934351	0.3568527	0.2781039	0.7285794	0.1791736	0.1442336	0.1653830	0.0576923	0.7777890	1.0062114	0.9508501	0.7248667	0.8464833	0.7474664	0.4815084	0.8766428	0.5340533	0.6222366	1.0080949	0.5554085	0.5423212	0.2925137	0.6819837	0.2529015	0.0503200	0.0284986	0.0431489	0.9665994	1.0281784	0.4613213	0.1555325	0.0413212	1.1017710	0.6131245	1.1194823	1.0033931	0.5756896	0.6388840	1.1032501	0.6194445	0.6218454	0.9123942	0.0628656	0.7491882	0.7117516	0.9688065	0.7832581	0.5894045	0.6700072	0.5086961	0.9094514	0.5468059	0.6836576	0.5209312	0.8687844	0.4727115	0.5263127	0.1312029	0.9764038	0.5046346	0.2466195	0.8757143	0.7747046	0.5968610	0.0363209	0.6848356	0.0463849	0.4663588	0.9182721	0.0375491	0.8098555	0.9692179	0.1953670	0.5258675	0.0000000	0.9690837	0.6699686	0.7978397	0.1292350	0.6594117	0.6854768	0.9643671	0.9837664	1.1363087	0.5475844	0.9834073	0.8158069	0.6445906	1.0281929	0.3867127	1.0423135	0.0000000	1.0144789
