G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5680981	1.0287690	0.3062550	0.6294224	0.7206130	0.4704790	1.0184710	0.2736841	0.0943794	0.3793686	0.8053338	0.0992748	0.1430627	0.2661192	0.0874302	0.4612231	1.0786061	0.8120309	0.7631645	0.7793163	0.7885948	0.5223894	0.6167678	0.4740707	0.5014887	0.9471085	0.5704306	0.5272469	0.3561483	0.6979203	0.1485985	0.0341771	0.0020248	0.0084570	0.9857248	0.9878572	0.6790487	0.0060333	0.0011760	1.0717663	0.6683603	0.9878895	1.0175862	0.5011963	0.6392286	0.8035747	0.6605845	0.7392321	0.8215345	0.1199009	0.7660249	0.4825402	0.8791014	0.7290698	0.8771113	0.6817668	0.6366045	0.3709992	0.2696452	0.9232992	0.0748629	0.3929888	0.7512571	0.3705960	0.1434228	1.0148142	0.3570602	0.1727015	0.7790609	0.6786459	0.2075902	0.0134204	0.1145196	0.0787553	0.5203691	1.0627928	0.1841704	0.4344572	0.5338280	0.0821077	0.8113165	0.7281058	0.9230354	0.5217455	0.7833853	0.2968343	0.4621577	0.6880519	0.3664229	0.9703812	1.0659265	0.6203471	0.9708112	0.7725207	0.9973849	0.7703043	0.4177337	0.9919993	0.8125330	0.9069862
0.6208068	0.9994113	0.6523698	0.4039624	0.9242197	0.2970953	0.9001385	0.2956360	0.5474532	0.2449678	0.6712892	0.1661981	0.1620054	0.2104227	0.0512675	0.5968892	0.9272045	0.8521558	0.7979241	0.7770367	1.0673702	0.6213143	0.7213883	0.6825497	0.6442427	1.0909489	0.5744258	0.4119148	0.0125532	0.6506857	0.5164285	0.0395516	0.0309949	0.0273769	1.0094514	0.9655498	0.4747377	0.1652457	0.0534447	0.9690382	0.2702460	0.6616098	1.0827142	0.4686517	0.7219307	1.0312085	0.7412288	0.9035991	0.9125193	0.0339470	0.8686743	0.7308957	0.8512691	1.0012443	0.9902422	0.7112741	0.3717955	0.9408328	0.6598608	0.5249663	0.8413745	0.7268354	0.3369341	0.7953576	0.0570911	0.8758053	0.4366024	0.2945134	0.9743928	0.5752032	0.5547964	0.0064168	0.6148008	0.0249645	0.4797155	0.9999614	0.3392744	0.8195329	0.8860754	0.3739589	0.4351552	0.4192619	1.0203473	0.4897576	0.7469549	0.1609361	0.6376626	0.4958329	0.9772805	1.0188005	0.7218677	0.3444852	1.0642353	0.9965991	0.8956551	0.9845270	0.4378805	0.7112759	0.7596485	0.9220819
0.6842551	1.0077267	0.5483290	0.1951701	0.8701160	0.3494905	0.8157993	0.3214622	0.0473081	0.2251755	0.6784283	0.1516032	0.1027154	0.1019037	0.0025531	0.3215614	0.8832690	0.2968413	0.5668508	0.7961978	0.7365655	0.3081266	0.7981006	0.3603949	0.4754428	1.0151780	0.4834502	0.4369121	0.4299565	0.8813022	0.6550420	0.0504475	0.0370289	0.0553734	0.9449511	0.9827156	0.4793889	0.1439316	0.0282120	0.9902463	0.8260508	1.0614552	1.0512824	0.7497050	0.7304017	1.1474450	0.7251310	0.6701018	0.8369541	0.5734968	0.6816591	0.6620667	0.9540461	1.0087540	1.0957900	0.4516225	0.4593251	0.8817601	0.2540968	0.5231391	0.1673202	1.0092710	0.7412301	0.5568122	0.1347062	0.8875204	0.6595973	0.2018941	0.9083933	0.7714005	0.6420703	0.0147225	0.5632377	0.0054026	0.9538054	1.0385471	0.2558637	0.4865281	0.5356538	0.0901989	0.4975955	0.3805268	0.9904819	0.5828680	0.7690800	0.2090109	0.5990274	0.7297769	0.9292036	0.6975119	0.9115263	0.5851513	0.9751774	1.0398790	0.8225250	1.0138247	0.4135968	0.8114800	0.8815543	0.8603249
0.6659490	0.9745190	0.3987583	0.2459172	0.8878131	0.3796876	0.8718270	0.3902817	0.2441890	0.1875175	0.7661853	0.1308167	0.0881382	0.2200979	0.0125078	0.8634213	0.9153271	0.4644576	0.4460874	0.7838518	0.8000286	0.1164389	0.6561020	0.4023141	0.4076281	0.9686130	0.4218465	0.5520602	0.5592678	0.6886388	0.1008923	0.0264306	0.0032303	0.0613201	0.9955991	0.8513361	0.6947400	0.0044704	0.1845432	1.0401846	0.3776204	0.6960100	0.7151709	0.4804244	0.4928223	0.8500981	0.6588939	0.7147648	0.5471031	0.4847270	0.6768120	0.5969750	0.8982518	0.5619757	1.0479306	0.5753176	0.5280264	0.9429324	0.1685181	0.6362157	0.7943717	0.7102074	0.3114941	0.5655141	0.0273735	0.9810431	0.6705938	0.1044416	1.0494574	0.3921886	0.4125606	0.0023699	0.1612060	0.0441317	0.3407475	0.7749520	0.0301519	0.9806377	0.9367711	0.3382028	0.5079859	0.8347848	1.0512068	0.6287634	0.7338732	0.8425384	0.2550064	0.6444685	0.4406479	1.0394659	0.8392438	0.1872856	0.6694628	0.9303644	0.7633925	0.7955893	0.3625036	0.9626598	0.9530264	0.7744607
0.3375904	1.0360692	0.2486949	0.3254852	0.7944016	0.3180001	0.7792797	0.8226899	0.6290706	0.1037010	0.7620756	0.1308410	0.1504526	0.1872067	0.0267266	0.7261124	0.9231028	0.7192552	0.6439630	0.6941554	0.8554641	0.5287613	0.4519589	0.4706782	0.5844633	1.0632537	0.6984654	0.3031498	0.4017678	0.6554490	0.3472640	0.0356386	0.0037236	0.0316118	1.0834406	0.7852336	0.5655313	0.1841348	0.1194111	0.9618658	0.5101417	1.0175768	0.7706990	0.7139928	0.5582088	1.0270031	0.7650251	0.8425087	0.3692886	0.1333232	0.9346856	0.6135309	0.9992077	0.9934979	0.9081604	0.7307510	0.3416073	0.6306007	0.2994393	0.6726040	0.1618871	0.5851301	0.7421481	0.5861508	0.1521437	0.5507261	0.3839618	0.0563824	0.7818887	0.7313111	0.4657703	0.0040747	0.2524040	0.0669667	0.5221466	0.8503529	0.0023061	0.5717680	0.5591219	0.1130179	0.4760584	0.4513868	0.7711509	0.7257378	0.7082343	0.0984988	0.6095561	0.7486611	0.8337586	1.0043688	0.9726640	0.5813241	0.9956364	0.8617743	0.7986190	0.7843573	0.4127735	1.0118030	0.7949516	1.0588954
0.8364214	0.8292839	0.5026653	0.3505163	1.0336792	0.3639377	0.9153051	0.5386095	0.5944096	0.1925850	0.6763563	0.1663967	0.0483726	0.1809629	0.0673780	0.2802262	0.6680112	0.8859458	0.6510540	0.9929625	1.0530070	0.3269786	0.4505672	0.4821135	0.6869913	0.9526562	0.6094624	0.5766802	0.5119753	0.8013135	0.1943518	0.0155373	0.0296316	0.0448180	0.9130018	0.5568499	0.3737222	0.1770694	0.0881964	0.9175183	0.1724723	0.7163564	0.5005370	0.3749362	0.3543941	0.9603193	0.4789450	0.4362977	0.9188364	0.5685408	0.9419947	0.6974104	0.8551961	1.0642919	0.9421970	0.7788182	0.4408761	0.3572602	0.7997494	0.8315183	0.7172325	0.5287599	0.3815082	0.4730996	0.1265495	0.8570216	0.5751367	0.1959733	0.6369879	0.9473135	0.7090118	0.0371580	1.0254113	0.0599809	0.1978171	0.9283067	0.2340160	0.8588173	0.8245689	0.2751906	0.5246294	0.4104218	0.9901847	0.4873628	0.8550038	0.4299340	0.3840982	0.7477354	0.9788213	0.5908499	0.8414975	0.3863382	0.9307167	0.9701646	0.9680099	1.0290826	0.3631639	0.9729508	0.7117074	0.9679698
0.5361876	0.9759764	0.4309917	0.7154133	1.0128603	0.3343096	0.7618054	0.5395747	0.2092318	0.0155253	0.7847815	0.1132038	0.0819853	0.1441634	0.0442360	0.6893428	1.0513963	0.8618083	0.6935378	1.1123612	0.7898502	0.6704138	0.8440349	0.9756794	0.3575245	0.7155642	0.3537813	0.6725507	0.4180066	0.5614680	0.0477850	0.0734821	0.0256771	0.0334030	0.9522282	1.0091946	0.3562952	0.1676521	0.4693037	0.6810231	0.4412070	0.9930967	0.6421383	0.3048762	0.4428442	1.0263494	0.6634101	0.4994186	0.7872679	0.3936070	0.9210789	0.6570733	0.8799844	0.7607239	0.9701112	0.7417666	0.4541317	0.9506452	0.6069953	0.6600699	0.9941697	0.2770844	0.1130992	0.1995028	0.0324382	1.0195928	0.6662297	0.1785335	0.8688917	0.5694017	0.7427875	0.0074338	0.8086460	0.0031197	0.4712931	1.0509324	0.3922801	1.0567756	0.7639028	0.4803996	0.3789610	0.7480678	0.9896634	0.5076402	0.7225411	0.1926996	0.6032146	0.6878858	0.9534508	1.1014093	0.9098989	0.4333728	0.9796960	1.0574171	0.8055937	0.9174875	0.4398345	1.0227309	0.9149511	0.9385471
0.6739281	0.9414810	0.6405138	0.3917659	0.8678560	0.4358901	0.9629613	0.3310188	0.0874545	0.2045765	0.6953581	0.1572135	0.0664229	0.2049710	0.0790233	0.7942174	0.9524168	0.8479507	0.6000467	0.6716675	0.8365220	0.0019927	0.8329531	0.0046920	0.7347105	1.1060431	0.6227720	0.3160156	0.1977068	0.7821323	0.2550326	0.0074740	0.0050739	0.0391538	0.9505646	0.9747656	0.4240519	0.0006862	0.0558547	1.0223089	1.0094147	0.8844437	1.0531049	0.7671804	0.5959550	0.9430880	0.6011659	0.5559661	0.8377066	0.2394261	0.7943216	0.6508865	0.9836860	0.8230074	1.0172922	0.7817122	0.4145194	0.9280060	0.1151109	0.7167929	0.0294983	1.0710575	0.7982071	0.6208850	0.1468708	0.9617413	0.6253895	0.2271894	0.8500718	0.8450456	0.6870432	0.0149988	0.4464585	0.0046847	0.9624350	0.9980249	0.1528951	0.4438955	0.3060203	0.1101506	0.4294119	0.4581448	0.9727413	0.4940567	0.9012289	0.2348641	0.5765013	0.5928972	0.8409738	0.4598766	1.0632261	0.6443405	0.7770623	0.6988898	0.6399542	0.9143469	0.2978259	1.0487307	0.8459393	0.9359665
0.6042594	0.9048828	0.5150410	0.1067338	1.0259813	0.2913321	1.0392629	0.5336815	0.2411645	0.1547479	0.7380882	0.1902221	0.1735433	0.1518168	0.0525167	0.6194308	0.9991403	0.9921753	0.6224006	0.8387772	0.8561638	0.4598779	0.5519197	0.3614603	0.6223533	1.0122684	0.7260195	0.3686465	0.2645408	0.8601682	0.2690982	0.0472192	0.0010883	0.0397475	0.9970125	1.0497187	0.5196568	0.1785433	0.2269910	0.9640637	0.4364760	1.0707712	0.7823065	0.6991360	0.8363498	0.9687838	0.7044493	0.8977851	0.8534284	0.0187032	0.6947652	0.6554103	0.8962554	0.6698817	1.0484948	0.7597764	0.4849075	0.8317631	0.4452301	0.2929893	0.2393139	1.0125578	0.6093305	0.7766631	0.0845598	1.0670720	0.8376674	0.0472264	0.9527620	0.7192641	0.5481486	0.0025395	0.3096992	0.0017939	0.9863333	0.9098217	0.3430586	0.7067028	0.5720883	0.0877194	0.4572425	0.6332410	0.9365147	0.8914038	0.8130019	0.7443741	0.2048499	0.4195029	0.7462732	0.9723365	0.9986965	0.6569247	0.9575449	0.8911523	1.0019640	0.4125087	0.8605261	1.0339513	0.7991521	0.8483360
0.5607491	1.0113340	0.2836604	0.5849642	0.8074959	0.3814151	1.0424677	0.3430912	0.0195356	0.2487602	0.6996335	0.1731784	0.0943853	0.2848583	0.0283999	0.8575347	0.8120600	0.7981768	0.7163245	0.9024038	0.7704250	0.5817858	0.7852729	0.9082320	0.6743536	0.6554533	0.2949916	0.8539030	0.8400933	0.7342337	0.0183641	0.1385674	0.0032542	0.0501478	1.0987694	0.8429639	0.4202319	0.0015257	0.0000874	1.0188840	0.1924541	1.0992349	0.6084506	0.1953847	0.3793742	1.0098225	0.5767939	0.5591250	0.9898645	0.5829629	0.9138219	0.6285510	0.9319555	0.6799452	1.0433110	0.7155254	0.4968155	0.9342430	0.5391652	0.5542472	0.7662452	0.2194295	0.0998957	0.3529306	0.1383256	0.8878742	0.2174499	0.3672770	0.7022118	0.8712997	0.7157453	0.0318234	0.8104985	0.0079372	0.5955700	0.9033953	0.1246003	1.0502914	1.0649718	0.6509573	0.4612018	0.6965109	1.0943928	0.5883706	0.7300992	0.3905569	0.5061264	0.7696645	0.9802782	0.9511550	1.1243943	0.6684191	0.8559019	1.0073769	0.8479875	0.7745218	0.5844592	0.5389427	0.6960374	1.0576699
