G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5579045	0.9932040	0.2062791	0.5876926	0.6914412	0.4963486	0.8678577	0.2641050	0.0759892	0.3271134	0.7668452	0.0794274	0.1484316	0.2318433	0.0855623	0.5002598	0.9999715	0.8230832	0.6526529	0.7229786	0.7976789	0.5644865	0.6070473	0.4154190	0.4623257	0.9491154	0.5388506	0.5297956	0.3399041	0.6343372	0.1536409	0.0299434	0.0002264	0.0189184	0.9935422	1.0000000	0.6978104	0.0006699	0.0000000	0.9290068	0.7633764	1.0000000	1.0000000	0.4951574	0.6185425	0.7921461	0.7240178	0.7121031	0.8304421	0.1036827	0.7138117	0.5139658	0.9068183	0.8104014	0.9995856	0.7089787	0.5882396	0.4182650	0.2509610	0.8751257	0.0579327	0.4785961	0.6950517	0.4277360	0.1057000	0.9962437	0.3763007	0.1488891	0.8616065	0.5851731	0.1858393	0.0069970	0.0877960	0.0456312	0.5161295	0.9976464	0.1800353	0.4169114	0.3699766	0.1105553	0.7240060	0.6022703	1.0000000	0.5385119	0.7764749	0.2703867	0.4992997	0.6134644	0.0898969	1.0000000	1.0000000	0.5339580	1.0000000	0.7563329	0.9358851	0.7937411	0.4318965	1.0000000	0.8055238	0.8198785
0.5713296	0.9983966	0.7388290	0.3926737	0.8436054	0.3423243	0.9490617	0.3226257	0.5210523	0.2046846	0.7377134	0.1736680	0.1423971	0.1838530	0.0675572	0.5482842	0.9407446	0.8817396	0.7139911	0.7857084	0.9521628	0.6474990	0.7939593	0.6712930	0.7045358	1.0000000	0.4843653	0.3889661	0.0098184	0.6596300	0.4371908	0.0409769	0.0329625	0.0260008	0.9637398	1.0000000	0.4366989	0.1698556	0.0727847	1.0000000	0.2326114	0.6554605	1.0000000	0.3871797	0.7787575	1.0000000	0.6473264	0.7794171	0.7784397	0.0253410	0.7837414	0.6560033	0.8807396	0.9115735	0.9906850	0.7652781	0.3910084	0.8956921	0.6208025	0.4999584	0.7102054	0.7543486	0.2842337	0.6829523	0.0891265	0.8302295	0.4095070	0.2649121	0.8884511	0.6026025	0.5698997	0.0159286	0.7006558	0.0244936	0.5266253	0.9999840	0.3221208	0.8096033	0.8391119	0.3104495	0.4750172	0.4187053	1.0000000	0.5556741	0.7588846	0.1900878	0.5282978	0.4950988	0.9496820	1.0000000	0.7192359	0.2791351	1.0000000	0.9999816	0.9449526	1.0000000	0.4278294	0.7499475	0.7790466	1.0000000
0.6588884	0.9961464	0.5444201	0.2098868	1.0000000	0.3542693	0.8517034	0.3239498	0.0662334	0.2254610	0.7149565	0.1769079	0.1226752	0.1057004	0.0098522	0.2742912	0.8980367	0.3068951	0.5671208	0.7446280	0.7960912	0.3226604	0.7906355	0.3486985	0.4494497	1.0000000	0.4898184	0.4926642	0.3847484	0.7840102	0.5680792	0.0409769	0.0329625	0.0378535	0.9637398	1.0000000	0.4410255	0.0894890	0.0167981	1.0000000	0.8294674	1.0000000	1.0000000	0.7044543	0.6282550	1.0000000	0.7390920	0.5933235	0.8231413	0.5528449	0.7148117	0.6328126	0.8807396	0.9183627	0.9995386	0.4164655	0.5119921	0.8445974	0.2700420	0.5739648	0.1801396	0.9830496	0.7105194	0.5618297	0.1308994	0.8621208	0.6439315	0.2047232	0.9358008	0.7504312	0.6418904	0.0107671	0.6217027	0.0006756	0.9501791	0.9999955	0.2154028	0.5558303	0.5715716	0.0747877	0.4808153	0.4491758	0.9657068	0.5724501	0.7418794	0.1979539	0.5986615	0.6762995	0.9437244	0.6437188	1.0000000	0.5834991	1.0000000	0.9999752	0.8444814	1.0000000	0.4278294	0.7921589	0.7488656	0.8470929
0.6382374	0.9958268	0.3788383	0.2353405	0.9172589	0.3857413	0.8715873	0.3584862	0.2982124	0.1764976	0.7224453	0.1736004	0.0697404	0.1669127	0.0141477	0.8316087	0.9999894	0.4898795	0.4471810	0.7662737	0.7993058	0.0832599	0.6009615	0.3944884	0.4660129	1.0000000	0.4843653	0.5318567	0.5697571	0.7637488	0.1345980	0.0088547	0.0005933	0.0378535	0.9637398	0.8174037	0.7069334	0.0008455	0.2298459	1.0000000	0.3745150	0.7635895	0.6198000	0.4057528	0.3921112	0.8995768	0.7382984	0.7259984	0.5939059	0.5206522	0.6878742	0.6020378	0.8618109	0.6269830	0.9999736	0.5917821	0.5466563	0.9064576	0.2039989	0.6331383	0.8037165	0.6977694	0.3084092	0.5238953	0.0303160	0.9671665	0.6680449	0.1405964	0.9283501	0.3894068	0.3544335	0.0019032	0.1658519	0.0456218	0.3028783	0.8950002	0.0275165	0.9197161	0.9541411	0.2863018	0.5281538	0.8451047	1.0000000	0.6570764	0.7588846	0.6560498	0.2566485	0.6530117	0.4170873	0.9600145	0.7615607	0.1882916	0.7188087	0.9416288	0.6512834	0.7695829	0.4081557	1.0000000	0.8055238	0.7967181
0.4145033	0.9911785	0.2531156	0.3318200	0.7412183	0.3625404	0.8411323	0.7287762	0.5938553	0.1011722	0.7981683	0.1233016	0.1856485	0.1652111	0.0277159	0.7447563	0.9999208	0.7671939	0.6625307	0.6581012	0.8806819	0.5890447	0.4176245	0.4484458	0.5767946	1.0000000	0.6447645	0.2978861	0.3013662	0.6596300	0.3493279	0.0409769	0.0005990	0.0378535	0.9637398	0.7618382	0.5854962	0.1701755	0.0781194	0.9940771	0.5429649	1.0000000	0.8176999	0.6037173	0.5239409	1.0000000	0.7587997	0.8215261	0.3901803	0.1755470	0.9168471	0.6328125	0.9039084	0.9403025	0.9989290	0.7413677	0.3539890	0.6902664	0.3287831	0.7081810	0.1816345	0.6207223	0.6712073	0.5064609	0.1558964	0.5031282	0.4234902	0.0272038	0.8495820	0.6506146	0.4665777	0.0035823	0.2126752	0.0457864	0.4855144	0.7795672	0.0000017	0.5921790	0.6160017	0.1259382	0.4993282	0.4206171	0.7208473	0.8337124	0.6712117	0.1111477	0.6212942	0.7495446	0.7138363	1.0000000	1.0000000	0.5758579	1.0000000	0.9999762	0.9061008	0.8583811	0.3761830	1.0000000	0.8365438	1.0000000
0.7941018	0.9964000	0.5641457	0.2904227	1.0000000	0.3542693	0.9302501	0.4350878	0.6150729	0.1774361	0.7066364	0.1624921	0.0679140	0.1514214	0.0590937	0.2592837	0.6113566	0.9455802	0.6539737	0.9568183	0.9999997	0.3673344	0.5095774	0.4726614	0.6754287	1.0000000	0.4843653	0.4897310	0.4284616	0.7467265	0.1984600	0.0154633	0.0329625	0.0378535	0.9948462	0.5952283	0.2873945	0.1631405	0.0670392	0.9521288	0.1563505	0.7690591	0.5762287	0.3553013	0.4033634	0.9553456	0.5393911	0.4374036	0.8865476	0.5711308	0.9634909	0.6103647	0.8730918	0.9849723	0.9901574	0.6624057	0.5269327	0.3321793	0.8386691	0.7937960	0.7916590	0.4891061	0.2381728	0.5557794	0.1329268	0.8477152	0.5131023	0.1336006	0.6514690	0.8008372	0.6036784	0.0493828	0.9556315	0.0474740	0.1691244	0.9993720	0.2434764	0.9582292	0.8358908	0.3663618	0.5353681	0.3664345	1.0000000	0.5556741	0.7588846	0.4386550	0.3727275	0.7103228	0.9961264	0.5468351	0.8287818	0.3307656	0.9526071	0.9999748	0.9518559	1.0000000	0.3663195	1.0000000	0.8389546	1.0000000
0.6152066	0.9960229	0.3960199	0.7350643	1.0000000	0.3272545	0.7621779	0.5075950	0.1706334	0.0122519	0.7066364	0.0869052	0.0814443	0.1514214	0.0590937	0.8360356	0.9999962	0.9078548	0.6838000	0.9980341	0.7960910	0.6942984	0.7897928	0.9825791	0.3379263	0.6812477	0.3914418	0.6623509	0.4300866	0.5506012	0.0368312	0.0664871	0.0350587	0.0295215	0.9828783	1.0000000	0.4076124	0.1698556	0.4368760	0.6200017	0.4712557	1.0000000	0.6219214	0.2259290	0.3936836	1.0000000	0.7341438	0.5628488	0.7335197	0.4083277	0.9385722	0.6328125	0.8807396	0.7456411	0.9916829	0.7165872	0.5119921	0.8956921	0.6148523	0.6480279	0.9973021	0.2651720	0.0848402	0.1447910	0.0277716	0.9999253	0.6385657	0.1943355	0.9276164	0.5563520	0.6860640	0.0098269	0.7711007	0.0010369	0.4365701	0.9999967	0.3571295	0.9972841	0.7698032	0.4110669	0.3225717	0.6963087	1.0000000	0.5556741	0.7588846	0.1915833	0.5131172	0.6306926	0.9531003	1.0000000	0.8549868	0.4317829	0.9233335	0.9999627	0.8280410	1.0000000	0.4278294	1.0000000	0.8055238	0.9952316
0.6643718	0.9990046	0.5058438	0.4338868	0.8860646	0.3868588	0.9666796	0.3359612	0.0820141	0.2079897	0.7126011	0.1665337	0.0722700	0.1737200	0.0646154	0.8171596	0.9999623	0.8367830	0.5467012	0.6760536	0.7968819	0.0000002	0.7934356	0.0000001	0.6934068	1.0000000	0.5649288	0.3405044	0.1469977	0.7381318	0.2532900	0.0115595	0.0005368	0.0378535	0.9637398	1.0000000	0.4373884	0.0006468	0.0573899	1.0000000	0.8950487	0.9814642	1.0000000	0.7821933	0.6185425	1.0000000	0.6477480	0.5901320	0.8136213	0.2052564	0.7723216	0.6445108	0.9465592	0.7338092	0.9999972	0.7540971	0.4170480	0.8725289	0.1089990	0.7554042	0.0328639	0.9900961	0.8383184	0.5752296	0.1168938	0.9949609	0.6624268	0.2311663	0.8820604	0.9766729	0.6134440	0.0158674	0.4069377	0.0008931	0.9141181	0.9285533	0.1526343	0.4187652	0.4223429	0.0999926	0.3784872	0.4820088	1.0000000	0.5192171	0.7965504	0.2045237	0.5826008	0.6969761	0.9465103	0.4434814	1.0000000	0.6366545	0.7851108	0.7842947	0.5889331	0.9023851	0.3103519	1.0000000	0.8466385	1.0000000
0.6177819	0.9960310	0.5171342	0.1292528	1.0000000	0.2747679	0.9102459	0.4443456	0.2936896	0.2089117	0.7130202	0.1761255	0.1219763	0.1514214	0.0590937	0.6420123	0.9999758	0.9344277	0.5971909	0.7904520	0.8231388	0.4183258	0.5495478	0.3381372	0.6051278	1.0000000	0.7287634	0.3592305	0.2684102	0.8586888	0.2154943	0.0409769	0.0004107	0.0378535	0.9637398	1.0000000	0.5312917	0.1698953	0.2111281	1.0000000	0.5075628	1.0000000	0.7240668	0.6694393	0.7919906	1.0000000	0.7491285	0.9609085	0.7957728	0.0228735	0.7005283	0.6328125	0.8807396	0.6988159	0.9916005	0.7165872	0.5119921	0.8940401	0.4122976	0.2663675	0.2263287	0.9863652	0.6265588	0.9553687	0.0706969	0.9988423	0.8156049	0.0584049	0.9239697	0.6847361	0.5006116	0.0043000	0.2268670	0.0003843	0.9021940	0.8298800	0.3315098	0.6349672	0.6674071	0.0774977	0.4506031	0.6440692	0.9674989	0.8626289	0.7457907	0.7467265	0.2293154	0.4899533	0.6957567	1.0000000	1.0000000	0.6460390	1.0000000	0.8557544	0.8906186	0.4328306	0.7831397	0.9151198	0.7951694	0.8273264
0.5287841	0.9940408	0.2396846	0.5896101	0.7746029	0.3829559	0.9311464	0.3425163	0.0192112	0.2386435	0.7344484	0.1737542	0.0756575	0.2029451	0.0233775	0.8922543	0.7557436	0.8617794	0.7409027	0.9988838	0.7988799	0.5388608	0.8448926	0.9225784	0.7906428	0.5630806	0.2574838	0.7569885	0.8058248	0.6489832	0.0203743	0.1670007	0.0052340	0.0625041	0.9412972	0.7581150	0.3665279	0.0007479	0.0000001	1.0000000	0.1675757	1.0000000	0.5611487	0.1991071	0.3474504	1.0000000	0.6034553	0.5223726	0.8976600	0.6171286	0.9518959	0.6465644	0.8807396	0.7137198	0.9996773	0.7182688	0.5074640	0.8956921	0.6595255	0.6317497	0.7138190	0.2026864	0.0680028	0.4006929	0.1168938	0.9949609	0.2360926	0.3841677	0.6819860	0.7964788	0.7406241	0.0248395	0.8554411	0.0007256	0.5371138	0.8199040	0.1142233	0.9984995	0.9191502	0.7431359	0.4892154	0.6525115	1.0000000	0.6033922	0.7588846	0.3182109	0.4553726	0.7103228	0.9958786	1.0000000	1.0000000	0.7593926	0.8856276	0.9999669	0.7872069	0.7567239	0.5551300	0.5326707	0.6903292	1.0000000
