"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4078384	0.7343724	0.3042928	0.3399780	0.6882817	0.2465584	0.6645682	0.2805232	0.4117242	0.1610730	0.5444139	0.1322870	0.0910150	0.1275916	0.0459659	0.4596671	0.7447895	0.6577191	0.5401442	0.5823441	0.6200085	0.3377260	0.5343707	0.2916726	0.5263117	0.7348791	0.4294067	0.4018286	0.3120329	0.5811350	0.1444321	0.0731822	0.0318761	0.0339966	0.6543805	0.7708202	0.3880041	0.1115688	0.0263730	0.6963694	0.3224328	0.8362359	0.7151596	0.2508927	0.5093268	0.6147940	0.4608328	0.5725777	0.5736381	0.0362614	0.5806483	0.5013140	0.6342601	0.7202069	0.6193959	0.4460299	0.4022109	0.6739121	0.3730595	0.3923006	0.4294149	0.7013442	0.3567158	0.2607124	0.0701549	0.7498315	0.2907726	0.1592245	0.6970722	0.5923985	0.3844042	0.0115337	0.5156370	0.0264071	0.3575369	0.7582781	0.0370275	0.5794510	0.5770780	0.1405668	0.3400116	0.3063200	0.9211237	0.4591165	0.5492204	0.1307463	0.3701027	0.4673176	0.7281296	0.6493444	0.6488664	0.5243607	0.7832914	0.7117323	0.4923540	0.6097013	0.2544074	0.7026349	0.6681938	0.7356460
100	0.2763223	0.7334686	0.4895981	0.3116615	0.6989663	0.3041252	0.6819226	0.2001433	0.2217322	0.2302232	0.4815120	0.0808534	0.0336775	0.0897266	0.0268504	0.4600056	0.7244236	0.5928152	0.4763495	0.4992250	0.5815766	0.2843728	0.4469973	0.3418181	0.5496393	0.6275557	0.5371674	0.4052189	0.2171432	0.6056057	0.1924997	0.0311408	0.0025882	0.0105605	0.6778813	0.5990988	0.3325590	0.1114470	0.4655208	0.4544144	0.5164513	0.7420968	0.7184419	0.5759252	0.5050356	0.6641798	0.4770951	0.5382955	0.5538028	0.0634180	0.6317813	0.5316848	0.6804918	0.5740566	0.7198521	0.3045936	0.2017643	0.6926313	0.2248507	0.4593032	0.4499267	0.3567813	0.3285164	0.2989143	0.0652048	0.7048370	0.3569562	0.1476133	0.6454943	0.4515968	0.4012695	0.0030870	0.4539797	0.0292078	0.3728372	0.6006733	0.0373611	0.5372876	0.6194243	0.2046671	0.3715282	0.2389727	0.5005600	0.4718341	0.6220578	0.2024030	0.2420287	0.5680134	0.6805572	0.7757021	0.6846860	0.3213661	0.7009865	0.6655528	0.4334161	0.6913341	0.2287492	0.6231395	0.7313924	0.7454447
200	0.1307584	0.6603762	0.5117547	0.3071854	0.7565775	0.2112063	0.5734100	0.2164126	0.2411097	0.2664481	0.4160385	0.0927796	0.0786725	0.0903317	0.0448567	0.4885945	0.6662352	0.6254205	0.4620360	0.6125631	0.4815124	0.3543118	0.5521395	0.3439825	0.4386115	0.7207983	0.7552908	0.3383508	0.2437867	0.5138282	0.1982325	0.0206405	0.0013628	0.0060869	0.5646483	0.5972437	0.3408772	0.0700174	0.5712329	0.5151126	0.5265699	0.6383178	0.7251295	0.7132357	0.4130122	0.5969670	0.4410291	0.5986286	0.6068553	0.1353977	0.5998209	0.6021470	0.6072735	0.6275170	0.6387304	0.2438174	0.0984551	0.6146695	0.2822958	0.3807002	0.2123165	0.1145126	0.5942180	0.3093620	0.1455741	0.6522853	0.3164309	0.1643830	0.5760581	0.3679691	0.4521772	0.0004628	0.4645733	0.0738497	0.4140824	0.6557116	0.0203173	0.5498759	0.4958297	0.1040172	0.4063125	0.3157878	0.4232640	0.5920838	0.6395747	0.1779643	0.2367316	0.3740932	0.6684541	0.8167262	0.5838552	0.4131358	0.7018384	0.5733273	0.5077661	0.7521846	0.2123094	0.6261186	0.5479527	0.5658511
300	0.1323287	0.6239012	0.4858085	0.2000717	0.6994561	0.2306463	0.6085209	0.2226806	0.2580881	0.3150949	0.4242713	0.1171222	0.0451041	0.0828421	0.0624880	0.4854072	0.6078930	0.6059013	0.4132545	0.6143026	0.5587126	0.2291774	0.5040523	0.2945543	0.5843562	0.7397987	0.5608969	0.3604213	0.1832503	0.5064769	0.3598938	0.0198781	0.0003535	0.0142440	0.6042173	0.6766166	0.3196884	0.0884377	0.5838679	0.5561482	0.5670522	0.7427255	0.8436915	0.6593277	0.3790845	0.7611689	0.5240418	0.6810758	0.6261704	0.0851715	0.7175306	0.5636768	0.5405888	0.6687147	0.8026267	0.2752417	0.0777415	0.7055012	0.3003415	0.4837076	0.1174779	0.1896167	0.5841167	0.4272654	0.1036588	0.7137089	0.3131151	0.1569082	0.4840689	0.5279893	0.4575341	0.0073829	0.4443972	0.0409421	0.4940660	0.6357363	0.0193117	0.2876044	0.3140370	0.0677538	0.3687704	0.3060533	0.4608858	0.5864627	0.6799532	0.4573540	0.2457880	0.3682925	0.6434171	0.8171604	0.6410663	0.3861310	0.6219622	0.5100974	0.6112262	0.6282379	0.1462414	0.6717102	0.6291129	0.7710717
400	0.1748803	0.6676143	0.5208692	0.2461100	0.7769365	0.2621135	0.7548833	0.3126587	0.2231550	0.2188127	0.3941193	0.1326463	0.0818440	0.0958784	0.0409379	0.5585615	0.9249966	0.7243830	0.4392595	0.5370724	0.4937056	0.2875580	0.5072303	0.3216013	0.4608072	0.5652513	0.5706217	0.3527603	0.1344813	0.5881097	0.2735281	0.0267559	0.0016557	0.0178827	0.6642241	0.6709669	0.2950040	0.1429955	0.5654292	0.6672094	0.5581637	0.7321123	0.5909171	0.6575214	0.4331889	0.7241176	0.4944809	0.6783083	0.7205582	0.0986753	0.5636442	0.6514641	0.7804201	0.5883065	0.7609223	0.2166149	0.0769788	0.7308387	0.2923556	0.5462626	0.1032794	0.1716727	0.5865417	0.4137554	0.0972835	0.7408832	0.3310054	0.2155678	0.5473356	0.4486050	0.4468172	0.0004379	0.4715422	0.0467941	0.4808408	0.7215725	0.0279526	0.3522600	0.4922405	0.0750127	0.3481801	0.3190326	0.4233121	0.5243327	0.6470368	0.4056124	0.2361549	0.5265214	0.7763250	0.7932060	0.8177227	0.4908279	0.6753893	0.7268977	0.6328205	0.6638782	0.2647209	0.7513344	0.5802394	0.7137772
500	0.1983388	0.6997080	0.5018340	0.2263629	0.7981499	0.1712411	0.6821123	0.2510447	0.2175959	0.2883563	0.3542998	0.1565219	0.0835420	0.1094843	0.0228861	0.5345038	0.7408400	0.5984027	0.3682112	0.4217692	0.6567475	0.3295861	0.4684306	0.3361206	0.4787366	0.7889876	0.5849038	0.3813718	0.1993466	0.4518716	0.1626105	0.0331904	0.0008390	0.0180275	0.8332941	0.7495033	0.2785907	0.0921671	0.6023961	0.5080090	0.8323531	0.8287690	0.6875455	0.8148440	0.3535765	0.6451750	0.4584062	0.8697883	0.4770029	0.1332975	0.7825266	0.5330804	0.6504837	0.6303804	0.7496517	0.2416638	0.0546132	0.7119700	0.2633418	0.4423693	0.0921840	0.2232428	0.6477420	0.4057942	0.0901343	0.7234580	0.4213896	0.1717374	0.6077365	0.6470994	0.5058189	0.0019111	0.5421705	0.0454544	0.5794435	0.8770595	0.0245082	0.3082352	0.2257480	0.0791064	0.3093930	0.4028086	0.4384283	0.6813274	0.6181245	0.2899610	0.2226058	0.4532244	0.4975901	0.7563934	0.6632118	0.5315738	0.7133816	0.6775326	0.6201889	0.6125290	0.1434617	0.5866317	0.6193040	0.7156844
600	0.2604782	0.8552742	0.2734956	0.3084218	0.6056099	0.2413132	0.7300042	0.2999086	0.1958318	0.1872260	0.5464428	0.1645186	0.0552962	0.0983756	0.0339451	0.4255251	0.6487849	0.5382477	0.3574125	0.3852075	0.6512474	0.2604461	0.4892385	0.2797214	0.3499241	0.7965164	0.4604453	0.3202438	0.2271911	0.4786219	0.2955099	0.0568169	0.0300244	0.0150122	0.7124155	0.6684319	0.3620820	0.1061665	0.2397389	0.6154870	0.6130871	0.8043443	0.7021339	0.6391177	0.4324722	0.7691535	0.4713893	0.5820732	0.5367972	0.0824231	0.5112861	0.5542635	0.6417364	0.5817853	0.7129271	0.5122619	0.2259952	0.7454726	0.3712537	0.4823623	0.1029690	0.4912947	0.5411860	0.3732050	0.1115831	0.7472607	0.3583302	0.1474592	0.6818101	0.5534093	0.4609129	0.0111131	0.5153293	0.0162533	0.5661263	0.7908367	0.0238706	0.3676374	0.2580607	0.0587915	0.3381635	0.3820650	0.5077931	0.5269917	0.4431712	0.2743494	0.3839949	0.5062572	0.6265080	0.7388633	0.7054628	0.6002029	0.5201130	0.6140519	0.6105533	0.7184871	0.2230083	0.6774642	0.7274119	0.6760751
700	0.3394495	0.7626409	0.2643535	0.3299729	0.7210938	0.3275661	0.7505187	0.1841669	0.2971211	0.1807015	0.5311462	0.1547257	0.0579288	0.0815972	0.0247365	0.6745730	0.8033620	0.4531823	0.3395757	0.5204283	0.5411614	0.2305050	0.4424302	0.3092217	0.5688795	0.7216220	0.3030718	0.3707197	0.2249474	0.4741563	0.2592985	0.0439346	0.0392401	0.0421185	0.7010336	0.6080713	0.3578949	0.1265930	0.0737672	0.7304948	0.6854660	0.6882125	0.7753747	0.4184147	0.5533306	0.7214327	0.5138287	0.5595014	0.6747044	0.0554585	0.5922685	0.4881880	0.7175439	0.6500410	0.8051174	0.4452381	0.3084647	0.6253736	0.3145183	0.3713404	0.0927911	0.6951964	0.5497989	0.4414035	0.0804448	0.8843250	0.3924498	0.2381244	0.7249981	0.5077708	0.3135634	0.0025690	0.4382245	0.0169801	0.6123372	0.9474792	0.0229690	0.3385774	0.4522376	0.0618941	0.4052265	0.3256302	0.7034383	0.3631167	0.4945728	0.1458087	0.4405674	0.6142693	0.7172850	0.7453761	0.5842238	0.5097410	0.6670157	0.6250727	0.4003996	0.8141822	0.3088116	0.8047521	0.5107238	0.6995575
800	0.4965589	0.6532230	0.2157409	0.3747085	0.8052411	0.2082664	0.7287848	0.1935695	0.2974454	0.2081069	0.4793545	0.1458324	0.1004984	0.0917385	0.0440701	0.5092598	0.6713122	0.5566240	0.5134373	0.5931928	0.6246395	0.2633125	0.5210519	0.3030695	0.4181142	0.7975965	0.4130539	0.2681956	0.2782914	0.5783384	0.2440937	0.0253045	0.0167207	0.0702316	0.6929109	0.6551672	0.3369100	0.1672963	0.0407278	0.6432367	0.4893530	0.7572456	0.7473025	0.3479750	0.4474426	0.6746841	0.6313036	0.4652431	0.6862628	0.0494628	0.5219040	0.4166057	0.5505431	0.8116769	0.6439698	0.4847273	0.3743091	0.5635355	0.3016642	0.3468151	0.1560068	0.6839713	0.3138637	0.3724930	0.0984795	0.7215355	0.3295784	0.1373325	0.5995481	0.5093618	0.4427856	0.0012880	0.2900794	0.0237928	0.4186317	0.7282267	0.0209994	0.4407974	0.4697612	0.1192785	0.3726743	0.3191435	0.7380596	0.5001837	0.5113986	0.1441762	0.4296224	0.6256928	0.7486330	0.7569499	0.6035435	0.4429489	0.7254381	0.5050155	0.4486140	0.8037001	0.2102496	0.7437065	0.5173125	0.7278040
