"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3821014	0.6792606	0.2655570	0.2904197	0.7585722	0.2962620	0.7076689	0.2390275	0.3007457	0.1575700	0.4552864	0.1450746	0.0424477	0.1618869	0.0236452	0.5005351	0.7721275	0.5603627	0.3529542	0.6268306	0.5240914	0.2572942	0.5782901	0.2398963	0.4935768	0.7408963	0.3724526	0.4522434	0.2594225	0.4939044	0.1120331	0.0533660	0.0173684	0.0410632	0.7589272	0.7607111	0.3256542	0.0744668	0.0585334	0.6829960	0.3693746	0.7987593	0.6502186	0.2015920	0.4324375	0.6363967	0.3843125	0.5568639	0.5266641	0.0300008	0.5597385	0.4173656	0.6860773	0.5631247	0.6547537	0.5358766	0.4109521	0.6193620	0.3622964	0.4825901	0.2995180	0.5627261	0.3000472	0.2728192	0.0698796	0.6890954	0.3536856	0.1595976	0.5522440	0.5101595	0.4324941	0.0094996	0.5281733	0.0288379	0.3976192	0.7172219	0.0356247	0.6843835	0.6088827	0.0975386	0.3228585	0.3809451	0.7671704	0.3739961	0.8199066	0.1409271	0.4185581	0.5337049	0.7527219	0.6408849	0.6589751	0.5123315	0.6942088	0.6161340	0.5483847	0.6455700	0.2774734	0.6326522	0.5458485	0.7574359
50	0.4545078	0.7210981	0.1926512	0.3083236	0.7737428	0.0870275	0.6865740	0.5483860	0.4510168	0.1878557	0.5075654	0.0487010	0.0621982	0.0751108	0.0137976	0.4007705	0.6216035	0.4151966	0.2523205	0.6408900	0.6211577	0.2371847	0.4417630	0.2525087	0.4374695	0.7389234	0.3407226	0.4657768	0.2826555	0.4155889	0.4418302	0.0359160	0.0143820	0.0392695	0.7012276	0.7680079	0.5285115	0.0269383	0.0260990	0.7268462	0.3741256	0.6084642	0.5417560	0.2810104	0.4042646	0.3032517	0.5939887	0.4345044	0.5141296	0.0249329	0.4908639	0.4121054	0.5751082	0.5544706	0.6110270	0.1085617	0.3299669	0.7034152	0.3256838	0.4404850	0.2864903	0.2671879	0.2434418	0.2546292	0.0821057	0.3667032	0.3897468	0.2136142	0.6402370	0.3315807	0.3428342	0.0420076	0.2165515	0.0485559	0.3052259	0.6978644	0.4622600	0.5429633	0.5957630	0.0999967	0.4210687	0.0865264	0.6832361	0.3454744	0.5352967	0.2089115	0.3818202	0.4425403	0.5706089	0.6347648	0.6377719	0.4714598	0.6730387	0.4646228	0.6283337	0.4109065	0.3347099	0.3701639	0.5919521	0.7192095
100	0.4818836	0.6808896	0.2722876	0.3148636	0.5857774	0.0391553	0.7248615	0.7138883	0.5866612	0.2135184	0.4437817	0.0459141	0.0938201	0.0581495	0.0010572	0.3739951	0.5240021	0.3905907	0.0599638	0.5494538	0.5998828	0.2463987	0.4096238	0.2837413	0.3232038	0.5969678	0.3156473	0.4253575	0.1878274	0.5301867	0.4627701	0.0289235	0.0255965	0.0324606	0.5759798	0.7605568	0.6000586	0.0018801	0.0240733	0.7438651	0.3846584	0.5375335	0.5649262	0.3392597	0.3568257	0.3355891	0.4495815	0.4616814	0.4710815	0.0251352	0.4099797	0.2507834	0.5244067	0.6373411	0.7280490	0.0275043	0.4798729	0.6805351	0.2062259	0.4701959	0.1698832	0.2604976	0.2445549	0.3283943	0.1327891	0.3077720	0.3780842	0.1392536	0.5615353	0.3616734	0.2402434	0.0081656	0.1595794	0.0645573	0.3698845	0.7709342	0.5691279	0.4004970	0.6681773	0.1933499	0.3837008	0.0658998	0.7307305	0.4068975	0.5461326	0.1513367	0.4424876	0.3960595	0.6096529	0.6291966	0.5541585	0.3557457	0.5360612	0.5754434	0.6975891	0.3811202	0.3657622	0.2232887	0.4923777	0.6755258
150	0.4115877	0.7641039	0.3567846	0.3435260	0.6415511	0.0125303	0.6480557	0.6820815	0.6969221	0.2465417	0.3909557	0.0472907	0.0727570	0.1125936	0.0020149	0.2662666	0.6032511	0.3932444	0.0375708	0.6891279	0.5718104	0.2295916	0.4459392	0.2475490	0.3684377	0.7213808	0.3744955	0.4275159	0.3319737	0.4341990	0.4802547	0.0549900	0.0256747	0.0108069	0.6012756	0.5402272	0.4575921	0.0035346	0.0052801	0.6316975	0.3180503	0.5139981	0.5379763	0.3016530	0.3843574	0.2427440	0.3722754	0.4809994	0.3327943	0.0449182	0.2876186	0.2205623	0.3328917	0.6191432	0.5551238	0.0183523	0.4235173	0.4608495	0.1483498	0.2213005	0.1478259	0.2297350	0.3432978	0.3744609	0.1545831	0.2660506	0.3582120	0.1210652	0.5795391	0.3424633	0.3280367	0.0257705	0.0815762	0.0311735	0.3170064	0.6237172	0.7643761	0.4639628	0.6413997	0.1987781	0.2920791	0.0510824	0.5937205	0.3510451	0.5461874	0.1404136	0.4542140	0.4890170	0.4247048	0.6423310	0.5978641	0.3343961	0.5633229	0.5957097	0.5878877	0.3433518	0.4392434	0.1833324	0.3076524	0.6348979
200	0.4608441	0.6038052	0.4558460	0.2544708	0.6590111	0.0070517	0.6490443	0.5246507	0.5545083	0.1824146	0.4302336	0.0981697	0.0996064	0.0737535	0.0034670	0.2723261	0.6118139	0.3589520	0.0307554	0.5911675	0.6450141	0.2178236	0.4184559	0.2460470	0.2795557	0.6334220	0.3164722	0.3299038	0.2446494	0.5058856	0.5060829	0.0341455	0.0275707	0.0259920	0.6577424	0.6013912	0.5898058	0.0003364	0.0003846	0.7021991	0.4000415	0.4063471	0.5653214	0.2546274	0.4256688	0.2465292	0.2821247	0.5614327	0.2932974	0.0673804	0.2782565	0.1390120	0.3919879	0.6119999	0.6244737	0.0033217	0.4753347	0.6683840	0.1381462	0.1957481	0.1108806	0.2717016	0.3028422	0.3475809	0.1616531	0.2837361	0.3611730	0.1557343	0.7053987	0.3593663	0.2794645	0.0079050	0.0291801	0.0203277	0.2638881	0.6340571	0.7699245	0.4065928	0.5682816	0.1057133	0.3083077	0.0213960	0.7824029	0.3561177	0.4212702	0.1078030	0.4988360	0.4936404	0.2312500	0.6407792	0.8149579	0.3371422	0.7311584	0.5463415	0.5980946	0.3312629	0.4728409	0.1079928	0.2751282	0.7424688
250	0.3591292	0.5266976	0.3473532	0.3598064	0.8009451	0.0010257	0.6037378	0.7761162	0.5677239	0.2531662	0.4555634	0.1074484	0.1122212	0.1039523	0.0061169	0.1656485	0.6113315	0.3040236	0.0148915	0.5113896	0.7160628	0.3786085	0.4771547	0.3211983	0.3397648	0.6919513	0.3773581	0.2622504	0.2372262	0.5304850	0.6711338	0.0238264	0.0255824	0.0162007	0.6688041	0.6401919	0.4305372	0.0002451	0.0005493	0.6297281	0.4897787	0.5559830	0.4944529	0.2672519	0.3648173	0.2280969	0.2583829	0.5795776	0.3631992	0.0932301	0.2125370	0.1174048	0.3404331	0.6178684	0.6588205	0.0125339	0.5914495	0.6381416	0.1096897	0.2864744	0.0729637	0.2904991	0.3039169	0.2679469	0.2063406	0.3102155	0.4361813	0.1716534	0.5853457	0.3206080	0.2116405	0.0039360	0.0229118	0.0335607	0.3890473	0.6291884	0.6885707	0.4841356	0.5012515	0.1186352	0.3055336	0.0210224	0.5706741	0.6376532	0.5342985	0.1523990	0.4201942	0.5461865	0.1836787	0.6907213	0.7356439	0.4103697	0.7577500	0.5593242	0.6885427	0.2545732	0.4438930	0.0802955	0.1653863	0.7253165
300	0.5057766	0.7221691	0.3051381	0.3674689	0.6705091	0.0133968	0.6208205	0.6140852	0.5055120	0.2589159	0.5408426	0.0552612	0.0906373	0.0716956	0.0055306	0.1452292	0.6523669	0.3058792	0.0754082	0.6057958	0.5909393	0.3295358	0.3549703	0.2566312	0.3152386	0.6817774	0.4191688	0.3582526	0.2595142	0.5677676	0.6669326	0.0137507	0.0178879	0.0456168	0.7285262	0.7855894	0.6219544	0.0006477	0.0004058	0.6499444	0.3475232	0.4801307	0.4979996	0.2591043	0.3187445	0.3010568	0.2297772	0.4930330	0.3309896	0.0849166	0.2148450	0.1030942	0.3762884	0.5501960	0.7677863	0.0002982	0.4825148	0.6782481	0.0877595	0.3375695	0.1112314	0.2222279	0.2454359	0.3190781	0.2727219	0.2343389	0.3569871	0.1807940	0.5828044	0.2575981	0.2026405	0.0017595	0.0186884	0.0217161	0.3409186	0.7253622	0.6646109	0.3931267	0.4752658	0.1341944	0.3778851	0.0278688	0.5664353	0.3939491	0.4923385	0.0875389	0.4653537	0.4682322	0.1077764	0.7546222	0.7375227	0.3714762	0.7894047	0.5679931	0.6255297	0.2592656	0.5404556	0.1036706	0.1611517	0.6687829
350	0.4574466	0.7108626	0.2996184	0.4426493	0.5717266	0.0106430	0.5901584	0.5086179	0.5961817	0.2690792	0.6226337	0.0682462	0.1274372	0.1928368	0.0018701	0.1479526	0.7477159	0.3133179	0.0238741	0.5948678	0.4549326	0.2878722	0.4229734	0.2271471	0.4034155	0.7314653	0.3761565	0.3898436	0.2898572	0.5572985	0.5583718	0.0369132	0.0196059	0.0123510	0.7694089	0.8882503	0.4352992	0.0009229	0.0004869	0.7651268	0.3452179	0.5322995	0.4527460	0.3374919	0.3301967	0.2196683	0.2015729	0.4292994	0.3138162	0.0852750	0.3228490	0.1318375	0.4251158	0.5243856	0.4996165	0.0009342	0.6225193	0.5724205	0.1632611	0.2790578	0.1183293	0.3599367	0.2695985	0.2997240	0.2306541	0.1810549	0.3729848	0.2389584	0.6535021	0.2476691	0.3172570	0.0089648	0.0351427	0.0102465	0.3540525	0.7836219	0.5484514	0.5094344	0.6060473	0.1219271	0.4571153	0.0745630	0.5775310	0.5294144	0.5185903	0.1452496	0.4350706	0.4555298	0.0606604	0.6505160	0.7451104	0.3367391	0.7597375	0.5042639	0.7666384	0.2601600	0.4462202	0.1036486	0.1819522	0.6950913
400	0.4242856	0.6100367	0.3254683	0.3896419	0.7650158	0.0036453	0.5454829	0.7091550	0.5494335	0.3358152	0.5331112	0.0415550	0.0808348	0.1386216	0.0014762	0.2078845	0.6682365	0.2828133	0.0453670	0.7082032	0.5953916	0.2102775	0.4246527	0.1819660	0.2959989	0.7571068	0.3577913	0.4309880	0.2847672	0.6600952	0.6533466	0.0468030	0.0078022	0.0057473	0.7597495	0.6426332	0.4489602	0.0001543	0.0005714	0.6286899	0.3177592	0.5672946	0.4999168	0.3143022	0.3679925	0.1969296	0.2478443	0.4810266	0.3073361	0.1066177	0.2224829	0.0521393	0.2721428	0.5752577	0.5794898	0.0001500	0.5327535	0.6196480	0.1306738	0.2934478	0.1131688	0.3847573	0.2230053	0.2964561	0.3593290	0.2308781	0.4196452	0.1682307	0.7629558	0.2481475	0.2031079	0.0010624	0.0325094	0.0090311	0.3769794	0.6963164	0.6243410	0.4294337	0.6721561	0.1906764	0.3033598	0.0519283	0.7730654	0.5011018	0.4832371	0.1581018	0.4043753	0.4931543	0.0484534	0.5888118	0.8756753	0.4215169	0.6496095	0.5668810	0.5394015	0.2894618	0.4971671	0.0744971	0.1367851	0.6981291
450	0.3122461	0.6582942	0.3041997	0.3802215	0.6598625	0.0019276	0.4920896	0.7182414	0.4599083	0.2470098	0.5120583	0.0350104	0.1111951	0.1626127	0.0033045	0.1769123	0.6582894	0.2597798	0.0081932	0.5514149	0.6544982	0.2600461	0.2829857	0.3300381	0.3199009	0.6866359	0.3380520	0.4062743	0.3522685	0.5635084	0.5764694	0.0518071	0.0098276	0.0040257	0.7293336	0.6297437	0.6449261	0.0005268	0.0001085	0.6803908	0.3350164	0.5341979	0.3920108	0.2616009	0.2406316	0.1792104	0.3256995	0.4912686	0.2917084	0.1001328	0.2105537	0.1117344	0.3062485	0.4760560	0.4463021	0.0054786	0.6104698	0.6640058	0.1389343	0.3682672	0.0868761	0.3173123	0.3015750	0.3206614	0.2953343	0.2018912	0.3244773	0.2199364	0.6801185	0.2298420	0.1492186	0.0003591	0.0082371	0.0180302	0.3406068	0.6319462	0.6168112	0.4442824	0.6298249	0.1803546	0.2324769	0.1021398	0.7608473	0.5632762	0.4439429	0.1055800	0.4453624	0.4702366	0.0496584	0.6293121	0.5676317	0.3584241	0.7081959	0.5051487	0.7122069	0.3514903	0.5699458	0.0958665	0.0902537	0.6588089
500	0.3789674	0.6264345	0.3303056	0.4145071	0.6528118	0.0041685	0.6621414	0.6511877	0.5689658	0.2324207	0.4598698	0.0729891	0.0748930	0.0960409	0.0043486	0.1456807	0.6608297	0.2650362	0.0198953	0.5565514	0.5438925	0.2379036	0.3349737	0.2818506	0.3308081	0.6551063	0.3285600	0.3848108	0.1702459	0.4709913	0.6308629	0.0247397	0.0147908	0.0079432	0.7133700	0.7069790	0.5651536	0.0012466	0.0000000	0.5957945	0.3401296	0.5398034	0.4864640	0.2582815	0.2862192	0.2425186	0.2782435	0.4419096	0.2998321	0.0797928	0.1893255	0.1464500	0.3988475	0.6363849	0.3627094	0.0033424	0.5323762	0.7336100	0.1739168	0.3523849	0.1536598	0.2916030	0.2932388	0.1604657	0.3311900	0.2287967	0.4012675	0.1722996	0.6953485	0.2060428	0.1728486	0.0024867	0.0311496	0.0250750	0.2847470	0.7040155	0.6448359	0.4859009	0.6880299	0.1914282	0.3089799	0.0486004	0.7081254	0.5063221	0.6213855	0.1852516	0.4809408	0.6286833	0.0705635	0.6766948	0.6315809	0.3340478	0.7370879	0.7863094	0.5926835	0.3337583	0.5277676	0.1058489	0.0595881	0.6363107
550	0.3881637	0.7123363	0.2379551	0.3638786	0.6141316	0.1765637	0.6698433	0.3246048	0.2582424	0.2496748	0.5030988	0.1663170	0.0852394	0.1111866	0.0288533	0.1959636	0.5824916	0.4493161	0.3460379	0.6049507	0.6309080	0.2672801	0.3713190	0.3133109	0.3712089	0.7368004	0.3511825	0.4053691	0.2301355	0.5826750	0.3984776	0.0434879	0.0191012	0.0352708	0.6510709	0.7162758	0.4265764	0.0653300	0.0019882	0.8846187	0.4246488	0.5546313	0.5396914	0.3132768	0.2731893	0.5488043	0.2696387	0.5477934	0.4064574	0.1994462	0.2093790	0.1367370	0.3975829	0.6077707	0.5610314	0.4127031	0.6192513	0.7143036	0.1588485	0.3039079	0.2411363	0.5130077	0.1615251	0.1743529	0.3545871	0.4185004	0.3448282	0.2096108	0.6375711	0.3059257	0.1612983	0.0047462	0.0546675	0.0326024	0.3221506	0.7764206	0.3213924	0.5174397	0.6149476	0.1083562	0.2191535	0.4511776	0.5272712	0.5126586	0.5259021	0.0942162	0.3191031	0.5063317	0.0268512	0.6455355	0.6890615	0.3791951	0.6980101	0.6000721	0.4164954	0.5011908	0.5381783	0.4410578	0.1673873	0.6805393
600	0.4240490	0.7078444	0.2244209	0.3485166	0.6465780	0.2546615	0.5615582	0.2792867	0.2379020	0.2272404	0.4088246	0.1108635	0.0663271	0.1251751	0.0521132	0.3704428	0.6115373	0.4930378	0.3753671	0.6398421	0.5841312	0.3519468	0.3232238	0.3749914	0.3737122	0.7006172	0.4245023	0.3474101	0.1893855	0.5429850	0.3071844	0.0148439	0.0285508	0.0163577	0.8168699	0.6909487	0.3329237	0.0937067	0.0076787	0.6970149	0.3849002	0.7688024	0.6705276	0.4199749	0.3753623	0.6539081	0.4071927	0.4764805	0.5663292	0.1244085	0.3893805	0.2962546	0.6214848	0.4517207	0.5923697	0.4343542	0.4778215	0.6256525	0.1715282	0.3610060	0.4155633	0.5922231	0.2140568	0.2126945	0.2221529	0.4381589	0.3805620	0.1783370	0.7184413	0.3237333	0.1979267	0.0082318	0.1033919	0.0417280	0.2686536	0.6485822	0.1387557	0.5268640	0.4794061	0.1593783	0.2333566	0.3269841	0.7175859	0.5700630	0.4697871	0.1813252	0.3946993	0.5398119	0.0448719	0.5685613	0.7416709	0.3593797	0.6728262	0.6436783	0.4401428	0.6980722	0.5819071	0.5456533	0.3835040	0.6586938
650	0.3244798	0.6619114	0.2241344	0.3525242	0.5985088	0.2897847	0.6514415	0.2586757	0.1918642	0.1638166	0.4240605	0.0966245	0.1056631	0.1051663	0.0355172	0.4926799	0.7070391	0.5896418	0.5923636	0.6006629	0.6138132	0.2686224	0.3898208	0.3950811	0.3646138	0.7682476	0.3483540	0.4209148	0.1356722	0.5211761	0.1745539	0.0183619	0.0537308	0.0182934	0.5782751	0.6264749	0.3107644	0.1109743	0.0177375	0.5957741	0.3527976	0.7582964	0.7263420	0.3487651	0.3716548	0.5614300	0.3112971	0.4620946	0.6650498	0.0801897	0.5786438	0.3157681	0.7761820	0.6340617	0.5749335	0.4048434	0.3604581	0.5965110	0.2267593	0.5453534	0.5002402	0.5267642	0.2684072	0.3017641	0.2109536	0.5724203	0.4007567	0.1405164	0.6892947	0.4181338	0.3241083	0.0107695	0.3068789	0.0337049	0.2916434	0.6394270	0.0874666	0.6091845	0.6310726	0.1537504	0.1944708	0.3690064	0.6135074	0.4369608	0.6892592	0.1647965	0.3029629	0.5443567	0.2493816	0.6922495	0.7020542	0.4599746	0.6523754	0.4559699	0.4945162	0.8308333	0.2717372	0.8180282	0.4714128	0.5991323
700	0.3425907	0.7848112	0.2517001	0.3076694	0.7455789	0.2948771	0.6309901	0.2441556	0.1767955	0.1724850	0.4862009	0.0931180	0.0646817	0.1579432	0.0392340	0.5227634	0.6583036	0.5991766	0.5256248	0.5630077	0.5091747	0.2592698	0.4339885	0.3335679	0.4583627	0.7039779	0.3637881	0.3984726	0.2553960	0.5055441	0.2112322	0.0231661	0.0312858	0.0236560	0.7149173	0.6414659	0.3302295	0.0742618	0.0455314	0.6864393	0.3984891	0.6458716	0.7930435	0.3474236	0.4631593	0.6106198	0.4276365	0.4494909	0.7182446	0.1341244	0.4260210	0.4015227	0.6559130	0.7590050	0.7632922	0.4645044	0.3875449	0.6678259	0.2909792	0.4583760	0.4554540	0.6615318	0.2226085	0.3475102	0.1996950	0.5355145	0.2195248	0.1360094	0.6351834	0.5189225	0.4464518	0.0162674	0.4495325	0.0248229	0.2833739	0.5454130	0.0403941	0.6713054	0.7169266	0.1991332	0.2892022	0.3932095	0.6364233	0.3752247	0.4594079	0.1382554	0.4196741	0.4661366	0.3822231	0.6272529	0.6125052	0.4196469	0.6577767	0.4804008	0.4279325	0.6337614	0.3323068	0.6628624	0.5255645	0.6247891
750	0.5223768	0.5510161	0.2673985	0.3030777	0.6041019	0.2953854	0.7629373	0.2863490	0.2297946	0.1661135	0.4714917	0.0805385	0.0662716	0.1127808	0.0342082	0.4725645	0.6857034	0.6434856	0.4928995	0.6391621	0.5252478	0.2424259	0.5171551	0.3179345	0.4357413	0.8262015	0.4556360	0.3958983	0.2484019	0.4123575	0.2398111	0.0124810	0.0272105	0.0177846	0.6945521	0.6010836	0.3653419	0.0972521	0.0534570	0.5969222	0.4264834	0.6411846	0.6233712	0.3901025	0.3964651	0.7055798	0.4388810	0.5640255	0.6084355	0.0351410	0.6618436	0.4557163	0.6927090	0.7124221	0.5880723	0.4448409	0.3594728	0.5310313	0.3724222	0.4171658	0.4909830	0.6638141	0.2932172	0.3589771	0.0698310	0.7045631	0.2868672	0.1211204	0.6545903	0.3851286	0.4460089	0.0141839	0.3886557	0.0211556	0.3520798	0.7243308	0.0364346	0.6114262	0.5705978	0.1615825	0.2825152	0.3641432	0.7113669	0.5103796	0.5549008	0.1347647	0.4169803	0.4915160	0.5578423	0.7035659	0.5997362	0.4046387	0.5882795	0.4708477	0.4027984	0.6321210	0.3018326	0.7071828	0.5454408	0.8148512
