G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7128362	0.6556200	0.5384152	0.4108277	0.6052241	0.2476615	0.5956720	0.5354220	0.6253819	0.1323776	0.4109719	0.1885547	0.0555737	0.0895386	0.0446818	0.0951936	0.6439213	0.2419951	0.4296147	0.6973547	0.6752259	0.7386864	0.6290021	0.6963863	0.6720837	0.6558466	0.4463378	0.3412241	0.6765861	0.4781139	0.1083654	0.0483645	0.0401100	0.0259037	0.6264662	0.6373168	0.0000000	0.1027543	0.0691439	0.6265494	0.2924015	0.7563556	0.6671076	0.2659737	0.4630036	0.0000000	0.0205637	0.0972486	0.2184645	0.1414736	0.3692581	0.0161710	0.0305555	0.4883454	0.6270013	0.6204895	0.6454472	0.7840685	0.3877404	0.2764735	0.6387943	0.7713726	0.3535424	0.6465108	0.0882718	0.6647676	0.4063178	0.2991898	0.0548835	0.7197841	0.6966831	0.6835606	0.5443838	0.6632807	0.4176624	0.1863796	0.6677511	0.6520786	0.6667575	0.2340039	0.2205148	0.5066968	0.6728801	0.4888706	0.3650580	0.1001374	0.4561762	0.4185774	0.7970209	0.6294710	0.7142315	0.3270643	0.5693909	0.6417217	0.6078255	0.6761521	0.3077955	0.6319990	0.5626841	0.5564875
0.3988777	0.0006444	0.1423821	0.2585805	0.0000000	0.7397658	0.0178224	0.0223641	0.0701667	0.0057668	0.7620681	0.7429535	0.6456752	0.5932102	0.6362145	0.4536461	0.3211937	0.5595677	0.6047427	0.6165686	0.6042200	0.0000117	0.6609436	0.3561815	0.7293815	0.6704148	0.3574407	0.5059489	0.1923138	0.4629945	0.0798278	0.0284271	0.0284217	0.0280425	0.5595215	0.6795027	0.3009542	0.7565761	0.6110155	0.6392862	0.2548916	0.7996625	0.5726447	0.1806438	0.4161207	0.6236493	0.4924304	0.4964840	0.5786188	0.0470834	0.6111272	0.4294060	0.6721846	0.6391391	0.6741848	0.4807544	0.2984669	0.2831588	0.3914757	0.4604769	0.8270214	0.3278871	0.1252095	0.1365165	0.0420997	0.7611996	0.2822756	0.2016438	0.4924386	0.5562356	0.5069436	0.0270304	0.4990530	0.0260875	0.3051534	0.7762549	0.0132822	0.7058926	0.6826637	0.3347727	0.4311429	0.3430320	0.5637602	0.7640472	0.0000000	0.6766271	0.6274256	0.7193983	0.7761795	0.7499246	0.7460760	0.4041785	0.7186966	0.5541359	0.4015438	0.6422175	0.3018783	0.6959316	0.5748864	0.6489119
0.5348389	0.0045184	0.0620274	0.1240722	0.0000000	0.6553064	0.0227143	0.0192148	0.3732580	0.1792876	0.7579497	0.3432676	0.6691847	0.6965978	0.7881604	0.4048087	0.8415187	0.6710684	0.6893048	0.8880080	0.6386876	0.3216920	0.4726343	0.3573047	0.3845895	0.5833947	0.3791203	0.4374290	0.1785888	0.5426690	0.2074308	0.0552092	0.0169933	0.0213581	0.6635878	0.6692076	0.2843881	0.0946931	0.0742869	0.6384833	0.3300628	0.6435944	0.6061520	0.3209828	0.4323935	0.0000000	0.1574116	0.2602576	0.1647611	0.2320927	0.2560716	0.0163301	0.0605422	0.5560294	0.6834307	0.6541913	0.7498353	0.5861418	0.1482248	0.2973252	0.2995777	0.5870924	0.3064080	0.2661790	0.1009853	0.7487281	0.3758059	0.1752052	0.6108290	0.5643254	0.5151228	0.0181603	0.5071545	0.0385728	0.2535557	0.6550452	0.0484156	0.5599048	0.5796738	0.1318777	0.2515443	0.4894188	0.5488940	0.4193497	0.5506771	0.1607265	0.4400096	0.4550867	0.7433362	0.7928513	0.6595662	0.4033111	0.6856095	0.5391511	0.5080280	0.7133520	0.2973789	0.6994814	0.5359412	0.6756527
0.4267928	0.6474268	0.3490406	0.6336244	0.7325848	0.2853743	0.7479791	0.2565607	0.6685485	0.1162241	0.7064053	0.2801965	0.7084201	0.1100659	0.0263933	0.1144491	0.1982169	0.0108027	0.5269964	0.6518840	0.5631687	0.7714334	0.4514244	0.3616164	0.8770131	0.7830570	0.3338359	0.4228209	0.1850216	0.4629188	0.1215047	0.0493794	0.0130269	0.0431720	0.6704667	0.8011796	0.3714488	0.6613873	0.6251795	0.6859573	0.3579808	0.6372682	0.6702414	0.2868673	0.4787494	0.0000000	0.1150654	0.2188772	0.1642212	0.1744063	0.3072934	0.0022518	0.0429371	0.3903637	0.5871292	0.6564636	0.6345252	0.6703559	0.1573528	0.2480426	0.2379737	0.5863719	0.2351254	0.2697077	0.0835955	0.6012287	0.3044636	0.1567649	0.5633946	0.4175853	0.5371673	0.0304073	0.5498204	0.0348171	0.4042069	0.5979271	0.0580884	0.5596604	0.5032343	0.1284989	0.3498858	0.5153588	0.6161692	0.6101205	0.0000000	0.6300625	0.6975131	0.6555107	0.7187737	0.5889216	0.5582802	0.4901652	0.6968713	0.4681182	0.4413563	0.6976091	0.3234151	0.5849369	0.5237675	0.7101262
0.7534564	0.6132249	0.4268836	0.3609151	0.6111528	0.2961462	0.7107040	0.5296217	0.1795579	0.1547645	0.5182191	0.0994671	0.1114405	0.1250663	0.0656458	0.5333886	0.5782868	0.5978417	0.4431917	0.7799189	0.6162306	0.3029505	0.6756754	0.4171092	0.6738654	0.6311389	0.4012821	0.2464962	0.6659035	0.4718003	0.1536235	0.0485920	0.0208918	0.0234573	0.6057668	0.6345699	0.0000000	0.1821504	0.0581693	0.7622622	0.3079980	0.5359813	0.7229104	0.2908486	0.4545003	0.6143132	0.3935845	0.3167842	0.5597910	0.0559235	0.6331258	0.4732506	0.6505483	0.6596861	0.6307508	0.5723559	0.3242649	0.6269610	0.5078144	0.5246099	0.5881561	0.8112425	0.0000000	0.6422932	0.0770999	0.7503576	0.4335754	0.3104426	0.0499973	0.6741743	0.7303096	0.6325222	0.6708266	0.7960759	0.3756211	0.2525661	0.5800178	0.7583401	0.7505639	0.6635151	0.4620782	0.3802921	0.8553358	0.3831595	0.5063025	0.0914528	0.4776104	0.5637243	0.6603393	0.6466139	0.6497850	0.4866661	0.8107980	0.6611488	0.6388807	0.8029276	0.2879345	0.6472867	0.6045075	0.6109954
0.3841789	0.6254499	0.2922341	0.4610475	0.7647557	0.2311577	0.7082797	0.2264604	0.4977821	0.1886605	0.4115138	0.1080541	0.0564519	0.0969834	0.0456816	0.0570442	0.7762280	0.2603332	0.5346125	0.6061182	0.5024050	0.6905625	0.6880301	0.3573522	0.3493369	0.7398222	0.3415329	0.4000786	0.1711786	0.4680763	0.1071040	0.0541306	0.0204554	0.0339682	0.6927123	0.7545403	0.3666195	0.1234021	0.0570987	0.7778923	0.3515820	0.6934887	0.7744305	0.3393981	0.4555676	0.0000000	0.1473226	0.3117537	0.1199541	0.1058014	0.3310255	0.0051405	0.0290701	0.4526407	0.6554624	0.6335019	0.7735072	0.9068004	0.1043752	0.3488105	0.4738761	0.6211079	0.0000000	0.2791643	0.0660049	0.7113596	0.2976572	0.1330324	0.5365811	0.4321713	0.4317015	0.0175143	0.3930306	0.0171554	0.2079115	0.7925504	0.0378049	0.6648237	0.7826550	0.6627174	0.2811862	0.4219427	0.6832898	0.3715612	0.4319836	0.1320304	0.4042166	0.5444498	0.5926559	0.7356611	0.6808495	0.3002354	0.6363774	0.5470028	0.5575810	0.6438835	0.3248413	0.5912526	0.4724832	0.6925279
0.4570820	0.5933262	0.2574505	0.2295759	0.7510004	0.2772784	0.6927403	0.2289051	0.2296071	0.0989480	0.4060017	0.1070812	0.1204887	0.1305341	0.0859953	0.5458232	0.6837313	0.5699227	0.4810025	0.5866511	0.5054940	0.3636443	0.4674640	0.3114541	0.5440271	0.7558076	0.3049740	0.3518811	0.1983687	0.4916537	0.2262858	0.0338196	0.0192276	0.0373076	0.6766522	0.7979363	0.2468696	0.1033293	0.0468997	0.7882190	0.3068526	0.6485249	0.6526564	0.4243901	0.5843550	0.7724939	0.6059228	0.4642620	0.5468478	0.0789663	0.4952725	0.4885284	0.6999660	0.6601609	0.7030659	0.4889886	0.3214054	0.6237579	0.2756361	0.4567682	0.3052082	0.6042391	0.3531192	0.0000000	0.0735051	0.6959300	0.2741875	0.1866986	0.5413240	0.5954947	0.4358046	0.0172929	0.3362013	0.0194280	0.3464915	0.6580721	0.0403350	0.6384568	0.6155680	0.1704430	0.3429543	0.3035128	0.7913425	0.3331861	0.5910729	0.1482668	0.3844662	0.4097125	0.6567958	0.6867892	0.6337273	0.3135025	0.0000000	0.0254045	0.0185767	0.7138093	0.3535707	0.5484254	0.6011205	0.6931921
0.6305313	0.6725222	0.4954403	0.2735452	0.6799104	0.1615578	0.6584790	0.5723980	0.3363453	0.1672341	0.4132438	0.1175710	0.1263216	0.1130532	0.0361739	0.5054701	0.5549410	0.5612086	0.4368067	0.6355030	0.5210410	0.2495898	0.5994721	0.5326190	0.7363080	0.6432112	0.3844569	0.2822012	0.7181010	0.5318635	0.0548184	0.0266961	0.0160933	0.0217227	0.6582686	0.7225874	0.0000000	0.0926778	0.0286046	0.5320114	0.3266042	0.6887119	0.7499650	0.0000000	0.3536265	0.6515798	0.3161488	0.3230336	0.6509368	0.0078957	0.7506537	0.4551764	0.6151183	0.7843506	0.5325528	0.5274509	0.2840081	0.6419333	0.6136344	0.4728363	0.8435498	0.6775798	0.0186564	0.4180903	0.1042891	0.6923928	0.3835083	0.2607055	0.0430878	0.6780952	0.7247523	0.7427911	0.6525325	0.5886107	0.3324551	0.1842906	0.6063006	0.6112511	0.6764467	0.6621191	0.4427055	0.3546963	0.7139837	0.3948030	0.5781383	0.1293454	0.4471502	0.5552538	0.6845780	0.6706904	0.7190965	0.3487466	0.7698075	0.6100376	0.5801491	0.6917093	0.3004362	0.7605560	0.5466398	0.5320527
0.0000000	0.0111763	0.0158111	0.2104087	0.0000000	0.7901713	0.0071965	0.0291633	0.0310862	0.0101639	0.7097674	0.4459302	0.6413847	0.6523891	0.6789832	0.7661954	0.7204291	0.7393915	0.6423314	0.7421628	0.6210461	0.0000006	0.5034242	0.3106570	0.4549351	0.5708649	0.4010210	0.4010268	0.2667717	0.4823437	0.1627709	0.0400193	0.0356131	0.0435289	0.8127550	0.7448712	0.3855553	0.1589493	0.0285205	0.7102880	0.3004955	0.7000472	0.6060391	0.2121009	0.3124782	0.6340633	0.4722224	0.4487267	0.5967674	0.0153996	0.6090226	0.5124905	0.6005678	0.6410075	0.6149897	0.5730569	0.3123195	0.5556933	0.4050281	0.4978879	0.7238488	0.5149962	0.1443520	0.1325623	0.0702745	0.6729685	0.3354712	0.2281980	0.6596000	0.4657883	0.5007352	0.0205418	0.4073750	0.0712349	0.2274429	0.6700127	0.0194601	0.6271315	0.6471957	0.2899408	0.3361715	0.3383366	0.8796872	0.5198670	0.4030268	0.1303538	0.4268958	0.4723748	0.7650039	0.5961522	0.6703334	0.3469951	0.7158877	0.4808288	0.4631630	0.7171160	0.2488925	0.7327725	0.7136312	0.6550317
0.4282938	0.5681764	0.2315434	0.3072043	0.7090009	0.2308514	0.6442147	0.1810933	0.2659965	0.1677708	0.4458706	0.1360289	0.0935983	0.1111565	0.0351082	0.4998803	0.7021166	0.5391376	0.4738642	0.6014344	0.5203333	0.3376620	0.5257179	0.4402019	0.5026059	0.7222504	0.3710487	0.3737090	0.2668956	0.5910625	0.2093890	0.0388618	0.0222258	0.0290398	0.6912421	0.5866471	0.3243156	0.1198312	0.0345692	0.7523818	0.3678276	0.5864178	0.6142859	0.4203080	0.4105038	0.6488850	0.4790357	0.6521676	0.6609242	0.0694618	0.6370050	0.3940373	0.5889603	0.6298265	0.4130214	0.5008228	0.4098316	0.6465592	0.3062371	0.4138076	0.4032690	0.7079192	0.2238948	0.2138872	0.1318379	0.6121595	0.3691692	0.1230691	0.5748387	0.4717831	0.4357610	0.0075184	0.4344044	0.0316826	0.4384068	0.7006534	0.0290937	0.5842236	0.6404718	0.1457718	0.2701427	0.0000000	0.7150578	0.4202076	0.6299139	0.1670419	0.4830428	0.5176567	0.6855638	0.6847311	0.6181838	0.3707071	0.6794967	0.5312644	0.5223926	0.7126171	0.3715217	0.7311470	0.0000000	0.8386864
