G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1952618	0.6667926	0.2722661	0.2490582	0.6751766	0.3472141	0.5661448	0.2198592	0.1686208	0.2049842	0.5080460	0.1100867	0.0621536	0.1067707	0.0471635	0.5255551	0.7170305	0.5441593	0.3719697	0.5683154	0.4513728	0.2966309	0.5224046	0.3896814	0.3951742	0.6124078	0.4475934	0.3305831	0.2236992	0.5081509	0.1607483	0.0151311	0.0251569	0.0366479	0.7381046	0.6256895	0.2556146	0.1710179	0.0246417	0.6606841	0.4937399	0.7021513	0.5867884	0.4459519	0.4238677	0.8216209	0.4381698	0.4512415	0.6252233	0.0427523	0.5878025	0.5472571	0.6129575	0.5633388	0.8631954	0.5614923	0.3314725	0.6608440	0.3335220	0.4907914	0.2656819	0.5839597	0.3366828	0.2872761	0.0474437	0.6019625	0.3567919	0.1361063	0.7016011	0.4800084	0.4592704	0.0224830	0.5585966	0.0193606	0.4576774	0.6739554	0.0612195	0.7364320	0.6129723	0.1705561	0.3269645	0.2475483	0.6013513	0.3357277	0.5536416	0.1478865	0.3937871	0.4340295	0.6288988	0.6359810	0.7582722	0.3193720	0.7141916	0.5529735	0.4798138	0.6260777	0.3329532	0.5929726	0.5333124	0.7117527
0.4384523	0.3266308	0.4183641	0.3895546	0.7294501	0.2810853	0.5916020	0.2425820	0.2406383	0.1370685	0.5043591	0.1245366	0.0888899	0.0897330	0.0507717	0.5251109	0.6648367	0.5687862	0.4507384	0.7047496	0.6918113	0.3178751	0.6513312	0.3306684	0.5117861	0.6494772	0.4504464	0.3449741	0.1891109	0.5308517	0.2427302	0.0484537	0.0216341	0.0177326	0.6419641	0.5761295	0.3338639	0.1447292	0.0467097	0.6329518	0.3870916	0.6965539	0.8498507	0.3850383	0.4121557	0.8413496	0.4402624	0.4373793	0.6724838	0.0153988	0.5354369	0.3863415	0.6036035	0.6572355	0.7458063	0.4473469	0.2848861	0.6393941	0.3017615	0.4879200	0.2015651	0.5797904	0.3584528	0.4292125	0.0540105	0.6839546	0.2894896	0.1370646	0.5941536	0.4635530	0.4850733	0.0054756	0.4218342	0.0516373	0.5455863	0.6951616	0.0353933	0.4794140	0.4654430	0.1704380	0.4075568	0.2852441	0.6352291	0.3826405	0.5035589	0.1432741	0.3693292	0.5193689	0.6190767	0.6287155	0.7298182	0.4396168	0.8188168	0.6949129	0.5919938	0.7013149	0.2286012	0.6967604	0.5876030	0.7383220
0.4214278	0.7891621	0.1864140	0.2753901	0.7400552	0.2742160	0.6073846	0.2480877	0.2304781	0.1411460	0.3716597	0.1542415	0.0917552	0.1139555	0.0639358	0.4510923	0.6695720	0.7397475	0.4201196	0.8037154	0.5584791	0.2346309	0.5981173	0.3555798	0.4836612	0.6241986	0.4539175	0.5022755	0.1924405	0.4984060	0.1683798	0.0171669	0.0376146	0.0240077	0.6754917	0.5903686	0.2539570	0.1094994	0.0834819	0.8235243	0.3969163	0.6307503	0.8067084	0.2649002	0.4647095	0.7605222	0.4338653	0.5701626	0.6276234	0.0450700	0.4509225	0.4369169	0.5071031	0.7512855	0.5370028	0.4679176	0.3692456	0.5965269	0.3188332	0.5056408	0.3374566	0.6173316	0.3401634	0.2851122	0.0454386	0.5908141	0.2819929	0.0904360	0.6822680	0.5616063	0.4583165	0.0134780	0.5684788	0.0689293	0.4109075	0.6589265	0.0208584	0.5724149	0.7217782	0.1324828	0.3770525	0.2774954	0.6414937	0.3893272	0.5712980	0.1268796	0.3794768	0.6009171	0.7600447	0.6986506	0.7097281	0.3951357	0.6637189	0.5250143	0.4012821	0.7242089	0.2468748	0.7250259	0.3782685	0.6692025
0.3801791	0.6587503	0.2933517	0.1802678	0.7455973	0.2642292	0.6096257	0.2499689	0.2339305	0.1957739	0.5429757	0.1159020	0.0613665	0.1256132	0.0271866	0.6852320	0.8074922	0.6329308	0.4990788	0.6815373	0.5211710	0.3152985	0.6623079	0.3655834	0.4991636	0.7856699	0.4043773	0.3461301	0.2851199	0.5475908	0.1750673	0.0383516	0.0235410	0.0288741	0.7760374	0.7058666	0.2603374	0.0931653	0.0364451	0.6206353	0.2766280	0.7278731	0.6022073	0.3797568	0.4791346	0.6947150	0.4401513	0.4805563	0.6970907	0.0294155	0.4407368	0.5485566	0.6481074	0.6676158	0.7838852	0.5371058	0.3388979	0.6588577	0.2518128	0.4869590	0.5129802	0.4329759	0.2704292	0.1829004	0.0864894	0.6127063	0.3657548	0.1491920	0.7478425	0.5783145	0.4311248	0.0019380	0.4019938	0.0260541	0.2336732	0.8983878	0.0322229	0.7523638	0.6275323	0.1832356	0.3310686	0.3203477	0.7113719	0.3695869	0.5589270	0.1702907	0.3911320	0.6515662	0.6818592	0.6355886	0.7325487	0.2840285	0.7835083	0.5218499	0.4540113	0.6466158	0.2514293	0.6169889	0.5872980	0.6703051
0.4649071	0.7248839	0.1976756	0.2888455	0.2941665	0.3293762	0.5010839	0.2549237	0.3362563	0.1238179	0.7468618	0.1011934	0.2294421	0.2967783	0.1023586	0.5008308	0.5448813	0.7116043	0.5468576	0.6362105	0.5067691	0.1987571	0.4512142	0.3010967	0.4277692	0.6383835	0.3529397	0.4485855	0.2145809	0.5692830	0.2069995	0.0353335	0.0107027	0.0519998	0.6620484	0.6292220	0.3272144	0.0776428	0.1241854	0.8230546	0.4666489	0.6648094	0.6745298	0.3071019	0.4919191	0.7479392	0.4748468	0.4422603	0.5763080	0.0295317	0.5277294	0.5443395	0.6217786	0.6049984	0.6514414	0.5376491	0.4341743	0.4715095	0.3860991	0.5389923	0.2338283	0.7064809	0.3572091	0.4035831	0.0823904	0.6434328	0.2586975	0.1866014	0.5608931	0.4614440	0.3848029	0.0017919	0.2552112	0.0364959	0.3528406	0.6876956	0.0285748	0.5060619	0.4878357	0.1565084	0.3593919	0.3041267	0.7369097	0.3900962	0.5256565	0.1096923	0.4259444	0.5119586	0.6340884	0.6770606	0.6866700	0.4127709	0.6804272	0.5564184	0.4336187	0.6207626	0.3763197	0.8469870	0.5949880	0.6685307
0.5385603	0.6852773	0.2903309	0.3232398	0.6948612	0.1694471	0.6928674	0.2903088	0.1951175	0.1955786	0.5353600	0.1225304	0.1136314	0.1394719	0.0535033	0.4888612	0.6783406	0.5396068	0.4189429	0.7095600	0.5049988	0.2858216	0.5067613	0.3793829	0.4805443	0.6159396	0.3504731	0.3651126	0.2019451	0.5230703	0.1745939	0.0219739	0.0260061	0.0274395	0.6018823	0.5677774	0.3503257	0.1441417	0.0681936	0.6108319	0.3801810	0.7514547	0.7596765	0.3481739	0.6224026	0.7746019	0.5125924	0.3803667	0.6178917	0.0581672	0.5459504	0.3772619	0.5705130	0.6257933	0.6746230	0.5113670	0.3717146	0.6561965	0.2538554	0.4064664	0.3244736	0.5609357	0.4150537	0.3074105	0.0815612	0.7510232	0.4017208	0.2048829	0.5224109	0.6418947	0.3878823	0.0079418	0.5015436	0.0396821	0.3202810	0.5513396	0.0386367	0.5878580	0.6467255	0.1423453	0.3021147	0.2847504	0.6831610	0.3907848	0.5039308	0.1811002	0.4835754	0.5550502	0.7825359	0.7139410	0.6090972	0.3420853	0.6074125	0.4984493	0.4524482	0.6732477	0.3824331	0.8248668	0.6587054	0.7406222
0.4700063	0.6582042	0.2364897	0.3726608	0.7424089	0.1599604	0.2794984	0.2302455	0.3534136	0.1366509	0.4836245	0.0961535	0.0914833	0.0935196	0.0585005	0.4539962	0.6871936	0.5040454	0.4381694	0.6413090	0.5218805	0.2694285	0.5640680	0.3697988	0.5080573	0.5949859	0.3532934	0.3424491	0.2561349	0.4834261	0.1477415	0.0520570	0.0293072	0.0409680	0.7088797	0.6855405	0.3043653	0.1173700	0.0441522	0.7316055	0.3596337	0.6100066	0.6706334	0.3629347	0.4663621	0.7809294	0.5379146	0.4056019	0.6376065	0.0550797	0.5441246	0.3683730	0.6383239	0.5723681	0.7051623	0.4423182	0.4197932	0.6087729	0.2601526	0.4939830	0.3644123	0.5213739	0.2063283	0.2740760	0.0721746	0.6919193	0.4010769	0.0920857	0.5583401	0.5314914	0.4724004	0.0151580	0.4665494	0.0175535	0.3259995	0.7262161	0.0363664	0.5304620	0.6225395	0.1628437	0.4185096	0.2598756	0.7002542	0.4046550	0.5077896	0.1603920	0.3695555	0.5559788	0.7565223	0.6198897	0.6868232	0.3808061	0.6541658	0.4870896	0.4732721	0.6514966	0.2735503	0.7869576	0.6731569	0.6220782
0.3959388	0.6713998	0.3431259	0.3127672	0.6553258	0.1960660	0.6504587	0.1352563	0.2569400	0.2104571	0.4255155	0.1661744	0.0852676	0.1125836	0.0405774	0.5513691	0.6365073	0.5577746	0.4717706	0.5077032	0.5413247	0.3403524	0.5732219	0.2264783	0.4382350	0.8037032	0.4108416	0.3206122	0.1663964	0.5399185	0.1765658	0.0430018	0.0455236	0.0266716	0.7125661	0.8146552	0.3278444	0.1330359	0.1214681	0.6300524	0.4367996	0.7012203	0.7941433	0.3834829	0.3529205	0.7034548	0.4426489	0.4867747	0.6449346	0.0413209	0.4956143	0.4304176	0.5824856	0.5981206	0.5454416	0.5288776	0.3603774	0.6414116	0.3391723	0.5334347	0.3408419	0.6254578	0.3138373	0.3182362	0.1302160	0.7201978	0.3828890	0.0998695	0.5855392	0.4797850	0.3864031	0.0073243	0.4058909	0.0304672	0.3879904	0.7181935	0.0828532	0.6346412	0.6273851	0.1086928	0.3387612	0.3368631	0.8300624	0.4222009	0.4644904	0.1060446	0.4142830	0.5610905	0.7242186	0.7734101	0.6339198	0.5582514	0.6489276	0.5622041	0.5819088	0.6801089	0.2652129	0.8291118	0.5663113	0.6355088
0.4518623	0.7131638	0.2681231	0.2834622	0.7094453	0.1949516	0.6237381	0.2751825	0.1323531	0.1662772	0.5763778	0.1864835	0.1491311	0.0949687	0.0468115	0.5300926	0.7218829	0.5552843	0.5102851	0.6771046	0.6064017	0.3469914	0.5102120	0.2725356	0.5373871	0.7532645	0.4244221	0.3629761	0.2703737	0.5542251	0.1535425	0.0266539	0.0330236	0.0331171	0.6149871	0.5959692	0.2784927	0.1589606	0.0377592	0.6509645	0.3415205	0.6860280	0.7623294	0.3803262	0.4974117	0.7571131	0.5764363	0.5061831	0.5651630	0.0597627	0.5895214	0.4110137	0.6510771	0.6053961	0.7277915	0.4517224	0.3906303	0.6937966	0.3877986	0.4875516	0.3997805	0.6226825	0.2478053	0.3553112	0.0937050	0.6657477	0.3453095	0.2720126	0.5310674	0.4928717	0.4772459	0.0079982	0.4263226	0.0590771	0.3137058	0.7536798	0.0329966	0.5700454	0.5531357	0.1658412	0.2869808	0.2758323	0.6318239	0.4496224	0.5770968	0.1383135	0.4172508	0.5139966	0.5720098	0.7289863	0.5928549	0.3761791	0.7632811	0.6105464	0.3682892	0.7457012	0.2877631	0.6936245	0.5645746	0.7192922
0.5654694	0.7344491	0.3722414	0.2486903	0.6156113	0.2944143	0.6200284	0.2972644	0.2809870	0.0777066	0.4602992	0.1426263	0.1460188	0.0889206	0.0814772	0.5001680	0.7339088	0.7010062	0.3985058	0.6253876	0.6087508	0.2519588	0.5838212	0.3394512	0.5138146	0.6618867	0.3593303	0.4320934	0.2075896	0.5082099	0.1134531	0.0377317	0.0145988	0.0628482	0.6450592	0.7718582	0.2698875	0.1552043	0.0405266	0.6502817	0.2996781	0.7721898	0.6574380	0.2166817	0.3511214	0.5961820	0.5811116	0.4182977	0.6186805	0.0758975	0.6322782	0.4051163	0.7138413	0.5431971	0.6548659	0.6168900	0.3679797	0.5765696	0.4366417	0.5214199	0.5995053	0.3129715	0.1517681	0.2439992	0.0508365	0.7072179	0.3069351	0.0785278	0.4891648	0.5311188	0.4503555	0.0124204	0.5595315	0.0372676	0.2299253	0.7818390	0.0236586	0.6738239	0.6499987	0.2786494	0.4344975	0.3480708	0.6123658	0.5535675	0.4891986	0.1353483	0.4487078	0.5669029	0.6573193	0.7770948	0.6186470	0.4244575	0.5339879	0.5434824	0.4864945	0.7030131	0.3563051	0.7131453	0.6056609	0.8268848
