G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0022765	0.2723640	0.1134881	0.6675664	0.2014577	0.5930488	0.2043755	0.2701495	0.2179321	0.4428960	0.1130125	0.0703116	0.0775940	0.0464204	0.6323915	0.7109888	0.4879537	0.4730896	0.4926452	0.6056671	0.2751257	0.5245921	0.3583825	0.3986725	0.6161864	0.3992304	0.3418236	0.1818923	0.6904650	0.1325562	0.0262680	0.0218796	0.0299295	0.6476958	0.6176025	0.3420229	0.1243758	0.0304903	0.6397321	0.3916508	0.7130650	0.6035653	0.2956746	0.4064268	0.6918892	0.4631737	0.4270228	0.5937837	0.0632342	0.6438959	0.4297281	0.6667749	0.6087910	0.5153122	0.4972148	0.4274524	0.6457553	0.3239338	0.4619805	0.3836991	0.6078702	0.4039546	0.2965893	0.1246387	0.6261993	0.3192696	0.1459490	0.5354176	0.5498909	0.4022385	0.0290420	0.4872866	0.0114764	0.3485502	0.6333065	0.0201944	0.5370780	0.6041659	0.1443088	0.3402000	0.4157547	0.7050972	0.3083016	0.5812776	0.1480561	0.3812243	0.4685887	0.7249722	0.6333262	0.6700346	0.2883341	0.6946911	0.6457928	0.5599880	0.7785831	0.2517587	0.6675559	0.5709572	0.7396054
0.5179246	0.0000000	0.2471095	0.2684223	0.6833004	0.1551607	0.6041598	0.2223642	0.1800089	0.1511977	0.6148698	0.1269013	0.0418256	0.1256796	0.0336883	0.5751867	0.7221431	0.5423213	0.3672126	0.5964263	0.6387605	0.2459813	0.4998582	0.3403583	0.3976132	0.5171410	0.3578052	0.4127519	0.2391445	0.5128232	0.1450693	0.0189702	0.0411159	0.0246062	0.6944828	0.7216339	0.3447062	0.1208634	0.0373564	0.6805551	0.3372227	0.6567760	0.5967051	0.3055275	0.3512333	0.7377431	0.4445193	0.4495811	0.5950715	0.0391506	0.5284988	0.4303812	0.5651409	0.5705348	0.7294766	0.4786761	0.3352781	0.6664419	0.2924519	0.6056263	0.3404646	0.6759316	0.2975009	0.3133972	0.0959470	0.5814946	0.2892067	0.2018569	0.5881039	0.4111365	0.4198189	0.0149107	0.4095923	0.0300519	0.3727478	0.6090408	0.0344417	0.6647971	0.5853593	0.1783400	0.4434396	0.2160683	0.6949265	0.4024377	0.5587437	0.1601085	0.4606919	0.3881487	0.7628735	0.7340100	0.7826506	0.4184356	0.8497849	0.6285664	0.4920977	0.7285457	0.3622310	0.6920067	0.6198059	0.6839749
0.3590422	0.6264256	0.0000000	0.3054493	0.6795739	0.2611940	0.7504812	0.2525827	0.1917235	0.0996494	0.4896016	0.1344130	0.0833599	0.0530156	0.0453458	0.5647836	0.7513166	0.5255641	0.4134134	0.6380958	0.6501353	0.2721894	0.5763224	0.3935211	0.5175178	0.7997653	0.3884156	0.3952111	0.3020204	0.5932954	0.2046016	0.0292385	0.0175429	0.0342031	0.6607185	0.8080037	0.2675087	0.0621147	0.0407969	0.6781559	0.3795582	0.6093194	0.7067716	0.3404274	0.4607338	0.7539676	0.4526632	0.4678165	0.6371320	0.0425916	0.4953668	0.5390420	0.6890028	0.7945813	0.6403518	0.4397204	0.2937069	0.6804615	0.4409536	0.4965194	0.3837683	0.6481400	0.3096650	0.2891783	0.0732584	0.6793464	0.3235017	0.1824553	0.6168146	0.5767608	0.4187887	0.0042276	0.4178994	0.0466455	0.3049352	0.6658759	0.0293091	0.5678087	0.6460808	0.1188807	0.4170593	0.2776160	0.6016348	0.4544060	0.5585418	0.1222460	0.3986419	0.5610373	0.7180687	0.7632691	0.7692992	0.3341439	0.5825406	0.5448670	0.5175986	0.6232370	0.2789888	0.6116004	0.5468637	0.7044539
0.3487090	0.8436761	0.3925781	0.0000000	0.6784967	0.2024277	0.7048414	0.2911272	0.3303032	0.1299169	0.5523555	0.1196976	0.0759616	0.1514850	0.0455874	0.4692877	0.7621343	0.5377926	0.4242804	0.6040416	0.6123307	0.3359092	0.5068099	0.3512918	0.6092927	0.6892372	0.3056027	0.4556186	0.2690991	0.4731369	0.1963401	0.0604354	0.0117249	0.0263678	0.6403505	0.7644468	0.2263304	0.1191304	0.0294674	0.6450091	0.4763408	0.6849172	0.7538687	0.3976433	0.3938693	0.8405919	0.5934446	0.5908504	0.7290922	0.0875236	0.5323151	0.4946089	0.6437261	0.6382457	0.7933654	0.4269219	0.3205265	0.6168348	0.3669072	0.5930605	0.2815188	0.5447988	0.4220251	0.4115641	0.0821629	0.7532451	0.3013219	0.1512953	0.5564252	0.5089549	0.4669582	0.0190584	0.5525540	0.0157747	0.3454310	0.8298572	0.0333223	0.4746470	0.5535665	0.1377623	0.3670705	0.3260627	0.5888328	0.5122407	0.4809725	0.0965438	0.4063771	0.4882837	0.6914835	0.7293795	0.7663999	0.3651186	0.6656260	0.5935325	0.5773120	0.6573087	0.3484686	0.5758856	0.5851023	0.7443180
0.3947849	0.0008530	0.0688492	0.1137475	0.0000000	0.7361829	0.0312243	0.0297374	0.0492028	0.0140436	0.6422174	0.4865141	0.7230366	0.6079821	0.6035575	0.5883659	0.6600292	0.6494173	0.7517154	0.6278268	0.5345766	0.0026137	0.6302959	0.2587178	0.5846746	0.6109233	0.3805267	0.4940960	0.1901850	0.4507440	0.1071660	0.0448033	0.0210352	0.0135355	0.6827422	0.7450413	0.3392915	0.1683372	0.0681968	0.6301889	0.2491858	0.8160461	0.6922101	0.2109344	0.3838548	0.7087253	0.3803464	0.4351072	0.6143855	0.0333152	0.6182498	0.4019320	0.7332579	0.5573249	0.6857684	0.4465197	0.3279518	0.5684722	0.4009480	0.5373451	0.6736384	0.3627318	0.0853243	0.1428546	0.1120457	0.6154906	0.3540901	0.1532350	0.6680066	0.4901850	0.4499581	0.0121783	0.5225701	0.0354277	0.2765089	0.5793137	0.0476918	0.6984662	0.6651346	0.2952423	0.3061312	0.2990127	0.6931806	0.4240137	0.5607464	0.1190340	0.4646142	0.4741329	0.7277445	0.6930610	0.7159150	0.3294150	0.5427822	0.5370473	0.5354969	0.6053509	0.3311925	0.6539147	0.4830808	0.7548042
0.4919123	0.7441088	0.4073529	0.3133073	0.7964571	0.0000000	0.5832572	0.3108063	0.2750942	0.1431847	0.5074652	0.1131316	0.0559109	0.1150556	0.0272351	0.5178423	0.7722770	0.5082417	0.4193191	0.5540298	0.6198347	0.3273953	0.5286705	0.3231462	0.4756043	0.6353415	0.3741479	0.4117465	0.1984574	0.5698552	0.1896495	0.0217460	0.0199073	0.0287734	0.6880985	0.6731881	0.2521062	0.1512906	0.0634490	0.7077714	0.4848066	0.7144155	0.7558326	0.2960872	0.4718094	0.6824122	0.3943226	0.4672285	0.6447403	0.0551457	0.5567252	0.4389405	0.5792219	0.6464350	0.7407759	0.4825078	0.3652693	0.7760724	0.3772127	0.5653958	0.2224080	0.6355170	0.4449846	0.3333718	0.0487565	0.6291178	0.3570836	0.1668665	0.5157527	0.3917875	0.4295019	0.0064243	0.5396066	0.0384748	0.3740347	0.6413635	0.0197675	0.5087502	0.6480475	0.1484506	0.3226378	0.2603545	0.7499968	0.4045296	0.5738158	0.1683570	0.3515304	0.5117966	0.5876764	0.7732556	0.6397791	0.4098954	0.6588048	0.5591426	0.6166390	0.6875035	0.3193482	0.7586686	0.6017579	0.7414917
0.4769494	0.6886646	0.2628744	0.2921246	0.7080029	0.2567148	0.0000000	0.2736534	0.2755873	0.1126940	0.5737465	0.1245318	0.0932563	0.1033941	0.0387086	0.5063607	0.7016578	0.5114353	0.3853721	0.5719323	0.5051806	0.2841617	0.6647855	0.2840014	0.4121464	0.5911575	0.3606497	0.3755407	0.1973290	0.6474610	0.1695189	0.0169058	0.0388261	0.0699875	0.6712578	0.8655400	0.3920531	0.1205647	0.0547668	0.7173486	0.4039421	0.6433460	0.8444304	0.2691956	0.4454201	0.6713341	0.4777809	0.5927691	0.6921657	0.0506624	0.4821590	0.4222852	0.6536747	0.6367206	0.6233407	0.4720101	0.4579176	0.6004762	0.2680167	0.4808772	0.1589488	0.7279235	0.4264226	0.2958803	0.0675266	0.6603731	0.3168370	0.1909312	0.6658595	0.5107701	0.4029171	0.0072914	0.4401777	0.0190861	0.4562237	0.6524081	0.0394483	0.5701795	0.5928541	0.1036577	0.4977867	0.3056251	0.7356475	0.4689345	0.7063466	0.1402497	0.4153349	0.4958301	0.5832973	0.7155987	0.5991982	0.4413090	0.7413250	0.4629914	0.6050287	0.5888633	0.3595483	0.7208526	0.5698510	0.7280267
0.4328808	0.6963924	0.2702464	0.3011009	0.6572203	0.2543613	0.6771873	0.0000000	0.2198272	0.1680965	0.4849090	0.1818298	0.0659575	0.0762229	0.0699488	0.5574014	0.6992173	0.5218538	0.4535966	0.6151128	0.6399809	0.2289149	0.5817688	0.3085942	0.4058983	0.6686240	0.3309277	0.3511713	0.2573596	0.5247532	0.1851739	0.0244371	0.0467058	0.0276417	0.6553915	0.7277517	0.4000776	0.1344410	0.0367011	0.6097872	0.3885091	0.6711043	0.6095738	0.2660015	0.4816685	0.6911317	0.5177284	0.4155335	0.6620900	0.0555588	0.5736874	0.4319316	0.5975091	0.6402476	0.7034054	0.5320522	0.3892734	0.6880922	0.3556409	0.4588106	0.4028254	0.4672501	0.2342840	0.2639287	0.0773349	0.7114601	0.4069510	0.1285364	0.6514829	0.5679542	0.3970820	0.0080976	0.4772791	0.0438094	0.2851844	0.5912587	0.0490382	0.6540973	0.5977330	0.2039027	0.3675034	0.3053703	0.7265606	0.4301278	0.4575108	0.2403409	0.3714875	0.5607526	0.6221542	0.6010717	0.6159818	0.4021982	0.6951044	0.5694819	0.4600562	0.7052745	0.3094790	0.6576416	0.6500792	0.7887953
0.3769385	0.6229239	0.3822109	0.3382175	0.6335082	0.2641139	0.7437366	0.2343688	0.0000000	0.1941448	0.6655042	0.1379395	0.1122079	0.1022958	0.0376920	0.4355189	0.5618197	0.7427665	0.4259584	0.6022221	0.5991094	0.3402019	0.5555299	0.3237509	0.5441361	0.7076875	0.4199317	0.3419721	0.2452661	0.5158964	0.1508565	0.0286228	0.0433810	0.0312445	0.6717635	0.6598529	0.2494174	0.1025247	0.0842998	0.6737667	0.3589822	0.6652803	0.6266600	0.4383000	0.4678370	0.6807015	0.4761650	0.3654296	0.5991687	0.0372172	0.5138525	0.5764489	0.6181129	0.7426266	0.7616757	0.4866623	0.4981354	0.4912677	0.3137333	0.4289111	0.2684086	0.5929564	0.3476662	0.1976275	0.0731954	0.6257684	0.3894182	0.1487214	0.5770384	0.5844069	0.4628860	0.0156918	0.4889586	0.0457838	0.3403190	0.6706840	0.0262310	0.5201254	0.6061756	0.0947620	0.4578835	0.2513091	0.7004607	0.4278259	0.5921318	0.1240235	0.5370189	0.6094069	0.6320662	0.8209144	0.7230928	0.4571396	0.5502310	0.6185008	0.4979090	0.5753892	0.2508216	0.6740368	0.5603878	0.6460306
0.4888997	0.7312756	0.2965127	0.2535240	0.6384469	0.2891008	0.6804329	0.3236763	0.2090698	0.0000000	0.5911678	0.2241012	0.0600277	0.0909755	0.0570020	0.4645800	0.6689697	0.5908597	0.5744215	0.6643487	0.5333932	0.2642694	0.5182116	0.4083484	0.5343956	0.7350091	0.3510874	0.3987760	0.2830258	0.5217803	0.1007957	0.0375665	0.0067472	0.0163316	0.7384391	0.7522423	0.4029995	0.1003405	0.0475276	0.5778082	0.3870912	0.6593430	0.7591447	0.2276628	0.3941588	0.7397136	0.4868907	0.3677232	0.6402165	0.0667661	0.6616511	0.4235536	0.7515095	0.5345814	0.6710684	0.5533956	0.3803030	0.7087704	0.3191193	0.4584538	0.6042925	0.3207601	0.1253283	0.1263502	0.0850701	0.7893439	0.3497620	0.1149159	0.6239191	0.4450169	0.4275773	0.0069695	0.5306395	0.0233775	0.2818065	0.6996766	0.0353677	0.7569423	0.7155007	0.1845070	0.4892600	0.3123874	0.5963112	0.4297041	0.6024978	0.1120453	0.3783613	0.5967035	0.6865232	0.6566196	0.5972804	0.4667262	0.6949864	0.5259668	0.4855157	0.6674015	0.3812888	0.6575468	0.5562189	0.6752223
