G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4053942	0.6658164	0.2646773	0.3937184	0.4754172	0.2242107	0.6978566	0.3067615	0.1237172	0.1611979	0.5191604	0.0462784	0.0631094	0.1499009	0.0090052	0.5554350	0.4971082	0.5494113	0.2759380	0.4087459	0.6047284	0.0561209	0.5483299	0.3187165	0.4240632	0.6949939	0.3371059	0.4626630	0.3533483	0.4157016	0.1639393	0.0112337	0.0127207	0.0371821	0.7187977	0.7173062	0.2696567	0.0669122	0.2025258	0.6153216	0.5408112	0.5644130	0.7040682	0.3351892	0.3815956	0.6091045	0.5074678	0.5621329	0.6358434	0.1586835	0.3666538	0.4601695	0.7103757	0.6313212	0.6332412	0.4592295	0.2530163	0.4259208	0.4168523	0.5506910	0.1894213	0.6643726	0.4409244	0.3853962	0.0162484	0.6630530	0.3246303	0.0339235	0.6390899	0.5914899	0.5213451	0.0128284	0.4063899	0.0008943	0.6800585	0.3987224	0.0001301	0.4168533	0.5514311	0.1091849	0.4249291	0.2978299	0.4870241	0.5083741	0.4109330	0.1064494	0.3762044	0.3062924	0.7256472	0.6702051	0.5933821	0.2313692	0.7317040	0.4930343	0.4873897	0.7034928	0.1427783	0.5394962	0.4636925	0.6118622
0.4267219	0.8001262	0.2951628	0.3126386	0.6771324	0.2081627	0.5985524	0.2427559	0.3301052	0.0626164	0.5128349	0.1214552	0.0595624	0.0787244	0.0034753	0.4333798	0.5274687	0.7053694	0.3384552	0.6518779	0.6342283	0.0840552	0.3451700	0.3231106	0.3194919	0.6820358	0.3979031	0.4281800	0.5368308	0.5526594	0.1378820	0.0617231	0.0002882	0.0140832	0.6633091	0.7095101	0.6224230	0.0001492	0.0002343	0.5280267	0.3241291	0.6213044	0.7452952	0.2268281	0.5076882	0.8478843	0.6048220	0.7004913	0.3904630	0.0657978	0.5527726	0.5391849	0.6117052	0.2980708	0.6722452	0.5214693	0.2555736	0.5203833	0.6333452	0.4178224	0.5016961	0.2443256	0.1266678	0.1354419	0.1123775	0.4941849	0.3476590	0.3042360	0.6451177	0.2063628	0.2057634	0.0127521	0.1047257	0.0301071	0.2487892	0.7021746	0.0001347	0.3873113	0.4335995	0.3320415	0.1670493	0.6135322	0.4359129	0.4695556	0.3116846	0.2304920	0.2708688	0.5102589	0.3486867	0.6803318	0.5390494	0.4942281	0.7317861	0.5804343	0.4243840	0.5756401	0.0950136	0.7101749	0.4535373	0.7251883
0.4039493	0.7908446	0.2352948	0.3351723	0.4690177	0.3134513	0.4827221	0.2217448	0.0215490	0.2083610	0.5475665	0.1070917	0.1404140	0.1499991	0.0675783	0.4958424	0.4681647	0.7466366	0.5590696	0.6817252	0.7189638	0.0000097	0.4524703	0.1923448	0.3597373	0.4067075	0.1577452	0.4441348	0.1886288	0.2915064	0.0393537	0.0266960	0.0001723	0.0373887	0.6382557	0.6281563	0.4507571	0.0003856	0.0009545	0.4064127	0.4327247	0.5121882	0.4888920	0.2527027	0.3435479	0.7551674	0.4688418	0.6472594	0.6302889	0.0697027	0.4192284	0.3753566	0.6799365	0.4554639	0.6639469	0.3677527	0.3821530	0.6962322	0.2969212	0.3110912	0.1214980	0.4661983	0.4454393	0.1429181	0.0161119	0.5774395	0.2598652	0.1088434	0.5843807	0.4029617	0.2425962	0.0007980	0.1440224	0.0010579	0.3328941	0.7674799	0.0019977	0.5434850	0.4965834	0.1016948	0.2855986	0.3911403	0.7132436	0.4747608	0.5590416	0.0862932	0.4041801	0.5611549	0.2339826	0.6842726	0.6126462	0.4056605	0.6319884	0.5194421	0.4751048	0.6845552	0.2655022	0.5374770	0.5885128	0.7600524
0.3847546	0.7007393	0.2342345	0.2642191	0.5055049	0.2749683	0.6299125	0.2132516	0.4713249	0.1807130	0.4604427	0.1280136	0.0582759	0.1294046	0.1034930	0.4863907	0.4069791	0.5215371	0.3291294	0.5612508	0.7933869	0.3656164	0.4633478	0.1456555	0.2290488	0.6169371	0.4223246	0.2096227	0.2228569	0.5789776	0.2937338	0.0331898	0.0348526	0.0107198	0.7388932	0.7587312	0.4634420	0.1204474	0.2280627	0.6969669	0.6194215	0.5908339	0.7018387	0.4245656	0.5333063	0.7185095	0.5186480	0.5361996	0.7561653	0.0349196	0.4098829	0.5003281	0.6629936	0.4788754	0.5888377	0.5201194	0.2223947	0.5651204	0.0368403	0.4727085	0.1735521	0.4751420	0.4834744	0.6429903	0.1687543	0.3983394	0.4073228	0.2392544	0.5048335	0.3493630	0.2218916	0.0041940	0.1371787	0.0318491	0.3516737	0.6612154	0.0149669	0.3649975	0.3780822	0.0713777	0.3864088	0.4577568	0.5806389	0.4284148	0.4983753	0.0831842	0.4559503	0.0917784	0.4049850	0.1768072	0.5676953	0.3318672	0.4825325	0.6888608	0.4560526	0.5726149	0.2910405	0.7195683	0.6233061	0.5966500
0.3894265	0.6793626	0.5393243	0.4682991	0.5213940	0.1337208	0.6219688	0.1972650	0.2450088	0.0725671	0.4728275	0.1576377	0.1181240	0.1206401	0.0740131	0.4694968	0.5874344	0.2985436	0.2182482	0.5718989	0.5014402	0.3437567	0.3561355	0.4202127	0.3518957	0.5002906	0.3324782	0.4585568	0.2084779	0.5307799	0.1015697	0.0427931	0.0293090	0.0138898	0.6860286	0.4324561	0.2699705	0.1155835	0.0682658	0.5762756	0.4641281	0.6997786	0.6723055	0.4243550	0.4197523	0.5269753	0.4217203	0.4297286	0.5315395	0.1883831	0.6153931	0.4292166	0.6400569	0.6093341	0.7211040	0.4764888	0.2717463	0.5505401	0.4196100	0.3210238	0.1806926	0.6567406	0.3451649	0.3369155	0.0500657	0.6400170	0.2706446	0.2314898	0.5478095	0.4714578	0.3308041	0.0235893	0.4162553	0.0072965	0.6003158	0.6679025	0.1678701	0.5039731	0.5488415	0.0823036	0.5426310	0.2559475	0.6761077	0.5088071	0.4373125	0.1054625	0.3464604	0.2308957	0.8263940	0.7462528	0.6770174	0.5680020	0.6367590	0.6657915	0.6452550	0.7162452	0.2160790	0.6050496	0.6555377	0.6403343
0.5072985	0.7195612	0.2832343	0.3826607	0.6298877	0.2542312	0.7519821	0.2433955	0.1247503	0.1463537	0.5621513	0.1546293	0.0848689	0.0954212	0.0429247	0.4497145	0.6355897	0.7402488	0.3771373	0.6926184	0.5371301	0.4344193	0.3926829	0.1251579	0.5740257	0.3856763	0.2089855	0.5564486	0.4250115	0.3243309	0.1338185	0.1089091	0.0365073	0.1107282	0.6037944	0.6431993	0.3711179	0.0006965	0.0003844	0.4980737	0.3217953	0.5651001	0.8383241	0.2759293	0.3903643	0.5277765	0.4984976	0.3257454	0.5568517	0.0110240	0.5287984	0.3925211	0.5452398	0.4359313	0.7027665	0.3879764	0.4473154	0.4710844	0.4421487	0.4861342	0.6135305	0.3456223	0.0883860	0.1715931	0.0299349	0.9755485	0.3099613	0.1346684	0.5817138	0.4723551	0.3263017	0.0213603	0.5228669	0.0005644	0.1235399	0.5401797	0.6003364	0.6681749	0.5777606	0.2942040	0.1256085	0.5204548	0.6082161	0.3987332	0.4772316	0.5322895	0.2998237	0.4093992	0.5528894	0.4735061	0.7411455	0.4562490	0.6970373	0.4835989	0.5049773	0.6283793	0.3120128	0.6112988	0.7588772	0.6268750
0.0272945	0.4828362	0.2424148	0.3557797	0.6793352	0.2855004	0.6119639	0.4357674	0.1440954	0.2194987	0.4157612	0.2168919	0.0571280	0.0586330	0.0224930	0.3998552	0.5457787	0.3848673	0.1131545	0.5767012	0.7195148	0.4664716	0.5610011	0.0008596	0.4655936	0.6254156	0.4177328	0.3024672	0.2528686	0.4145863	0.4909330	0.0478986	0.0002236	0.0494758	0.6998699	0.5892090	0.2841394	0.0002379	0.0008578	0.6994662	0.5204627	0.7184819	0.7242258	0.3697856	0.4823303	0.7424333	0.5835279	0.3614359	0.7432030	0.3686556	0.4538472	0.4194908	0.7338120	0.5363241	0.5738625	0.5179119	0.4079798	0.5970561	0.1338992	0.2985293	0.1585537	0.6571399	0.4327130	0.2692567	0.0895367	0.5282561	0.4370709	0.0944758	0.6866512	0.6071337	0.2772865	0.0061706	0.5816638	0.0389781	0.1693315	0.5495198	0.0054125	0.3780399	0.4979514	0.0316130	0.1730103	0.4822656	0.6440526	0.4242339	0.5636644	0.3516283	0.2083332	0.1224029	0.6205617	0.4778395	0.6249983	0.3769616	0.8450785	0.7074743	0.4131980	0.5564364	0.1119589	0.5634711	0.5817871	0.5311274
0.3503933	0.6880385	0.4512167	0.5471047	0.6561703	0.2339320	0.3687627	0.1293491	0.0512586	0.2018394	0.3494921	0.1108006	0.0854439	0.1030282	0.0308396	0.6721253	0.5904644	0.4035586	0.2283105	0.3802628	0.5630772	0.6355112	0.3746486	0.1116648	0.2345215	0.6998009	0.4421700	0.3356822	0.3657317	0.4231658	0.2081702	0.0296466	0.0458162	0.0514597	0.7369292	0.6269801	0.5366831	0.0114416	0.0004285	0.3187758	0.6719793	0.5639803	0.7438851	0.5206268	0.4461238	0.7772134	0.6416043	0.7359034	0.6507014	0.1754739	0.5649671	0.4160300	0.5885460	0.6569991	0.7104986	0.3404951	0.2686891	0.6192281	0.1975219	0.3369915	0.1290162	0.4929058	0.4700615	0.4687602	0.0512627	0.4643194	0.3282817	0.0835829	0.5048502	0.2964419	0.2190902	0.0036374	0.0415708	0.0433766	0.5463831	0.6418504	0.0017056	0.3997164	0.3666976	0.0950105	0.2984512	0.2808898	0.7243044	0.3588166	0.4528043	0.2432064	0.2594755	0.3556137	0.1750544	0.5972289	0.6722217	0.4504092	0.5582358	0.5486837	0.5159563	0.6215616	0.3537136	0.3896591	0.4564519	0.2801805
0.4323972	0.7749073	0.4918412	0.3055064	0.8178163	0.1152830	0.7175753	0.1665019	0.2406248	0.2375617	0.4070706	0.0628591	0.0722526	0.0947790	0.0044190	0.6784365	0.5617805	0.7609493	0.3487821	0.4428031	0.6541117	0.1021340	0.5490994	0.5048105	0.4507259	0.7202722	0.4652622	0.1799164	0.3269135	0.6698243	0.1146152	0.0037990	0.0271981	0.0081759	0.6998434	0.7569382	0.3530500	0.0868099	0.0498110	0.4846090	0.5011449	0.6119675	0.7594963	0.2987071	0.4384127	0.7237748	0.6559377	0.5194906	0.7135929	0.2342937	0.6120486	0.5722116	0.6072073	0.6115073	0.5494294	0.4040479	0.4134962	0.6419806	0.1464683	0.4455571	0.2454472	0.4926175	0.3705806	0.2634510	0.0596898	0.6374778	0.4634836	0.0796615	0.6844609	0.5113204	0.3872899	0.0053700	0.4183828	0.0207061	0.3735926	0.6037228	0.0056309	0.3302957	0.3989094	0.1851751	0.5190216	0.2906920	0.6208997	0.4915589	0.5826713	0.1923878	0.4675269	0.3957870	0.7462873	0.6701884	0.6474615	0.5536025	0.4835958	0.4898552	0.4511580	0.6495005	0.2765099	0.5457455	0.5548993	0.5680317
0.3423931	0.6271758	0.0833043	0.2627439	0.4741015	0.2676470	0.6630157	0.1896892	0.3278696	0.1353697	0.5738066	0.1071458	0.1379582	0.2085393	0.0411710	0.1941913	0.7184826	0.4835238	0.4085687	0.4536766	0.5945397	0.6001289	0.4220124	0.3403897	0.5915160	0.7798454	0.4780059	0.0587806	0.1116497	0.4354064	0.0878821	0.0632321	0.0087912	0.0188569	0.6824167	0.6332370	0.2594687	0.1258435	0.1666202	0.5089556	0.3236088	0.6494662	0.7028357	0.2815258	0.4124204	0.7209774	0.6408095	0.3997932	0.5933734	0.0987100	0.6139336	0.4828362	0.6037331	0.4540781	0.6989944	0.3287869	0.3083645	0.6282800	0.4930842	0.4037593	0.3469326	0.5008326	0.3478376	0.5442946	0.1484475	0.4878763	0.3778629	0.0665953	0.6069142	0.5200005	0.4607581	0.0236286	0.4056192	0.0070136	0.4078570	0.4779527	0.0021454	0.5184009	0.6971421	0.1398573	0.3208014	0.3550519	0.5274833	0.5004299	0.3752445	0.1396957	0.3552236	0.5206980	0.7236676	0.4078031	0.4934634	0.1545363	0.7227378	0.4938752	0.4139858	0.6787411	0.3877122	0.7882175	0.5002852	0.7119474
