"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6341023	0.9901066	0.4190932	0.3793498	0.9764513	0.4358126	0.9823987	0.3868111	0.3203737	0.1791404	0.7614537	0.1922546	0.0807830	0.1520933	0.0612017	0.7571890	0.9777940	0.8441441	0.6164572	0.8711152	0.7682870	0.3813273	0.8309329	0.4622415	0.7792630	1.0971193	0.5404401	0.5701477	0.3458996	0.7108716	0.1995060	0.0520940	0.0217791	0.0545088	1.0763431	0.9030167	0.4317527	0.1752307	0.0774597	1.0762706	0.5636867	1.2091707	0.9986097	0.3512500	0.5969613	0.9609235	0.6599099	0.6736092	0.8542972	0.0662124	0.7999571	0.6573206	0.9698224	0.9424052	0.9618570	0.7695100	0.5059382	0.8622607	0.5676863	0.8018292	0.5016883	0.8764218	0.4151790	0.4042536	0.1376858	1.0100385	0.4905487	0.2077147	0.8910487	0.7448876	0.6705228	0.0139778	0.7902602	0.0497779	0.5694752	1.0388436	0.0698845	0.8058096	0.9176073	0.1496118	0.4890002	0.4911047	1.1375813	0.5779067	0.8961163	0.1978984	0.6343110	0.7154755	1.0053382	0.9617925	1.0074620	0.6884568	1.0060296	0.7431953	0.7640602	0.9986468	0.4204071	0.9706137	0.8026743	1.0048734
50	0.6879351	1.0462476	0.3664073	0.4241181	1.0348527	0.1086014	1.0154075	0.7472564	0.6947409	0.2558286	0.6819116	0.0754999	0.1157815	0.1306453	0.0196206	0.7267766	0.9347740	0.7936916	0.2966066	0.9191573	0.8909075	0.4189937	0.7722686	0.3873109	0.6493205	1.0324483	0.5504551	0.5689893	0.4032014	0.7624258	0.6674065	0.0450294	0.0249556	0.0416963	0.9855621	1.0456289	0.6647285	0.0344901	0.0431870	0.9995718	0.5754518	0.8190780	0.8213209	0.4937794	0.6255103	0.4620127	0.6663756	0.7627092	0.8752280	0.0335382	0.7214805	0.6071767	0.9220323	0.8706037	1.0198452	0.1645561	0.5058123	0.9084892	0.4413636	0.6355971	0.4005820	0.4094732	0.3460498	0.3622425	0.1100538	0.5702870	0.4917194	0.2234569	0.8955498	0.6161924	0.5766321	0.0209134	0.3653593	0.0432139	0.4550017	0.9845508	0.6148059	0.6930082	0.8886625	0.1824599	0.5968899	0.1417324	1.0166875	0.4530451	0.7915602	0.2026137	0.5264540	0.6730114	0.9374949	0.9144009	0.9746972	0.6392086	0.9839265	0.7791845	0.9031326	0.6215152	0.4802785	0.4894835	0.8552266	1.0989915
100	0.6965515	0.9546502	0.4732654	0.4371363	1.0157437	0.0352732	1.0589527	0.9851554	0.8775035	0.2860426	0.5896696	0.0857591	0.1240040	0.1173686	0.0064466	0.5980829	0.8735606	0.6010001	0.1349191	0.8314271	0.9190498	0.3761482	0.6684777	0.3701755	0.5216401	0.9854537	0.5343744	0.5817426	0.3412329	0.7832434	0.8021257	0.0581899	0.0198684	0.0303391	0.9321802	1.0540693	0.7384748	0.0050247	0.0262137	1.0405069	0.5470658	0.7942552	0.7416249	0.4837448	0.5681921	0.3909255	0.5464390	0.6835098	0.7048638	0.0416966	0.6077997	0.4251376	0.7289098	0.8760535	0.9393355	0.0437266	0.6403852	0.9201501	0.2965124	0.5756597	0.2521836	0.3920678	0.3623540	0.4750144	0.1325624	0.4303179	0.5059239	0.2564772	0.9118587	0.5390688	0.4085386	0.0148409	0.1613868	0.0485248	0.5072842	1.1149334	0.8486963	0.6648655	0.9450735	0.2388259	0.5804286	0.1093803	1.0645609	0.5130552	0.7682290	0.2023411	0.6035213	0.6382820	0.8825257	0.9251066	0.9064902	0.5448181	0.9312499	0.8641100	0.9489776	0.4888859	0.5255848	0.2899233	0.6813537	1.0212931
150	0.6334160	1.0643517	0.5447647	0.4986533	0.9974444	0.0102854	0.9670159	0.9602123	0.9074393	0.3185195	0.6256851	0.0656854	0.1023740	0.1004574	0.0050937	0.4245384	0.9695679	0.5220913	0.0745509	0.9643672	0.8509051	0.4053638	0.6282769	0.4246927	0.4800370	0.9950922	0.5855137	0.5559904	0.4156644	0.7801939	0.8241836	0.0483965	0.0270169	0.0191126	0.9410287	0.9037209	0.7620934	0.0021823	0.0119708	0.9533252	0.5143185	0.8502581	0.7082835	0.4282523	0.5363204	0.3408841	0.4653048	0.7096773	0.6045363	0.0790054	0.4575095	0.2856173	0.5738777	0.9222926	0.9286049	0.0175787	0.6565153	0.8633159	0.2153870	0.4704053	0.1957127	0.3156247	0.4768996	0.4749432	0.1838354	0.3998724	0.5393241	0.2407339	0.9766164	0.5222735	0.4415610	0.0090081	0.0939853	0.0380230	0.4498194	0.9838741	0.9397520	0.6682464	0.9174362	0.2304373	0.4702183	0.0725485	1.0046238	0.4738853	0.7316706	0.2075488	0.6499185	0.7292309	0.5866250	0.9657957	0.9228273	0.4999948	0.9155545	0.8639618	0.9635585	0.4779980	0.6571467	0.1314704	0.4959978	0.9961024
200	0.5936140	0.9908776	0.4672329	0.4733446	0.9872258	0.0138515	0.9514351	0.8568754	0.8498480	0.2756849	0.6373236	0.0979476	0.0942032	0.1406297	0.0084930	0.3620214	0.9637131	0.4257736	0.0498025	0.8559871	0.8611926	0.4156322	0.5942051	0.3613452	0.4337765	1.0149269	0.5955880	0.5502014	0.3986190	0.7318827	0.8893167	0.0261950	0.0281082	0.0253538	0.9449704	0.9684533	0.7663017	0.0004877	0.0003875	0.9067308	0.6126800	0.6816934	0.7161328	0.4112837	0.4889992	0.3267033	0.4437591	0.7150955	0.4332969	0.0926474	0.3864524	0.2113327	0.5796338	0.9003690	0.9290278	0.0057012	0.8187617	0.9579573	0.1549252	0.4127378	0.1617981	0.3815268	0.5232554	0.4976561	0.2670250	0.3688560	0.5285868	0.2181702	0.8593206	0.4997212	0.3170282	0.0101424	0.0603528	0.0349379	0.4794899	0.9652407	0.9214369	0.6458627	0.7805177	0.1780486	0.4783377	0.0442424	0.9843078	0.5439191	0.6750249	0.1932237	0.6342173	0.7077590	0.3953004	0.9775025	1.0079475	0.5165282	1.0605594	0.8631782	0.9749738	0.4409051	0.6582674	0.1399617	0.4392163	1.0769423
250	0.6199944	0.9352016	0.4629501	0.5036397	1.0452567	0.0010109	0.9159817	0.9289060	0.8640788	0.3261832	0.7388038	0.0915195	0.1175963	0.1247382	0.0042805	0.2731425	0.9617258	0.3857241	0.0342561	0.8381655	0.8816328	0.4238044	0.6016880	0.4474058	0.4382640	0.9678274	0.5298785	0.4838657	0.3610036	0.8116139	0.8788553	0.0427840	0.0414549	0.0317628	1.0261275	0.9560402	0.7412937	0.0005072	0.0010335	0.9370147	0.7455428	0.6859338	0.7293067	0.3813953	0.4207550	0.3565729	0.4035219	0.7097210	0.4462112	0.1352986	0.3008012	0.1686858	0.5054289	0.8096845	0.9263838	0.0051196	0.8417986	0.9512714	0.1371852	0.4049473	0.1355425	0.4303694	0.5323511	0.4059990	0.3777363	0.3706427	0.6292804	0.2488441	0.9374079	0.4176035	0.2923048	0.0075574	0.0461545	0.0444870	0.6460823	1.0341075	0.9639657	0.5996380	0.7893269	0.1651210	0.5110669	0.0539564	0.8927108	0.7084089	0.7443279	0.1790967	0.6012440	0.7818603	0.2249218	1.0514858	0.9470219	0.4811357	1.0828027	0.8612151	1.0048002	0.4235224	0.7685819	0.1290058	0.3360122	0.9487535
300	0.6965211	0.9472409	0.4193521	0.5097401	0.9612840	0.0098333	0.8350570	0.9676114	0.7430874	0.3593105	0.7627728	0.1025072	0.1245650	0.1342739	0.0134178	0.2692877	1.0045488	0.4073657	0.0426993	0.8393273	0.8882673	0.4746700	0.5631863	0.3946371	0.4815521	0.9752770	0.5278175	0.5096775	0.3977601	0.7500058	0.9325559	0.0216433	0.0440738	0.0286215	1.0219874	0.9611932	0.7610713	0.0018340	0.0003928	0.9861901	0.6887617	0.7654725	0.6993915	0.4485803	0.5279372	0.3627353	0.3998752	0.7007317	0.4876596	0.1292501	0.3261106	0.1552866	0.5050298	0.8715472	0.9344726	0.0004558	0.7915995	1.0186616	0.1556618	0.3875239	0.1353414	0.3837659	0.4169942	0.3648233	0.3938329	0.3526490	0.6124238	0.2444861	0.9663237	0.3861634	0.3197530	0.0025737	0.0284135	0.0486432	0.5545155	1.0527564	0.9573705	0.5946420	0.9026383	0.1759474	0.5291490	0.0679273	0.9313711	0.6469753	0.6772966	0.1546226	0.6824381	0.7267090	0.1086758	1.0995685	1.0027641	0.5561257	1.0066334	0.8474897	0.9214178	0.4235654	0.7428602	0.1478055	0.2142541	1.0258985
350	0.6546869	1.0420025	0.4509243	0.5943521	0.9127443	0.0099007	0.7543265	0.9228849	0.8126904	0.3921180	0.7552660	0.1095731	0.1298787	0.1682399	0.0031032	0.2467759	1.0217853	0.4275443	0.0519587	0.9368622	0.8210485	0.4470496	0.6519786	0.3945387	0.5013442	0.9687785	0.5106989	0.5628191	0.4041731	0.7409312	0.9910397	0.0340926	0.0388486	0.0222364	1.0498868	1.0173695	0.7691671	0.0021097	0.0005781	1.0166181	0.6067747	0.7643739	0.6351473	0.5096148	0.4628766	0.3700825	0.3666300	0.6869458	0.4706033	0.1190563	0.3820339	0.1742390	0.5291802	0.6817721	0.7844668	0.0032264	0.7836317	0.9874963	0.2069314	0.3951430	0.1455938	0.4258441	0.3897318	0.3599000	0.4292005	0.3084993	0.5386966	0.2986374	0.9901108	0.3766815	0.3348906	0.0157120	0.0544113	0.0283242	0.4964167	0.9947150	0.9711376	0.5679555	0.9112780	0.1818234	0.5756052	0.0916793	0.9929267	0.6117659	0.7001113	0.1857948	0.6128167	0.7207464	0.0548891	0.9804471	1.0340995	0.6035362	1.0655457	0.7894972	0.9355912	0.4237052	0.7811487	0.1488599	0.1968035	1.0640875
400	0.6069826	0.9762400	0.4494891	0.5650439	0.9570815	0.0085123	0.7936540	0.9687695	0.8034317	0.3607640	0.7670359	0.0893095	0.1399562	0.2100929	0.0037129	0.2500776	0.9490009	0.4102790	0.0458028	0.9260796	0.8422449	0.3877660	0.5649474	0.3267993	0.4646060	1.0391966	0.5644672	0.6184441	0.3920656	0.7849916	0.9529158	0.0441530	0.0162807	0.0164934	1.1011717	0.9853018	0.7696270	0.0006615	0.0005072	1.0270678	0.5118026	0.7545691	0.6929146	0.4741087	0.5209506	0.3163902	0.4179114	0.7149331	0.4443172	0.1389636	0.3736194	0.1361409	0.4750726	0.7306755	0.7390114	0.0002314	0.7946670	1.0127661	0.1980836	0.4447240	0.1828369	0.4371871	0.3651279	0.4743575	0.4381756	0.2931916	0.5167414	0.2359104	0.9470420	0.3275689	0.3015751	0.0044894	0.0362901	0.0191712	0.4762973	0.9619650	0.9089744	0.5973281	0.9491527	0.2334677	0.4881328	0.0793044	1.0216220	0.6905251	0.6929567	0.1984289	0.5930173	0.7378085	0.0825852	0.9895118	0.9142557	0.5290137	1.0194008	0.8421714	0.8395212	0.4320979	0.8056609	0.1251944	0.1768460	1.1158764
