G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9834101	1.0554810	0.7534176	0.6942653	1.0187257	0.3618788	0.8884684	0.8512552	0.8338424	0.2388139	0.6705393	0.2173417	0.1172776	0.1452561	0.0529425	0.1467840	1.0056837	0.3596388	0.6853133	1.0517542	0.8630460	1.0096900	0.9690716	1.0396967	1.0405017	0.9855480	0.6047350	0.4603586	0.9460794	0.7707889	0.1878766	0.0693526	0.0464055	0.0605980	0.9753024	0.9034751	0.0000000	0.1691820	0.0924192	1.0369879	0.4867803	1.0228395	1.1193744	0.4195530	0.6936906	0.0000000	0.0255403	0.0995388	0.2472444	0.2361337	0.5112078	0.0106737	0.0484819	0.6704603	1.0063976	0.9960350	0.9846918	1.0323334	0.5362258	0.5274487	0.8128984	1.0340995	0.4111954	0.8992518	0.1442038	0.9984336	0.5549596	0.4549245	0.0623359	1.0489890	0.9923025	1.0492634	0.9192972	1.0200019	0.6620441	0.3055030	0.9098206	0.8737638	1.0083210	0.3232420	0.3200211	0.7523038	1.0258456	0.6507583	0.6461802	0.2144056	0.6059348	0.6580091	1.1382680	0.9909625	0.9515178	0.5480126	0.9784577	0.8753108	0.8182784	1.0243124	0.4446389	0.9798771	0.7958300	0.9579319
0.6582570	0.0024110	0.1775391	0.4207918	0.0000000	1.0390121	0.0269393	0.0343153	0.1053787	0.0075177	0.9169887	1.0748782	0.9771471	0.9537981	0.9718429	0.6579429	0.5346785	0.8827526	0.9600791	0.9800352	0.7904034	0.0000440	0.9704693	0.5183479	0.9883605	0.9852450	0.5405997	0.5967986	0.3097119	0.6759158	0.1931073	0.0322059	0.0429776	0.0376392	0.9691814	0.9796589	0.4130144	1.0279271	0.8967386	0.9534674	0.3809761	1.1434172	0.9829461	0.3000599	0.5811394	1.0434394	0.6795875	0.6246026	0.9677721	0.0621563	0.8528196	0.6374720	0.9968061	0.9232056	0.9611630	0.7346805	0.4076604	0.3547397	0.6784230	0.6864291	1.0631838	0.5063209	0.1844707	0.2273767	0.0798441	1.0886553	0.4752872	0.2791453	0.8237983	0.8439904	0.7102088	0.0360679	0.7905002	0.0396900	0.3629663	1.0045848	0.0372133	1.0029931	0.9810626	0.5035552	0.4792977	0.5036333	1.0022749	0.9874203	0.0000000	1.0332054	1.0314390	1.0639207	1.1065144	0.9722108	1.0342578	0.6185989	0.9857998	0.8505956	0.6107862	1.0267772	0.4547939	1.0027623	0.7994688	1.0065649
0.6763430	0.0052995	0.1401382	0.1986467	0.0000000	1.0183789	0.0268704	0.0431201	0.4597207	0.1957864	1.1610298	0.6583674	0.9711423	1.0412847	1.0122310	0.6503315	1.0433286	0.9966736	0.9422133	1.0550052	0.8689524	0.5832667	0.6925473	0.4941032	0.6731362	0.9289750	0.5642395	0.5355913	0.3370375	0.7344710	0.2611713	0.0412493	0.0309143	0.0357769	0.9749840	1.0240004	0.4583171	0.1887428	0.0993436	1.0350148	0.5453902	0.9485316	0.9307457	0.4924200	0.6637664	0.0000000	0.2764692	0.3766916	0.2673519	0.2400044	0.3398380	0.0239180	0.0556953	0.7892101	0.9300623	1.0539581	1.0137086	0.9971520	0.2233261	0.4699881	0.4020267	0.8440330	0.4934485	0.4874926	0.1200032	1.0490782	0.5163405	0.2291484	0.8818428	0.8042304	0.5972232	0.0247617	0.6668087	0.0506349	0.5175457	0.9804120	0.0587751	0.8414586	0.8916403	0.1776225	0.3835701	0.7647160	1.0421740	0.6080620	0.8096906	0.2345935	0.5567084	0.7055374	1.1052834	1.0875734	1.0368241	0.6286181	1.0654984	0.7881490	0.8118348	1.0321840	0.4230538	0.9704407	0.8621620	1.0197625
0.6855111	1.0124079	0.4536811	1.0478995	1.0478087	0.3643958	1.0031485	0.4017961	0.9862585	0.2031841	0.9826771	0.4618718	0.9739938	0.1583018	0.0578691	0.1440474	0.2882544	0.0100889	0.7293698	0.8811175	0.8853113	1.0116300	0.8029928	0.5931355	1.0950605	1.1089376	0.5611012	0.6109336	0.3261619	0.7250455	0.2286979	0.0536733	0.0357703	0.0545761	0.9879409	0.9833139	0.4377368	1.0384939	0.8538049	0.9731614	0.5776043	0.9737466	0.9998051	0.4470659	0.5680498	0.0000000	0.2268724	0.3372186	0.2438750	0.2621017	0.3707305	0.0017765	0.0510882	0.6179694	0.9528720	1.0511364	0.9385176	0.9973298	0.2444016	0.4472274	0.3751555	0.9244149	0.3888704	0.4110887	0.1317898	0.9939666	0.4592611	0.2322897	0.8897874	0.7699002	0.7377139	0.0224994	0.7751574	0.0578892	0.5578138	1.0036063	0.0691429	0.8436468	0.8461719	0.1750473	0.4346006	0.7220164	0.9811020	0.9461437	0.0000000	0.9999056	0.9822844	0.9313005	0.9919795	0.9934235	1.0160870	0.6674211	1.0438614	0.8272414	0.6704586	1.0378486	0.4503412	1.0068302	0.7596668	1.0593717
1.0221564	1.0097808	0.6545069	0.4631859	0.9593173	0.4370416	0.9421798	0.7988522	0.3467829	0.1978865	0.7918594	0.1763382	0.1412896	0.1588696	0.0752799	0.7161895	0.9606756	0.8871568	0.7368611	1.0333141	0.8778025	0.4062764	1.0215208	0.6713876	0.9975455	0.9471839	0.5527539	0.3503198	0.9585955	0.6968685	0.2505348	0.0588259	0.0439098	0.0335877	0.9145314	0.9928676	0.0000000	0.1834661	0.0831338	1.0707950	0.4579016	0.9702238	0.9874559	0.4668936	0.6658208	0.9833420	0.4893260	0.4284385	0.9095016	0.0620816	0.9472651	0.6544012	0.9704129	0.9670656	1.0511093	0.7650564	0.5520089	0.8967518	0.8610773	0.7382450	1.0103682	1.0674710	0.0000000	0.9377908	0.1333519	0.9964745	0.6060744	0.4398653	0.0666032	0.9925227	0.9878053	0.9795121	0.9734995	1.0782850	0.5331174	0.3543069	0.7677942	1.0931512	0.9956757	1.0616722	0.6365900	0.4234181	1.0488554	0.6066255	0.7369643	0.1955325	0.5899076	0.7648681	1.0255380	0.9905791	1.0299361	0.7272291	1.0801751	0.9931915	0.9376140	1.0524376	0.4386210	1.0572327	0.8964422	1.0853523
0.6469521	1.0431108	0.4069541	0.6607304	0.9840276	0.3324146	1.0134149	0.3573873	0.8320688	0.2376458	0.6661391	0.1906258	0.1052517	0.1777654	0.0588541	0.1055556	1.0319359	0.3665850	0.7341972	0.9354116	0.7941269	1.0475705	0.7546972	0.4812741	0.5987512	0.9921845	0.5221956	0.5501094	0.2935755	0.7776685	0.2213851	0.0406211	0.0351563	0.0409379	1.0614175	1.0757595	0.4360452	0.1603291	0.0792564	1.0045956	0.4203098	1.0538299	1.0125344	0.4278769	0.5765884	0.0000000	0.2283993	0.3955136	0.2171906	0.2164919	0.5104363	0.0096127	0.0658522	0.7001827	1.0006116	0.9938431	1.0276707	1.1012999	0.2107960	0.5001291	0.7592223	0.9561173	0.0000000	0.4543912	0.0958642	1.1297211	0.4422154	0.2424751	0.8904867	0.6342099	0.5754067	0.0252658	0.5969686	0.0339497	0.3315560	0.9613139	0.0552869	0.9992067	1.0190022	0.9934056	0.3324866	0.6859859	0.9944499	0.5711922	0.7403337	0.2467246	0.6343290	0.7586283	0.9625874	0.9817318	1.0249775	0.4782086	0.9838559	0.8083520	0.7830220	1.0201670	0.4669924	1.0308610	0.7875962	1.0603311
0.6651447	1.0894847	0.3929558	0.4095893	0.9678791	0.4091089	0.9529321	0.3815772	0.3118404	0.2293147	0.7227317	0.1633108	0.1055616	0.1846692	0.0787525	0.7198513	1.0628631	0.7938106	0.6417973	0.9107248	0.7871419	0.4280117	0.8358580	0.4928378	0.6495772	1.0542679	0.5055614	0.6064546	0.3017911	0.7176805	0.2602719	0.0405233	0.0383953	0.0444612	0.9730495	1.0710404	0.4535980	0.1448493	0.1134134	1.0260418	0.5121607	0.9765102	1.0016085	0.5284050	0.6645877	1.0662730	0.7111807	0.7362160	0.8942060	0.0628660	0.7354643	0.7407803	1.0146928	0.9241418	0.9813471	0.6828262	0.5379308	0.9538267	0.4620396	0.7346216	0.5027751	0.9738068	0.4620406	0.0000000	0.1485368	1.0196717	0.4229707	0.2207844	0.8503333	0.7044603	0.6148595	0.0100241	0.5719333	0.0379850	0.5559597	0.9869712	0.0628292	0.8623801	0.9403665	0.2122216	0.5069845	0.4427613	1.0015690	0.5405494	0.7688702	0.2401450	0.5060464	0.6542218	0.9272275	1.0335537	0.9232768	0.5568532	0.0000000	0.0546579	0.0501246	0.9818781	0.4298385	0.9747227	0.8600179	1.0579817
0.9800896	0.9704435	0.7827410	0.4550376	0.9743471	0.3364817	0.9326847	0.8509235	0.4069793	0.2216241	0.7343738	0.1920062	0.1385414	0.1195793	0.0719198	0.7458506	0.9850943	0.8568007	0.6108496	1.0440003	0.7646362	0.4277110	0.8993537	0.7719904	0.9349903	0.9074281	0.5641344	0.4870120	0.9574924	0.7710425	0.0846067	0.0417104	0.0301454	0.0519867	0.8917613	0.9998975	0.0000000	0.1550023	0.0497263	0.9401935	0.3797343	1.0530113	1.0293199	0.0000000	0.5689682	1.0156317	0.4729041	0.4053621	0.8934970	0.0210704	1.0397717	0.7593356	0.9914316	0.8863277	0.9290591	0.7580142	0.4567827	0.9068124	0.8251920	0.7566083	1.0522592	0.9736692	0.0192809	0.6382791	0.1459557	0.9485990	0.5789962	0.4017914	0.0469602	1.0637455	1.0557240	1.0763209	0.9646461	0.8976991	0.5194278	0.2896020	0.9079624	1.0437637	0.9725023	0.9469197	0.5732480	0.4871878	0.9360184	0.5389998	0.8517218	0.1871049	0.6046571	0.7411440	1.0049559	1.0383539	1.0284060	0.5149590	0.9879012	0.9465644	0.8414508	1.0597563	0.4500400	1.0572913	0.8279461	0.9127897
0.0000000	0.0081647	0.0157308	0.2536489	0.0000000	1.0398425	0.0228125	0.0446273	0.0803049	0.0088507	1.0540664	0.7223116	0.9785663	1.0137826	0.9849088	0.9774636	1.0258922	1.0549920	0.9780714	0.9852550	0.8411836	0.0000036	0.7754326	0.4708093	0.7178393	0.9373717	0.5997453	0.6255523	0.3432307	0.6667337	0.1893808	0.0403937	0.0309857	0.0659715	0.9783090	1.0765905	0.5005957	0.1783897	0.0605815	1.0551914	0.3770883	0.9779822	0.9744475	0.3118447	0.5686753	0.9889073	0.6574835	0.6599719	0.9523725	0.0530376	0.8051371	0.6747710	0.8771581	0.9034111	0.9748042	0.7759303	0.5385535	0.8846516	0.5536089	0.6927574	0.9000633	0.6857417	0.2416183	0.2697195	0.1178892	1.0191111	0.4943558	0.2317422	0.9180023	0.7174809	0.6352233	0.0186540	0.6527371	0.0410383	0.3695549	0.9987151	0.0329563	0.9702666	0.9706881	0.3523224	0.5198336	0.4555440	1.0420426	0.7083135	0.6256029	0.1771446	0.6816776	0.7257798	1.0172891	0.9660534	1.0212779	0.5454892	1.0025526	0.7578717	0.7490102	1.0769075	0.3801913	0.9886597	0.8609341	1.0832337
0.6540075	0.9742127	0.4333602	0.4487454	0.9620773	0.3541595	0.9643946	0.3359030	0.3887166	0.2680225	0.7069129	0.1830169	0.1133709	0.1852239	0.0618049	0.7459632	1.0218367	0.8070534	0.6452812	0.9047921	0.8797911	0.3911079	0.8201213	0.4859353	0.6453551	0.9839079	0.4923387	0.5992443	0.3370448	0.7654535	0.2533945	0.0509149	0.0451672	0.0450921	0.9560179	1.0289078	0.4846537	0.1729452	0.0706911	1.0643583	0.5409215	1.0006702	0.9528929	0.5052920	0.6522910	1.1133321	0.7063739	0.7493159	0.9002611	0.0911968	0.8775106	0.6233736	0.9319437	0.7830466	0.6259268	0.7658955	0.6292399	0.9182888	0.4008617	0.6364174	0.5475025	0.9156748	0.3877518	0.4263213	0.1413424	0.8997353	0.4754978	0.1764396	0.8789907	0.6908161	0.6386889	0.0186450	0.6091180	0.0466484	0.5002892	0.9680056	0.0544120	0.8597854	0.8293828	0.2391863	0.4724230	0.0000000	1.0643568	0.5656065	0.7949214	0.2062066	0.6315506	0.7767858	1.0085848	1.0100433	0.9918307	0.4734153	1.0814716	0.7777733	0.6949718	1.1596702	0.4856629	0.9444983	0.0000000	1.0985955
0.6598470	0.9982432	0.4071784	0.7768895	1.0690855	0.3626736	1.0771733	0.4463073	0.4604515	0.2585972	1.0409174	0.5290857	1.0102233	0.1141586	0.0805034	0.1200952	0.6465531	0.4347049	0.6701572	0.9593406	0.9718986	0.4040358	0.8217741	0.4477710	1.0641336	0.9586731	0.6454431	0.5811438	0.3230291	0.8235850	0.2960472	0.0341828	0.0348852	0.0386276	1.0754691	1.0204206	0.4610551	1.0121842	0.9367777	1.0053690	0.3907786	0.9674857	1.0461992	0.4263355	0.6093313	0.9579220	0.6813643	0.7000103	0.9711249	0.0742691	0.9889054	0.6586248	0.8852308	0.8913840	0.9632823	0.7510916	0.4466362	0.3835220	0.6130622	0.7137520	0.9802860	0.8968327	0.0000000	0.4330193	0.1269458	1.0003718	0.4828706	0.2240285	0.8946036	0.7239553	0.7133245	0.0263751	0.6939775	0.0408270	0.2949436	0.9525041	0.0359792	1.0056620	1.0626187	0.9662110	0.4736237	0.6014188	0.0000000	0.0707422	0.0016942	0.9131818	1.0247193	0.9190861	1.0065265	0.9606905	0.9660673	0.6206425	0.9144328	0.8001315	0.7835532	0.9909936	0.4461652	1.0819189	0.8332458	1.0585133
