G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3235336	0.9830023	0.3631262	0.4168264	1.0403406	0.3546037	0.9865006	0.3747371	0.2814005	0.2160650	0.6401402	0.1571275	0.1264402	0.1250874	0.0723857	0.7363444	0.9916255	0.8553961	0.5514930	0.8870194	0.8056722	0.4118530	0.8080315	0.5103274	0.6219057	1.0161124	0.5490856	0.5026935	0.3324702	0.7449182	0.2404632	0.0242439	0.0412240	0.0403109	1.0105622	1.0492920	0.4112475	0.1732794	0.0362052	1.0027477	0.6431522	1.0666742	1.0089921	0.5519779	0.6506852	1.0425934	0.6855509	0.7448500	0.9647504	0.0646122	0.7842091	0.6415789	0.9265514	0.9314320	1.1067103	0.7368480	0.5049821	0.9180943	0.5008039	0.6908436	0.4643286	0.8939813	0.4991676	0.4630879	0.0849613	0.9453590	0.5298626	0.2158870	0.9114664	0.6986909	0.6299003	0.0117581	0.6653814	0.0714847	0.6014353	1.1108439	0.0593029	0.7878694	0.7626953	0.1952797	0.5183957	0.4000423	1.0160045	0.5133822	0.7722752	0.2291853	0.5888661	0.7191312	1.0448813	0.9946812	0.9538624	0.4170251	1.0361554	0.8036622	0.7531068	0.9938463	0.4342908	1.0121127	0.8112943	1.0465674
0.6964847	0.5214719	0.6387867	0.4940329	1.0167441	0.4206207	0.9526534	0.3437620	0.3784036	0.2054645	0.7309897	0.1937828	0.1356021	0.1589653	0.0735587	0.7787073	0.9537806	0.7364008	0.6440488	0.8532309	0.8949547	0.4757604	0.8882365	0.4927069	0.7165474	1.0129954	0.6284503	0.5023931	0.3246084	0.7813972	0.2494422	0.0441482	0.0365380	0.0347346	0.9757385	0.8819632	0.4767346	0.1857357	0.0899668	0.9747061	0.6474411	1.0309587	0.9613260	0.4681977	0.5744335	1.0997340	0.6473716	0.7084659	0.9516662	0.0489981	0.8015504	0.5895119	0.8607160	0.9015418	1.0604093	0.7086295	0.5000421	0.8571276	0.4694512	0.7312269	0.3177875	0.9320628	0.5453294	0.4788424	0.1221509	1.0801642	0.4765356	0.1997677	0.8590657	0.6900065	0.6638727	0.0081523	0.6551200	0.0562177	0.6662782	1.0639930	0.0507711	0.7465556	0.8169133	0.2228566	0.5157719	0.4803932	0.9671558	0.5965715	0.7856353	0.2059826	0.5671360	0.7478806	0.9506234	0.9646779	1.0793727	0.6834138	1.0271790	0.8208738	0.8140232	1.0198944	0.3561510	1.0923593	0.8497407	1.0488541
0.6029183	0.9744128	0.2202221	0.3824812	1.0219059	0.3489712	1.0402682	0.3492477	0.3619367	0.2455640	0.6160983	0.1651014	0.1290633	0.1691870	0.0673387	0.7101090	0.9235056	0.9172576	0.6671283	0.9268226	0.7970044	0.3670652	0.7731816	0.4533313	0.7165937	0.9526085	0.5567153	0.6031255	0.2974028	0.8569187	0.2577387	0.0328387	0.0381780	0.0426021	0.9547149	0.9663884	0.4002451	0.1500718	0.1445160	1.0250876	0.5734558	1.0251763	1.0500420	0.4393152	0.6193243	1.0966612	0.6582699	0.7654278	0.8556610	0.0852511	0.7690718	0.6287594	0.9713322	0.9177827	0.9534460	0.7238944	0.5519580	0.8860322	0.5265093	0.6750749	0.4099714	0.8663830	0.4922603	0.4010528	0.1219359	0.9719572	0.4783130	0.1615117	0.9416395	0.7056305	0.7267265	0.0228551	0.7792435	0.0603800	0.5962876	1.0055655	0.0330919	0.8003800	0.8337817	0.2108618	0.5454023	0.3457110	0.9436852	0.6223362	0.8285513	0.2019906	0.6270360	0.7301648	1.0388764	1.0598871	1.0116536	0.6138056	0.9725933	0.7482580	0.6771629	0.9836839	0.4111861	1.0190948	0.6781581	0.9447045
0.6192258	1.0126638	0.4366399	0.2339314	1.0535556	0.3936848	0.9989582	0.3700666	0.3740210	0.2444995	0.7243435	0.2125279	0.1351402	0.1856932	0.0532794	0.7217076	1.0719946	0.8882411	0.7357318	0.9621035	0.8234515	0.4060588	0.8017276	0.4347117	0.6905369	1.0222865	0.6126141	0.4744102	0.3613982	0.7667088	0.2598426	0.0434482	0.0431820	0.0384394	1.0646525	1.0304179	0.4338420	0.1623789	0.0565625	0.9038290	0.5249319	1.1352963	0.9921270	0.4883024	0.6549164	1.0710297	0.6799048	0.7114194	0.9516936	0.0450279	0.8013134	0.6547400	0.9570695	0.8856433	1.1164032	0.7038462	0.5195679	0.9246119	0.3911845	0.6516387	0.6824046	0.7063299	0.3474586	0.3292305	0.1016112	0.9945486	0.5635131	0.2232556	0.9146474	0.7379645	0.5620306	0.0098963	0.5049942	0.0451653	0.4287796	1.0705875	0.0564071	0.9618770	0.9720275	0.2526411	0.5565913	0.5151047	1.0852825	0.6076310	0.7152986	0.2524143	0.5509920	0.6977965	1.0257182	0.9897598	1.0349736	0.5210440	1.0586564	0.8207086	0.7259031	0.9594315	0.4469016	0.9428111	0.8548831	1.0620526
0.6053569	1.0138630	0.2831701	0.4312852	0.5175320	0.6121989	0.8122194	0.2871714	0.3799865	0.2135372	0.8840590	0.1600808	0.3404667	0.3938492	0.1373682	0.7533295	0.9044468	0.9165532	0.7948297	0.9730709	0.7856533	0.3278336	0.7812662	0.4655088	0.6168563	0.9966153	0.5322830	0.6013494	0.3081922	0.8346092	0.2794240	0.0438380	0.0333389	0.0403979	1.0086964	0.9606573	0.4773976	0.1549657	0.1472916	1.0801997	0.6082509	0.9837706	0.9768450	0.4623316	0.6597875	1.0997535	0.7570412	0.7071747	0.9043170	0.0510410	0.7760880	0.6847431	0.9896523	0.8900649	0.9975695	0.7664748	0.5161266	0.7977764	0.4503396	0.6767565	0.4024045	0.9640731	0.4545535	0.4560443	0.1068808	1.0425096	0.4600857	0.2257066	0.8996379	0.7117333	0.5166381	0.0021005	0.4329395	0.0550706	0.5877436	0.9317219	0.0377563	0.8087375	0.7837621	0.1718852	0.5332844	0.4925095	1.0921920	0.6433623	0.7827176	0.2373065	0.5829368	0.7512697	0.9832936	1.0549786	1.0480153	0.7043427	0.9768072	0.7874563	0.7254612	0.9578833	0.4618088	1.0369999	0.8682027	0.9739118
0.6481986	0.9157236	0.4163114	0.4347388	1.0260085	0.2199756	0.9415141	0.3837851	0.3548424	0.2722954	0.6579861	0.1589509	0.1328086	0.1983435	0.0675751	0.7420771	0.9752213	0.8481554	0.6009207	0.9146180	0.8586678	0.3961979	0.7486286	0.5131788	0.6972627	0.9789456	0.5258843	0.5714844	0.2751712	0.7729384	0.2509882	0.0256246	0.0319539	0.0467435	0.9122121	0.9463787	0.5086097	0.1844333	0.0697581	0.9882810	0.6047239	1.0391986	1.0630343	0.4972265	0.7280079	1.0971933	0.7216576	0.6366344	0.9406090	0.0729500	0.8281420	0.5748292	0.9066615	0.9337307	0.9929370	0.8056084	0.5029791	0.8542301	0.4774682	0.6915321	0.3812794	0.9034170	0.4917006	0.4835973	0.1379182	0.9784603	0.5889933	0.2514550	0.9205433	0.8161552	0.5432358	0.0130701	0.5715167	0.0543749	0.5132460	1.0516209	0.0428807	0.8168085	0.8751970	0.1978185	0.5380493	0.4663277	1.0426593	0.6039044	0.7529977	0.1829409	0.6612892	0.7153660	1.0288322	0.9510227	1.0013785	0.5367315	1.0428799	0.7829176	0.7753868	0.9488461	0.4937978	1.0548658	0.8685794	0.9847390
0.6926863	1.0234238	0.4175677	0.5017762	1.0629389	0.2971262	0.4794838	0.3519136	0.4045519	0.2713570	0.7209498	0.1875998	0.1599102	0.1489835	0.0556712	0.7285630	1.0044977	0.8010467	0.6822686	0.9469247	0.7759849	0.3886526	0.7950729	0.4771346	0.7314985	0.9564202	0.5071169	0.5641882	0.3616206	0.6861077	0.2151957	0.0533774	0.0344575	0.0559545	1.0226230	0.9517235	0.4404119	0.1613906	0.0807149	1.0678657	0.5739980	1.0036627	0.9709931	0.4371104	0.6264350	1.0417869	0.7378799	0.6659731	0.8700161	0.0780032	0.8103635	0.5457578	0.9668428	0.8874423	1.0093664	0.6681739	0.5857333	0.9617287	0.4175175	0.7023393	0.5693838	0.8645103	0.3537136	0.4168205	0.1367503	1.0426982	0.4733959	0.1867289	0.9043634	0.7286842	0.6441019	0.0242653	0.6365702	0.0332789	0.4584461	1.0339688	0.0666632	0.8551374	0.9000619	0.2405529	0.5887114	0.4010399	1.0104108	0.6674064	0.7519759	0.2228688	0.6026047	0.7491966	1.0523494	1.0063568	0.9616341	0.5401514	0.9510582	0.6906898	0.7996483	1.0042676	0.3924271	1.0199819	0.8571717	0.9792168
0.6367430	0.9282794	0.4016163	0.4217002	0.9985462	0.3130637	0.9278289	0.2153995	0.3622326	0.2192998	0.6885081	0.1509857	0.1282167	0.1473950	0.0780294	0.7486247	1.0160040	0.8056695	0.6841952	0.8906063	0.8818728	0.3998013	0.8028608	0.4720810	0.6553108	1.0897188	0.6071495	0.5015443	0.2801484	0.8304906	0.2805489	0.0497066	0.0544214	0.0349680	1.0143242	0.9818744	0.4649669	0.1521377	0.0961533	0.9988375	0.5955099	1.0548859	1.0125172	0.4542387	0.5404155	0.9733210	0.6167883	0.7638159	0.9129777	0.0909636	0.7997226	0.6288257	0.9513502	0.8743552	0.9856903	0.7472983	0.5576155	0.9513585	0.4885424	0.6832058	0.4767276	0.8605963	0.4966867	0.4917510	0.1608181	0.9693464	0.5053840	0.1759339	0.9169718	0.7108592	0.6223136	0.0159575	0.6149215	0.0308541	0.6084625	1.0548027	0.0519573	0.8105248	0.9395622	0.1830687	0.5374177	0.3899142	1.0438117	0.5829823	0.7678484	0.1811281	0.5860663	0.7476738	1.0051056	1.0770797	1.0671160	0.7654526	0.9816923	0.9004116	0.7636485	0.9999580	0.3872740	1.0694301	0.8418547	1.0279512
0.6758543	0.9514724	0.4124763	0.3903293	0.9401890	0.3643732	0.9844667	0.3749651	0.2238931	0.2551784	0.6696893	0.1817346	0.1403962	0.1779952	0.0724005	0.7524251	1.0024764	0.8485700	0.7645942	0.9558343	0.8507106	0.3739361	0.8208401	0.4864679	0.6364986	1.0829649	0.5730512	0.5618129	0.3510196	0.7821013	0.1996175	0.0414366	0.0298504	0.0267731	1.0079621	0.9464695	0.3871236	0.1770694	0.0873747	0.9609819	0.5478986	1.0166166	1.1588948	0.4951027	0.6195131	0.9954161	0.7622261	0.6736916	0.9523342	0.0643324	0.8648334	0.6479067	0.9089484	0.9048120	0.9666890	0.7172583	0.5016603	0.8581010	0.5043741	0.6491812	0.6018042	0.9278741	0.4140412	0.4326483	0.1271974	1.0509478	0.4427189	0.2102109	0.7931040	0.7301393	0.7196090	0.0238572	0.6733755	0.0623898	0.5083517	1.0427327	0.0431915	0.8494580	0.8651942	0.2382984	0.5150093	0.3790200	1.0520533	0.6554430	0.8178143	0.1916733	0.6317976	0.7110828	0.9315081	0.9446035	1.0027554	0.5557414	0.9512011	0.8383782	0.6202351	1.0608268	0.4463868	1.0023759	0.8188426	1.0317643
0.8040697	0.9552241	0.4857517	0.4077690	0.9369327	0.4341707	1.0105570	0.3694362	0.3616763	0.1302168	0.6836480	0.1732213	0.1342999	0.1751651	0.0827631	0.7150625	1.1494091	0.9359626	0.7043455	0.9407380	0.8719879	0.4497764	0.8248766	0.4340307	0.7588904	1.0782662	0.5193128	0.6675325	0.3427162	0.7504458	0.2044467	0.0389730	0.0254643	0.0430573	1.0566800	1.0094314	0.3816057	0.1821155	0.0950589	1.0120567	0.4711369	1.0285645	0.9689339	0.3236268	0.6096555	0.9687814	0.7443867	0.5960542	0.9239113	0.0626694	0.8668299	0.6311975	0.9635245	0.8964017	1.0268453	0.8394776	0.5491881	0.8917642	0.5861004	0.7249970	0.9311841	0.5099016	0.1998471	0.2362806	0.1134478	1.0057098	0.4292706	0.1714769	0.8269394	0.7996205	0.7326927	0.0290999	0.7590122	0.0536411	0.3827646	1.0669410	0.0713644	0.9927214	0.9956941	0.3743421	0.5872048	0.5253030	0.9624114	0.6396184	0.7864494	0.2083271	0.6186287	0.8252745	0.9698066	1.0703720	1.0766129	0.5973691	0.9586738	0.8295149	0.6947453	1.0907431	0.4751053	1.0177614	0.9210931	1.0307757
