G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0024491	0.3496299	0.1421073	1.0222291	0.3255167	0.9570511	0.3578357	0.3900509	0.2610189	0.6247185	0.1568359	0.0920679	0.1387638	0.0502016	0.8080351	1.0711801	0.8213533	0.6885220	0.8407205	0.7905646	0.4348469	0.7733613	0.4864846	0.6627904	0.9975845	0.5597983	0.5480407	0.3029272	0.7663675	0.2411128	0.0339365	0.0287682	0.0403909	1.0425926	1.0047185	0.4162942	0.1655672	0.0506653	1.0099601	0.5479365	1.0218965	1.0093359	0.4654202	0.6464783	1.0292071	0.6768059	0.6826005	0.8465163	0.0972660	0.8070999	0.6329568	0.9676118	0.9609762	0.9607027	0.7032883	0.6249763	0.8467964	0.4713616	0.6965445	0.5474444	0.9236296	0.4929309	0.4638883	0.1430025	0.9213175	0.4689279	0.1890275	0.7759651	0.7888508	0.6756521	0.0239339	0.6848875	0.0401760	0.5347025	1.0660175	0.0563066	0.8146310	0.9224458	0.1872113	0.5544304	0.6314625	1.0135485	0.4395729	0.9062602	0.2036774	0.6052582	0.7150810	0.9321429	0.9740261	1.0382212	0.4308839	1.1367671	0.8102531	0.8154437	1.0477994	0.4370079	0.9313756	0.8322801	0.9845457
0.6359955	0.0000000	0.3763887	0.4513217	0.9508516	0.3480885	0.9175210	0.3387345	0.3080356	0.1850353	0.6668671	0.1786814	0.1006666	0.1498847	0.0599480	0.7635050	0.9976576	0.8306765	0.5667317	0.8956812	0.8694070	0.4062080	0.8359976	0.5397035	0.6345963	0.9389676	0.5539041	0.6067168	0.3132710	0.7155695	0.2375365	0.0437981	0.0494425	0.0349927	1.0357523	0.9844462	0.4882994	0.1826804	0.0862708	1.0186342	0.5352948	1.0058456	0.9609449	0.5091259	0.6120530	1.0955990	0.6663895	0.6783883	0.9418448	0.0589287	0.7782081	0.6229305	1.0257805	0.9200621	1.0450755	0.7561312	0.4898059	0.9415208	0.4524037	0.7942390	0.4937364	0.9845873	0.4513386	0.4398277	0.1317507	1.0143806	0.4183824	0.1935986	0.8825588	0.6577598	0.6082991	0.0218734	0.6002583	0.0380436	0.5218579	0.9624170	0.0492416	0.8747377	0.8691292	0.1951613	0.6539288	0.3148515	1.0482654	0.6213409	0.7394346	0.1981854	0.5884395	0.7061673	0.9180871	1.0683482	1.0127951	0.5485968	1.0165863	0.8171238	0.7666659	1.0596041	0.4435812	1.0043747	0.8085665	1.0481139
0.5972271	0.9128157	0.0000000	0.4295879	1.0689474	0.3503494	0.9621660	0.2939166	0.3109327	0.1896163	0.7257304	0.1768991	0.1104515	0.1289934	0.0787139	0.7841616	1.0562069	0.8199214	0.5857452	0.9466215	0.8593092	0.4447987	0.8733131	0.5275767	0.7049256	1.0587761	0.5220267	0.5180424	0.3854828	0.7883438	0.2575014	0.0313966	0.0346795	0.0597317	1.0041609	1.0316554	0.4704346	0.1443501	0.0503630	0.9511394	0.5717943	0.9627169	1.0636014	0.4805933	0.6604276	1.1193474	0.7003228	0.7408076	1.0227893	0.0655087	0.7963413	0.6988763	0.9200836	0.8720672	0.9340547	0.6816713	0.5069526	0.9225714	0.4975474	0.7117868	0.5867852	0.9212217	0.4914293	0.3970295	0.1333397	1.0598935	0.4904837	0.2305744	0.8329844	0.7944449	0.5952910	0.0103430	0.6929723	0.0692783	0.5442935	0.9894817	0.0350647	0.9058790	0.8815014	0.1932714	0.5408364	0.4324324	1.0192197	0.5808894	0.7979142	0.1549258	0.6264215	0.7411946	1.0095335	1.0403931	1.0103974	0.5617703	0.9367850	0.8509458	0.7504977	0.9141365	0.4479190	0.9615731	0.8704243	0.9774811
0.6293226	1.0293965	0.4661840	0.0000000	1.0168077	0.3932365	1.0195838	0.4050511	0.3922016	0.2664215	0.7361401	0.1934182	0.1307720	0.1798054	0.0869885	0.6954806	1.0184987	0.8895343	0.6709150	0.9140873	0.8663667	0.4440880	0.8263246	0.4435436	0.8050586	1.0457153	0.4557052	0.6769463	0.3334090	0.7162748	0.2743299	0.0681770	0.0298688	0.0502735	1.0015273	1.0160109	0.3817634	0.1393026	0.0459592	1.0072051	0.6542555	1.0673217	0.9943256	0.5180894	0.6203747	1.0374966	0.7515683	0.6361258	0.9102220	0.0707116	0.7878984	0.6989401	0.9404843	0.9311166	1.0508954	0.6615168	0.5661734	0.9308227	0.4807466	0.6907791	0.3347839	0.8188081	0.5210203	0.5652182	0.1214996	1.0797176	0.4525362	0.2234988	0.8186798	0.6870106	0.6971695	0.0258794	0.8247980	0.0279157	0.5272674	1.0251061	0.0704672	0.7095868	0.7934801	0.1684182	0.5205561	0.4644761	0.9642993	0.7444355	0.7827836	0.1945549	0.5974512	0.6719852	0.9629255	1.0419765	0.9830819	0.5196953	0.9987341	0.8250291	0.7327733	0.9764531	0.4498793	1.0650084	0.8318540	1.0196551
0.5978217	0.0027607	0.1200440	0.1651200	0.0000000	0.9951194	0.0441288	0.0534868	0.0795801	0.0267156	0.9779810	0.7280593	0.9958576	0.9741036	0.9922718	0.9039200	0.8963738	1.0076812	1.0249949	0.9402502	0.8436603	0.0046711	0.8670218	0.4504973	0.7636339	0.9097523	0.5155118	0.6702512	0.2785680	0.6901357	0.2235309	0.0532938	0.0322205	0.0356167	0.9610965	0.9647072	0.4808333	0.2098419	0.1098656	1.0403453	0.4293528	1.0532913	1.0085439	0.3092582	0.5606677	1.1011569	0.6343695	0.6847102	0.9062418	0.0551414	0.8914679	0.6775661	0.9885535	0.9054556	1.0508588	0.6922040	0.5379743	0.8631737	0.5716167	0.6911052	0.9156458	0.5709432	0.1833718	0.2170294	0.1197259	1.0050033	0.4562572	0.2125412	0.8793908	0.7537926	0.7325187	0.0255891	0.7396137	0.0359251	0.3700659	0.9557867	0.0465101	0.9129117	1.0665143	0.3849449	0.5559027	0.4397614	0.9823017	0.5904757	0.6783054	0.2192512	0.5659331	0.6737864	1.0026741	1.0379023	0.9769833	0.5093440	0.8999018	0.8490389	0.6936591	0.9847433	0.5127511	0.9941606	0.8430882	1.0298269
0.7420263	1.0901754	0.5351809	0.4852404	1.0261743	0.0000000	0.9625854	0.3977735	0.3790920	0.2393494	0.8007267	0.1796556	0.0941619	0.1517548	0.0609476	0.7759060	1.1089083	0.7638882	0.6472681	0.8399865	0.8809279	0.3765779	0.7263927	0.4985632	0.7044729	1.0003033	0.5833026	0.5562031	0.2813233	0.7727959	0.2571675	0.0582146	0.0336084	0.0250784	1.0413357	1.0633142	0.4576167	0.1908517	0.0938555	1.0897434	0.6556082	0.9256498	1.0094826	0.4908119	0.6957161	0.9590878	0.5928342	0.6299133	0.9724960	0.0809506	0.7981505	0.5974228	0.9166996	0.9017183	1.0267785	0.7108531	0.5639035	1.0336882	0.5422163	0.6820967	0.3215620	0.9133943	0.5079733	0.4856878	0.1236627	1.0113388	0.4358887	0.2278953	0.8505578	0.7069729	0.6481452	0.0180781	0.7230310	0.0549414	0.5943702	0.9018646	0.0485939	0.7624658	0.8259688	0.1720902	0.5798294	0.3762455	0.9667071	0.5782299	0.8203197	0.1953369	0.5379026	0.7110465	0.9584091	1.0559665	0.9479697	0.5657268	1.0523826	0.7693115	0.8358229	1.0231087	0.4743429	1.0049366	0.7967836	1.0431362
0.6447463	0.9776005	0.4236214	0.4860702	0.9481132	0.4212712	0.0000000	0.3745888	0.4064550	0.1979711	0.7793177	0.2027282	0.1155799	0.1560452	0.0637739	0.6509697	0.9723248	0.7224473	0.5817848	0.8836397	0.7926429	0.4018338	0.7813370	0.4597336	0.7222019	0.9629601	0.5346345	0.5303183	0.3243148	0.7528525	0.2703176	0.0404994	0.0290454	0.0614090	1.0039589	1.0710085	0.4873352	0.1881120	0.0444327	0.9859291	0.6934095	1.0146742	1.0648806	0.4289330	0.6268794	0.9773161	0.6757784	0.7450795	0.9442657	0.1061318	0.7357914	0.5312801	0.8842642	0.9923713	0.9833758	0.7286326	0.6197050	0.9540534	0.4016920	0.7340787	0.3117800	1.0403313	0.5529863	0.4173646	0.1214501	1.0493955	0.5291053	0.2221634	0.9067136	0.6493426	0.5822991	0.0081423	0.6356224	0.0391975	0.6974019	0.9863370	0.0415327	0.6874459	0.7466955	0.1349274	0.5653052	0.4585918	1.0750038	0.6736875	0.7887392	0.2073167	0.6006425	0.6895504	0.9100796	1.0373938	0.9386308	0.5716269	1.0885727	0.7612589	0.7990561	0.9756511	0.5105951	1.0750961	0.7988153	1.0483532
0.6745087	1.0247954	0.3763075	0.4185688	0.9131766	0.3566054	0.9442246	0.0000000	0.3338667	0.2104268	0.7435445	0.2054414	0.1287850	0.1752370	0.0669895	0.7762211	0.9691955	0.8805868	0.6768487	0.9098224	0.8081593	0.4091880	0.7117984	0.4612432	0.6809250	1.0114120	0.5455961	0.5718595	0.3321385	0.8131027	0.2288745	0.0361929	0.0438191	0.0355755	0.9371985	1.0237590	0.5086606	0.1702613	0.0575891	0.9864400	0.5864599	1.0070040	0.9190839	0.3579470	0.6044816	1.0521673	0.7116710	0.6527603	0.9218893	0.0632797	0.7748211	0.6602065	0.8695484	0.9292937	1.0175002	0.6551441	0.6045965	0.9131830	0.4831997	0.6572540	0.5883912	0.7497765	0.4071007	0.3407525	0.1217388	1.0413556	0.5665627	0.2139582	0.9185885	0.6411587	0.6428367	0.0227991	0.6633862	0.0454708	0.4345997	1.0535503	0.0479296	0.9028593	0.8942468	0.2535999	0.5407690	0.3958423	1.0559628	0.5979629	0.7493102	0.2594030	0.5887096	0.7598319	0.9987636	0.9267686	0.9875944	0.6071913	1.0411162	0.7924996	0.7365431	0.9970323	0.4585838	0.9797205	0.8309124	0.9580174
0.6226955	1.0055709	0.5354899	0.4383181	0.9894530	0.3606880	0.9723166	0.3897296	0.0000000	0.2690039	0.7631482	0.1699745	0.1651630	0.1536698	0.0592832	0.7714516	0.9700925	0.8952775	0.7171627	0.8788723	0.8286868	0.4327721	0.7703583	0.4576306	0.7197421	0.9946047	0.6009543	0.5331759	0.3317263	0.7683924	0.2499841	0.0377478	0.0405708	0.0559804	1.0129327	1.0017052	0.4419757	0.1577541	0.1221122	0.9765146	0.5961312	0.9973055	1.0153593	0.5409560	0.6226746	1.0606857	0.6518601	0.6489038	0.8768123	0.0607945	0.7174460	0.7322523	0.8906557	1.0033715	0.9869024	0.7577532	0.5454581	0.8359737	0.5061911	0.7136204	0.5048132	0.8968932	0.4707044	0.3972042	0.1026419	0.9754120	0.5599400	0.2176912	0.7675900	0.8177205	0.6198278	0.0197280	0.7256776	0.0443175	0.5250529	0.9881426	0.0423890	0.7435746	0.8946096	0.2015110	0.6441850	0.3552555	1.0920997	0.5631850	0.8379317	0.1635968	0.6948189	0.7213314	1.0977744	1.0351801	1.0162994	0.6404471	0.9213671	0.8622802	0.7816292	0.9247871	0.4663459	0.9713340	0.8768376	0.9802726
0.6908381	1.0226187	0.4339419	0.4733483	0.9223259	0.3457597	0.8951453	0.4124380	0.3577356	0.0000000	0.8968884	0.1983162	0.1267675	0.1374777	0.0558519	0.7568608	1.0141906	0.7513021	0.7067432	0.9708336	0.8520705	0.4091395	0.8190146	0.5797076	0.7596942	0.9742039	0.5091053	0.6283686	0.3681839	0.7494947	0.1403981	0.0417592	0.0116965	0.0215420	1.0180101	0.9751469	0.4741344	0.1878470	0.0750328	0.9271995	0.4522348	0.9186580	0.9332610	0.3301263	0.6133347	0.9366398	0.6516044	0.6693691	0.8708914	0.0541839	0.8917834	0.6526055	0.9283116	0.9236898	0.9675933	0.6985824	0.5430475	0.9458923	0.5432838	0.7333273	0.8858130	0.4526218	0.2280911	0.2160254	0.1099724	1.1333420	0.5454408	0.1911831	0.8489161	0.7743388	0.6983751	0.0118974	0.7541246	0.0602683	0.3766396	1.0535179	0.0619210	1.0234721	1.0063730	0.3304394	0.5626926	0.4174254	0.9635589	0.6854724	0.7912912	0.1645653	0.6786643	0.8246253	0.9835718	1.0339296	0.9120089	0.6751910	0.9986852	0.7474918	0.6105085	1.0567709	0.3960008	1.0111284	0.8230396	1.0049916
