G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6635364	1.0229015	0.3929972	0.6025754	0.7823845	0.3557324	0.9522325	0.4822886	0.1766433	0.2714273	0.7612115	0.0782759	0.1116691	0.2252865	0.0171309	0.7632031	0.7005661	0.9090933	0.4701568	0.6244941	0.8434080	0.1149119	0.8037691	0.5514376	0.6440325	0.9766097	0.4793889	0.5786449	0.4665826	0.6185370	0.2070998	0.0241665	0.0253952	0.0652856	0.9846494	0.9884811	0.4595336	0.1434477	0.3196221	0.8718719	0.7473010	0.9428269	1.0922915	0.5491140	0.6032552	0.9641839	0.6923070	0.6263275	0.8431215	0.1832390	0.5619792	0.6262382	0.9550678	0.9766169	1.0066005	0.8384157	0.3652231	0.7263256	0.4955087	0.7447303	0.2542306	1.0229542	0.6502308	0.5283570	0.0280783	0.9192814	0.4301582	0.0351051	0.9335370	0.8148867	0.6486903	0.0100933	0.5396678	0.0007265	0.8153340	0.6531346	0.0003371	0.7249157	0.7616849	0.1359569	0.7021524	0.5043939	0.8474270	0.7768275	0.6232658	0.1409037	0.6200285	0.4901126	0.9810364	1.0514729	0.8225290	0.2714208	0.9947233	0.8708616	0.6755203	0.9480269	0.1651718	0.7053254	0.7268288	0.9720958
0.5508258	1.0661855	0.3979100	0.5296867	0.9753665	0.2984262	0.8660175	0.2574209	0.5113789	0.1548434	0.6968971	0.1712953	0.0866372	0.1240733	0.0083346	0.6153715	0.8502715	0.9669505	0.4845058	1.0407091	0.8079198	0.1338141	0.4222592	0.3542769	0.5220987	1.0437551	0.6338474	0.6260680	0.5586688	0.9003260	0.2206746	0.0438301	0.0010103	0.0203180	0.9689593	1.0355437	0.7703237	0.0004903	0.0002315	0.7818529	0.4471035	1.0888912	1.0482807	0.2865347	0.6771921	1.1036071	0.8011982	0.9379217	0.5533808	0.0967226	0.8688629	0.7253720	0.8684807	0.5125024	1.0186667	0.8588601	0.3725947	0.7702247	0.7804855	0.7676002	0.7549823	0.4662416	0.2098303	0.1818641	0.2228234	0.5854015	0.4676225	0.4499905	0.8383837	0.2990657	0.3202944	0.0105141	0.1344350	0.0515421	0.3778697	1.0289393	0.0003032	0.6714475	0.7650352	0.4948882	0.2363997	0.9607255	0.7227328	0.6713340	0.4959831	0.3395168	0.3418983	0.7213173	0.4230657	1.0019463	0.8781799	0.6774908	1.0522628	0.8087382	0.6581248	1.0090280	0.1576164	0.9922124	0.7733159	1.0423188
0.6950004	1.0471978	0.3467071	0.4482183	0.7657801	0.4524669	0.7333324	0.3480620	0.0355207	0.2139597	0.8297614	0.1684493	0.1659218	0.2424019	0.0974740	0.7339739	0.7308639	0.9370543	0.7498964	0.8713755	0.9162634	0.0000134	0.6202247	0.2286235	0.5185749	0.7048745	0.3018119	0.6114954	0.2854353	0.5185275	0.0593069	0.0547807	0.0028339	0.0470552	0.9602930	0.9340014	0.7047499	0.0002429	0.0008060	0.6678086	0.6294650	0.6060380	0.6871371	0.3986376	0.4362323	0.9693707	0.6830858	0.8339796	0.8868204	0.0614147	0.5528183	0.6600780	0.9583857	0.7297966	1.0341676	0.5187777	0.5107256	0.9414969	0.3283850	0.4828379	0.2205339	0.6961321	0.5319750	0.2126339	0.0242826	1.0160257	0.3481112	0.1450702	0.8333626	0.5107125	0.3414637	0.0006880	0.1719949	0.0004510	0.4640810	1.0013367	0.0018225	0.7794260	0.8190469	0.1362989	0.3808250	0.5852821	1.0875582	0.6982948	0.7869704	0.1466975	0.6085551	0.8124380	0.3407938	1.0590093	0.9937433	0.5903321	0.9411015	0.8080564	0.6324178	0.9519168	0.3101814	1.0082301	0.8052298	0.9819502
0.5937317	1.0015260	0.2995047	0.3817582	0.8981955	0.4501666	0.8993551	0.2497565	0.6459999	0.2113327	0.6231851	0.2143493	0.0834535	0.2045031	0.0877047	0.6539128	0.6651493	0.9596699	0.5657459	0.8818649	1.0415666	0.4716713	0.6253422	0.1984590	0.4040803	0.9214705	0.5775676	0.2520673	0.3160341	0.8509443	0.4755588	0.0465718	0.0355893	0.0234527	0.9836968	1.0246337	0.7166054	0.1376186	0.3074170	1.0407254	0.8294273	0.8779183	1.0593964	0.6413557	0.6421599	1.0857575	0.8617003	0.8062179	0.9912576	0.0554146	0.6446855	0.6934122	0.8555319	0.7791540	1.0403078	0.6575159	0.3337932	0.9426618	0.0361321	0.5934885	0.2179541	0.7333574	0.6711627	1.0115249	0.2032059	0.5486207	0.6480892	0.3162806	0.9169531	0.5482936	0.3464420	0.0043084	0.2227367	0.0505088	0.5244568	0.9531270	0.0207718	0.5496622	0.6437649	0.1436601	0.5240509	0.6916543	0.8258325	0.6349186	0.7283137	0.0991294	0.6376071	0.1535570	0.5575348	0.2669496	0.8702491	0.4962386	0.6047365	0.9668664	0.6298611	0.8851364	0.4476136	0.9617967	0.8269927	1.0004600
0.5564348	1.0824160	0.8482476	0.7082319	0.7927867	0.2129072	0.9378433	0.3197901	0.4945828	0.1444831	0.6589011	0.1869910	0.1272749	0.1771317	0.0676208	0.7020398	0.8872897	0.5191082	0.3702767	0.8406404	0.8146882	0.4532904	0.5449822	0.4955108	0.7359963	0.8264957	0.4014065	0.5875907	0.2629226	0.7418841	0.1256948	0.0714117	0.0376190	0.0449122	1.0227145	0.8251817	0.4174001	0.1409664	0.1096648	0.8958785	0.7041649	0.9812430	1.0237899	0.5102091	0.6353092	0.9081100	0.5703561	0.6029171	0.7139301	0.3020364	0.8990527	0.6146967	0.8770603	0.9484394	0.9675336	0.6012387	0.4586080	0.8515110	0.4800961	0.4411445	0.3052628	0.9761864	0.5211509	0.5875983	0.0935618	0.9466984	0.4332284	0.3336339	0.8442421	0.5806005	0.4822053	0.0231553	0.5847349	0.0052229	0.9419609	1.0150765	0.2299486	0.7324451	0.7473722	0.1002998	0.6704935	0.4345198	1.0295730	0.7239415	0.7589636	0.1337654	0.6068728	0.4068339	1.0332315	1.0045594	0.9750865	0.8194474	0.9724710	0.9616923	0.9559997	1.0786948	0.4077143	0.9590360	0.8573287	1.0120468
0.7114680	1.0610962	0.4483191	0.4782778	0.9615034	0.3784775	0.9497711	0.3550385	0.1669220	0.1582226	0.8531118	0.2000993	0.1540318	0.1305614	0.0639082	0.7064134	0.9938981	0.9304281	0.7056019	0.9446519	0.8104444	0.7203296	0.5859383	0.1722844	0.7626809	0.5698571	0.3178011	0.8719288	0.6184581	0.4744040	0.2152019	0.1686442	0.0465415	0.0890564	1.0297887	1.0370159	0.4652941	0.0025592	0.0002731	1.0205112	0.3910094	0.9461341	1.0414170	0.3127568	0.6143876	0.7855469	0.5754367	0.5750985	0.7842597	0.0094859	0.7412981	0.5151109	0.8996586	0.7404961	1.0535270	0.6177359	0.6126904	0.6193419	0.6476783	0.6932763	0.9511290	0.4524244	0.1600532	0.2209777	0.0265089	1.1554887	0.4324241	0.1945666	0.8579282	0.6591867	0.5339520	0.0115901	0.6623427	0.0016273	0.1908656	0.8135545	0.7571465	0.9673146	0.9466112	0.4289204	0.2275498	0.7661743	0.9145012	0.5919907	0.6662296	0.6059747	0.4001024	0.6540416	0.9510877	0.7088908	1.1055379	0.6721578	0.9573703	0.6915566	0.8726575	1.0432965	0.4182528	0.8544248	0.8886920	0.9387780
0.0402848	0.8249280	0.3340562	0.4735678	1.0050558	0.3519937	0.9922422	0.5534981	0.2235789	0.2746816	0.6571417	0.2008400	0.1285551	0.1170894	0.0266911	0.6059359	0.8454363	0.5448247	0.1870189	0.8733836	1.0289953	0.6866268	0.8712885	0.0006331	0.6742422	0.9869997	0.6150217	0.4572191	0.3180323	0.5997089	0.6896505	0.0623280	0.0002150	0.0519410	0.9744627	0.7811006	0.3959399	0.0005953	0.0014649	1.0100056	0.7105758	0.9658929	0.9358782	0.4899159	0.7849139	0.9608221	0.8861091	0.5736290	0.9082097	0.5433584	0.7994586	0.6722610	0.9051112	0.7146601	0.9026684	0.7311554	0.5236813	0.8446759	0.1859135	0.4954721	0.1971716	0.8794059	0.6160155	0.4520208	0.1350411	0.7865658	0.5906182	0.1310040	1.0740451	0.8711809	0.4063924	0.0108058	0.8435193	0.0530345	0.3220731	0.8788276	0.0019264	0.5075891	0.6571882	0.0360995	0.3518738	0.6820986	0.9522675	0.6965129	0.7895985	0.4288088	0.3255958	0.2230324	1.0310828	0.7558893	0.9815472	0.5556256	1.0845181	0.9980957	0.6683988	1.0175610	0.1923100	0.9769946	0.8387355	0.8259146
0.5918060	0.9633871	0.7260745	0.7677043	1.0234826	0.3643578	0.5842855	0.1897586	0.0659992	0.3533435	0.4569520	0.1509427	0.1240305	0.1352677	0.0611594	0.9451626	0.7460726	0.5987855	0.3783243	0.5304219	0.8843608	0.8278673	0.4496446	0.1618913	0.3184888	0.9769570	0.5228134	0.4836219	0.4409973	0.7094792	0.3157864	0.0399402	0.0315845	0.0476922	1.0146265	0.9778618	0.8574758	0.0050556	0.0005054	0.5381663	0.9089644	0.8994462	1.0005991	0.7035195	0.6338505	1.0579219	0.9280350	0.9563947	0.8281432	0.2034467	0.7920950	0.5769992	0.8913329	0.9002566	1.0544216	0.4954872	0.3538307	0.8947826	0.2972615	0.4328694	0.2197315	0.7777951	0.6544606	0.6560574	0.1055634	0.6219237	0.5672901	0.1377852	0.9191795	0.4719289	0.2441685	0.0072225	0.0538444	0.0340209	0.7519314	0.9737407	0.0002298	0.6119879	0.6358014	0.1489416	0.4158953	0.3934695	0.9714473	0.5741292	0.7587550	0.3321500	0.3616950	0.5414966	0.3731201	0.9968506	1.0448484	0.5613564	0.8740667	0.7986377	0.7260801	0.9219476	0.3499118	0.4831483	0.7060294	0.5276352
0.6175555	1.0349771	0.6503672	0.4803700	1.0354125	0.2062788	0.9513706	0.2874947	0.3894181	0.3049858	0.5741372	0.1529950	0.1019672	0.1596742	0.0124693	0.8953451	0.7803313	0.9057022	0.4967627	0.5559385	0.9216003	0.1593410	0.7767719	0.6174047	0.6597392	1.0358807	0.6198427	0.2297666	0.4075855	0.9756269	0.1554975	0.0043400	0.0420280	0.0194677	0.9657507	0.9503754	0.4839664	0.1638426	0.1231400	0.6204544	0.7633965	1.0326842	1.0021187	0.4605695	0.5768445	1.0500639	0.8520930	0.6954313	0.9753493	0.4286446	0.8814483	0.8147219	0.9212503	0.9588645	0.9494754	0.7820916	0.4668190	0.7598540	0.1940521	0.5517928	0.3218505	0.8250691	0.5004929	0.4346323	0.0607642	0.9990819	0.6449175	0.1110122	0.9581349	0.6978332	0.4802313	0.0079061	0.6120151	0.0370508	0.4706843	0.9644129	0.0036624	0.4183984	0.5852520	0.2108710	0.7424871	0.4143407	0.9774751	0.6466956	0.7719579	0.2165930	0.6165485	0.6282021	1.0652428	0.9958386	0.9878814	0.7276458	0.7579878	0.7575363	0.5757341	0.8751496	0.3540251	0.8300434	0.6982876	0.7665786
0.5652839	0.9066257	0.1658098	0.3872788	0.6844940	0.3943264	0.9213479	0.2943945	0.3960681	0.2113745	0.8797592	0.1652469	0.1971546	0.3116975	0.0643520	0.2784628	1.0357554	0.7417991	0.6711574	0.7505648	1.0324675	0.7338331	0.5915490	0.5113150	0.8644587	1.0483836	0.5785450	0.1181327	0.1368952	0.6645996	0.1280703	0.0583141	0.0381124	0.0271777	1.0180704	0.9077153	0.4250998	0.1777293	0.2383975	0.7802010	0.5159981	1.0159802	0.9676857	0.4503903	0.6305934	1.0369193	0.9172088	0.5099321	0.9194190	0.1758443	0.7774753	0.6852884	0.9492776	0.7390869	0.9600820	0.4976466	0.5366250	0.9195329	0.6768332	0.5960910	0.4975969	0.9075523	0.4851728	0.8228901	0.2126189	0.6666431	0.6294748	0.1066676	0.8163279	0.7397230	0.7370209	0.0169945	0.6748770	0.0010896	0.6271063	0.6443267	0.0029250	0.8006530	0.9007730	0.2127156	0.4957349	0.6101812	0.7536134	0.7263230	0.5656111	0.2264324	0.4975795	0.7564385	1.0011882	0.5476491	0.8065973	0.2226173	1.0517603	0.8012712	0.6661486	0.9900624	0.5368414	1.0914002	0.8245382	1.0614747
