"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6528003	1.1074187	0.4141517	0.4048581	0.9320796	0.3804809	0.9613510	0.4077537	0.2952494	0.1851615	0.7612862	0.1926665	0.0789888	0.1649343	0.0577156	0.7998750	1.0635110	0.8498479	0.6550870	0.9419007	0.8145110	0.3857788	0.8943046	0.4519279	0.7761433	1.0187107	0.5626887	0.5008810	0.3263376	0.7685605	0.2629109	0.0347434	0.0338424	0.0732149	1.0277480	1.0301748	0.4171313	0.2118700	0.0784158	1.1254081	0.5789257	1.1975696	1.0468602	0.4366678	0.5920678	1.0632581	0.6950670	0.7168212	0.8079085	0.0512944	0.8134152	0.5744115	0.9375696	0.9240472	0.9654172	0.7543014	0.5141563	0.9050866	0.5111863	0.8296692	0.5510890	0.9057649	0.4431775	0.4213376	0.1595282	0.9958255	0.4673953	0.1864300	0.9314666	0.7224908	0.6061940	0.0302421	0.7109268	0.0464392	0.6160032	0.9884328	0.0555419	0.8193537	0.8600100	0.1882277	0.5359191	0.4979228	1.1072956	0.4972503	0.8770346	0.1600736	0.6652209	0.7064475	1.0989278	1.0345727	1.1474973	0.6610427	1.0901866	0.7833432	0.8214398	1.0299240	0.4389661	0.8535547	0.7990892	1.0431017
50	0.6364126	1.0147836	0.3959880	0.4119360	1.0526857	0.2255336	1.0220347	0.5077920	0.5979339	0.2370177	0.6667156	0.1444284	0.1218950	0.1169429	0.0352938	0.7936875	1.0849582	0.7987760	0.4340336	0.9875583	0.8812691	0.3732140	0.7956462	0.3843648	0.7067151	0.9929718	0.5593593	0.5016744	0.4041958	0.7964872	0.3776840	0.0428822	0.0211911	0.0435858	0.9104460	0.9658813	0.5986895	0.1385633	0.0762846	0.9934027	0.5906527	0.7853582	1.0168810	0.4340592	0.6580036	0.7128538	0.7210334	0.6499938	0.9138142	0.0373869	0.7157194	0.5876203	0.9698442	0.8625394	1.0316510	0.5739642	0.4688338	0.8788996	0.4938159	0.7814524	0.4239593	0.6681368	0.3476143	0.3729525	0.1281675	0.8403596	0.5368823	0.1899882	0.9715458	0.7352184	0.5338048	0.0251410	0.4844193	0.0267521	0.4379563	1.0879904	0.3373131	0.7644389	0.9303792	0.1874511	0.5781625	0.3117675	1.1166636	0.3771499	0.8851518	0.2210943	0.5322893	0.7352547	0.9389506	0.9145182	1.0322760	0.6499626	0.9089550	0.7526334	0.7962716	0.7969097	0.4274064	0.7763086	0.7366075	1.1162769
100	0.7455176	1.0180462	0.4373998	0.4485315	1.1040662	0.1077962	0.9531778	0.6724868	0.8418774	0.2420031	0.6386810	0.1158369	0.1215458	0.1290595	0.0345759	0.7056357	0.9355127	0.7441835	0.2185482	0.8916541	0.9104992	0.3481688	0.6909068	0.3912794	0.5698453	0.9969631	0.5650200	0.5525519	0.3751724	0.8510155	0.6486554	0.0596931	0.0284357	0.0537051	1.0491674	0.9997566	0.6521193	0.0405461	0.0373407	1.0816402	0.6302852	0.8037882	0.7785739	0.4865851	0.6240039	0.4224739	0.5614231	0.7358361	0.8176624	0.0565924	0.6920305	0.5193150	0.8903783	0.9151716	1.0411316	0.3036287	0.5737922	0.9190178	0.3684445	0.6421691	0.3356944	0.5217152	0.4217965	0.3868475	0.1451684	0.6697867	0.5433820	0.2228888	0.9504997	0.5774617	0.4413071	0.0168064	0.2852186	0.0500646	0.4751494	1.0475409	0.6309969	0.7101955	0.9866927	0.2445608	0.6143736	0.1948988	1.0043832	0.4537921	0.8618701	0.2141210	0.5218392	0.6981236	0.9401307	0.8298462	0.8913932	0.5915557	0.8744403	0.8257506	0.8071580	0.6109509	0.4686975	0.4947572	0.7679316	1.1879204
150	0.7473187	1.0389587	0.5050075	0.5077387	1.1005527	0.0323595	0.9422292	0.8894049	0.9364807	0.3099851	0.6709384	0.0996463	0.1136376	0.1491417	0.0068732	0.5232639	0.9169942	0.6297653	0.1121053	0.8424292	0.8789585	0.3704673	0.5718144	0.3753757	0.6044463	1.0365121	0.5534981	0.5917976	0.4198861	0.7417613	0.7860454	0.0541092	0.0377977	0.0282476	1.0060361	0.9893229	0.7546525	0.0192494	0.0097034	1.0125341	0.6304018	0.8738146	0.6769455	0.4969094	0.5604712	0.3682841	0.4611642	0.6992919	0.7348120	0.0581143	0.5999867	0.3684328	0.7292335	0.9247796	0.8846080	0.1770539	0.6299411	0.8296130	0.2638743	0.6043068	0.2859662	0.4400393	0.3866695	0.4660958	0.1357926	0.4718160	0.5548886	0.2617893	0.9479174	0.5361425	0.4030563	0.0126771	0.1352947	0.0587568	0.4919900	1.0564298	0.8129381	0.6411769	1.0026732	0.2350137	0.4998025	0.1173643	1.0689520	0.4790715	0.7925821	0.1891684	0.6280866	0.6796866	0.8028959	0.8571386	0.9795389	0.5712485	0.9690878	0.8215208	0.9272048	0.4881481	0.4528488	0.2936581	0.6502834	1.0773104
200	0.7209481	1.0185432	0.5541307	0.4770985	0.9738969	0.0177147	0.9292894	0.9035512	0.8401294	0.2730848	0.6102813	0.0865085	0.1067649	0.1519395	0.0068750	0.4174069	0.8959526	0.5677025	0.0694684	0.8268614	0.8144717	0.3407708	0.5794054	0.3813069	0.4780840	0.9546725	0.5636540	0.5786758	0.4491228	0.7153389	0.8008096	0.0362271	0.0368626	0.0289221	0.9953274	0.9996035	0.7642700	0.0137880	0.0018248	0.8083723	0.6017525	0.7766678	0.7769305	0.4942054	0.5408107	0.3484118	0.4350022	0.7235579	0.5622323	0.0673996	0.4844018	0.2682368	0.6547527	0.8601355	0.9135741	0.0822961	0.7157837	0.8794227	0.2043109	0.5140467	0.2036877	0.4040890	0.4935010	0.5253278	0.2503441	0.3742289	0.5890909	0.2589571	0.8445927	0.6020058	0.3458320	0.0101520	0.1139854	0.0387046	0.4380662	1.0240846	0.8799471	0.6719750	0.8795156	0.2013334	0.5053737	0.0628027	0.9841397	0.4973698	0.7764668	0.1715733	0.7100228	0.7151236	0.5629795	0.9018753	0.9359390	0.5233324	0.9850243	0.8521196	0.9157063	0.4361863	0.5675006	0.2084095	0.5460836	1.1257521
250	0.6373196	1.0109275	0.4991598	0.5669058	1.0053135	0.0114819	0.8597104	0.9192571	0.9058879	0.2976272	0.6344355	0.1084127	0.0777483	0.1552959	0.0081249	0.3486977	0.9266960	0.4715055	0.0339813	0.8481163	0.8799048	0.4229663	0.5640952	0.4564444	0.4869290	0.9817773	0.5305700	0.5094700	0.3752615	0.7316617	0.8525028	0.0695672	0.0441769	0.0250135	1.0335528	1.0254290	0.8313520	0.0053449	0.0017791	0.9433797	0.6919053	0.7592411	0.7103882	0.4352235	0.4502886	0.3648413	0.4031642	0.7678984	0.5240623	0.0796337	0.4134637	0.2234689	0.6397945	0.8773714	0.9574520	0.0361473	0.8173894	1.0153834	0.1566382	0.4211387	0.1930677	0.3899833	0.5560001	0.5131303	0.3083160	0.4219339	0.6325407	0.2647422	0.9010327	0.4949070	0.2955977	0.0044028	0.0452920	0.0334313	0.5702613	0.9854977	0.8690766	0.6276183	0.7542327	0.2283515	0.5015879	0.0757416	0.8881224	0.5697045	0.6445707	0.1899711	0.5373155	0.7435039	0.3374761	0.9101379	0.9289852	0.4998766	1.1240188	0.7879671	1.0281647	0.4921102	0.6361011	0.1990875	0.4040501	1.0298348
300	0.6798445	0.9303240	0.4538069	0.5683015	0.9604795	0.0096350	0.9032552	1.0131044	0.7361070	0.3757410	0.7478076	0.1008408	0.0964148	0.1367169	0.0059984	0.3253288	1.0059212	0.4290631	0.0547109	0.8398863	0.8459373	0.4957070	0.6469225	0.4148402	0.4263176	0.9743890	0.5393179	0.5607632	0.3816410	0.7421440	0.9325466	0.0354135	0.0264389	0.0292662	1.0266998	0.9800879	0.7775509	0.0065838	0.0001778	0.9439853	0.7494313	0.7800786	0.7289519	0.4201261	0.4758590	0.3546377	0.4521383	0.6568158	0.5295173	0.1297646	0.3498889	0.1908653	0.5405990	0.9029349	1.0127907	0.0217602	0.8028015	1.0345572	0.1441387	0.4274027	0.1404460	0.4167103	0.4545349	0.4620942	0.3802211	0.4207911	0.7019030	0.2655611	0.9744399	0.3564690	0.3469785	0.0045886	0.0411521	0.0564308	0.5873031	1.0625053	0.8812620	0.5917620	0.8516527	0.1808039	0.5176956	0.0668301	0.8784789	0.6567043	0.6939493	0.2033614	0.7301719	0.7453949	0.2174277	1.0550182	0.9484667	0.5206659	1.1953360	0.7782253	0.9368404	0.4561704	0.6828929	0.1803286	0.2840922	1.0450074
350	0.7172680	0.9392793	0.4777709	0.6131509	0.9042291	0.0068428	0.7943521	0.9751216	0.7955031	0.3795245	0.7438234	0.1239072	0.1272304	0.1330649	0.0041084	0.2857065	1.0464495	0.4157219	0.0349621	0.8814839	0.8737135	0.4245622	0.6683811	0.4307377	0.4836506	0.9418279	0.5555769	0.5296977	0.3633930	0.7240719	0.9423500	0.0283549	0.0246346	0.0180667	1.0771036	1.0282293	0.7222217	0.0080519	0.0009708	1.0112848	0.6974243	0.6914743	0.6899836	0.4523118	0.4947361	0.3419791	0.3806615	0.7002939	0.4675522	0.1181457	0.3486988	0.1655499	0.5084334	0.7890785	0.8893502	0.0122067	0.8650397	1.0672654	0.1488238	0.4089461	0.1290386	0.4415734	0.4471849	0.4667110	0.4271886	0.3845975	0.6744944	0.2905347	0.9110789	0.3431417	0.3692825	0.0052792	0.0489215	0.0431638	0.5155035	1.1122025	0.9432951	0.5712722	0.9687193	0.1977882	0.5625840	0.0582642	0.8954363	0.6402944	0.6854881	0.1508475	0.6663393	0.7865422	0.0958035	0.9922780	0.9800480	0.6026026	1.0339960	0.8434003	0.8729445	0.4347015	0.7093304	0.1424482	0.2041290	1.0143784
400	0.6678228	1.0387047	0.4646939	0.7080851	0.9410590	0.0097470	0.7447958	0.8796655	0.7806249	0.3275003	0.7664118	0.1046181	0.1096618	0.2165496	0.0075804	0.2611724	0.9845718	0.4115445	0.0480721	0.9179770	0.8141343	0.4196612	0.6164026	0.3712358	0.4538502	1.0780085	0.5069163	0.6713347	0.3623574	0.7520073	0.9760579	0.0407335	0.0268771	0.0099465	1.1105229	1.0832308	0.8132269	0.0009402	0.0003232	0.9502374	0.5596973	0.7676208	0.7308993	0.4757122	0.4694052	0.3142153	0.3777909	0.6610667	0.4222771	0.1043103	0.3720253	0.1657041	0.4944139	0.7996346	0.7749491	0.0049343	0.8361598	0.9439730	0.2282001	0.4757646	0.1101673	0.3668130	0.3697688	0.3788848	0.3937795	0.3198024	0.5856805	0.2432903	0.9079767	0.3241826	0.3056676	0.0127451	0.0403696	0.0301380	0.5245669	0.9885377	0.9002564	0.5295846	0.9972199	0.2117149	0.5537769	0.1066968	0.9200026	0.6506067	0.6733767	0.1835865	0.6429157	0.7004692	0.0882185	1.0490622	0.9258352	0.5381762	0.9709831	0.8519192	0.7863232	0.4229921	0.7774777	0.1195978	0.1917767	1.0803484
