G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9597283	1.0639349	0.6739009	0.7147074	0.9463837	0.4217313	0.9639850	0.8090524	0.7823509	0.2285291	0.6787042	0.2087982	0.1267175	0.1500742	0.0700485	0.1686011	1.0138671	0.3767996	0.7197873	0.9886830	0.8109407	1.0588416	0.9095733	0.9814790	0.9492755	0.9508649	0.5915472	0.4304360	0.9138460	0.7734987	0.2174049	0.0762995	0.0359468	0.0652421	0.9814663	0.9678841	0.0000000	0.1609152	0.1098212	1.0640508	0.5133732	1.0457749	1.1004903	0.4442293	0.7071502	0.0000000	0.0362630	0.1051965	0.2823514	0.2351038	0.4580673	0.0111895	0.0577334	0.6625962	0.9854464	1.0640487	0.9452787	1.0437124	0.5891280	0.5226197	0.7750433	1.0516594	0.3422132	0.8587772	0.1499042	0.9777355	0.5839173	0.4209964	0.0813431	1.1790178	1.0410899	1.0302255	0.9531313	1.1334793	0.6163313	0.3422500	0.8635798	0.8988861	0.9479770	0.2944990	0.4139505	0.6953502	0.9324560	0.5548356	0.7755601	0.2181668	0.5477581	0.6601480	1.0567533	0.9872759	0.9726252	0.5843506	0.9736490	0.8363625	0.8075869	0.8981685	0.4056752	1.0165352	0.9140428	0.8989791
0.6408272	0.0068474	0.2036536	0.3823857	0.0000000	0.9474890	0.0244125	0.0469160	0.0789771	0.0078116	0.9199845	1.0943862	1.0255213	1.0233077	0.9688595	0.6257419	0.6314454	0.8265524	0.9215763	1.0247970	0.8925404	0.0001187	0.8071816	0.4808871	1.0009405	0.9145812	0.5632484	0.5978116	0.3899344	0.7992697	0.2192328	0.0295709	0.0367612	0.0229358	0.9368462	1.0033998	0.3742206	1.0796271	0.9868239	0.9132140	0.4027022	1.0798539	0.8881918	0.2954745	0.6136952	0.9868089	0.6500308	0.6751202	0.9497368	0.0940185	0.8844147	0.6786331	0.9094365	0.9217406	0.9599429	0.6721701	0.4194550	0.4103686	0.6102284	0.6839074	1.0184222	0.5578411	0.1923373	0.2795688	0.1045765	1.1535541	0.4855714	0.2402712	0.7423666	0.8407056	0.6826492	0.0286588	0.8229820	0.0591528	0.2998042	0.9420002	0.0323816	0.9542098	1.0049978	0.5783950	0.4410799	0.5345118	1.1832435	1.0375017	0.0000000	0.9844815	0.8978428	1.1007089	1.0755218	0.9964282	1.0246040	0.6634526	0.9160907	0.7382146	0.7237696	1.0434106	0.4434417	1.0058093	0.8399739	1.0398728
0.6146300	0.0100109	0.1518162	0.1733433	0.0000000	1.0170768	0.0165110	0.0455490	0.4624292	0.1960807	1.1339851	0.7146138	1.0202329	1.0051176	1.0249736	0.5944713	1.0987993	0.9871979	0.9426066	0.9946206	0.8143715	0.6113237	0.7677794	0.4773360	0.7860621	1.0531731	0.5799381	0.6210588	0.3779802	0.7730566	0.2102067	0.0407177	0.0346010	0.0287022	0.9817924	0.9947317	0.4536474	0.1775762	0.1025651	1.0701245	0.5454714	1.0519421	1.0015313	0.5262364	0.6790262	0.0000000	0.2723953	0.4162995	0.2314504	0.2266155	0.3340760	0.0244333	0.0804450	0.7309893	0.9589710	1.0052858	0.9596186	1.0507655	0.2144695	0.4303753	0.3589431	0.8292751	0.4739101	0.4416280	0.1281766	0.9875422	0.5243197	0.2066689	0.8773496	0.8292330	0.6736947	0.0132966	0.6390762	0.0502249	0.4591314	0.9430067	0.0404599	0.8509317	0.9006346	0.1697707	0.3763638	0.7576952	1.0762313	0.6081969	0.8421437	0.2204146	0.5003157	0.7336075	1.0047536	0.9936941	1.1052997	0.5622885	1.1514737	0.7661967	0.8209102	1.0299722	0.4010551	0.9677087	0.8251949	1.1062231
0.7143625	1.0705193	0.4609088	1.0225694	1.0347039	0.3398005	1.0124577	0.3825205	1.0043607	0.1876024	1.0329351	0.4106442	0.9410525	0.2090474	0.0953672	0.1372149	0.2641950	0.0066222	0.7063100	0.8827383	0.8827272	1.0445602	0.7261131	0.4526586	1.0410142	1.0019830	0.6022965	0.7045744	0.3688716	0.7480117	0.2128338	0.0647562	0.0406865	0.0592437	0.9641099	1.0464261	0.3971724	0.9942888	1.0010746	1.0673335	0.5073252	1.0980647	1.0045062	0.4479951	0.5708967	0.0000000	0.2466755	0.3794527	0.2245092	0.2461494	0.3369828	0.0156355	0.0551293	0.7440683	0.9384188	0.9869472	1.0435136	0.9727137	0.2540795	0.3884821	0.3164439	0.8109877	0.4264836	0.3609997	0.0991004	1.0349686	0.4887409	0.2331656	0.8508839	0.7599670	0.6529560	0.0318181	0.7190268	0.0736285	0.5468858	0.9424616	0.0682918	0.7824268	0.8888647	0.1476192	0.4349315	0.6279430	0.9304454	0.9534623	0.0000000	1.0359073	0.8727694	0.9431878	1.0945531	0.9967371	1.0842099	0.5574312	0.9936435	0.8342129	0.7764433	1.0199607	0.4836547	1.0056192	0.7777697	1.0564165
0.9838510	0.9814990	0.7411031	0.4749291	0.8685850	0.3951120	0.9236135	0.8138657	0.3457769	0.1982153	0.7915273	0.1738046	0.1219132	0.1421379	0.0815860	0.7516421	0.8727802	0.8966200	0.7956957	1.0213360	0.8358772	0.3814170	0.9698008	0.6498603	0.9863686	0.9502571	0.5830113	0.3496880	0.9324232	0.7160893	0.2309142	0.0534394	0.0588921	0.0326292	1.0547600	0.9497452	0.0000000	0.1742153	0.0712993	1.0105618	0.4354656	0.9601040	0.9264813	0.5047924	0.7401383	1.0396426	0.4539701	0.3886593	0.9038318	0.0916477	0.9805512	0.6097815	0.9005349	0.9883461	1.2037153	0.7683543	0.5554041	0.9272045	0.8003606	0.7843330	0.9891532	1.0389177	0.0000000	0.9280108	0.1261570	0.9205389	0.5833038	0.4353918	0.0541933	0.9791653	1.0453638	0.8944482	0.9970828	1.0113203	0.4862616	0.2989861	0.7323586	1.0266015	1.0618369	1.0563884	0.6116128	0.4162336	1.0535708	0.6059549	0.7785278	0.1996043	0.5708405	0.7050154	1.0454062	0.9568348	1.1354005	0.7074386	1.0305224	1.0168095	0.8455692	0.9585835	0.4275536	1.0761533	0.8310502	1.0736935
0.7257507	1.0789766	0.4830568	0.6522536	1.0115054	0.3904484	0.9684909	0.4009017	0.7533251	0.1617598	0.7695148	0.1762198	0.1941316	0.1902803	0.0451937	0.1471509	1.0506993	0.3769741	0.6968411	1.0724249	0.7858035	1.0129435	0.8105134	0.4935243	0.6269457	0.9576319	0.5464827	0.5229981	0.2447493	0.7291785	0.2655783	0.0346828	0.0358111	0.0426729	1.1788600	1.0478646	0.4431659	0.1410205	0.0745037	0.9912619	0.3809820	1.0322826	1.0012212	0.5208767	0.6429847	0.0000000	0.2826488	0.4359183	0.2917072	0.2347688	0.5212539	0.0112415	0.0885629	0.7230421	0.9372069	1.0407813	1.0174541	1.1919499	0.1947731	0.4628594	0.7402213	0.9406630	0.0000000	0.4364262	0.1053613	1.0506359	0.5203283	0.2730828	0.9171217	0.6138870	0.6040634	0.0199702	0.5665689	0.0191852	0.4190402	0.9869006	0.0599254	0.9581140	0.9366437	0.9282610	0.3011529	0.7833941	1.0133998	0.5538496	0.8293153	0.2191563	0.5732435	0.7459095	0.9826863	1.0641067	0.9756915	0.5612654	0.9985793	0.8123161	0.7128071	1.0142177	0.4264095	0.9777389	0.7288356	1.0122004
0.6715248	1.0546902	0.3617292	0.3684005	0.9222245	0.3892260	0.8868323	0.3518548	0.3430366	0.2257096	0.6731401	0.1972841	0.1054084	0.1658231	0.0663772	0.7510255	1.0839123	0.8401556	0.6462234	0.9333534	0.7976706	0.4331503	0.7950788	0.4341271	0.6968840	0.9808026	0.5807582	0.7228914	0.2899323	0.7504246	0.2926775	0.0522794	0.0560786	0.0466521	0.9025057	1.0969820	0.4652174	0.1841066	0.0471502	0.9819279	0.4742991	1.0334992	1.0567469	0.5027637	0.6518682	1.0775297	0.7523057	0.6973279	0.8813902	0.0731435	0.7557747	0.6767946	1.0073078	0.9326033	1.0590651	0.6894140	0.4659557	0.9349794	0.4479070	0.7236996	0.6047208	0.9731573	0.4611024	0.0000000	0.1344180	1.0484414	0.4600681	0.2225875	0.8958391	0.6585499	0.5941376	0.0139729	0.5612812	0.0487786	0.4818130	1.0164059	0.0463597	0.7890502	0.8199499	0.2526185	0.5717570	0.4117481	0.9855748	0.5808570	0.8501450	0.3088119	0.5122990	0.6913285	0.9389234	1.0205436	1.0065061	0.6516713	0.0000000	0.0727369	0.0455945	1.0307167	0.4557160	0.9445133	0.9165061	0.9869977
0.9931343	0.9872230	0.8836083	0.4646904	1.0973535	0.3934856	0.9989864	0.7732723	0.3804319	0.2384812	0.6815214	0.1922913	0.1448108	0.1279390	0.0659509	0.7651329	1.0405724	0.8133022	0.6401525	0.9580741	0.7726308	0.4164085	0.9689981	0.6658810	1.0232584	0.9509667	0.5277051	0.5156350	0.9804369	0.7928382	0.1028560	0.0272179	0.0374730	0.0459410	0.8960949	0.9665025	0.0000000	0.1127981	0.0860131	0.9836805	0.4386879	1.0490607	0.9924797	0.0000000	0.5704148	1.0845278	0.4518482	0.3477893	0.8886294	0.0237657	1.0949829	0.7681452	0.9648867	0.9169981	1.0016625	0.7354271	0.4420198	0.9202314	0.8787703	0.8634658	0.9964275	1.0419348	0.0180641	0.6568311	0.1409687	0.9422742	0.6329678	0.4392167	0.0351793	0.9917990	1.0695904	1.0963511	1.0156677	0.9637846	0.5128763	0.2603227	0.7551179	1.0495836	1.0398828	0.9813092	0.5477684	0.4825867	0.9615561	0.5460711	0.7952817	0.1877734	0.6935146	0.7273898	1.0235266	1.0134168	1.0299511	0.5309260	0.9337494	0.9378419	0.8519887	0.9548252	0.4543803	1.0575498	0.8239832	0.9928599
0.0000000	0.0046392	0.0173357	0.2430517	0.0000000	1.0582136	0.0315050	0.0326714	0.0715103	0.0142116	1.0807422	0.7837823	0.9879272	1.0031263	0.9364597	0.9898592	1.1315401	1.0197591	0.9487246	1.0368653	0.8394703	0.0007374	0.8900343	0.4855638	0.7066466	0.9462638	0.6126494	0.6196568	0.4383303	0.6267932	0.1422192	0.0503492	0.0195021	0.0595267	1.0737806	1.0572748	0.4932700	0.1567396	0.0623971	1.0058004	0.4101910	1.0785453	1.0059617	0.3319203	0.5628753	1.0570836	0.6560662	0.6397362	0.9153209	0.0570974	0.8042314	0.6788408	0.8766894	0.9502238	0.9798333	0.8048177	0.6027346	0.8593756	0.5136103	0.5957456	0.9027234	0.6761324	0.2371531	0.3081176	0.1180114	1.0311853	0.5324864	0.2362930	0.8217309	0.7250208	0.6523170	0.0228049	0.6360392	0.0195914	0.3623886	0.9808665	0.0574619	0.9987169	1.0142386	0.3667425	0.5456517	0.4840974	0.9280341	0.6512375	0.6510050	0.1913224	0.6669582	0.6767326	1.0557548	0.9860436	1.0382849	0.5566485	0.9906089	0.8011453	0.7104280	1.1842567	0.3527434	1.0342043	0.8997926	0.9173296
0.6794413	0.9415692	0.4179881	0.4143436	0.9132415	0.3586791	0.9440369	0.3593743	0.3931736	0.2578269	0.7132398	0.1809414	0.1210748	0.1653755	0.0703126	0.6883404	0.8953234	0.7703414	0.7145483	0.9096298	0.8652740	0.3748894	0.8046074	0.5458375	0.6054528	1.0064011	0.4320917	0.5515016	0.3345821	0.7309937	0.2314728	0.0575948	0.0340437	0.0268426	0.9861669	1.0918923	0.5046616	0.1437710	0.0889547	1.0187425	0.5347916	1.0371787	1.0135580	0.4609349	0.6863754	0.9303640	0.6956545	0.7728273	0.9105317	0.1018915	0.8255159	0.6634894	0.9815417	0.7934894	0.6107145	0.7952011	0.5167400	0.9944523	0.4126438	0.7503212	0.4931651	0.9676181	0.4238671	0.4323825	0.1210440	1.0616686	0.4044160	0.2403073	0.8386622	0.7343456	0.5980965	0.0210163	0.6801574	0.0606418	0.5792906	0.9982633	0.0624714	0.8736290	0.8137249	0.2098880	0.4701531	0.0000000	1.1194191	0.5511026	0.7895150	0.1888380	0.5719779	0.6830493	1.0747327	1.0674073	0.9345983	0.5786934	1.0075126	0.9087824	0.7412581	1.0000273	0.4798559	0.9592785	0.0000000	0.9907988
