G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3765653	1.0599691	0.3649752	0.3980194	1.0088588	0.3438216	0.9847852	0.3766717	0.2800469	0.2389232	0.6648531	0.1361914	0.1331447	0.1423163	0.0676669	0.8369556	0.9907526	0.8133981	0.5081978	0.8752374	0.8517055	0.4443228	0.7799477	0.4769751	0.6371500	1.0317773	0.5133943	0.4390635	0.3141942	0.7366552	0.2612684	0.0273680	0.0474729	0.0436346	1.0105170	0.9902320	0.5090410	0.1390507	0.0437310	0.9975932	0.6032983	1.0874450	0.9527295	0.4707619	0.6408749	1.0621606	0.7514598	0.6691103	0.9794106	0.0703585	0.7763051	0.6622569	1.0200534	0.9358248	0.9796545	0.8409946	0.4566355	0.8691838	0.4789964	0.7102982	0.4106512	0.9647981	0.4816190	0.5125644	0.0981093	0.8802986	0.4853646	0.1998311	0.8955880	0.6516224	0.6880943	0.0170151	0.7356922	0.0509033	0.5579784	1.0063479	0.0546238	0.7613920	0.7846942	0.1828836	0.5071509	0.4962882	1.0162077	0.5386956	0.7749414	0.1949661	0.5687430	0.8128973	1.0142451	1.0665686	0.9116235	0.4860787	1.0718274	0.8710132	0.7196105	0.9749180	0.5020030	1.0441028	0.7781729	1.0372681
0.7255624	0.5091320	0.5441859	0.4560005	0.9843493	0.3828748	0.9902777	0.3435059	0.3731330	0.1863113	0.7379416	0.1683745	0.1575680	0.1584920	0.0800755	0.6931179	1.0165477	0.7851789	0.5579118	0.8902534	0.8379372	0.4165872	0.9537123	0.4547191	0.7112690	1.0088854	0.6187726	0.4859260	0.2886863	0.6989935	0.2414158	0.0484188	0.0350843	0.0331838	0.9740968	1.0289189	0.4563222	0.1668119	0.0781510	1.0713292	0.7464172	1.0753025	0.9616000	0.5040504	0.6187268	1.0290836	0.6635448	0.7000277	0.8682810	0.0698233	0.8018340	0.5942040	0.9135754	0.8953373	1.0093751	0.8130473	0.5433943	0.8659004	0.4683177	0.6793731	0.3082083	1.0424528	0.5505797	0.5107716	0.1204436	1.0437837	0.4730798	0.1693036	0.9020797	0.7960597	0.7431354	0.0199429	0.7173215	0.0731486	0.6651275	1.1343937	0.0686350	0.7230519	0.8295251	0.2401308	0.5344646	0.4452806	0.9816592	0.6416843	0.7873594	0.2644668	0.6175579	0.7439667	1.0000672	1.0080038	1.0909933	0.6798618	0.9988314	0.8145776	0.8862779	1.0627684	0.4634416	1.0719700	0.6976681	1.0488018
0.6614645	0.9848016	0.1692183	0.4200771	1.0227796	0.3730845	0.9936355	0.3410949	0.3323446	0.2745771	0.6541216	0.2049872	0.1344100	0.1725060	0.0509569	0.7179284	0.9750531	0.8842506	0.6544105	0.8222258	0.8402508	0.4130446	0.8429730	0.3966980	0.7486404	0.9763806	0.5758151	0.6668655	0.3710739	0.8506180	0.2061257	0.0493028	0.0421432	0.0431803	0.9772518	0.9458795	0.4100599	0.2264687	0.1316097	0.9396116	0.6245770	1.0554246	0.9206019	0.4596891	0.6197585	1.0756586	0.6512673	0.7471902	0.9162361	0.0969466	0.7504646	0.6857469	0.8818252	0.9631950	1.0080845	0.6516575	0.5285466	0.9628775	0.4833218	0.6548957	0.4648522	0.7816758	0.5185023	0.4238128	0.1033790	0.9862313	0.4727498	0.2260122	0.9376280	0.6839849	0.7073156	0.0262485	0.6894513	0.0573618	0.5691876	1.1019704	0.0491960	0.7554779	0.7871909	0.1589176	0.4735140	0.4480996	1.0443573	0.6166058	0.7983158	0.1673262	0.6395593	0.6962870	1.0467636	1.1102327	1.0054172	0.6990954	1.0095550	0.8078132	0.7200821	1.0334857	0.4681382	0.9807530	0.7664055	0.8907709
0.5774252	0.9563529	0.4570597	0.2376900	1.0613343	0.3861046	1.0241845	0.3116625	0.4276092	0.2245365	0.6362321	0.1822396	0.1218015	0.1879471	0.0378092	0.6720585	1.1130259	0.8559487	0.6741626	0.9407032	0.9030981	0.4362655	0.7220141	0.3951174	0.6870648	1.0665129	0.6808224	0.5209600	0.3510305	0.7231943	0.2606581	0.0407659	0.0405571	0.0330026	1.0520182	0.9359023	0.4802150	0.1634325	0.0519295	0.8983302	0.4953167	1.1632749	0.9869248	0.4034136	0.6794385	1.1285646	0.7239533	0.6834356	0.9394885	0.0844977	0.7943922	0.7141245	0.9334414	0.8887826	1.0995679	0.7546737	0.5504669	0.9816497	0.4205237	0.7003117	0.5720992	0.8243917	0.3703913	0.2800025	0.1363144	1.1215628	0.5604907	0.2169682	0.8339920	0.7184906	0.6231855	0.0152756	0.5884873	0.0321745	0.3748471	0.9823053	0.0539723	0.9367953	0.9992265	0.2242095	0.4826806	0.4890001	1.0603672	0.5563732	0.7547746	0.2579937	0.5516579	0.6732016	0.9685474	0.9846583	0.9613597	0.4425350	1.0787802	0.7588280	0.7164544	0.9889354	0.4408335	0.9961583	0.8044272	1.0122910
0.6787023	1.1566324	0.2772384	0.4195321	0.5376347	0.5755390	0.8843502	0.2550810	0.3911300	0.2347711	0.8634378	0.1688208	0.2996893	0.4181790	0.1850048	0.7289205	0.9674913	0.8738448	0.7846635	0.9721416	0.8164456	0.2897065	0.7857926	0.5084617	0.6971190	1.0301803	0.5456778	0.6020967	0.3727517	0.7530588	0.2479039	0.0508368	0.0376793	0.0475201	0.9963117	0.9506869	0.5116412	0.2326752	0.1339343	1.1773545	0.5696824	1.0008346	1.0687011	0.4898042	0.6793465	1.1086529	0.6507106	0.7463122	0.9074154	0.0570039	0.7048783	0.6462881	0.9906598	0.8895775	1.0534294	0.7686052	0.4839202	0.8254460	0.3848284	0.7177897	0.4431995	0.9012655	0.4713432	0.4494735	0.1264324	1.0938121	0.4939002	0.2323816	0.8646864	0.7108271	0.5704857	0.0099928	0.4604537	0.0511142	0.5111727	0.9870518	0.0552334	0.8472635	0.8904311	0.1838159	0.5229005	0.4215115	1.0455986	0.5743639	0.7884017	0.2414732	0.6000061	0.8292921	1.0293794	1.0546283	1.0860458	0.6037565	0.9228601	0.7237757	0.7909242	0.9364873	0.4056217	1.0924100	0.8664202	0.9466964
0.6572207	0.8898711	0.4988597	0.4098028	1.0008619	0.1900435	1.0359833	0.4580538	0.3174134	0.2092559	0.7103913	0.1483327	0.1419044	0.1358841	0.0680391	0.7419462	1.0627964	0.8844209	0.6113331	0.8802987	0.8275975	0.4532116	0.7452543	0.5351296	0.7422388	1.0162075	0.5493918	0.5304762	0.3142678	0.7986664	0.2719577	0.0605980	0.0224585	0.0549905	1.0118306	0.9688731	0.4991295	0.1809391	0.0365894	1.0404308	0.5805610	0.9814169	1.0856763	0.5236983	0.7464821	0.9538528	0.6494909	0.6462482	0.8921450	0.0797285	0.8656623	0.6325374	0.9297497	0.8525310	1.0030332	0.7051075	0.5047900	0.8535480	0.4219609	0.6485804	0.4272965	0.9560990	0.5001147	0.4431729	0.1319325	0.9001420	0.5410929	0.2331019	0.8310976	0.9057421	0.5967427	0.0062671	0.6983660	0.0481081	0.5007567	0.9865022	0.0384271	0.8381912	0.8817586	0.2229063	0.4923479	0.4823800	1.1346499	0.5613760	0.7301227	0.1793358	0.6798465	0.7022854	1.0415158	0.9632503	1.0540051	0.5416405	1.0949354	0.9147202	0.8684494	0.9510435	0.4130530	1.0564413	0.8807219	0.9393580
0.5434123	1.0786136	0.4045809	0.5381140	1.1029040	0.3248612	0.5602237	0.3649559	0.3694351	0.2465075	0.7239717	0.1567280	0.1268135	0.1781242	0.0364175	0.6710853	1.0595821	0.8609987	0.6676503	0.9043705	0.7703313	0.4401703	0.8564907	0.5482605	0.7231667	0.9130600	0.5519547	0.5789917	0.3167123	0.7610546	0.2240525	0.0450723	0.0539602	0.0572281	1.0023077	0.9959624	0.4521354	0.1574467	0.0742094	1.0914711	0.6856346	1.0097785	0.9487170	0.4358333	0.6604224	0.9964769	0.7018622	0.6505304	0.8486784	0.0869794	0.8538250	0.5621818	0.8781249	0.9561653	1.0188361	0.7227425	0.5776964	1.0213180	0.3886789	0.7299302	0.5594244	0.8693979	0.3859466	0.4632222	0.1416005	0.9887710	0.4983925	0.2195819	0.8277800	0.6942027	0.5886863	0.0170178	0.6748820	0.0308849	0.4834648	0.9397244	0.0548793	0.8685330	0.8939007	0.2704171	0.5478921	0.3941644	1.0158345	0.6748709	0.7136528	0.2869385	0.5901077	0.7417894	0.8840944	0.9379020	0.9915020	0.5496720	0.9162249	0.7798221	0.7263255	1.0374037	0.4865649	1.0521357	0.7255943	0.9411610
0.6702321	0.9677697	0.4689935	0.4568216	1.0047285	0.3292115	0.9073964	0.1721609	0.3669164	0.2401192	0.7009391	0.1636123	0.1545820	0.1460795	0.0638931	0.8580132	1.0146141	0.7903421	0.7624879	0.9907401	0.8647592	0.4172079	0.7594024	0.5101178	0.5546349	1.0746737	0.5449562	0.5095482	0.3166096	0.7207469	0.2963140	0.0495456	0.0449202	0.0607875	0.9923421	1.0652427	0.4046618	0.1894312	0.0967924	1.0011378	0.5102050	1.0902008	0.9591087	0.4793111	0.6599866	0.9699278	0.6411680	0.7031851	0.9323558	0.0902150	0.7399576	0.6328224	1.0326568	0.9763123	0.9750500	0.7812788	0.5083490	0.8957914	0.4348288	0.6833969	0.5784409	0.7814493	0.5383201	0.5243952	0.1503426	0.9272866	0.4635080	0.1779125	0.8895846	0.7047944	0.5472487	0.0188883	0.5891948	0.0143488	0.4802958	1.0479325	0.0501564	0.7788649	0.9117667	0.2331606	0.5377571	0.3977800	1.0194607	0.5214386	0.8090360	0.1605340	0.5982572	0.7070172	1.0145242	1.0094111	1.1719490	0.6706077	0.9656217	0.8405872	0.7245478	1.0686426	0.4291517	1.0956423	0.8591808	0.9821537
0.6773788	0.9271003	0.3549522	0.3400726	0.9401081	0.3730508	1.0063439	0.3770949	0.1997755	0.2223731	0.7082350	0.1789505	0.1479212	0.1942476	0.0595750	0.7667939	0.9685225	0.9125709	0.7074580	0.9269612	0.8743957	0.4081888	0.8259578	0.5217935	0.6542338	1.0721782	0.5087281	0.5332682	0.3944268	0.8821286	0.2303322	0.0389324	0.0337471	0.0190606	1.0270376	0.9413883	0.4246416	0.1667093	0.1301047	0.9759493	0.5747568	1.0380984	1.0563228	0.4927490	0.5590964	0.9303310	0.7886043	0.6531777	0.9327750	0.0545270	0.8978604	0.6335420	0.9516349	0.9113294	0.8929237	0.8765058	0.5090074	0.9964978	0.5017842	0.6898783	0.6586072	0.9325197	0.3658558	0.3628299	0.1284342	0.9946126	0.4372475	0.1517128	0.8072391	0.8213144	0.6894188	0.0192283	0.6614952	0.0488571	0.4788719	1.0722657	0.0894171	0.9656471	0.9069364	0.2643469	0.7106739	0.3178305	1.1206411	0.6558522	0.7607556	0.2070524	0.5791261	0.7171135	0.9619309	1.0178693	0.9347851	0.6040845	0.9804184	0.7451726	0.7139159	1.0728857	0.4408236	1.0160518	0.8014155	1.0391142
0.7458924	0.9269857	0.5084685	0.4483905	0.9118812	0.3495073	1.0085932	0.3742857	0.3466727	0.1236379	0.7015571	0.1488653	0.1415875	0.1741260	0.0596075	0.7773365	1.0663478	0.9122268	0.7333163	0.9495822	0.7747835	0.4289027	0.7543973	0.4271129	0.7252120	1.0248514	0.5442595	0.6155166	0.3493599	0.7306666	0.1956799	0.0641923	0.0172824	0.0315617	1.0369944	1.0194085	0.3972169	0.1893762	0.1290443	0.9363058	0.4591659	1.1342970	0.9030866	0.3100267	0.6597315	1.0642756	0.6786002	0.6583330	0.9274465	0.0766462	0.8157542	0.6035876	0.9203996	0.8417618	1.0007056	0.7840594	0.4593704	0.9406105	0.5608893	0.7372091	0.9434895	0.5576087	0.2321399	0.2406445	0.1037669	1.0390494	0.5060099	0.1741672	0.9091779	0.8884374	0.7765704	0.0154161	0.7380393	0.0584332	0.3368299	1.0391072	0.0425700	0.9316232	1.0676510	0.3535323	0.5708640	0.5233303	0.9906119	0.6449221	0.7443744	0.2063723	0.6066600	0.6818200	0.9409423	0.9917282	1.0847305	0.5955879	0.9932054	0.7920078	0.7199559	0.9949363	0.4948913	1.0599935	0.9204902	1.0198819
