G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0054631	0.3019477	0.1556133	0.9704022	0.3803085	1.0043361	0.3410125	0.3873559	0.2455906	0.6434240	0.1452201	0.0977810	0.1510208	0.0605023	0.7309879	1.0965671	0.8247314	0.7118453	0.9376474	0.8490052	0.3750011	0.6787410	0.4476952	0.6425735	1.0460249	0.5496447	0.5530361	0.3570577	0.6972353	0.2381127	0.0258323	0.0236096	0.0577714	0.9961151	0.9827958	0.4505783	0.1521653	0.0697454	1.0571838	0.4610298	1.0079759	0.9964259	0.5168133	0.7411412	0.9326337	0.6897755	0.6574694	0.8797049	0.1370761	0.8188983	0.5986184	0.9410580	0.9376351	1.0434819	0.8270454	0.6214986	0.9262887	0.4277755	0.7536501	0.6100277	0.9449568	0.4696798	0.4240449	0.1442744	0.9617981	0.4261880	0.1993286	0.8458430	0.8696470	0.6360054	0.0314817	0.6799482	0.0365431	0.4901442	0.9767208	0.0565347	0.8628972	0.9689990	0.2282383	0.4686626	0.5573808	1.0986377	0.5177571	0.9330478	0.2024670	0.5929020	0.6955065	1.0540049	1.0768987	0.8857436	0.4306920	1.0455440	0.8773642	0.7672321	1.0551773	0.4913648	0.9917740	0.8124628	0.9632009
0.6751811	0.0000000	0.3575536	0.5459478	1.0305869	0.3805113	0.9701847	0.3543816	0.3023660	0.2002329	0.7143475	0.1968735	0.1508724	0.1623878	0.0426828	0.8141221	0.9670731	0.7910728	0.5838551	0.8966318	0.8565674	0.4507789	0.8290817	0.4875278	0.6762976	0.8911275	0.5847899	0.5699677	0.3166129	0.7059429	0.2360922	0.0266271	0.0512007	0.0356965	0.9832491	1.0015061	0.4335217	0.1719838	0.0892401	1.1619811	0.6667142	0.9870131	1.0568087	0.5411306	0.5510013	1.0032099	0.7139544	0.7266436	0.9157869	0.0572072	0.7834798	0.6597392	0.9782681	1.0065914	1.0393370	0.7222950	0.4923982	0.8223760	0.4868367	0.7597142	0.5400665	0.9616705	0.4424679	0.4777058	0.1316199	1.0367062	0.4799824	0.2276358	0.8769059	0.7592730	0.6754517	0.0116051	0.5510343	0.0451002	0.5131953	1.0047161	0.0412595	0.8480102	0.8871544	0.2406706	0.5825177	0.2947076	0.9617343	0.6603751	0.7826653	0.2373026	0.5283966	0.6861301	0.9945721	1.1480706	1.0543252	0.6004339	1.1195762	0.7837583	0.6540939	1.0457122	0.4736023	0.9753227	0.8475544	1.0833325
0.6611739	0.8980596	0.0000000	0.4489416	1.0768147	0.3301766	0.9631832	0.3708093	0.3274294	0.2179066	0.7072125	0.1782729	0.0914426	0.1373119	0.0857087	0.8362491	1.1100512	0.7852389	0.6162069	1.0155184	0.7553895	0.3669614	0.7836581	0.5547830	0.7621553	1.1153640	0.5673950	0.4752278	0.3141408	0.8060484	0.2155667	0.0394569	0.0352909	0.0687919	1.0343164	0.9956654	0.4758281	0.1721443	0.0358856	1.0597562	0.5564747	0.9617038	1.0430531	0.4674816	0.5959674	1.1151905	0.6142502	0.7188031	0.9865295	0.0630960	0.8584251	0.6156815	0.8941695	0.9196202	0.9293371	0.7287352	0.4697599	0.8369057	0.5291813	0.7034561	0.6075236	0.9579898	0.4312504	0.4815876	0.1222322	1.0395598	0.4762687	0.2450976	0.8352703	0.7578902	0.7019343	0.0220774	0.6776447	0.0303539	0.5131066	1.0817065	0.0558528	0.9047650	0.8735830	0.2018865	0.5526991	0.4600136	1.1274475	0.6356948	0.7331716	0.1964972	0.6331363	0.7823001	0.9710524	1.0732206	0.8986298	0.5791158	0.9793786	0.8457028	0.6960470	0.9716703	0.5291378	0.9814948	0.8636216	0.9609707
0.6301304	1.1056406	0.5023281	0.0000000	0.9261886	0.3215368	0.9831367	0.4409675	0.3092405	0.2856624	0.7673904	0.2060083	0.1084039	0.1597820	0.0810690	0.8277174	0.9614331	0.8446028	0.7084344	0.9216825	0.7754489	0.4557512	0.8254508	0.4317747	0.7336366	0.9347294	0.4975467	0.6169328	0.3115679	0.7142515	0.2422243	0.0624701	0.0291299	0.0483082	1.0582254	0.9763359	0.3727209	0.1539622	0.0646018	0.8887289	0.6597365	1.0122788	1.0179760	0.5024925	0.5816122	1.0273578	0.7104148	0.6698935	0.8456677	0.0542469	0.7894778	0.6849968	0.9096259	0.9249409	0.9743417	0.7012256	0.5447215	0.9576096	0.5584451	0.7162044	0.4093311	0.8985914	0.5633373	0.5324563	0.1312484	1.0167941	0.4570030	0.2435575	0.8377426	0.6597635	0.7016953	0.0301022	0.8169916	0.0335504	0.6078772	0.9391988	0.0632823	0.7270572	0.8348793	0.1756606	0.4580458	0.4472937	1.0612270	0.6753091	0.7477516	0.1795284	0.6022317	0.6411319	0.9482748	1.1167836	1.0268030	0.5001521	0.9257719	0.8465663	0.7852721	0.9388143	0.3632341	1.0077393	0.9343723	0.9677588
0.5830355	0.0030418	0.1050149	0.1818413	0.0000000	0.9536042	0.0395068	0.0370865	0.0630268	0.0141768	1.0714752	0.7259418	0.9924459	0.9754282	1.1125612	0.8376987	0.9664809	0.7978675	1.0159180	1.0262426	0.8415099	0.0020972	0.8496743	0.4286908	0.6517428	0.9198018	0.5083606	0.6215086	0.3017345	0.7420596	0.2283830	0.0595345	0.0404196	0.0352919	0.9636900	1.0366739	0.4245060	0.2576738	0.1218541	1.0511025	0.4228046	1.1130994	0.9273511	0.2924303	0.5376251	1.0848822	0.7057705	0.6279834	0.8592111	0.0495486	0.8624653	0.7147623	1.0143817	0.9826226	0.9924993	0.7192871	0.4615461	0.8903960	0.5975652	0.7318002	0.8314714	0.5636561	0.2364186	0.1984731	0.1328529	0.9483200	0.4808428	0.1889800	0.9617488	0.6798284	0.7225306	0.0243410	0.7167479	0.0403137	0.3917026	1.1124201	0.0331770	0.9226458	1.0474609	0.3452950	0.5364874	0.3722016	0.9329213	0.6023621	0.7865777	0.1693804	0.5461113	0.7408929	0.9963530	1.1318457	0.9402827	0.5671165	0.9726665	0.7616967	0.7277321	0.9198472	0.4668973	1.0012675	0.8927409	0.9424192
0.7476990	1.0386348	0.5162331	0.4453899	1.0229577	0.0000000	0.9958320	0.4555125	0.3938379	0.2587091	0.7958989	0.2179802	0.0870454	0.1529574	0.1033991	0.7685636	1.0854835	0.7022030	0.6316452	0.9110394	0.8301329	0.3564073	0.7902092	0.5241574	0.7029844	1.0578115	0.6497497	0.5418073	0.3153866	0.7447244	0.2437831	0.0558812	0.0310476	0.0300388	1.0169883	0.9654523	0.4420226	0.1967470	0.0611358	1.1341279	0.5780138	1.0559568	0.9432300	0.5175738	0.6705126	0.8955663	0.6582988	0.6950604	1.0269673	0.0575695	0.7159241	0.5887615	0.9538469	0.9904572	0.9572474	0.7894653	0.5823819	0.8712707	0.4998071	0.6471395	0.3760250	0.9396731	0.5543473	0.5274362	0.1069550	0.9540597	0.5160687	0.2225922	0.8637053	0.7393975	0.7125806	0.0242796	0.7829719	0.0591237	0.6283375	0.9738822	0.0474373	0.6968172	0.8417246	0.1825556	0.5526545	0.4444271	1.0568475	0.6719292	0.7488945	0.1668214	0.6198393	0.7421856	0.9719326	1.1366261	1.0308405	0.5503905	1.0236304	0.8390675	0.8682522	1.0935311	0.4211299	0.9431174	0.8602999	0.9964341
0.6305573	1.0430710	0.4042029	0.4137631	1.0064632	0.3667404	0.0000000	0.3873274	0.4215449	0.2708807	0.7287026	0.1755400	0.1547391	0.1617520	0.0604999	0.7828266	1.1102326	0.8239961	0.5939137	0.8673880	0.8886211	0.4024321	0.7809723	0.4935839	0.7539835	1.0726641	0.5811892	0.4639974	0.3227937	0.7925942	0.2606236	0.0218823	0.0461289	0.0733125	1.0451359	0.9850013	0.4695799	0.1860202	0.0511030	0.9849961	0.6552127	1.0385541	0.9967310	0.4796277	0.6390917	0.9153548	0.7067878	0.7243504	0.9156780	0.1071646	0.6745128	0.5529742	0.9439731	0.9814138	0.9255131	0.7673068	0.5399493	0.9593617	0.3688010	0.7570855	0.3303311	0.9992571	0.5784640	0.4748625	0.1927331	1.0305258	0.5535880	0.2544565	0.8511573	0.6289184	0.5962054	0.0113245	0.6102057	0.0546006	0.7116695	0.9688366	0.0322762	0.6766360	0.7999160	0.1501248	0.5695997	0.5517103	1.1017206	0.5579040	0.7531669	0.2333640	0.6279179	0.6508971	1.0234631	1.1136080	0.9015462	0.5809271	1.0642090	0.6971483	0.7994554	0.9757882	0.5103140	1.1239869	0.8110176	0.9970057
0.6617626	1.0263606	0.3579989	0.4786622	0.8899975	0.4060794	0.9307142	0.0000000	0.4021546	0.2233283	0.7774818	0.1930201	0.0948351	0.1654918	0.0662349	0.7589779	1.0189162	0.8291076	0.7005361	0.8391067	0.7914440	0.4164720	0.7934446	0.4577131	0.7549082	0.9934057	0.5653100	0.5065879	0.3553518	0.7703731	0.2532170	0.0616094	0.0461879	0.0360357	1.0812965	1.0535897	0.4615486	0.1806666	0.0797187	0.9661367	0.4727999	1.0217842	0.9834511	0.3575837	0.5971911	1.0759501	0.7125152	0.6123514	0.9600852	0.0590606	0.7523929	0.6374950	0.9027313	0.9453186	0.9978845	0.6933352	0.5853178	0.9297519	0.5442654	0.6675975	0.6946967	0.8303289	0.3993077	0.4147478	0.1291365	1.0377105	0.4765437	0.2538946	0.9409411	0.6092556	0.4917568	0.0324840	0.5891898	0.0403427	0.4322642	1.0035935	0.0624139	0.9578075	0.8545400	0.2260386	0.5909638	0.3476573	0.9226265	0.5425264	0.7188374	0.2775780	0.5385354	0.7292776	1.0221678	1.0441192	1.0407852	0.6240360	1.0889345	0.8868775	0.8038373	1.0156498	0.4039662	0.9891468	0.7656796	0.9888245
0.6915259	0.8494845	0.5566245	0.4094196	1.0340250	0.3461409	0.9724819	0.4096972	0.0000000	0.3148684	0.8330287	0.1855101	0.1209365	0.1734971	0.0643903	0.8878304	0.9345495	0.8828274	0.7738086	0.9797906	0.8274957	0.3871738	0.7521226	0.4826526	0.8000516	0.9833975	0.5591538	0.5461258	0.3992806	0.7745135	0.2105836	0.0288221	0.0350569	0.0857101	1.0228763	0.9497537	0.4663376	0.1702565	0.1170886	1.0163351	0.5635915	0.9933458	0.9360864	0.5003925	0.6445693	1.0137647	0.6320830	0.6174725	0.8512117	0.0490446	0.7122695	0.6137462	0.9190307	1.0039292	1.0179357	0.7026818	0.5196315	0.8720384	0.5025529	0.6936316	0.4899999	0.8873715	0.4777023	0.4305026	0.1084702	1.0114835	0.4367072	0.2278018	0.7352882	0.7985614	0.6429223	0.0165549	0.8487042	0.0397923	0.5084779	1.0410918	0.0268138	0.7633532	0.9548384	0.2138862	0.5937297	0.3442829	1.0402232	0.5836209	0.7990324	0.2095172	0.6836266	0.7502188	1.0531508	1.0359776	0.9968219	0.6473044	0.9481887	0.8941689	0.7305845	0.9690371	0.4757856	1.0297246	0.8877435	0.8980171
0.6458249	0.9738294	0.4380221	0.4060242	1.0121094	0.3517375	0.8936094	0.3991433	0.3681271	0.0000000	0.8495336	0.1713724	0.1430469	0.1339717	0.0713016	0.6813682	1.0228382	0.8862956	0.7318973	0.9317862	0.8741589	0.3704821	0.8882007	0.5795014	0.7499396	1.0272899	0.5266556	0.6633822	0.3093672	0.7325755	0.1870885	0.0477070	0.0263447	0.0338147	1.0306926	1.0079268	0.4487105	0.2020481	0.0949558	0.9105992	0.4652027	0.8936014	1.0025453	0.2939313	0.6095334	0.8915671	0.7060547	0.6679731	0.8397491	0.0738086	0.8465171	0.6778241	0.9517385	0.9293958	1.0868220	0.7614297	0.5445798	0.9502919	0.5445377	0.7036307	0.9987351	0.6020939	0.2204704	0.2610866	0.1166077	1.0491623	0.4968309	0.2154805	0.8654667	0.7624247	0.6299829	0.0123282	0.7550336	0.0742826	0.3825583	1.0047349	0.0838762	0.9074198	1.0241768	0.3389527	0.6366108	0.5042574	1.0279736	0.6093632	0.7156315	0.1918127	0.7939955	0.7987497	1.0309997	0.9640911	1.0507840	0.6089841	1.0599201	0.7996127	0.6745165	1.1019231	0.4574527	0.9464685	0.7792228	1.0352614
