G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6870285	1.0832890	0.3903400	0.6224905	0.7991742	0.3485452	0.8519947	0.4731177	0.1865940	0.2885749	0.7866032	0.0879625	0.1184323	0.2166588	0.0289877	0.7143953	0.6485186	0.9088349	0.5486559	0.5759312	0.8661793	0.0935246	0.8349573	0.5180190	0.6810036	0.9598404	0.4207596	0.6819566	0.4356462	0.6413701	0.1819929	0.0125062	0.0350004	0.0795545	1.0176050	0.9487842	0.4622797	0.1187769	0.3676598	0.9195058	0.6834377	1.0217974	0.9972871	0.5943680	0.6247386	1.0339603	0.6537628	0.6120938	0.9023437	0.1974426	0.6096190	0.6455037	1.0442703	0.9175218	0.9984487	0.7871939	0.3524478	0.7052131	0.4789079	0.7296622	0.2686751	0.9341295	0.6250009	0.4726839	0.0192657	0.9236802	0.4274961	0.0335364	0.9409562	0.8564492	0.6540962	0.0169763	0.6575741	0.0013538	0.8720043	0.6654104	0.0004488	0.7238904	0.8250261	0.1383266	0.7053345	0.5099555	0.8477375	0.7867745	0.5948135	0.1564095	0.6378922	0.5299539	0.9387038	1.0079857	0.8117408	0.2596586	1.0346629	0.8885180	0.6290882	0.9902723	0.1723667	0.7466986	0.6944934	1.0281697
0.5235297	1.0225114	0.3899136	0.5100414	1.0517284	0.3825512	0.8402736	0.2931290	0.5697516	0.1370238	0.6496442	0.1589789	0.0728441	0.1140077	0.0097456	0.6958399	0.8090963	0.9437009	0.4872138	1.0514672	0.8289124	0.1361028	0.5085307	0.3484038	0.4666061	1.0271362	0.5404106	0.5283797	0.5112295	0.8691204	0.1770509	0.0479959	0.0009360	0.0188707	1.0705159	0.9457215	0.7491180	0.0029789	0.0020029	0.7287203	0.5371177	1.0193949	1.0728169	0.3405466	0.6487304	1.0385416	0.8090866	0.9982714	0.5159578	0.0998198	0.8545657	0.6380019	0.8573022	0.4917407	1.0228907	0.8038338	0.3715148	0.7735354	0.7831253	0.7252162	0.8879132	0.4913896	0.1866295	0.2295399	0.1330107	0.5174463	0.4676948	0.3608118	0.8509398	0.3020802	0.2724837	0.0062978	0.1388464	0.0468650	0.4525750	0.9804704	0.0012780	0.6370416	0.7804575	0.3864041	0.2396803	1.0248997	0.7114144	0.6533388	0.6060828	0.3159660	0.3440665	0.7297860	0.3617832	1.0256168	0.9804193	0.6891077	1.0564519	0.7020098	0.6604897	1.0220744	0.1512894	0.9837033	0.7792682	1.1232612
0.7489246	1.0198729	0.3376192	0.4424227	0.7062634	0.4556761	0.7263199	0.3717130	0.0324981	0.2891023	0.7469247	0.1457623	0.1831545	0.2908311	0.1287697	0.7935691	0.7124333	0.9442560	0.8771197	0.8970906	0.8890280	0.0007626	0.5912215	0.2296192	0.5046783	0.7519105	0.3055294	0.5935130	0.2883969	0.4698392	0.0669072	0.0729456	0.0019320	0.0503147	0.9347241	0.9808354	0.6940758	0.0064313	0.0013514	0.6621546	0.6195423	0.6697118	0.7632151	0.3923704	0.3758618	0.9982019	0.7256544	0.8138559	0.8416900	0.0641517	0.5515017	0.6971942	0.8562874	0.7493712	1.0110949	0.5653684	0.5158264	0.8671506	0.3402950	0.5376123	0.2118537	0.5332665	0.5650118	0.1481177	0.0202605	0.9558172	0.3668307	0.1387601	0.8790298	0.4673492	0.3469656	0.0046003	0.1595789	0.0049030	0.4987516	0.8912858	0.0013432	0.7280576	0.7706796	0.1230501	0.3949394	0.5786152	1.0709204	0.6831569	0.7497883	0.1658547	0.7539700	0.7518557	0.3436328	1.0921093	0.9971159	0.5883900	0.9729056	0.7708769	0.6075822	1.0227449	0.3428562	1.0362035	0.8171752	0.9844877
0.5402844	1.0824444	0.3305259	0.3703310	0.8745108	0.4266031	0.9795672	0.2670510	0.6266801	0.1793858	0.6152944	0.2528328	0.0946315	0.2344942	0.0859314	0.7191609	0.6535422	0.9670191	0.5682112	0.8604153	1.0340499	0.5031728	0.6637856	0.2279159	0.5226521	0.8776561	0.5574173	0.2840244	0.2808400	0.9225759	0.4444286	0.0451933	0.0560461	0.0295091	0.9472983	1.0112185	0.7201398	0.1408054	0.3464464	0.9915506	0.7460259	0.8335521	1.0130937	0.6476276	0.6668692	0.9788999	0.9006905	0.7828345	0.9074256	0.0547403	0.5575190	0.8217413	0.9195559	0.7960094	0.9995708	0.7051727	0.3077864	0.9204416	0.0288746	0.5988643	0.1920594	0.7625997	0.6318464	0.9452840	0.2251266	0.6004130	0.7309085	0.3852509	1.0570380	0.5815648	0.3691346	0.0071203	0.1855943	0.0506074	0.5298113	1.0660096	0.0199790	0.5968865	0.7004024	0.1249604	0.5352824	0.7571041	0.8012679	0.5492815	0.6452483	0.0830284	0.6986535	0.1890342	0.6462332	0.2980090	0.8678693	0.4396165	0.6110317	0.9510444	0.6100509	0.9258011	0.4551719	0.9235186	0.8414397	0.9208214
0.5705431	1.1229605	0.8551667	0.7627088	0.7972374	0.1963490	1.0251759	0.3794782	0.4399234	0.1145881	0.5894020	0.1671795	0.1386800	0.1910151	0.0771143	0.6950025	0.9111260	0.5310365	0.3410352	0.8170351	0.7510197	0.4176334	0.5413948	0.4949989	0.7149955	0.9531689	0.4031470	0.5570725	0.3261156	0.7921297	0.1625478	0.0594277	0.0425325	0.0489428	0.9497123	0.9290337	0.3894850	0.2108302	0.1169338	0.8955531	0.7844475	1.0168156	1.0425914	0.5020527	0.6325780	0.8971078	0.5301671	0.7015304	0.7590196	0.2984539	0.9603720	0.6227566	0.9418163	0.9584660	1.0004462	0.6086928	0.4488951	0.8818064	0.4240188	0.4966358	0.2546194	0.9668868	0.5506660	0.6210013	0.0925009	0.9278298	0.4505621	0.3297306	0.8157676	0.5105498	0.4631438	0.0248129	0.6017651	0.0046456	0.8553767	1.0025858	0.2206207	0.7609334	0.8140892	0.0976785	0.6933186	0.4104765	0.9132786	0.7310240	0.6965467	0.1494207	0.5935780	0.3491748	1.0736908	1.1502543	1.0406034	0.8163419	1.0612763	0.9570960	0.9599131	1.1606472	0.3933486	0.9342424	0.8021578	1.0295683
0.7749963	0.9988726	0.5047527	0.4931454	0.8665291	0.3779885	0.9729788	0.3403537	0.1615630	0.1619183	0.7850506	0.1792441	0.1975402	0.1415350	0.0915988	0.7752955	0.9792756	0.8910640	0.6980936	1.0012181	0.8498853	0.7448914	0.6571747	0.1600936	0.7643623	0.6069886	0.2874607	0.8081042	0.5951685	0.3755251	0.2422672	0.1514655	0.0240532	0.0848783	1.0838884	1.0462635	0.4841579	0.0035516	0.0017459	1.0726358	0.3765042	1.0400115	1.0826760	0.3136775	0.5659196	0.7711750	0.6321528	0.6426831	0.9241464	0.0132113	0.7425084	0.5255532	0.9450806	0.7118735	0.9934878	0.5741605	0.5042867	0.6968954	0.6479547	0.7265610	0.9500185	0.4121476	0.1789079	0.1842655	0.0149017	1.0568935	0.4414244	0.1988040	0.8102777	0.6370778	0.5634565	0.0086835	0.7307749	0.0014361	0.2147955	0.7588585	0.6843425	0.9761592	0.9726789	0.4416587	0.2715034	0.8396929	0.9878807	0.5807416	0.7215893	0.4990203	0.3122218	0.6247710	0.9701970	0.6598788	1.0923520	0.5480421	0.9740471	0.6885792	0.8120016	1.1367689	0.4087793	0.7668484	0.8559998	0.9825494
0.0582696	0.9538439	0.3429510	0.5236554	0.9412087	0.3777126	0.8966235	0.5517699	0.2183961	0.2188013	0.6148036	0.2299430	0.1480242	0.1502768	0.0213196	0.6072734	0.8430677	0.5125819	0.1799647	0.8432221	1.0656334	0.6889574	0.7996304	0.0008223	0.7329568	1.0424401	0.7370154	0.5292815	0.3342833	0.5557305	0.7061879	0.0739372	0.0042314	0.0575053	0.9582946	0.8083716	0.4404559	0.0033368	0.0007953	1.0490257	0.6979740	0.9625778	1.0055164	0.4757605	0.7470175	0.9584619	0.8766563	0.5693482	0.8597839	0.5661759	0.8324063	0.7034106	0.9636516	0.7371568	0.9093223	0.7273081	0.5317413	0.8916339	0.1969018	0.5367560	0.2036042	0.8308452	0.6559530	0.4250046	0.1415941	0.7447135	0.6083749	0.1118521	1.0115940	0.9713987	0.4562035	0.0133306	0.7946832	0.0474495	0.3160542	0.9509484	0.0004793	0.6294480	0.6959204	0.0309941	0.2790636	0.6395517	1.0095058	0.7651731	0.7937996	0.4255065	0.3330484	0.2057839	0.9271743	0.8158045	1.0743326	0.4945472	1.0222439	1.0361211	0.6157216	1.0138114	0.2162468	0.9241581	0.8654705	0.7740899
0.6206961	0.9944632	0.6628933	0.7616021	1.0326802	0.3139168	0.5210615	0.1831131	0.1015078	0.3608714	0.4618780	0.1682967	0.1245656	0.1280048	0.0589370	0.8708606	0.6372024	0.6130902	0.4685174	0.5315054	0.8575667	0.7657463	0.4999098	0.1678852	0.2989668	1.0902271	0.4929272	0.4710663	0.3828762	0.6087426	0.3250649	0.0433946	0.0382417	0.0322820	0.9979187	0.8830372	0.8185355	0.0034207	0.0007817	0.5480058	0.8586344	0.9260141	1.0228816	0.6425054	0.6585839	1.0151027	0.8526978	0.9526480	0.8927514	0.2137256	0.7632250	0.5946557	1.0457301	0.8765391	1.0251739	0.5871097	0.3498045	0.9194272	0.3356636	0.4561755	0.1971741	0.7894859	0.6733374	0.6163331	0.1055800	0.6037443	0.5014493	0.1143031	0.9115067	0.4343165	0.2981447	0.0110490	0.0483695	0.0353151	0.7934958	0.8767049	0.0008718	0.6031967	0.6153649	0.1401631	0.5144854	0.3023846	0.9067303	0.6763213	0.7476424	0.2961220	0.3486373	0.5506216	0.4112954	0.9933243	1.0298054	0.4865356	0.9857631	0.8286508	0.6981162	0.9314842	0.3692533	0.4372265	0.7111322	0.5541275
0.7182824	1.0444934	0.5724814	0.5027279	1.0191692	0.2148749	0.9879257	0.2701643	0.3698568	0.3035643	0.5689537	0.1828114	0.0922387	0.1706146	0.0084465	0.9989791	0.8168406	0.8928135	0.4821708	0.6052969	0.9705245	0.1460707	0.8023407	0.6331736	0.7050442	1.0164328	0.6045832	0.2471794	0.3565620	0.9174595	0.1551395	0.0262023	0.0397516	0.0223426	0.8730040	0.9300101	0.4795908	0.1824630	0.1487056	0.5383868	0.6654010	0.9506296	0.9310419	0.4648540	0.5482230	1.0050703	0.9041717	0.6291693	0.9214852	0.3955733	0.9740813	0.8102040	0.9140384	1.0028755	0.9229719	0.7766748	0.4910042	0.6942079	0.1774233	0.5640996	0.3569683	0.8463428	0.5754075	0.4525538	0.0470809	0.9828158	0.6896517	0.0795920	0.9784378	0.6590150	0.5478377	0.0034443	0.5745520	0.0478861	0.4512425	0.9389034	0.0022600	0.4438885	0.6145538	0.1919857	0.6334497	0.3648582	0.9845446	0.6463172	0.7604942	0.2498163	0.5845191	0.6136308	1.0224128	0.9842260	0.9829107	0.7258530	0.7135170	0.8820434	0.5156617	0.9548350	0.2663329	0.8008460	0.6290060	0.7310406
0.4904245	0.9806849	0.1639365	0.3926836	0.7453136	0.4151916	0.9467657	0.2937796	0.4244849	0.1821650	0.8272444	0.1485953	0.2048733	0.3178500	0.0992525	0.2933260	1.0755981	0.6960552	0.7321145	0.6946096	1.0160036	0.7225930	0.6154385	0.4988076	0.8672517	0.9842014	0.5448988	0.1316204	0.1406271	0.7267267	0.1550388	0.0570402	0.0377903	0.0277209	1.0558210	0.9707826	0.3850162	0.1488068	0.2794720	0.7892628	0.4824461	1.0045469	0.9411623	0.4778768	0.5863800	1.0553300	0.9615509	0.5133857	0.9966154	0.1876697	0.7846619	0.7240965	0.8747441	0.7917886	1.0414194	0.5009599	0.5769509	0.8595886	0.6943512	0.6364037	0.5967436	0.9311923	0.4564419	0.8673951	0.1476400	0.5495638	0.6130431	0.1279879	0.9084112	0.7628388	0.7139142	0.0250811	0.7035569	0.0049291	0.5971622	0.6181991	0.0026073	0.7361478	0.9465265	0.2605483	0.5078648	0.5440935	0.7350295	0.7309166	0.7103249	0.1957090	0.5021688	0.7298769	0.9754891	0.5822987	0.8329487	0.2042327	0.9824958	0.8258877	0.6601554	0.8135762	0.5663839	1.0498014	0.8901682	1.1045011
