"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6540227	0.9992524	0.4298210	0.4201106	1.0000000	0.3542693	0.9579771	0.3624167	0.3468699	0.2252618	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563138	0.9030832	0.8284126	0.4052072	0.7834334	0.4737846	0.6872474	1.0000000	0.5357085	0.5577409	0.3178233	0.7283032	0.2376017	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509088	0.1698524	0.0728972	1.0000000	0.5457579	1.0000000	1.0000000	0.4709428	0.6212892	1.0000000	0.6849724	0.6735627	0.8976600	0.0608710	0.7695010	0.6437400	0.9327701	0.9168807	0.9990809	0.7165872	0.5119921	0.8958286	0.4927132	0.6798398	0.5412482	0.8876752	0.4169952	0.4257417	0.1168941	0.9949608	0.4794274	0.2069384	0.8667407	0.7379966	0.6289756	0.0147822	0.6639715	0.0461495	0.5046737	0.9999874	0.0463549	0.8364591	0.8844096	0.2096231	0.5381362	0.4511104	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843264	1.0000000	1.0000000	0.5818468	1.0000000	0.8106025	0.7241400	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
50	0.6559702	0.9992527	0.4299441	0.4342039	1.0000000	0.1084123	0.9575118	0.7794762	0.7197156	0.2382678	0.7061076	0.1082908	0.1195231	0.1514082	0.0250243	0.7239044	0.9999448	0.7395646	0.2664596	0.9031191	0.8835810	0.4052075	0.7535738	0.4122376	0.6609268	1.0000000	0.5357085	0.5579416	0.3506869	0.7283032	0.6337928	0.0409769	0.0329625	0.0292379	0.9967882	1.0000000	0.6395054	0.0540941	0.0553557	1.0000000	0.5456896	0.8147290	0.8023406	0.4633289	0.6029447	0.4982644	0.6655949	0.6878613	0.8488911	0.0368732	0.7528220	0.5966464	0.9025957	0.9070895	0.9984213	0.1722749	0.5478317	0.9076743	0.4409509	0.6508916	0.2885924	0.4313317	0.4162664	0.4167624	0.1219110	0.5569817	0.4876884	0.2097721	0.8843143	0.5767007	0.5829973	0.0128365	0.3727580	0.0460101	0.4986108	0.9999880	0.6199817	0.7085159	0.8844838	0.2097000	0.5376822	0.1604087	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9787859	1.0000000	1.0000000	0.5818468	1.0000000	0.8105159	0.8708560	0.6288933	0.4567079	0.4766477	0.7968236	1.0000000
100	0.6540554	0.9992542	0.4304275	0.4728855	1.0000000	0.0355395	0.9518608	0.9068365	0.8183067	0.2742642	0.7061076	0.0916781	0.1195231	0.1513913	0.0129347	0.6004579	0.9999384	0.6202531	0.1245142	0.9036553	0.8893359	0.4052108	0.6818649	0.3915545	0.5910142	1.0000000	0.5357085	0.5595736	0.3590615	0.7283032	0.7902761	0.0409769	0.0329625	0.0259196	0.9981224	1.0000000	0.7144951	0.0175382	0.0222427	1.0000000	0.5445917	0.7651055	0.7275672	0.4426432	0.5512555	0.3835267	0.5655044	0.7116862	0.6935665	0.0514419	0.6593266	0.4540571	0.7828422	0.8818461	0.9921415	0.0436315	0.6457652	0.9395521	0.3300757	0.5714007	0.2260553	0.3739320	0.4090470	0.3993859	0.1486676	0.4250972	0.5091102	0.2152843	0.9200932	0.4928164	0.4756812	0.0096077	0.2035127	0.0457840	0.4842175	0.9999918	0.8267947	0.6610835	0.8854337	0.2105713	0.5321955	0.0913168	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9344867	1.0000000	1.0000000	0.5818468	1.0000000	0.8097339	0.9011528	0.4845079	0.5499595	0.2736392	0.7131852	1.0000000
150	0.6480823	0.9992528	0.4299257	0.5073134	1.0000000	0.0139397	0.9364528	0.9453016	0.8073388	0.3090253	0.7061076	0.0874348	0.1195231	0.1513842	0.0086447	0.4547720	0.9999305	0.5208542	0.0729467	0.9064019	0.8946417	0.4052224	0.6248820	0.3846576	0.5283058	1.0000000	0.5357085	0.5629237	0.3612226	0.7283032	0.8517088	0.0409769	0.0329625	0.0246416	0.9986191	1.0000000	0.7448906	0.0059941	0.0062577	1.0000000	0.5389398	0.7518142	0.6992808	0.4218173	0.5022140	0.3572883	0.4758969	0.7224931	0.5569173	0.0861728	0.5164383	0.3214056	0.6417972	0.8579336	0.9697985	0.0133527	0.7308115	0.9639347	0.2518686	0.5019382	0.2104421	0.3658120	0.3914759	0.3776374	0.2030613	0.3839805	0.5276232	0.2198423	0.9455366	0.4443979	0.3941010	0.0077881	0.1157351	0.0456614	0.4674539	0.9999957	0.9013577	0.6466166	0.8901647	0.2147826	0.5191502	0.0775527	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.7563143	1.0000000	1.0000000	0.5818468	1.0000000	0.8080231	0.9058060	0.4283324	0.6526248	0.1948921	0.5766911	1.0000000
200	0.6420655	0.9992457	0.4276227	0.5273397	1.0000000	0.0075375	0.9124199	0.9567747	0.7956183	0.3326484	0.7061076	0.0863510	0.1195231	0.1513816	0.0071223	0.3616220	0.9999252	0.4699262	0.0544131	0.9125753	0.9001350	0.4052382	0.5924932	0.3831798	0.4869551	1.0000000	0.5357085	0.5675708	0.3617688	0.7283032	0.8754797	0.0409769	0.0329625	0.0241494	0.9988040	1.0000000	0.7580758	0.0023485	0.0015844	1.0000000	0.5262262	0.7482543	0.6885803	0.4073228	0.4705655	0.3512881	0.4373936	0.7267845	0.4924334	0.1188275	0.4217103	0.2411155	0.5560479	0.8346031	0.9364114	0.0062587	0.7789799	0.9758649	0.2133079	0.4614320	0.2143913	0.3634102	0.3683786	0.3530407	0.2704863	0.3672439	0.5389823	0.2236643	0.9597980	0.4184005	0.3492493	0.0069675	0.0765319	0.0456077	0.4464115	0.9999978	0.9282400	0.6480672	0.9003757	0.2240611	0.5015954	0.0778121	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.4553672	1.0000000	1.0000000	0.5818468	1.0000000	0.8055252	0.9044012	0.4064763	0.7272244	0.1643461	0.4358173	1.0000000
250	0.6376923	0.9992346	0.4242065	0.5367180	1.0000000	0.0056399	0.8853259	0.9601315	0.7999293	0.3462864	0.7061076	0.0860742	0.1195231	0.1513807	0.0065821	0.3157817	0.9999227	0.4494795	0.0479544	0.9212072	0.9041385	0.4052497	0.5762060	0.3841233	0.4627246	1.0000000	0.5357085	0.5728072	0.3618883	0.7283032	0.8844494	0.0409769	0.0329625	0.0239598	0.9988728	1.0000000	0.7644527	0.0011972	0.0004827	1.0000000	0.5085533	0.7473007	0.6845323	0.3993263	0.4537327	0.3499160	0.4250487	0.7291769	0.4693963	0.1424166	0.3779106	0.2007412	0.5194922	0.8113687	0.9010861	0.0045932	0.8011233	0.9807511	0.1975781	0.4417921	0.2299806	0.3615389	0.3467710	0.3311333	0.3317141	0.3535347	0.5449718	0.2267451	0.9672847	0.4052372	0.3271874	0.0066149	0.0597999	0.0455846	0.4223773	0.9999986	0.9379319	0.6571785	0.9139118	0.2373630	0.4818016	0.0817205	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.2358919	1.0000000	1.0000000	0.5818468	1.0000000	0.8025708	0.9014320	0.3979729	0.7708685	0.1524973	0.3292754	1.0000000
300	0.6349452	0.9992228	0.4207320	0.5405977	1.0000000	0.0050774	0.8612817	0.9610794	0.8023912	0.3535396	0.7061076	0.0860035	0.1195231	0.1513804	0.0063905	0.2958273	0.9999217	0.4422374	0.0458524	0.9301181	0.9064283	0.4052556	0.5682566	0.3861435	0.4492562	1.0000000	0.5357085	0.5776823	0.3619018	0.7283032	0.8877119	0.0409769	0.0329625	0.0238868	0.9988984	1.0000000	0.7678423	0.0008337	0.0002471	1.0000000	0.4905464	0.7470454	0.6830010	0.3953631	0.4457252	0.3496022	0.4219788	0.7307777	0.4621197	0.1576956	0.3622410	0.1822579	0.5065207	0.7923436	0.8666356	0.0041951	0.8101799	0.9825818	0.1919421	0.4330018	0.2491227	0.3599230	0.3305539	0.3153611	0.3808656	0.3375750	0.5479028	0.2289741	0.9711627	0.3987274	0.3166117	0.0064616	0.0526103	0.0455743	0.3998514	0.9999990	0.9414261	0.6683965	0.9270644	0.2517496	0.4612532	0.0865264	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.1285715	1.0000000	1.0000000	0.5818468	1.0000000	0.7996672	0.8983773	0.3946645	0.7935023	0.1479011	0.2633005	1.0000000
350	0.6333325	0.9992125	0.4178449	0.5420834	1.0000000	0.0049107	0.8434026	0.9613277	0.8032269	0.3572654	0.7061076	0.0859854	0.1195231	0.1513802	0.0063224	0.2877205	0.9999213	0.4398585	0.0452630	0.9376067	0.9075671	0.4052581	0.5643047	0.3883943	0.4419399	1.0000000	0.5357085	0.5815363	0.3618937	0.7283032	0.8888371	0.0409769	0.0329625	0.0238587	0.9989080	1.0000000	0.7697292	0.0007189	0.0001989	1.0000000	0.4756682	0.7469770	0.6824217	0.3933699	0.4421723	0.3495304	0.4216382	0.7318359	0.4599627	0.1670105	0.3589603	0.1742439	0.5023653	0.7808044	0.8379613	0.0040953	0.8136239	0.9832306	0.1901459	0.4291320	0.2657678	0.3587131	0.3200112	0.3055660	0.4216498	0.3202237	0.5492950	0.2304312	0.9731801	0.3954890	0.3114498	0.0063921	0.0494080	0.0455694	0.3822276	0.9999991	0.9426859	0.6783875	0.9374675	0.2643526	0.4423652	0.0910259	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.0826231	1.0000000	1.0000000	0.5818468	1.0000000	0.7972295	0.8958971	0.3933773	0.8044337	0.1461182	0.2271635	1.0000000
400	0.6324133	0.9992046	0.4157246	0.5426239	1.0000000	0.0048613	0.8316445	0.9613809	0.8034753	0.3591722	0.7061076	0.0859808	0.1195231	0.1513802	0.0062983	0.2845679	0.9999211	0.4391159	0.0451586	0.9430709	0.9080912	0.4052590	0.5622673	0.3903581	0.4379954	1.0000000	0.5357085	0.5842278	0.3618847	0.7283032	0.8891916	0.0409769	0.0329625	0.0238478	0.9989115	1.0000000	0.7707879	0.0006826	0.0001892	1.0000000	0.4649898	0.7469586	0.6822026	0.3922604	0.4406666	0.3495140	0.4219124	0.7325004	0.4593475	0.1724743	0.3600368	0.1708850	0.5011146	0.7761984	0.8188308	0.0040680	0.8148711	0.9834516	0.1896525	0.4273849	0.2777217	0.3578854	0.3137133	0.2999515	0.4588335	0.3029016	0.5499576	0.2313127	0.9742384	0.3938402	0.3088367	0.0063589	0.0479072	0.0455669	0.3701678	0.9999991	0.9431401	0.6858953	0.9446506	0.2737536	0.4276950	0.0944547	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.0637031	1.0000000	1.0000000	0.5818468	1.0000000	0.7954164	0.8941615	0.3928765	0.8094787	0.1454267	0.2088419	1.0000000
