G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9999999	0.9997144	0.7577901	0.6552110	1.0000000	0.3542693	0.9886293	0.8309566	0.8031899	0.2108333	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6626085	0.9192228	0.8284126	0.9964773	1.0000000	0.9514003	0.9999998	1.0000000	0.5357085	0.3928149	0.9263946	0.7283032	0.2295932	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.5119510	1.0000000	1.0000000	0.4467682	0.6212892	0.0000000	0.0293152	0.0717591	0.2401067	0.2253600	0.5194818	0.0109276	0.0520304	0.7441864	0.9233257	1.0000000	1.0000000	1.0000000	0.5274052	0.5349425	0.6256869	1.0000000	0.3836500	0.8612804	0.1168938	0.9949609	0.5738085	0.4432079	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6235036	0.2915479	0.8045804	0.8646373	0.9097935	0.2289426	0.3793619	0.6989204	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8950769	0.8445872	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6709491	0.0031183	0.1595694	0.4251521	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081873	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6462399	0.6399650	0.9212750	0.9964059	1.0000000	0.8253254	0.0000003	0.8081815	0.4873048	1.0000000	1.0000000	0.5357085	0.5968192	0.3229015	0.7283032	0.1886360	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	1.0000000	0.9072047	1.0000000	0.4072424	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649962	0.6437475	0.8976600	0.0486824	0.8477731	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.3736170	0.5664828	0.6910353	0.9479132	0.5924278	0.2202418	0.2338537	0.1168938	0.9949609	0.4728087	0.2060491	0.8361170	0.7610325	0.6731470	0.0177670	0.7483313	0.0463000	0.3398808	0.9999772	0.0463950	0.9658378	0.9845582	0.3927446	0.5381383	0.4511061	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9891910	1.0000000	1.0000000	0.5818468	1.0000000	0.7868347	0.6591008	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710654	0.0031204	0.1597314	0.1890305	0.0000002	1.0000000	0.0251615	0.0438826	0.4268992	0.2252066	1.0000000	0.7112803	0.9999998	0.9999998	0.9999998	0.6462399	0.9999501	0.9433199	0.9720027	1.0000000	0.8253254	0.5690676	0.8083435	0.4748656	0.7279515	1.0000000	0.5357085	0.5540773	0.3229442	0.7283032	0.2374813	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.5451666	1.0000000	1.0000000	0.4707660	0.6212892	0.0000000	0.2262012	0.3836265	0.2401067	0.2439620	0.3366459	0.0109276	0.0520304	0.7440334	0.9233246	1.0000000	1.0000000	1.0000000	0.2575166	0.4414267	0.4320789	0.8882398	0.4165067	0.4382602	0.1168938	0.9949609	0.4727637	0.2060490	0.8359171	0.7611860	0.6734406	0.0177902	0.7488611	0.0463011	0.5101061	0.9999771	0.0463954	0.8369426	0.8848851	0.2099469	0.3791278	0.6992996	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892172	1.0000000	1.0000000	0.5818468	1.0000000	0.8127233	0.7286045	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710654	0.9992947	0.4442959	1.0000000	1.0000000	0.3542693	0.9886293	0.3815678	0.9999996	0.2252067	1.0000000	0.4620507	0.9999998	0.1514214	0.0590937	0.1243557	0.3155143	0.0060010	0.6564279	0.9033675	0.8284126	0.9964773	0.8083435	0.4748658	0.9999995	1.0000000	0.5357085	0.5540775	0.3229442	0.7283032	0.2374813	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.9999999	0.9072032	1.0000000	0.5451658	1.0000000	1.0000000	0.4707664	0.6212892	0.0000000	0.2262012	0.3836265	0.2401067	0.2439621	0.3366461	0.0109276	0.0520304	0.7440334	0.9233246	1.0000000	1.0000000	1.0000000	0.2575166	0.4414267	0.4320799	0.8882401	0.4165069	0.4382605	0.1168938	0.9949609	0.4727637	0.2060490	0.8359171	0.7611860	0.6734406	0.0177902	0.7488611	0.0463011	0.5101055	0.9999771	0.0463954	0.8369432	0.8848856	0.2099471	0.3791278	0.6992996	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9892172	1.0000000	1.0000000	0.5818468	1.0000000	0.8127231	0.7286044	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999961	0.9997142	0.7576428	0.4201106	1.0000000	0.3542693	0.9886282	0.8309547	0.3468699	0.2108341	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839481	1.0000000	0.8284126	0.4052072	1.0000000	0.7271400	0.9999948	1.0000000	0.5357085	0.3926073	0.9263943	0.7283032	0.2297013	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000005	0.1698524	0.0728972	1.0000000	0.3888575	1.0000000	1.0000000	0.4467979	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0554767	0.9910295	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8385295	0.7679524	1.0000000	1.0000000	0.0000000	0.8613962	0.1168938	0.9949609	0.5737407	0.4432046	0.0532007	0.9999999	1.0000000	0.9999999	1.0000000	0.9999998	0.4595218	0.2915486	0.8045488	0.9999998	1.0000000	1.0000000	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8952018	0.8446640	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710654	0.9992947	0.4442959	0.6552110	1.0000000	0.3542693	0.9655060	0.3815678	0.8031899	0.2252067	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243557	0.9999051	0.3891930	0.6839481	1.0000000	0.8284126	0.9964773	0.8083435	0.4890208	0.7279515	1.0000000	0.5357085	0.5540775	0.3229442	0.7283032	0.2374813	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.3888574	1.0000000	1.0000000	0.4707664	0.6212892	0.0000000	0.2262012	0.3836265	0.2401067	0.2439621	0.5194818	0.0109276	0.0520304	0.7440334	0.9233246	1.0000000	1.0000000	1.0000000	0.2575166	0.4414267	0.8017829	0.8882401	0.0000000	0.4382605	0.1168938	0.9949609	0.4727637	0.2060490	0.8359171	0.7611860	0.6734406	0.0177902	0.7488611	0.0463011	0.3102665	0.9999771	0.0463954	1.0000000	1.0000000	1.0000000	0.3791278	0.6992996	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892172	1.0000000	1.0000000	0.5818468	1.0000000	0.8127231	0.7286044	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253002	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563849	0.9032619	0.8284126	0.4052072	0.7834485	0.4738010	0.6872767	1.0000000	0.5357085	0.6184535	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453887	1.0000000	1.0000000	0.4709188	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608567	0.7695916	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928100	0.6798514	0.5421826	0.8875024	0.4167164	0.0000000	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640314	0.0461496	0.5042474	0.9999874	0.0463549	0.8367585	0.8847143	0.2098340	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	0.0000000	0.0545960	0.0729931	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999986	0.9997143	0.7577275	0.4201106	1.0000000	0.3542693	0.9886289	0.8309560	0.3468699	0.2108352	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839473	0.9999623	0.8284126	0.4052072	1.0000000	0.7271410	0.9999977	1.0000000	0.5357085	0.4737531	0.9263945	0.7283032	0.0811678	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000002	0.1698524	0.0728972	1.0000000	0.3888590	1.0000000	1.0000000	0.0000000	0.6212892	1.0000000	0.4679747	0.4109470	0.8976600	0.0119786	0.9910296	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8381321	0.7679524	0.9999993	1.0000000	0.0180023	0.6578091	0.1168938	0.9949609	0.5737807	0.4432068	0.0532005	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.4595256	0.2915481	0.8045691	0.9999577	0.9999962	0.9637115	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8559045	0.7992083	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.0000000	0.0031183	0.0045045	0.1890238	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081873	1.0000000	0.7112803	1.0000000	1.0000000	1.0000000	0.9627615	0.9999501	0.9896656	0.9964059	1.0000000	0.8253254	0.0000003	0.8081815	0.4873048	0.7276685	1.0000000	0.5357085	0.5968192	0.3229015	0.7283032	0.1886360	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173387	0.1698524	0.0728972	1.0000000	0.4072424	1.0000000	1.0000000	0.3286009	0.6212892	1.0000000	0.6649962	0.6437475	0.8976600	0.0486824	0.8477731	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5664828	0.6910353	0.9479132	0.5924278	0.2202418	0.2338537	0.1168938	0.9949609	0.4728087	0.2060491	0.8361170	0.7610325	0.6731470	0.0177670	0.7483313	0.0463000	0.3398808	0.9999772	0.0463950	0.9658378	0.9845582	0.3927446	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9891910	1.0000000	1.0000000	0.5818468	1.0000000	0.7868347	0.6591008	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253001	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563849	0.9032617	0.8284126	0.4052072	0.7834485	0.4738009	0.6872767	1.0000000	0.5357085	0.5578266	0.3178261	0.7283032	0.2375317	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453891	1.0000000	1.0000000	0.4709188	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608567	0.7695915	0.6437400	0.9327701	0.8230113	0.6379586	0.7165872	0.5119921	0.8958286	0.4928099	0.6798514	0.5421817	0.8875024	0.4167165	0.4255519	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042478	0.9999874	0.0463549	0.8367582	0.8847140	0.2098338	0.4539958	0.0000000	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105613	0.7240274	1.0000000	0.4278294	1.0000000	0.0000000	1.0000000
