G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6609140	0.9953459	0.3410144	0.6496447	0.8006675	0.3868704	0.9249840	0.4465546	0.1374942	0.2219141	0.7955294	0.0861443	0.1091133	0.1952660	0.0224759	0.8193731	0.6767714	0.8859648	0.4360078	0.5711754	0.7956704	0.1160631	0.7937385	0.5645849	0.6153261	0.9557154	0.5506423	0.5758735	0.4920241	0.6377658	0.1728106	0.0140363	0.0330799	0.0404525	0.9673604	0.9883224	0.4369848	0.1702633	0.3662286	0.8729516	0.7133270	1.0000000	1.0000000	0.4980737	0.6462503	1.0000000	0.7382898	0.5897702	0.8977203	0.1744248	0.5741374	0.6328126	0.9332511	0.9535765	0.9989807	0.7736843	0.3720436	0.7547847	0.4969774	0.7158532	0.2750192	0.9124033	0.5538285	0.4570608	0.0268230	0.9999325	0.4201287	0.0215552	0.9420870	0.7475163	0.6472132	0.0159026	0.5036369	0.0006453	0.7867745	0.6212744	0.0000793	0.7064069	0.7501392	0.1546533	0.6677173	0.4039654	0.8201869	0.6881766	0.6525772	0.1405419	0.6276431	0.5172983	0.9771920	1.0000000	0.8149971	0.3261972	1.0000000	0.8141180	0.6623449	1.0000000	0.1821496	0.7984500	0.7480944	1.0000000
0.5509034	0.9990411	0.3593074	0.5658961	1.0000000	0.3542693	0.9464843	0.2134460	0.4815496	0.1449155	0.8341819	0.2063368	0.1385964	0.1295436	0.0052160	0.5416864	0.8551386	0.8461314	0.4620901	0.9913224	0.7960912	0.1266002	0.4938430	0.3358622	0.6262232	1.0000000	0.6226360	0.6038648	0.5516182	0.8624749	0.1885614	0.0409769	0.0005623	0.0292021	0.9637398	1.0000000	0.7208837	0.0015783	0.0000005	0.6935614	0.4934186	1.0000000	1.0000000	0.3002330	0.6185425	1.0000000	0.7710750	0.8749027	0.5374348	0.1304252	0.8625439	0.7617208	0.8807396	0.4740707	0.9999256	0.7628456	0.3965921	0.7203494	0.7566356	0.7643055	0.7978190	0.4039341	0.1659516	0.1450969	0.2089615	0.5809736	0.4907265	0.4080650	0.9070257	0.3386873	0.3433424	0.0067548	0.1533962	0.0456081	0.3909678	0.9542321	0.0000086	0.6541258	0.7157351	0.4936073	0.2357940	0.9568727	0.6780760	0.7760262	0.5335405	0.3525612	0.3906560	0.7560023	0.5082453	1.0000000	0.9547179	0.6681163	1.0000000	0.7273902	0.5895197	1.0000000	0.1834188	0.9427334	0.7915725	1.0000000
0.7358582	0.9986292	0.3934402	0.4108785	0.7535442	0.4618326	0.7883744	0.3580221	0.0370362	0.2165754	0.7580692	0.1608084	0.1650335	0.2096062	0.0573602	0.7240356	0.7147745	0.9191871	0.7015796	0.8641405	0.8620825	0.0000002	0.6490020	0.2464214	0.5110220	0.6474440	0.3070182	0.6303832	0.2543232	0.4240066	0.0508226	0.0826610	0.0028842	0.0506277	0.9828773	0.8861381	0.6356480	0.0008103	0.0000001	0.6250502	0.5366637	0.6139788	0.7004618	0.3294414	0.4604314	0.9603781	0.7328684	0.8242062	0.8878745	0.0620690	0.5504096	0.6129744	0.9231393	0.8135782	0.9915934	0.5188897	0.5252119	0.8997260	0.3508807	0.5016830	0.2557472	0.5836007	0.4915461	0.1943369	0.0228431	0.9999579	0.3191761	0.1362805	0.7896333	0.6204818	0.3395669	0.0016032	0.2507073	0.0002918	0.4532305	1.0000000	0.0000002	0.7674817	0.8163142	0.1223513	0.3866927	0.5976022	1.0000000	0.6571401	0.7588846	0.1514259	0.5935381	0.7057125	0.7100827	1.0000000	1.0000000	0.6903605	0.9641929	0.7296366	0.5561939	1.0000000	0.3175268	1.0000000	0.8849647	0.9815204
0.5941036	0.9982079	0.2991873	0.3653296	0.8197248	0.4286358	0.8369061	0.2156162	0.6340821	0.2427783	0.6368222	0.1871637	0.0863842	0.1900821	0.0695067	0.6792300	0.6454341	0.9120016	0.5273703	0.7624161	0.9999997	0.3988122	0.5382967	0.2251646	0.4119049	0.8875036	0.5563886	0.2705736	0.2789731	0.9073595	0.4849886	0.0505888	0.0333223	0.0299073	0.9613109	1.0000000	0.6873491	0.1288771	0.3264256	1.0000000	0.8468092	0.8869491	1.0000000	0.6873705	0.6185425	1.0000000	0.9105942	0.8192017	0.8977588	0.0491589	0.6008853	0.6328125	0.9556309	0.7350957	0.9916943	0.7207091	0.3236277	0.8869520	0.0248896	0.5797495	0.1690879	0.7749790	0.7385834	0.9765291	0.2305127	0.5431704	0.6327477	0.3572648	0.9238394	0.5356390	0.3240399	0.0016874	0.1854217	0.0456425	0.5710466	1.0000000	0.0079639	0.5309487	0.5409418	0.1138966	0.4452137	0.7111271	0.7609565	0.6205603	0.6937583	0.1363953	0.6138292	0.1779041	0.5013412	0.2584526	0.8159185	0.5501064	0.5963203	0.9538043	0.6074699	0.9537720	0.4489151	1.0000000	0.8055238	1.0000000
0.5705586	0.9976527	0.7834893	0.6827458	0.7307779	0.2487821	0.9362576	0.3060949	0.4030422	0.1157113	0.6528413	0.1738254	0.1503851	0.2173231	0.0793663	0.7011765	0.8706272	0.5076360	0.3878060	0.8361609	0.7954895	0.4078423	0.5251636	0.5016684	0.7247130	0.8677099	0.4242172	0.5682206	0.2802869	0.7655929	0.1574068	0.0529599	0.0334111	0.0467278	0.9936559	1.0000000	0.4199766	0.1698556	0.0727847	0.9038458	0.6789777	1.0000000	1.0000000	0.5839810	0.6185425	0.9765317	0.6315717	0.5718223	0.7740772	0.2637547	0.9133772	0.6212131	0.8768584	0.9431208	0.9907220	0.5492082	0.4560021	0.8980483	0.4366050	0.4852342	0.3101784	0.9582716	0.5417213	0.6098853	0.0763027	0.9765853	0.4303820	0.3436050	0.8755856	0.5932908	0.4631379	0.0174940	0.5425111	0.0008532	0.9373430	0.9999783	0.2127951	0.7183612	0.7333103	0.0856008	0.6124200	0.4170581	1.0000000	0.6888974	0.7588846	0.1154307	0.5907849	0.3540736	0.9736207	1.0000000	1.0000000	0.5799302	1.0000000	0.9999777	0.9276206	1.0000000	0.4278294	1.0000000	0.8055238	0.9932277
0.6866613	0.9995941	0.4307276	0.4868752	0.9403761	0.3765251	0.9358031	0.3243404	0.1275558	0.1638893	0.7479798	0.1862498	0.1382357	0.0947366	0.0616273	0.7203959	0.9999738	0.9342642	0.6958807	0.9865700	0.7963016	0.7376793	0.6629703	0.1775211	0.7283570	0.5311097	0.2382995	0.8787257	0.6221514	0.3903023	0.2034334	0.1900965	0.0394411	0.1002008	0.9784093	0.9904150	0.4327870	0.0008661	0.0000001	0.9646912	0.4076536	0.8933292	1.0000000	0.3158171	0.6354208	0.7771624	0.5632592	0.5583223	0.8238263	0.0075242	0.6877813	0.5039253	0.8278076	0.6774712	0.9997555	0.5780697	0.5944371	0.5995886	0.6488201	0.6545259	0.9065286	0.4644756	0.1857113	0.2053840	0.0248647	0.9999460	0.4677260	0.1867964	0.8342462	0.5811811	0.5901220	0.0162686	0.7104154	0.0008441	0.2270397	0.7316515	0.7049355	0.9781056	0.9558353	0.3968817	0.2585582	0.7873303	0.8872276	0.6169146	0.6974259	0.4709754	0.3563604	0.6624859	0.9502322	0.7225109	1.0000000	0.5339580	1.0000000	0.7302881	0.8544452	0.9658466	0.4432748	0.7939469	0.8122932	1.0000000
0.0519289	0.8064434	0.3116142	0.4492270	0.9975855	0.3551301	0.9313773	0.5237838	0.1781916	0.2533907	0.6716570	0.1735462	0.1199559	0.1048446	0.0093616	0.7030493	0.8157057	0.5386477	0.2023434	0.7868832	0.9628880	0.6995396	0.8139825	0.0000000	0.6815413	1.0000000	0.7046469	0.4464237	0.2828992	0.6596300	0.7605779	0.0409769	0.0005016	0.0378535	0.9949752	0.7650268	0.4091914	0.0007566	0.0000001	1.0000000	0.6989987	1.0000000	1.0000000	0.4831270	0.6978879	1.0000000	0.8450813	0.5643370	0.8976600	0.5420191	0.7654721	0.6328125	0.9385846	0.7051625	0.9997806	0.6913558	0.5119921	0.8956921	0.1819039	0.5051056	0.2264777	0.9003934	0.6268140	0.4546634	0.1381780	0.8139315	0.6204131	0.1271992	0.9597134	0.8793850	0.4065588	0.0111278	0.7674891	0.0463423	0.3395757	0.9303339	0.0000314	0.5395598	0.6669154	0.0340344	0.2843477	0.7039447	1.0000000	0.7670969	0.7588846	0.3834294	0.4067783	0.1950694	0.9901202	0.7829787	0.9565585	0.4704093	1.0000000	0.9999848	0.6921029	0.9985821	0.2535494	1.0000000	0.8055238	0.7371572
0.5639162	0.9958358	0.6970450	0.7049074	1.0000000	0.3263907	0.5915858	0.1927004	0.0601819	0.3557523	0.4408163	0.1735448	0.1197084	0.1514214	0.0590937	0.8587539	0.6501012	0.6502791	0.4718161	0.5213293	0.8621269	0.7826213	0.4744084	0.1779932	0.3257677	1.0000000	0.4843653	0.4819440	0.4027117	0.6596300	0.3161588	0.0409769	0.0329625	0.0378535	0.9947240	0.9498734	0.8025075	0.0008097	0.0000001	0.5080137	0.8645784	0.8649562	0.9746837	0.7250982	0.6304899	1.0000000	0.9163198	0.8759779	0.8976600	0.1785136	0.7512093	0.6328125	0.9499597	0.9454588	0.9874461	0.4949976	0.3486012	0.8956921	0.2903057	0.3846344	0.1964172	0.8208972	0.6737863	0.6400156	0.0985638	0.6088665	0.5744824	0.1348904	0.9403706	0.5307514	0.2650231	0.0061205	0.0570353	0.0455418	0.8040791	0.9921229	0.0000067	0.5898902	0.6131355	0.1254310	0.5035965	0.3105128	1.0000000	0.6622513	0.7588846	0.2614295	0.3835876	0.5392015	0.3988776	1.0000000	1.0000000	0.5339580	0.9278677	0.7976324	0.6923509	0.9042130	0.3988815	0.4576932	0.6221244	0.5049106
0.6546700	0.9961357	0.6152405	0.4909455	1.0000000	0.2075655	0.9688294	0.3192516	0.3682262	0.2633545	0.5553194	0.1701281	0.1134345	0.1513802	0.0081030	0.9409301	0.8292167	0.8567320	0.5199025	0.5404447	0.9999998	0.1407809	0.7844111	0.6266603	0.6838926	1.0000000	0.5552555	0.2332156	0.4173087	0.8582595	0.1647542	0.0089930	0.0329625	0.0294062	0.9948578	0.9687911	0.4496132	0.1698052	0.1195837	0.6188277	0.7281268	1.0000000	1.0000000	0.4970457	0.6185425	1.0000000	0.8764403	0.7179172	0.8805051	0.4099862	0.9017357	0.7653959	0.9480875	0.9453714	0.9905985	0.7165872	0.5119921	0.7366276	0.1924952	0.5726322	0.2906207	0.8185306	0.5142878	0.4518082	0.0438309	0.9997150	0.6679177	0.0889890	0.8913062	0.6853781	0.4635486	0.0148822	0.6674237	0.0461548	0.4597983	0.9999871	0.0000668	0.3915424	0.5912690	0.1675090	0.6971252	0.4141970	1.0000000	0.6194116	0.7767114	0.2020298	0.5882923	0.6348566	0.9885631	0.9724607	0.9017310	0.6989551	0.7037604	0.7604333	0.5734790	0.9177494	0.3277955	0.8307529	0.7590309	0.7659693
0.5387349	0.9919768	0.1732399	0.4040214	0.6494396	0.3481371	0.9506551	0.2904331	0.4249156	0.2318122	0.8527921	0.1595848	0.2148767	0.2493917	0.0939832	0.2233007	0.9999303	0.6934530	0.7649160	0.7781908	0.9999991	0.6853212	0.5591059	0.5093308	0.7862016	1.0000000	0.5848580	0.1266346	0.1008309	0.6880703	0.1438612	0.0409769	0.0329625	0.0181432	0.9934129	0.9163734	0.4174919	0.1706367	0.2897966	0.8166670	0.4003139	1.0000000	0.9211347	0.4328428	0.6284780	0.9302371	0.9045694	0.5641410	0.8797818	0.2173652	0.7533865	0.6193965	0.8682735	0.7645794	0.9998326	0.5361609	0.5356626	0.8787594	0.6003070	0.6301922	0.5864520	0.8410537	0.3466286	0.6907567	0.1946885	0.6106852	0.6154853	0.1473914	0.8594674	0.7602498	0.6729115	0.0105881	0.5918614	0.0009240	0.5684996	0.5662454	0.0000276	0.7765690	0.9337177	0.2542113	0.4746491	0.6691921	0.7399042	0.8025465	0.5894989	0.2278849	0.5743351	0.7969456	0.9817027	0.5209332	0.7334802	0.1563499	1.0000000	0.8081174	0.7349664	1.0000000	0.4278294	1.0000000	0.8475326	1.0000000
