"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6540198	0.9992524	0.4298297	0.4201106	1.0000000	0.3542693	0.9579786	0.3624126	0.3468699	0.2252728	0.7061077	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563327	0.9031544	0.8284126	0.4052072	0.7834262	0.4737991	0.6872430	1.0000000	0.5357085	0.5577493	0.3178225	0.7283032	0.2376104	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509180	0.1698524	0.0728972	1.0000000	0.5455387	1.0000000	1.0000000	0.4710318	0.6212892	1.0000000	0.6849766	0.6735702	0.8976600	0.0608821	0.7695363	0.6437400	0.9327701	0.9168801	0.9990809	0.7165868	0.5119921	0.8958286	0.4927080	0.6798383	0.5414491	0.8877652	0.4170716	0.4258241	0.1168944	0.9949602	0.4794359	0.2069423	0.8667427	0.7379937	0.6289682	0.0147816	0.6639527	0.0461495	0.5046389	0.9999874	0.0463550	0.8365629	0.8844550	0.2096202	0.5381445	0.4510997	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843279	1.0000000	1.0000000	0.5818468	1.0000000	0.8105771	0.7241028	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
50	0.6546469	0.9992525	0.4298486	0.4259130	1.0000000	0.2349712	0.9578560	0.5450131	0.6082114	0.2289287	0.7061077	0.1438433	0.1195231	0.1514157	0.0388940	0.7456736	0.9999458	0.7987296	0.4479604	0.9031149	0.8709984	0.4052073	0.7749777	0.4314161	0.6798398	1.0000000	0.5357085	0.5577997	0.3374246	0.7283032	0.3965174	0.0409769	0.0329625	0.0311579	0.9950641	1.0000000	0.5423514	0.1200115	0.0676232	1.0000000	0.5456619	0.8399721	0.8972324	0.4689372	0.6166424	0.7270927	0.6789513	0.6773169	0.8837321	0.0473545	0.7652955	0.6321738	0.9252799	0.9145713	0.9989197	0.5244085	0.5198797	0.8992539	0.4724780	0.6720573	0.4161910	0.6789916	0.4168007	0.4229192	0.1183334	0.8178462	0.4811603	0.2077486	0.8716762	0.6186112	0.6082576	0.0141564	0.5058102	0.0461101	0.5025248	0.9999875	0.2712262	0.7719394	0.8844463	0.2096570	0.5380751	0.3240539	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9828825	1.0000000	1.0000000	0.5818468	1.0000000	0.8105779	0.7854531	0.8451925	0.4356088	0.7789830	0.8099686	1.0000000
100	0.6550847	0.9992534	0.4301086	0.4550900	1.0000000	0.1109295	0.9551609	0.7523274	0.7707995	0.2501489	0.7061076	0.1130431	0.1195231	0.1513992	0.0202638	0.6897681	0.9999423	0.7137974	0.2326707	0.9032700	0.8861752	0.4052085	0.7302611	0.3999232	0.6375843	1.0000000	0.5357085	0.5586470	0.3532219	0.7283032	0.6051973	0.0409769	0.0329625	0.0267229	0.9970539	1.0000000	0.6484534	0.0621671	0.0437980	1.0000000	0.5454041	0.7720875	0.7867456	0.4571544	0.5883684	0.4927058	0.6189915	0.6937939	0.7941307	0.0441932	0.7238852	0.5567373	0.8670592	0.9009152	0.9965708	0.2946088	0.5687941	0.9190268	0.3852238	0.6255569	0.2961897	0.4985111	0.4134595	0.4112233	0.1316513	0.6072700	0.4916584	0.2114173	0.8950667	0.5181520	0.5194563	0.0116821	0.3088461	0.0459486	0.4924048	0.9999892	0.5607064	0.7011349	0.8848112	0.2100421	0.5364410	0.1902904	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9650816	1.0000000	1.0000000	0.5818468	1.0000000	0.8102844	0.8495809	0.6477384	0.4867460	0.4995285	0.7631142	1.0000000
150	0.6524337	0.9992537	0.4302185	0.4915796	1.0000000	0.0476219	0.9449959	0.8690347	0.8120458	0.2823062	0.7061076	0.0971364	0.1195231	0.1513881	0.0116633	0.5759555	0.9999356	0.6102907	0.1220113	0.9044833	0.8922106	0.4052144	0.6711031	0.3875757	0.5770217	1.0000000	0.5357085	0.5610590	0.3592629	0.7283032	0.7436739	0.0409769	0.0329625	0.0249531	0.9981157	1.0000000	0.7105338	0.0286898	0.0204251	1.0000000	0.5431568	0.7536863	0.7273797	0.4387426	0.5442017	0.3963795	0.5243770	0.7100282	0.6579292	0.0651936	0.6195030	0.4365843	0.7532461	0.8802378	0.9851057	0.1525047	0.6450637	0.9452858	0.2934253	0.5579718	0.2391404	0.4173143	0.4018223	0.3936757	0.1681250	0.4809935	0.5078995	0.2159788	0.9232309	0.4588915	0.4269514	0.0092718	0.1765647	0.0457845	0.4777573	0.9999926	0.7489429	0.6638595	0.8873098	0.2124903	0.5300728	0.1214483	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.8770098	1.0000000	1.0000000	0.5818468	1.0000000	0.8093032	0.8827181	0.5207488	0.5742834	0.3215338	0.6592646	1.0000000
200	0.6475901	0.9992498	0.4292118	0.5178824	1.0000000	0.0209138	0.9257069	0.9233529	0.7984883	0.3117200	0.7061076	0.0902955	0.1195231	0.1513832	0.0082660	0.4602579	0.9999291	0.5288562	0.0743897	0.9081542	0.8978435	0.4052266	0.6240649	0.3837980	0.5239887	1.0000000	0.5357085	0.5649521	0.3611855	0.7283032	0.8196721	0.0409769	0.0329625	0.0242694	0.9985905	1.0000000	0.7414922	0.0126232	0.0078729	1.0000000	0.5361780	0.7487557	0.7006113	0.4210801	0.5034180	0.3637365	0.4618545	0.7198902	0.5536656	0.0963738	0.5059952	0.3282392	0.6416264	0.8579176	0.9606008	0.0771414	0.7138630	0.9645091	0.2355241	0.5011068	0.2198338	0.3842982	0.3822808	0.3716169	0.2254440	0.4162334	0.5230974	0.2202244	0.9447583	0.4261038	0.3676651	0.0077787	0.1062962	0.0456782	0.4593721	0.9999956	0.8505598	0.6511490	0.8943197	0.2192001	0.5182763	0.0934935	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.6601289	1.0000000	1.0000000	0.5818468	1.0000000	0.8075227	0.8962477	0.4530011	0.6616030	0.2274880	0.5244037	1.0000000
250	0.6425833	0.9992413	0.4268494	0.5321199	1.0000000	0.0106201	0.9004540	0.9464258	0.7984941	0.3326558	0.7061076	0.0875884	0.1195231	0.1513813	0.0070006	0.3779237	0.9999249	0.4807314	0.0555659	0.9146693	0.9024996	0.4052399	0.5945340	0.3837106	0.4868258	1.0000000	0.5357085	0.5698321	0.3617337	0.7283032	0.8576109	0.0409769	0.0329625	0.0240060	0.9987869	1.0000000	0.7564025	0.0055645	0.0027892	1.0000000	0.5235420	0.7474350	0.6894274	0.4082753	0.4746879	0.3536344	0.4343217	0.7253142	0.4980985	0.1245755	0.4276490	0.2544812	0.5681668	0.8348670	0.9288550	0.0394413	0.7608643	0.9750949	0.2073408	0.4647735	0.2221267	0.3706007	0.3602890	0.3485950	0.2883101	0.3820080	0.5342565	0.2238866	0.9583466	0.4091234	0.3363892	0.0070096	0.0732600	0.0456208	0.4371425	0.9999974	0.9007786	0.6527001	0.9057462	0.2304589	0.5024012	0.0849369	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.4103452	1.0000000	1.0000000	0.5818468	1.0000000	0.8050661	0.9001513	0.4199378	0.7268111	0.1820258	0.4002895	1.0000000
300	0.6385579	0.9992302	0.4237157	0.5386323	1.0000000	0.0068575	0.8749691	0.9557009	0.8013671	0.3455702	0.7061076	0.0865653	0.1195231	0.1513806	0.0065411	0.3296753	0.9999227	0.4567714	0.0485751	0.9228803	0.9054859	0.4052494	0.5780812	0.3852869	0.4636633	1.0000000	0.5357085	0.5748738	0.3618691	0.7283032	0.8754380	0.0409769	0.0329625	0.0239046	0.9988649	1.0000000	0.7637660	0.0026184	0.0010107	1.0000000	0.5073694	0.7470813	0.6849371	0.4004796	0.4574835	0.3506691	0.4247909	0.7284545	0.4737724	0.1453807	0.3858486	0.2116261	0.5297881	0.8129834	0.8947577	0.0210558	0.7881964	0.9800788	0.1956885	0.4448841	0.2356549	0.3643532	0.3411635	0.3289340	0.3443110	0.3594098	0.5413959	0.2268035	0.9661697	0.4006511	0.3210616	0.0066447	0.0585401	0.0455920	0.4139397	0.9999984	0.9243501	0.6610320	0.9188648	0.2442643	0.4839572	0.0846621	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.2335777	1.0000000	1.0000000	0.5818468	1.0000000	0.8022727	0.8998465	0.4046228	0.7677048	0.1611643	0.3101624	1.0000000
350	0.6357387	0.9992192	0.4205652	0.5413108	1.0000000	0.0055293	0.8538398	0.9592873	0.8028261	0.3528879	0.7061076	0.0861894	0.1195231	0.1513803	0.0063763	0.3045332	0.9999217	0.4460639	0.0461552	0.9310532	0.9070933	0.4052549	0.5694105	0.3874531	0.4501480	1.0000000	0.5357085	0.5792697	0.3618919	0.7283032	0.8834453	0.0409769	0.0329625	0.0238655	0.9988951	1.0000000	0.7675720	0.0014289	0.0004373	1.0000000	0.4910750	0.7469866	0.6831748	0.3961500	0.4482223	0.3498282	0.4222242	0.7303840	0.4642909	0.1591676	0.3678051	0.1890756	0.5123516	0.7955261	0.8625266	0.0121932	0.8025528	0.9822063	0.1914279	0.4349109	0.2522956	0.3611346	0.3272164	0.3147112	0.3909728	0.3402422	0.5455934	0.2289245	0.9704732	0.3964493	0.3136286	0.0064764	0.0520449	0.0455780	0.3935962	0.9999988	0.9350481	0.6710692	0.9307274	0.2577303	0.4647193	0.0875341	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.1359589	1.0000000	1.0000000	0.5818468	1.0000000	0.7995720	0.8980688	0.3977681	0.7906282	0.1519130	0.2543526	1.0000000
400	0.6339191	0.9992100	0.4178892	0.5423370	1.0000000	0.0050718	0.8386874	0.9606304	0.8033459	0.3568423	0.7061076	0.0860538	0.1195231	0.1513802	0.0063175	0.2924086	0.9999213	0.4416137	0.0454060	0.9379287	0.9078711	0.4052576	0.5649159	0.3895427	0.4425499	1.0000000	0.5357085	0.5826078	0.3618886	0.7283032	0.8869078	0.0409769	0.0329625	0.0238505	0.9989066	1.0000000	0.7696144	0.0009598	0.0002610	1.0000000	0.4772152	0.7469612	0.6824925	0.3937932	0.4435931	0.3495955	0.4218752	0.7315928	0.4608619	0.1677283	0.3620305	0.1779762	0.5051078	0.7843854	0.8367080	0.0079440	0.8095965	0.9830553	0.1900394	0.4301258	0.2670027	0.3593103	0.3181764	0.3055683	0.4313194	0.3221378	0.5479345	0.2303435	0.9727902	0.3943311	0.3099390	0.0063984	0.0491192	0.0455712	0.3782204	0.9999990	0.9397902	0.6799836	0.9398201	0.2687396	0.4469573	0.0910673	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.0884943	1.0000000	1.0000000	0.5818468	1.0000000	0.7972862	0.8961272	0.3947736	0.8025379	0.1479079	0.2233028	1.0000000
450	0.6328021	0.9992030	0.4158578	0.5427112	1.0000000	0.0049172	0.8288789	0.9611178	0.8035071	0.3589354	0.7061076	0.0860055	0.1195231	0.1513802	0.0062966	0.2868715	0.9999212	0.4398562	0.0452254	0.9430523	0.9082246	0.4052587	0.5625731	0.3912224	0.4383628	1.0000000	0.5357085	0.5848916	0.3618819	0.7283032	0.8883510	0.0409769	0.0329625	0.0238447	0.9989110	1.0000000	0.7707320	0.0007778	0.0002084	1.0000000	0.4667675	0.7469544	0.6822306	0.3924619	0.4414006	0.3495322	0.4220697	0.7323428	0.4596843	0.1728239	0.3614716	0.1727661	0.5022742	0.7789715	0.8194661	0.0059118	0.8128915	0.9833777	0.1896482	0.4278595	0.2779239	0.3582106	0.3127165	0.3000886	0.4687970	0.3046344	0.5491995	0.2312303	0.9740265	0.3932355	0.3080431	0.0063613	0.0477488	0.0455678	0.3678195	0.9999991	0.9418562	0.6867462	0.9460403	0.2766145	0.4326776	0.0940492	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.0669331	1.0000000	1.0000000	0.5818468	1.0000000	0.7955428	0.8945379	0.3934887	0.8084004	0.1462048	0.2072577	1.0000000
