G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9999986	0.9997143	0.7577741	0.6552110	1.0000000	0.3542693	0.9886293	0.8309561	0.8031899	0.2108333	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243559	0.9999051	0.3891930	0.6625922	0.9191609	0.8284126	0.9964773	1.0000000	0.9514003	0.9999994	1.0000000	0.5357085	0.3928045	0.9263946	0.7283032	0.2296097	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000000	0.1698524	0.0728972	1.0000000	0.5121356	1.0000000	1.0000000	0.4467710	0.6212892	0.0000000	0.0293152	0.0717591	0.2401067	0.2253671	0.5194817	0.0109279	0.0520304	0.7439744	0.9233242	0.9999984	0.9999996	1.0000000	0.5274052	0.5349425	0.6254474	1.0000000	0.3836668	0.8612890	0.1168938	0.9949609	0.5737851	0.4432075	0.0532004	1.0000000	1.0000000	1.0000000	1.0000000	0.9999991	0.6235637	0.2915481	0.8045670	0.8645448	0.9097450	0.2289209	0.3792871	0.6991202	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8950923	0.8445997	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6709386	0.0031184	0.1594967	0.4251521	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081861	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6462399	0.6399650	0.9212750	0.9964017	1.0000000	0.8253254	0.0000003	0.8081781	0.4873021	1.0000000	1.0000000	0.5357085	0.5968158	0.3229007	0.7283032	0.1886491	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173391	1.0000000	0.9072047	1.0000000	0.4073081	1.0000000	1.0000000	0.3286013	0.6212892	1.0000000	0.6649977	0.6437564	0.8976600	0.0486546	0.8477093	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.3736170	0.5664773	0.6910332	0.9478516	0.5924545	0.2202470	0.2338569	0.1168938	0.9949609	0.4727938	0.2060367	0.8360969	0.7610317	0.6731454	0.0177665	0.7483229	0.0462999	0.3398943	0.9999772	0.0463948	0.9657976	0.9845480	0.3927206	0.5381383	0.4511061	1.0000000	0.9998732	0.0000000	1.0000000	1.0000000	1.0000000	0.9891863	1.0000000	1.0000000	0.5818468	1.0000000	0.7868512	0.6591296	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710640	0.0031238	0.1597171	0.1890391	0.0000009	0.9999997	0.0251615	0.0438829	0.4268992	0.2252065	0.9999961	0.7112771	0.9999993	0.9999996	0.9999996	0.6462392	0.9999501	0.9433197	0.9720020	0.9999997	0.8253254	0.5690675	0.8083431	0.4748654	0.7279475	1.0000000	0.5357085	0.5540775	0.3229441	0.7283032	0.2374812	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.5451699	1.0000000	1.0000000	0.4707650	0.6212892	0.0000000	0.2262013	0.3836280	0.2401067	0.2439615	0.3366451	0.0109284	0.0520305	0.7437043	0.9233212	0.9999967	0.9999990	1.0000000	0.2575164	0.4414264	0.4320761	0.8882388	0.4165059	0.4382591	0.1168938	0.9949609	0.4727648	0.2060491	0.8359108	0.7611859	0.6734404	0.0177902	0.7488602	0.0463011	0.5101066	0.9999771	0.0463953	0.8369410	0.8848844	0.2099469	0.3793240	0.6991916	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892165	1.0000000	1.0000000	0.5818468	1.0000000	0.8127223	0.7286036	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710640	0.9992947	0.4442841	1.0000000	1.0000000	0.3542693	0.9886292	0.3815670	0.9999996	0.2252066	0.9999996	0.4620506	0.9999995	0.1514214	0.0590937	0.1243559	0.3155143	0.0060017	0.6564277	0.9033668	0.8284126	0.9964771	0.8083431	0.4748656	0.9999986	1.0000000	0.5357085	0.5540778	0.3229441	0.7283032	0.2374811	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.9999972	0.9071981	1.0000000	0.5451684	1.0000000	1.0000000	0.4707653	0.6212892	0.0000000	0.2262013	0.3836280	0.2401067	0.2439616	0.3366454	0.0109284	0.0520305	0.7437043	0.9233212	0.9999967	0.9999990	1.0000000	0.2575164	0.4414264	0.4320784	0.8882388	0.4165058	0.4382591	0.1168938	0.9949609	0.4727648	0.2060491	0.8359108	0.7611859	0.6734404	0.0177902	0.7488602	0.0463011	0.5101055	0.9999771	0.0463953	0.8369422	0.8848853	0.2099473	0.3793240	0.6991916	1.0000000	0.9998731	0.0000000	1.0000000	1.0000000	1.0000000	0.9892165	1.0000000	1.0000000	0.5818468	1.0000000	0.8127221	0.7286032	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999531	0.9997140	0.7573064	0.4201106	1.0000000	0.3542693	0.9886273	0.8309321	0.3468699	0.2108366	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839481	0.9999997	0.8284126	0.4052072	0.9999999	0.7271387	0.9999851	1.0000000	0.5357085	0.3924967	0.9263938	0.7283032	0.2298801	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000017	0.1698524	0.0728972	1.0000000	0.3888589	1.0000000	1.0000000	0.4468645	0.6212892	1.0000000	0.4679747	0.4109477	0.8976600	0.0555030	0.9910276	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8385295	0.7679523	0.9999999	0.9999985	0.0000001	0.8615418	0.1168938	0.9949609	0.5733007	0.4431820	0.0532049	0.9999999	1.0000000	0.9999981	1.0000000	0.9999278	0.4595209	0.2915665	0.8041472	0.9999993	1.0000000	1.0000000	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956357	1.0000000	1.0000000	0.5818468	1.0000000	0.8953025	0.8447737	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6710640	0.9992947	0.4442841	0.6552110	1.0000000	0.3542693	0.9655046	0.3815670	0.8031899	0.2252066	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.1243561	0.9999051	0.3891930	0.6839481	1.0000000	0.8284126	0.9964771	0.8083431	0.4890209	0.7279475	1.0000000	0.5357085	0.5540778	0.3229441	0.7283032	0.2374811	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4171187	0.1698524	0.0728972	1.0000000	0.3888575	1.0000000	1.0000000	0.4707653	0.6212892	0.0000000	0.2262013	0.3836280	0.2401067	0.2439616	0.5194817	0.0109284	0.0520305	0.7437043	0.9233212	0.9999967	0.9999990	1.0000000	0.2575164	0.4414264	0.8017822	0.8882388	0.0000000	0.4382591	0.1168938	0.9949609	0.4727648	0.2060491	0.8359108	0.7611859	0.6734404	0.0177902	0.7488602	0.0463011	0.3102664	0.9999771	0.0463953	1.0000000	1.0000000	1.0000000	0.3793240	0.6991916	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9892165	1.0000000	1.0000000	0.5818468	1.0000000	0.8127221	0.7286032	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540344	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253001	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563849	0.9032617	0.8284126	0.4052072	0.7834485	0.4738010	0.6872767	1.0000000	0.5357085	0.6184535	0.3178261	0.7283032	0.2375318	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453891	1.0000000	1.0000000	0.4709188	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608567	0.7695915	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928099	0.6798514	0.5421818	0.8875025	0.4167165	0.0000000	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042476	0.9999874	0.0463549	0.8367583	0.8847141	0.2098339	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	0.0000000	0.0546144	0.0729934	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.9999803	0.9997142	0.7575664	0.4201106	1.0000000	0.3542693	0.9886284	0.8309473	0.3468699	0.2108414	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6839472	0.9999619	0.8284126	0.4052072	1.0000000	0.7271406	0.9999933	1.0000000	0.5357085	0.4737536	0.9263943	0.7283032	0.0811738	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.0000007	0.1698524	0.0728972	1.0000000	0.3888605	1.0000000	1.0000000	0.0000003	0.6212892	1.0000000	0.4679747	0.4109473	0.8976600	0.0119881	0.9910284	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.8381321	0.7679524	0.9999992	0.9999966	0.0180024	0.6578091	0.1168938	0.9949609	0.5735653	0.4431985	0.0532019	1.0000000	1.0000000	0.9999995	1.0000000	0.9999762	0.4595253	0.2915543	0.8043951	0.9999570	0.9999962	0.9637105	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9956358	1.0000000	1.0000000	0.5818468	1.0000000	0.8558978	0.7992054	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.0000000	0.0031183	0.0045045	0.1890238	0.0000000	1.0000000	0.0251615	0.0438826	0.0712539	0.0081861	0.9999999	0.7112803	1.0000000	1.0000000	1.0000000	0.9627615	0.9999501	0.9896656	0.9964017	1.0000000	0.8253254	0.0000003	0.8081781	0.4873021	0.7276434	1.0000000	0.5357085	0.5968158	0.3229007	0.7283032	0.1886491	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4173391	0.1698524	0.0728972	1.0000000	0.4073081	1.0000000	1.0000000	0.3286013	0.6212892	1.0000000	0.6649977	0.6437564	0.8976600	0.0486546	0.8477093	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5664773	0.6910332	0.9478516	0.5924545	0.2202470	0.2338569	0.1168938	0.9949609	0.4727938	0.2060367	0.8360969	0.7610317	0.6731454	0.0177665	0.7483229	0.0462999	0.3398943	0.9999772	0.0463948	0.9657976	0.9845480	0.3927206	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9891863	1.0000000	1.0000000	0.5818468	1.0000000	0.7868512	0.6591296	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540343	0.9992524	0.4298300	0.4201106	1.0000000	0.3542693	0.9579838	0.3624293	0.3468699	0.2253001	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563848	0.9032615	0.8284126	0.4052072	0.7834484	0.4738009	0.6872766	1.0000000	0.5357085	0.5578265	0.3178261	0.7283032	0.2375318	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509056	0.1698524	0.0728972	1.0000000	0.5453896	1.0000000	1.0000000	0.4709188	0.6212892	1.0000000	0.6849597	0.6735441	0.8976600	0.0608568	0.7695914	0.6437400	0.9327701	0.8229970	0.6379586	0.7165872	0.5119921	0.8958286	0.4928098	0.6798513	0.5421806	0.8875027	0.4167167	0.4255521	0.1168938	0.9949609	0.4794200	0.2069337	0.8667125	0.7380122	0.6290037	0.0147839	0.6640313	0.0461496	0.5042482	0.9999874	0.0463549	0.8367578	0.8847137	0.2098337	0.4537637	0.0000001	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843326	1.0000000	1.0000000	0.5818468	1.0000000	0.8105613	0.7240276	1.0000000	0.4278294	1.0000000	0.0000000	1.0000000
