G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3271784	0.9964567	0.3196758	0.4201106	1.0000000	0.3542693	0.9579840	0.3624294	0.3468699	0.2253015	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563875	0.9032686	0.8284126	0.4052072	0.7834485	0.4738029	0.6872771	1.0000000	0.5357085	0.5578291	0.3178261	0.7283032	0.2375305	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453739	1.0000000	1.0000000	0.4709218	0.6212892	1.0000000	0.6849598	0.6735440	0.8976600	0.0608570	0.7695950	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928116	0.6798515	0.5422108	0.8875016	0.4167154	0.4255517	0.1168938	0.9949609	0.4794200	0.2069337	0.8667120	0.7380121	0.6290035	0.0147839	0.6640314	0.0461496	0.5042362	0.9999874	0.0463549	0.8367701	0.8847236	0.2098382	0.5381384	0.4511060	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105594	0.7240240	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540348	0.4999023	0.4298306	0.4201106	1.0000000	0.3542693	0.9579842	0.3624297	0.3468699	0.2253022	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563890	0.9032719	0.8284126	0.4052072	0.7834488	0.4738033	0.6872778	1.0000000	0.5357085	0.5578309	0.3178262	0.7283032	0.2375290	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509058	0.1698524	0.0728972	1.0000000	0.5453680	1.0000000	1.0000000	0.4709208	0.6212892	1.0000000	0.6849595	0.6735435	0.8976600	0.0608567	0.7695967	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928136	0.6798518	0.5422293	0.8874973	0.4167095	0.4255474	0.1168938	0.9949609	0.4794198	0.2069336	0.8667115	0.7380124	0.6290040	0.0147839	0.6640326	0.0461496	0.5042273	0.9999874	0.0463549	0.8367760	0.8847299	0.2098426	0.5381384	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843330	1.0000000	1.0000000	0.5818468	1.0000000	0.8105588	0.7240219	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540345	0.9992524	0.2149859	0.4201106	1.0000000	0.3542693	0.9579840	0.3624294	0.3468699	0.2253015	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563875	0.9032686	0.8284126	0.4052072	0.7834485	0.4738029	0.6872771	1.0000000	0.5357085	0.5578291	0.3178261	0.7283032	0.2375305	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509059	0.1698524	0.0728972	1.0000000	0.5453739	1.0000000	1.0000000	0.4709218	0.6212892	1.0000000	0.6849598	0.6735440	0.8976600	0.0608570	0.7695950	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928116	0.6798515	0.5422108	0.8875016	0.4167154	0.4255517	0.1168938	0.9949609	0.4794200	0.2069337	0.8667120	0.7380121	0.6290035	0.0147839	0.6640314	0.0461496	0.5042362	0.9999874	0.0463549	0.8367701	0.8847236	0.2098382	0.5381384	0.4511060	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105594	0.7240240	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540351	0.9992524	0.4298306	0.2100973	1.0000000	0.3542693	0.9579843	0.3624301	0.3468699	0.2253028	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563900	0.9032738	0.8284126	0.4052072	0.7834494	0.4738032	0.6872785	1.0000000	0.5357085	0.5578326	0.3178263	0.7283032	0.2375272	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509055	0.1698524	0.0728972	1.0000000	0.5453661	1.0000000	1.0000000	0.4709176	0.6212892	1.0000000	0.6849591	0.6735429	0.8976600	0.0608560	0.7695977	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928160	0.6798521	0.5422444	0.8874908	0.4167007	0.4255406	0.1168938	0.9949609	0.4794195	0.2069334	0.8667108	0.7380129	0.6290049	0.0147840	0.6640346	0.0461496	0.5042187	0.9999874	0.0463549	0.8367795	0.8847353	0.2098475	0.5381384	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843331	1.0000000	1.0000000	0.5818468	1.0000000	0.8105586	0.7240204	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540360	0.9924438	0.1922139	0.4201106	0.5000132	0.6256204	0.8403713	0.2753251	0.3428488	0.2252837	0.8265228	0.1744739	0.3284981	0.3359065	0.1519269	0.8392924	0.9999473	0.8534091	0.8009597	0.9049253	0.8270626	0.3654882	0.7834510	0.4738052	0.6872807	1.0000000	0.5357085	0.5578362	0.3178265	0.7283032	0.2375216	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509021	0.1698524	0.0728972	1.0000000	0.5453446	1.0000000	1.0000000	0.4708872	0.6212892	1.0000000	0.6849578	0.6735413	0.8976600	0.0608524	0.7696028	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.4928215	0.6798529	0.5422827	0.8874702	0.4166742	0.4255189	0.1168938	0.9949609	0.4794193	0.2069335	0.8667097	0.7380145	0.6290081	0.0147841	0.6640402	0.0461496	0.5042021	0.9999874	0.0463549	0.8367952	0.8847482	0.2098564	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843333	1.0000000	1.0000000	0.5818468	1.0000000	0.8105557	0.7240156	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540348	0.9992524	0.4298306	0.4201106	1.0000000	0.1771736	0.9579842	0.3624297	0.3468699	0.2253022	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563890	0.9032719	0.8284126	0.4052072	0.7834488	0.4738033	0.6872778	1.0000000	0.5357085	0.5578309	0.3178262	0.7283032	0.2375290	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509058	0.1698524	0.0728972	1.0000000	0.5453680	1.0000000	1.0000000	0.4709208	0.6212892	1.0000000	0.6849595	0.6735435	0.8976600	0.0608567	0.7695967	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928136	0.6798518	0.5422293	0.8874973	0.4167095	0.4255474	0.1168938	0.9949609	0.4794198	0.2069336	0.8667115	0.7380124	0.6290040	0.0147839	0.6640326	0.0461496	0.5042273	0.9999874	0.0463549	0.8367760	0.8847299	0.2098426	0.5381384	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843330	1.0000000	1.0000000	0.5818468	1.0000000	0.8105588	0.7240219	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540355	0.9992524	0.4298301	0.4201106	1.0000000	0.3542693	0.4790309	0.3624305	0.3468699	0.2253026	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563895	0.9032717	0.8284126	0.4052072	0.7834501	0.4738017	0.6872792	1.0000000	0.5357085	0.5578331	0.3178264	0.7283032	0.2375257	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509048	0.1698524	0.0728972	1.0000000	0.5453735	1.0000000	1.0000000	0.4709117	0.6212892	1.0000000	0.6849585	0.6735422	0.8976600	0.0608550	0.7695967	0.6437400	0.9327701	0.9168854	0.9990811	0.7165872	0.5119921	0.8958286	0.4928179	0.6798524	0.5422448	0.8874832	0.4166904	0.4255322	0.1168938	0.9949609	0.4794190	0.2069332	0.8667103	0.7380135	0.6290062	0.0147841	0.6640370	0.0461496	0.5042154	0.9999874	0.0463549	0.8367763	0.8847360	0.2098509	0.5381383	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843330	1.0000000	1.0000000	0.5818468	1.0000000	0.8105596	0.7240208	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540348	0.9992524	0.4298306	0.4201106	1.0000000	0.3542693	0.9579842	0.1813162	0.3468699	0.2253022	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563890	0.9032719	0.8284126	0.4052072	0.7834488	0.4738033	0.6872778	1.0000000	0.5357085	0.5578309	0.3178262	0.7283032	0.2375290	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509058	0.1698524	0.0728972	1.0000000	0.5453680	1.0000000	1.0000000	0.4709208	0.6212892	1.0000000	0.6849595	0.6735435	0.8976600	0.0608567	0.7695967	0.6437400	0.9327701	0.9168853	0.9990811	0.7165872	0.5119921	0.8958286	0.4928136	0.6798518	0.5422293	0.8874973	0.4167095	0.4255474	0.1168938	0.9949609	0.4794198	0.2069336	0.8667115	0.7380124	0.6290040	0.0147839	0.6640326	0.0461496	0.5042273	0.9999874	0.0463549	0.8367760	0.8847299	0.2098426	0.5381384	0.4511059	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843330	1.0000000	1.0000000	0.5818468	1.0000000	0.8105588	0.7240219	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6540356	0.9992524	0.4298292	0.4201106	1.0000000	0.3542693	0.9579839	0.3624308	0.1734395	0.2253010	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6563863	0.9032624	0.8284126	0.4052072	0.7834507	0.4737983	0.6872794	1.0000000	0.5357085	0.5578309	0.3178265	0.7283032	0.2375256	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4509038	0.1698524	0.0728972	1.0000000	0.5453970	1.0000000	1.0000000	0.4709029	0.6212892	1.0000000	0.6849580	0.6735417	0.8976600	0.0608538	0.7695920	0.6437400	0.9327701	0.9168855	0.9990811	0.7165872	0.5119921	0.8958286	0.4928178	0.6798524	0.5422137	0.8874771	0.4166820	0.4255246	0.1168938	0.9949609	0.4794186	0.2069329	0.8667102	0.7380142	0.6290075	0.0147841	0.6640392	0.0461496	0.5042246	0.9999874	0.0463549	0.8367605	0.8847264	0.2098493	0.5381381	0.4511062	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9843328	1.0000000	1.0000000	0.5818468	1.0000000	0.8105624	0.7240249	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
0.6630405	0.9992753	0.4373997	0.4201106	1.0000000	0.3542693	0.9622282	0.3724831	0.3468699	0.1321271	0.7061076	0.1733310	0.1195231	0.1514214	0.0590937	0.7520762	0.9999463	0.8375885	0.6789982	0.9720703	0.8284126	0.4052072	0.7968471	0.4864004	0.7089430	1.0000000	0.5357085	0.5941849	0.3202634	0.7283032	0.1950324	0.0409769	0.0329625	0.0378535	0.9932044	1.0000000	0.4327538	0.1698524	0.0728972	1.0000000	0.4155115	1.0000000	1.0000000	0.3465144	0.6212892	1.0000000	0.6743151	0.6577893	0.8976600	0.0503839	0.8327110	0.6437400	0.9327701	0.9168852	0.9990811	0.7165872	0.5119921	0.8958286	0.5442937	0.6862658	0.9208979	0.6473635	0.2441859	0.2549635	0.1168938	0.9949609	0.4757530	0.2063267	0.8510197	0.7504083	0.6527594	0.0162726	0.7105298	0.0462265	0.3494073	0.9999828	0.0463735	0.9555273	0.9784116	0.3582040	0.5381383	0.4511061	1.0000000	0.5935954	0.7599837	0.2000199	0.5932110	0.7099054	0.9873066	1.0000000	1.0000000	0.5818468	1.0000000	0.7885194	0.6651846	1.0000000	0.4278294	1.0000000	0.8160082	1.0000000
