G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6609049	0.9953460	0.3410096	0.6496397	0.8006716	0.3868530	0.9249405	0.4465558	0.1374932	0.2219016	0.7954425	0.0861376	0.1090975	0.1952607	0.0224739	0.8194172	0.6767715	0.8859677	0.4359764	0.5711223	0.7956704	0.1160637	0.7937359	0.5645779	0.6152655	0.9557157	0.5506434	0.5758531	0.4920238	0.6377693	0.1728337	0.0140362	0.0330799	0.0404525	0.9673605	0.9883224	0.4369815	0.1702629	0.3662265	0.8729519	0.7134978	1.0000000	1.0000000	0.4980383	0.6462502	1.0000000	0.7382905	0.5897781	0.8977203	0.1744221	0.5741120	0.6328127	0.9332511	0.9535674	0.9989800	0.7736364	0.3720457	0.7547907	0.4969657	0.7158452	0.2748732	0.9124111	0.5538345	0.4570595	0.0268240	0.9999321	0.4201217	0.0215542	0.9420979	0.7475160	0.6472129	0.0159023	0.5036318	0.0006453	0.7868292	0.6212745	0.0000802	0.7062829	0.7500387	0.1546387	0.6677394	0.4039406	0.8201871	0.6881100	0.6525813	0.1405541	0.6276364	0.5172897	0.9771825	1.0000000	0.8149971	0.3261989	1.0000000	0.8141403	0.6623907	1.0000000	0.1821497	0.7984529	0.7481018	1.0000000
0.5509048	0.9990412	0.3593168	0.5658959	1.0000000	0.3542693	0.9464821	0.2134461	0.4815496	0.1449487	0.8341780	0.2063363	0.1385958	0.1295436	0.0052160	0.5416899	0.8551386	0.8461315	0.4620914	0.9913370	0.7960912	0.1266002	0.4938406	0.3358637	0.6262187	1.0000000	0.6226360	0.6038685	0.5516182	0.8624749	0.1885422	0.0409769	0.0005623	0.0292021	0.9637398	1.0000000	0.7208905	0.0015783	0.0000005	0.6935614	0.4934016	1.0000000	1.0000000	0.3002353	0.6185425	1.0000000	0.7710761	0.8749030	0.5374348	0.1304935	0.8626236	0.7617208	0.8807396	0.4740708	0.9999256	0.7628445	0.3965921	0.7203496	0.7566418	0.7643050	0.7978518	0.4038451	0.1659308	0.1450702	0.2089297	0.5810086	0.4907270	0.4080646	0.9070246	0.3386865	0.3433400	0.0067547	0.1533936	0.0456081	0.3909539	0.9542321	0.0000086	0.6541429	0.7157413	0.4936989	0.2357922	0.9568734	0.6780760	0.7760243	0.5335405	0.3525623	0.3906558	0.7560020	0.5083174	1.0000000	0.9547179	0.6681163	1.0000000	0.7273850	0.5894927	1.0000000	0.1834188	0.9427334	0.7915725	1.0000000
0.7358546	0.9986292	0.3934396	0.4108785	0.7535442	0.4618326	0.7883703	0.3580179	0.0370362	0.2165751	0.7580692	0.1608084	0.1650335	0.2096062	0.0573602	0.7240356	0.7147745	0.9191871	0.7015801	0.8641461	0.8620825	0.0000002	0.6489919	0.2464233	0.5110132	0.6474440	0.3070182	0.6303811	0.2543230	0.4240066	0.0508337	0.0826610	0.0028842	0.0506277	0.9828773	0.8861381	0.6356578	0.0008103	0.0000001	0.6250502	0.5366440	0.6139788	0.7004618	0.3295373	0.4604314	0.9603781	0.7328722	0.8242118	0.8878745	0.0620846	0.5504096	0.6129744	0.9231393	0.8135782	0.9915934	0.5188897	0.5252119	0.8997260	0.3508739	0.5016791	0.2557367	0.5839268	0.4915990	0.1944703	0.0228431	0.9999579	0.3191793	0.1362808	0.7896432	0.6204785	0.3395611	0.0016031	0.2506912	0.0002918	0.4532442	1.0000000	0.0000002	0.7674887	0.8163068	0.1223442	0.3866927	0.5976022	1.0000000	0.6571401	0.7588846	0.1514259	0.5935381	0.7057125	0.7100543	1.0000000	1.0000000	0.6903605	0.9641929	0.7296340	0.5561949	1.0000000	0.3175268	1.0000000	0.8849647	0.9815204
0.5941041	0.9982079	0.2991950	0.3653294	0.8197249	0.4286352	0.8369019	0.2156164	0.6340821	0.2427781	0.6368189	0.1871632	0.0863838	0.1900819	0.0695066	0.6792314	0.6454341	0.9120016	0.5273683	0.7624134	0.9999997	0.3988123	0.5382964	0.2251645	0.4119025	0.8875037	0.5563886	0.2705734	0.2789731	0.9073595	0.4849901	0.0505888	0.0333223	0.0299073	0.9613109	1.0000000	0.6873492	0.1288771	0.3264255	1.0000000	0.8468096	0.8869491	1.0000000	0.6873721	0.6185425	1.0000000	0.9105942	0.8192017	0.8977588	0.0491592	0.6008849	0.6328125	0.9556309	0.7350952	0.9916943	0.7207053	0.3236278	0.8869522	0.0248894	0.5797477	0.1690850	0.7749799	0.7385868	0.9765299	0.2304103	0.5432777	0.6327489	0.3572651	0.9238393	0.5356389	0.3240397	0.0016874	0.1854214	0.0456425	0.5710491	1.0000000	0.0079639	0.5309444	0.5409348	0.1138957	0.4452248	0.7111123	0.7609565	0.6205578	0.6937584	0.1363957	0.6138290	0.1779040	0.5013613	0.2584528	0.8159185	0.5501064	0.5963203	0.9538038	0.6074707	0.9537720	0.4489150	1.0000000	0.8055238	1.0000000
0.5705364	0.9976527	0.7835106	0.6827457	0.7307834	0.2487667	0.9362301	0.3060928	0.4030423	0.1157089	0.6528147	0.1738252	0.1503678	0.2173142	0.0793622	0.7011597	0.8706273	0.5076352	0.3877716	0.8360755	0.7954895	0.4078451	0.5251561	0.5016655	0.7246563	0.8677107	0.4242210	0.5682110	0.2802851	0.7656003	0.1574375	0.0529596	0.0334111	0.0467276	0.9936561	1.0000000	0.4199783	0.1698556	0.0727847	0.9038461	0.6791664	1.0000000	1.0000000	0.5839832	0.6185425	0.9765317	0.6315767	0.5718474	0.7740772	0.2637560	0.9133636	0.6212143	0.8768585	0.9431125	0.9907216	0.5492103	0.4560023	0.8980483	0.4365885	0.4852243	0.3100243	0.9582820	0.5417423	0.6098904	0.0763031	0.9765849	0.4303497	0.3435813	0.8755830	0.5932886	0.4631337	0.0174924	0.5424909	0.0008532	0.9373612	0.9999783	0.2127913	0.7182349	0.7332139	0.0855912	0.6124248	0.4170567	1.0000000	0.6888972	0.7588846	0.1154307	0.5907849	0.3540737	0.9735950	1.0000000	1.0000000	0.5799302	1.0000000	0.9999717	0.9276226	1.0000000	0.4278294	1.0000000	0.8055238	0.9932277
0.6866487	0.9995941	0.4307205	0.4868752	0.9403761	0.3765251	0.9357999	0.3243271	0.1275558	0.1638840	0.7479796	0.1862498	0.1382357	0.0947366	0.0616273	0.7203960	0.9999738	0.9342642	0.6958803	0.9865686	0.7963016	0.7376793	0.6629580	0.1775212	0.7283339	0.5311097	0.2382995	0.8787231	0.6221503	0.3903025	0.2034373	0.1900964	0.0394411	0.1002008	0.9784093	0.9904150	0.4327951	0.0008661	0.0000001	0.9646912	0.4076521	0.8933292	1.0000000	0.3158512	0.6354208	0.7771624	0.5632668	0.5583439	0.8238263	0.0075276	0.6877757	0.5039253	0.8278076	0.6774709	0.9997555	0.5780702	0.5944371	0.5995886	0.6488068	0.6545194	0.9065136	0.4646292	0.1857538	0.2054415	0.0248647	0.9999460	0.4677336	0.1867975	0.8342725	0.5811796	0.5901117	0.0162670	0.7103796	0.0008441	0.2270460	0.7316515	0.7049355	0.9781030	0.9558319	0.3968272	0.2585594	0.7873293	0.8872276	0.6169145	0.6974259	0.4709755	0.3563604	0.6624859	0.9502290	0.7225109	1.0000000	0.5339580	1.0000000	0.7302866	0.8544471	0.9658466	0.4432748	0.7939469	0.8122932	1.0000000
0.0519281	0.8064405	0.3116143	0.4492270	0.9975855	0.3551301	0.9313664	0.5237769	0.1781916	0.2533628	0.6716570	0.1735462	0.1199559	0.1048446	0.0093616	0.7030493	0.8157057	0.5386477	0.2023134	0.7867567	0.9628880	0.6995396	0.8139794	0.0000000	0.6815152	1.0000000	0.7046469	0.4463904	0.2828983	0.6596300	0.7605903	0.0409769	0.0005016	0.0378535	0.9949752	0.7650269	0.4091842	0.0007566	0.0000001	1.0000000	0.6992360	1.0000000	1.0000000	0.4830616	0.6978879	1.0000000	0.8450817	0.5643476	0.8976600	0.5420159	0.7654419	0.6328125	0.9385846	0.7051628	0.9997806	0.6913559	0.5119921	0.8956921	0.1818936	0.5050860	0.2263392	0.9004261	0.6268336	0.4546759	0.1381769	0.8139333	0.6204193	0.1272010	0.9597202	0.8793849	0.4065591	0.0111274	0.7674814	0.0463423	0.3396383	0.9303339	0.0000313	0.5393913	0.6667517	0.0340283	0.2843609	0.7039298	1.0000000	0.7670969	0.7588846	0.3834294	0.4067783	0.1950694	0.9901157	0.7829787	0.9565585	0.4704093	1.0000000	0.9999846	0.6921937	0.9985821	0.2535494	1.0000000	0.8055238	0.7371572
0.5639193	0.9958359	0.6970570	0.7049074	1.0000000	0.3263907	0.5916353	0.1927015	0.0601819	0.3557568	0.4408166	0.1735448	0.1197084	0.1514214	0.0590937	0.8587539	0.6501012	0.6502791	0.4718753	0.5214481	0.8621269	0.7826212	0.4744071	0.1780026	0.3257752	1.0000000	0.4843653	0.4819543	0.4027117	0.6596301	0.3161238	0.0409769	0.0329625	0.0378535	0.9947240	0.9498734	0.8025103	0.0008097	0.0000001	0.5080137	0.8643191	0.8649562	0.9746837	0.7251155	0.6304899	1.0000000	0.9163201	0.8759776	0.8976600	0.1785164	0.7512443	0.6328125	0.9499597	0.9454557	0.9874444	0.4949944	0.3486013	0.8956921	0.2903161	0.3846581	0.1965110	0.8208959	0.6737854	0.6400171	0.0985562	0.6088712	0.5744818	0.1348889	0.9403684	0.5307508	0.2650219	0.0061205	0.0570347	0.0455418	0.8040388	0.9921229	0.0000067	0.5901299	0.6132742	0.1254386	0.5036104	0.3105081	1.0000000	0.6622513	0.7588846	0.2614295	0.3835876	0.5392015	0.3988935	1.0000000	1.0000000	0.5339580	0.9278677	0.7976014	0.6923247	0.9042131	0.3988811	0.4576937	0.6221275	0.5049106
0.6546707	0.9961357	0.6152347	0.4909455	1.0000000	0.2075655	0.9688283	0.3192531	0.3682262	0.2633477	0.5553194	0.1701281	0.1134345	0.1513802	0.0081030	0.9409301	0.8292167	0.8567320	0.5198874	0.5404105	0.9999998	0.1407809	0.7844145	0.6266536	0.6838930	1.0000000	0.5552555	0.2332112	0.4173090	0.8582595	0.1647557	0.0089930	0.0329625	0.0294062	0.9948578	0.9687911	0.4496085	0.1698052	0.1195837	0.6188277	0.7282389	1.0000000	1.0000000	0.4970047	0.6185425	1.0000000	0.8764395	0.7179144	0.8805051	0.4099813	0.9017293	0.7653959	0.9480875	0.9453718	0.9905985	0.7165872	0.5119921	0.7366276	0.1924956	0.5726308	0.2905278	0.8185075	0.5142632	0.4517806	0.0438309	0.9997150	0.6679169	0.0889886	0.8913063	0.6853793	0.4635513	0.0148825	0.6674324	0.0461548	0.4598266	0.9999871	0.0000668	0.3915003	0.5912337	0.1675057	0.6971248	0.4141975	1.0000000	0.6194116	0.7767114	0.2020298	0.5882923	0.6348566	0.9885620	0.9724607	0.9017310	0.6989551	0.7037604	0.7604496	0.5735154	0.9177494	0.3277955	0.8307529	0.7590309	0.7659693
0.5387198	0.9919767	0.1732414	0.4040196	0.6494409	0.3481315	0.9506396	0.2904257	0.4249150	0.2318036	0.8527624	0.1595807	0.2148653	0.2493887	0.0939815	0.2233090	0.9999303	0.6934541	0.7649069	0.7781827	0.9999991	0.6853224	0.5590939	0.5093350	0.7861515	1.0000000	0.5848580	0.1266244	0.1008279	0.6880704	0.1439080	0.0409769	0.0329625	0.0181432	0.9934129	0.9163734	0.4175033	0.1706365	0.2897957	0.8166671	0.4003019	1.0000000	0.9211347	0.4329482	0.6284785	0.9302371	0.9045720	0.5641669	0.8797818	0.2173819	0.7533745	0.6193970	0.8682735	0.7645887	0.9998327	0.5361686	0.5356622	0.8787615	0.6002780	0.6301850	0.5862590	0.8413118	0.3467833	0.6909282	0.1946224	0.6107607	0.6154925	0.1473926	0.8594857	0.7602487	0.6728976	0.0105863	0.5918290	0.0009239	0.5685778	0.5662455	0.0000277	0.7765499	0.9336769	0.2541345	0.4746747	0.6691447	0.7399042	0.8025298	0.5894999	0.2278907	0.5743332	0.7969418	0.9816963	0.5209340	0.7334802	0.1563501	1.0000000	0.8081083	0.7349805	1.0000000	0.4278294	1.0000000	0.8475326	1.0000000
0.4324586	0.9931170	0.6324838	0.2650111	0.8157804	0.4305151	0.8798372	0.3189999	0.1895403	0.2752093	0.7347141	0.1359468	0.1449205	0.1601077	0.0600117	0.9268987	0.9999968	0.4479136	0.4767260	0.3394203	0.8968022	0.0194452	0.7406235	0.4288602	0.4732537	0.7919161	0.5863145	0.6111690	0.0779436	0.6135604	0.3286443	0.0324929	0.0014389	0.0537054	0.9884249	1.0000000	0.5085514	0.1697939	0.0810648	1.0000000	0.7508818	1.0000000	1.0000000	0.6512046	0.6185425	1.0000000	0.6870280	0.6458072	0.6729347	0.0889555	0.7998602	0.6650996	0.9541641	0.4269110	0.9910602	0.7165872	0.5119921	0.3836016	0.5649538	0.7107076	0.2388976	0.6260177	0.6103518	0.5665224	0.2161220	0.5673590	0.6392128	0.0875444	0.9384263	0.7869029	0.5561739	0.0062848	0.4715523	0.0459582	0.7218048	0.8463052	0.1294219	0.6508267	0.6860959	0.0996145	0.0707002	0.5297388	1.0000000	0.5871121	0.7809390	0.2025517	0.5870667	0.4471462	0.9637886	0.6205856	0.9166534	0.4095972	1.0000000	0.9129995	0.6993501	0.7105935	0.3095944	1.0000000	0.8249196	1.0000000
0.5629494	0.9958314	0.3650396	0.7488066	1.0000000	0.3542693	0.9604342	0.6715306	0.3712321	0.1526924	0.7684117	0.1987697	0.0678754	0.0830248	0.0590937	0.4161872	0.9999141	0.9133619	0.5249101	0.9338901	0.7960912	0.7693620	0.9257830	0.5793505	0.9351451	1.0000000	0.6240515	0.2976409	0.1732911	0.8010148	0.1707395	0.0409769	0.0329625	0.0378535	0.9637398	0.5094491	0.2422892	0.1703136	0.0796073	0.6050866	0.6115139	1.0000000	1.0000000	0.3718456	0.6753813	0.7604340	0.7844962	0.5861570	0.8160901	0.2904854	0.8951944	0.6563169	0.8863715	0.8201891	0.9997737	0.7092903	0.6014760	0.5269460	0.8613103	0.6904239	0.4522227	0.7523483	0.3683899	0.5917201	0.1168938	0.9949609	0.4515465	0.2005949	0.5543339	0.4463196	0.5827127	0.0648409	0.9816283	0.0066343	0.1240700	0.9984846	0.0030285	0.7825829	0.9202442	0.2388452	0.4095487	0.5879026	0.8066902	0.6719019	0.6427102	0.2022531	0.6060346	0.5530635	0.9957148	1.0000000	1.0000000	0.6040463	0.7419542	0.7876081	0.8341716	1.0000000	0.4278294	0.7077054	0.7436522	1.0000000
