"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4987036	0.7478399	0.3044949	0.2898207	0.5386766	0.2551550	0.6794874	0.2746023	0.1941959	0.0865853	0.5607714	0.1137466	0.0602314	0.1113750	0.0294870	0.6019239	0.8283251	0.6306603	0.4538787	0.5927363	0.6736274	0.2506494	0.5252609	0.3342243	0.6070592	0.7330595	0.3763001	0.3250385	0.1931741	0.5787306	0.1477416	0.0306329	0.0275178	0.0542384	0.6376693	0.6687071	0.2823083	0.1663728	0.0446691	0.7556418	0.3472371	0.8909844	0.6832120	0.2882099	0.4719992	0.6375476	0.4769641	0.5075119	0.5722146	0.0275114	0.5501858	0.3480526	0.6473397	0.7310987	0.5855010	0.5072277	0.3933926	0.5994196	0.4448138	0.6306717	0.3550792	0.6883128	0.3048973	0.2653848	0.1276824	0.5627677	0.3384984	0.1318728	0.6882356	0.5400796	0.4172270	0.0111125	0.4117332	0.0291552	0.4056296	0.6764195	0.0258990	0.5376225	0.5065897	0.0867925	0.3309120	0.2894254	0.7981106	0.3320861	0.5990818	0.0945007	0.5695166	0.4466072	0.7062818	0.6492774	0.8555509	0.4053978	0.6225865	0.5233033	0.5754450	0.7155970	0.2962236	0.5527904	0.4879228	0.7409933
50	0.5080235	0.7427503	0.2448779	0.3760678	0.6926866	0.1333127	0.6712398	0.3221097	0.4341101	0.1499527	0.4208904	0.0760904	0.1338656	0.0776219	0.0171235	0.6470527	0.7052930	0.4881390	0.2474650	0.7006044	0.5468959	0.2287372	0.5067719	0.2768489	0.5642691	0.7103838	0.3823701	0.3156414	0.2460828	0.5688153	0.2387163	0.0390079	0.0092118	0.0279171	0.6568666	0.6506101	0.5421181	0.0870314	0.0825518	0.6942009	0.4342669	0.5487561	0.8531311	0.3144428	0.4419531	0.5528369	0.5206636	0.5138572	0.5926995	0.0229248	0.4973875	0.3694409	0.6881865	0.6761148	0.6736233	0.4224898	0.3170400	0.5761847	0.3324189	0.4956981	0.2951063	0.4418102	0.2644442	0.3558914	0.0620405	0.6552960	0.3908977	0.1569940	0.5227329	0.4231315	0.3132089	0.0396092	0.3630286	0.0285209	0.3101956	0.6416171	0.2279464	0.6525130	0.5819646	0.1029385	0.4478793	0.2323647	0.8633217	0.2966994	0.5306600	0.1424915	0.3506965	0.5026350	0.6480983	0.6388450	0.6440992	0.4980587	0.6118968	0.5034654	0.5497999	0.5535436	0.2595907	0.5055576	0.4995976	0.6633213
100	0.5102683	0.6608384	0.2368292	0.3362765	0.6617429	0.0706241	0.6067209	0.3605665	0.5046059	0.2029145	0.4428787	0.0856543	0.0839527	0.0724870	0.0191013	0.4673157	0.6321042	0.6455350	0.1384968	0.5439961	0.6121181	0.2544283	0.4763202	0.2665884	0.4619154	0.5960408	0.4479708	0.3502526	0.2499793	0.5703212	0.4217334	0.0410369	0.0222117	0.0404449	0.8481502	0.8006790	0.5052117	0.0399235	0.0207578	0.7145714	0.3786026	0.5430826	0.5428666	0.2829501	0.3947866	0.3490034	0.4214597	0.4973063	0.4794478	0.0338625	0.4114151	0.4144708	0.7169051	0.6960340	0.6413856	0.2607176	0.4060038	0.5626868	0.2960670	0.4816397	0.2079704	0.3526058	0.3070798	0.2478889	0.0763555	0.4731996	0.3669752	0.1321937	0.5727561	0.4221707	0.3042555	0.0108893	0.2656176	0.0428403	0.3370349	0.6088157	0.4985443	0.5635428	0.5644232	0.1648337	0.4292608	0.1259967	0.6784304	0.3004088	0.7433995	0.1319742	0.3333827	0.4795467	0.6321395	0.6556257	0.6039246	0.4443948	0.6719870	0.5481971	0.4670168	0.3214335	0.2968625	0.3561219	0.5214245	0.8046255
150	0.4994091	0.8009795	0.3546582	0.3708302	0.7765875	0.0116553	0.6940813	0.5757424	0.5594070	0.2299968	0.4928339	0.0846511	0.0741508	0.0912136	0.0043335	0.3536449	0.6694462	0.3984447	0.0429691	0.6232087	0.5914788	0.1820393	0.3668391	0.2876744	0.4253540	0.6485934	0.3578441	0.3634024	0.2920525	0.4928957	0.4475277	0.0434262	0.0313340	0.0220767	0.6429485	0.7293752	0.4484070	0.0135000	0.0077326	0.8254493	0.4656622	0.5775484	0.4433156	0.3316157	0.3705817	0.2189270	0.3164704	0.5805496	0.4153921	0.0436053	0.4392145	0.2286350	0.5453823	0.5933377	0.5886522	0.1289167	0.3941419	0.5498574	0.1897362	0.3872610	0.1959549	0.3805599	0.2318146	0.3696175	0.0775899	0.3206139	0.4490458	0.1424320	0.6758090	0.4290215	0.3258077	0.0116062	0.1114445	0.0447794	0.4049230	0.7553722	0.5079813	0.4154638	0.7153900	0.1616472	0.2912578	0.0565972	0.7151750	0.3478827	0.5628204	0.1355551	0.4988401	0.5452952	0.4791935	0.6242750	0.6697475	0.3556918	0.5553302	0.5249463	0.6655177	0.3839302	0.3521989	0.1741188	0.5086283	0.7611958
200	0.4627138	0.6838248	0.3655801	0.2806192	0.7593200	0.0146459	0.6491360	0.6888214	0.4895481	0.2453341	0.3706418	0.0891316	0.0480136	0.1094474	0.0065065	0.2918729	0.5579940	0.4331899	0.0602603	0.4973940	0.5924290	0.1827028	0.3621969	0.2317793	0.3057500	0.5488181	0.4248627	0.3647280	0.3011551	0.4749309	0.5277872	0.0321996	0.0354203	0.0097704	0.5774328	0.7214246	0.5916109	0.0385190	0.0019633	0.5764263	0.4463686	0.5498669	0.4833860	0.3512862	0.4628853	0.2005184	0.3757272	0.5318610	0.2913845	0.0506961	0.3069630	0.1934660	0.5048632	0.6349399	0.6392744	0.0739819	0.4489716	0.6264619	0.1044691	0.3428279	0.1289391	0.2830808	0.3262541	0.3821456	0.1545090	0.2552602	0.4265276	0.1648727	0.6299369	0.4492075	0.1848396	0.0081285	0.0715535	0.0177417	0.2902861	0.7556661	0.6093249	0.4237658	0.5655740	0.1320145	0.3534623	0.0313043	0.6490938	0.4184478	0.5918969	0.1077693	0.5023815	0.5160838	0.3940209	0.6729525	0.6571339	0.3462350	0.6806927	0.6527452	0.5650814	0.2532647	0.3864458	0.1242542	0.3202616	0.7283096
250	0.4083933	0.7815221	0.3752662	0.3770032	0.6916325	0.0047566	0.5145707	0.6456519	0.6811644	0.1926768	0.4896651	0.0710519	0.0692402	0.1169296	0.0044504	0.2903807	0.6681924	0.2993704	0.0184724	0.6281686	0.5700904	0.2785666	0.3167074	0.3687638	0.3296860	0.5612476	0.3475492	0.2978273	0.2605096	0.4392248	0.5048573	0.0636870	0.0446028	0.0137875	0.6374867	0.6615902	0.5304102	0.0023662	0.0005287	0.6884156	0.4094565	0.5365088	0.4576282	0.2666650	0.2842483	0.2190396	0.2953188	0.4406622	0.3739227	0.0715693	0.2566935	0.1612899	0.5281076	0.5807944	0.7262981	0.0247115	0.5143602	0.6967687	0.1301959	0.2872569	0.1247279	0.2505804	0.5285860	0.3352144	0.3043268	0.2616325	0.4956902	0.1929066	0.5331097	0.3079837	0.2336180	0.0065958	0.0469642	0.0157577	0.4110523	0.6816505	0.6130706	0.4517799	0.4918894	0.2508138	0.3310461	0.0516644	0.5678428	0.3010442	0.5166979	0.1284865	0.3712878	0.5812536	0.2408157	0.6256453	0.6850046	0.2921813	0.7776680	0.6331363	0.6879310	0.2802915	0.4128634	0.1641011	0.2768683	0.6563928
300	0.4950395	0.5777196	0.3073848	0.4316357	0.6673065	0.0115799	0.5834711	0.5884141	0.4460599	0.2920331	0.5110802	0.1255959	0.0652010	0.1045156	0.0028598	0.2370643	0.6596107	0.3567274	0.0373557	0.5721946	0.5822749	0.2800765	0.4118633	0.2221056	0.2838076	0.6678705	0.4257736	0.3637100	0.1837774	0.4657850	0.6794710	0.0189028	0.0157203	0.0301346	0.7117623	0.6230617	0.5220947	0.0062419	0.0000211	0.6122387	0.5560714	0.5145502	0.5666496	0.2626740	0.3642379	0.2445869	0.3115437	0.4988106	0.3578789	0.1054647	0.2008564	0.1666284	0.3285597	0.5860829	0.7423279	0.0126542	0.4730781	0.5969209	0.0712156	0.2956572	0.1080452	0.3313802	0.3468408	0.3304670	0.3002494	0.3298298	0.4940891	0.1857443	0.6453950	0.2687351	0.2122093	0.0021802	0.0199954	0.0509653	0.3494927	0.7082329	0.6459545	0.4523270	0.6026890	0.0891129	0.3209412	0.0385588	0.6148558	0.4411323	0.5332388	0.1604154	0.5506387	0.5212239	0.1470628	0.7509693	0.5867153	0.3688510	0.7908977	0.5145199	0.6559844	0.3303982	0.4246260	0.1150664	0.2004824	0.6958080
350	0.4939291	0.7155052	0.3894392	0.5418450	0.5261131	0.0091731	0.5305844	0.6976968	0.5477609	0.2934651	0.4225727	0.1044196	0.0903221	0.0735827	0.0031073	0.1593349	0.8372812	0.3345735	0.0421120	0.5858782	0.6668740	0.2220800	0.4940752	0.2957186	0.3514821	0.6580426	0.4011502	0.3769406	0.2446047	0.4714420	0.6730743	0.0142213	0.0079897	0.0054628	0.7940627	0.6946241	0.4941347	0.0028279	0.0001419	0.6588497	0.4693988	0.4854420	0.4343356	0.2733022	0.3042360	0.2032343	0.2270325	0.4698556	0.2808021	0.0940429	0.2280028	0.1503586	0.3361528	0.4950571	0.5592710	0.0041170	0.5221585	0.6226958	0.1029940	0.2078216	0.1098555	0.3448422	0.2945651	0.2859547	0.3020485	0.2862513	0.5236778	0.2168345	0.5328339	0.2546037	0.2096442	0.0039463	0.0413289	0.0349841	0.3977757	0.7045110	0.6086161	0.3636496	0.6699485	0.1233329	0.3826681	0.0276740	0.6132580	0.3905328	0.4584060	0.1083506	0.5084075	0.4548823	0.0707038	0.6370642	0.7052948	0.4232412	0.6256604	0.5366665	0.5098406	0.2618289	0.4890314	0.1310533	0.1280047	0.7055378
400	0.4470623	0.7259457	0.2827274	0.5279867	0.6429305	0.0046838	0.4881064	0.5212384	0.3801413	0.2524505	0.5235743	0.0903194	0.0516186	0.1431256	0.0045980	0.2253064	0.7580408	0.3069035	0.0241985	0.6114966	0.5738234	0.2640628	0.5069942	0.2963176	0.2548373	0.8070325	0.3370711	0.4399790	0.2241047	0.5476351	0.6007614	0.0203717	0.0216889	0.0031349	0.7068232	0.7509680	0.6610792	0.0010992	0.0004082	0.6498883	0.2909862	0.5265632	0.5065681	0.3101545	0.3993215	0.2569141	0.2419127	0.4310165	0.2767453	0.0563850	0.2160247	0.0851935	0.3429536	0.4850757	0.5612874	0.0255539	0.5299364	0.6895526	0.1068921	0.3526186	0.0677580	0.2412227	0.2533439	0.2741754	0.3173219	0.2398512	0.4252260	0.1499788	0.6184093	0.2861495	0.1917655	0.0033155	0.0360403	0.0303431	0.3241866	0.6384619	0.6181388	0.3693849	0.6400943	0.1296216	0.3128754	0.0621958	0.6215070	0.4657525	0.5195339	0.0807530	0.4197778	0.4420886	0.0679689	0.6208720	0.6263213	0.3832151	0.7405276	0.5975307	0.4607820	0.2467810	0.5521067	0.0850092	0.1094424	0.7618203
