G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7014417	0.7347701	0.4419544	0.4331597	0.6155850	0.3095554	0.7157928	0.4612939	0.5703361	0.1838377	0.4659159	0.1485692	0.0821092	0.1058063	0.0368597	0.1277916	0.6574370	0.3077015	0.5015623	0.7136112	0.5274215	0.5831552	0.6331513	0.7266260	0.5116618	0.6001857	0.3340974	0.2759796	0.6382909	0.6219864	0.1508982	0.0881979	0.0114222	0.0348735	0.5932846	0.6959243	0.0000000	0.0763686	0.0724494	0.7059814	0.3327387	0.6357659	0.7171140	0.3407363	0.4410941	0.0000000	0.0455635	0.0437819	0.1761518	0.1807316	0.3442023	0.0077816	0.0518448	0.4785480	0.5918364	0.7376838	0.6496523	0.7149940	0.3395931	0.2633428	0.5563890	0.7869466	0.2243447	0.5651776	0.1102638	0.7242051	0.3937398	0.3179043	0.0546491	0.8047176	0.7991386	0.7034347	0.7081529	0.7757193	0.3857453	0.2771046	0.5152509	0.6195527	0.6084146	0.1742011	0.2490857	0.5282661	0.6065097	0.3173811	0.4606014	0.1338298	0.3818479	0.4448237	0.7033277	0.7007097	0.6183916	0.3812494	0.5746385	0.5964861	0.4955497	0.7117988	0.3071778	0.7106819	0.6376380	0.7653826
0.4519547	0.0025798	0.1310792	0.2334925	0.0000000	0.7412315	0.0257052	0.0390518	0.0499913	0.0075576	0.6886174	0.7170827	0.6602455	0.6728373	0.6435075	0.4152042	0.4333648	0.5255888	0.5618494	0.7291025	0.7288351	0.0000691	0.6253043	0.3226319	0.6435565	0.5986152	0.3752615	0.5167167	0.2686532	0.5200121	0.1269623	0.0167249	0.0163898	0.0096218	0.7669920	0.6268322	0.2453007	0.7551811	0.7547700	0.6030180	0.2429514	0.6680112	0.6059341	0.1897679	0.3340166	0.6037578	0.4298841	0.4156995	0.5853183	0.0941291	0.5601748	0.5252939	0.6915845	0.5598763	0.6742426	0.5536732	0.3053199	0.2492232	0.4430020	0.5114499	0.6546522	0.3217151	0.1324343	0.1301659	0.0531971	0.6898108	0.3570364	0.1728906	0.5377343	0.6489193	0.4760565	0.0112239	0.5825883	0.0333637	0.1697124	0.6164742	0.0241412	0.7272140	0.6799104	0.3745449	0.3872161	0.4267762	0.7229076	0.7991578	0.0000000	0.6487414	0.6581153	0.6803478	0.7711411	0.6054583	0.7147126	0.5211395	0.5705178	0.5615729	0.6300991	0.7323181	0.2610465	0.6824742	0.7248089	0.5710174
0.4303425	0.0104604	0.0993586	0.1254340	0.0000000	0.6949594	0.0138263	0.0338760	0.3149140	0.1521289	0.7955154	0.4412435	0.7005179	0.5998156	0.6448059	0.4263625	0.7050054	0.6942732	0.6856775	0.6439137	0.5402231	0.4842476	0.4960304	0.2462719	0.7456182	0.6954558	0.3690863	0.4734932	0.3344192	0.5016583	0.1302535	0.0279076	0.0186076	0.0146845	0.6527018	0.5885757	0.3446074	0.1330285	0.0732240	0.6973265	0.4253595	0.7057311	0.6664144	0.3488889	0.4278139	0.0000000	0.1561676	0.2547278	0.1501381	0.1810765	0.2229056	0.0241440	0.0338325	0.4770763	0.6616577	0.7622157	0.6554918	0.6866364	0.1474745	0.2951033	0.1911945	0.4886530	0.3260437	0.2862072	0.0831187	0.6531402	0.4610044	0.1304266	0.5482989	0.5798734	0.5359223	0.0041936	0.4282911	0.0451006	0.3069619	0.5325749	0.0415453	0.6081188	0.6822384	0.1115323	0.2384071	0.5130095	0.6843413	0.3572945	0.5472792	0.1705768	0.3634873	0.4879130	0.6823386	0.6918111	0.7857985	0.3226573	0.7527317	0.5055044	0.5417566	0.6491236	0.2474622	0.6432018	0.5424209	0.7167857
0.4730736	0.7388439	0.2594244	0.7271090	0.7683957	0.2843314	0.7402931	0.2505983	0.6961453	0.1704893	0.6601739	0.2963456	0.7206882	0.1473769	0.0844961	0.0971110	0.1832455	0.0070597	0.3483164	0.4818010	0.5229772	0.6893038	0.4919471	0.2606764	0.6589350	0.6311042	0.4258898	0.4275263	0.2025365	0.5527514	0.1491578	0.0388271	0.0248166	0.0352204	0.6396800	0.6858583	0.2478110	0.6427751	0.8379740	0.7088028	0.2971988	0.8138481	0.6382109	0.3205178	0.4411354	0.0000000	0.2328987	0.2227820	0.0869570	0.1943417	0.2105872	0.0103437	0.0520376	0.5488531	0.7465784	0.6968965	0.7493965	0.5827761	0.1725963	0.2255822	0.2089280	0.5247085	0.3307836	0.2354662	0.0962094	0.7270513	0.3562448	0.1319126	0.5889244	0.5387445	0.5656779	0.0228859	0.4681661	0.0407117	0.3610436	0.6570707	0.0258124	0.5891820	0.5823913	0.1165636	0.3239353	0.5073665	0.7083191	0.6367372	0.0000000	0.6904825	0.6347411	0.6899194	0.7238785	0.5846954	0.7976563	0.4198029	0.6180386	0.5820958	0.5050307	0.6112204	0.3793670	0.7276406	0.4929671	0.7556778
0.6681163	0.6147637	0.5259650	0.3852540	0.6549218	0.2712782	0.8075080	0.5545976	0.2665554	0.1091450	0.5485355	0.1314929	0.1186362	0.1020960	0.0626475	0.3919819	0.5930771	0.5549701	0.4568813	0.6999159	0.5657077	0.2771011	0.6099660	0.4237032	0.6317275	0.6179555	0.4138351	0.2217971	0.6216043	0.5687647	0.1203158	0.0185511	0.0768266	0.0285911	0.8266853	0.7185693	0.0000000	0.1701914	0.0340889	0.6854934	0.2413314	0.7080158	0.6590017	0.3350668	0.4998033	0.8268088	0.3472578	0.3159942	0.6561605	0.0638198	0.7553022	0.4012788	0.6370181	0.6241007	0.7399272	0.5854992	0.4166086	0.5387501	0.5373577	0.4949187	0.7109918	0.6546737	0.0000000	0.6496656	0.1108725	0.5896025	0.4372259	0.3229916	0.0438654	0.5950558	0.7667726	0.5958155	0.7108604	0.6517043	0.3517575	0.2042350	0.4483529	0.6124754	0.6582687	0.7032976	0.4396159	0.2715225	0.6274136	0.5592463	0.5169008	0.2010742	0.4537023	0.4121061	0.7008614	0.6184818	0.7998670	0.5038713	0.8227475	0.6526695	0.5842768	0.6533880	0.3097692	0.7092809	0.4775099	0.7414097
0.4965375	0.7176405	0.2677782	0.4104923	0.6508272	0.2249933	0.6642401	0.3222472	0.5068492	0.1225645	0.5615697	0.0844326	0.1349527	0.1246861	0.0369083	0.0952210	0.7605989	0.2934313	0.5426179	0.7469930	0.5566198	0.7289779	0.6159633	0.3715849	0.4349555	0.6249460	0.3917261	0.3381733	0.1316324	0.6252915	0.2130347	0.0418724	0.0251207	0.0255398	0.8526742	0.6871601	0.3131690	0.1160876	0.0408120	0.5797448	0.2644782	0.7277387	0.6227819	0.4206597	0.4029931	0.0000000	0.2726115	0.3707606	0.2174959	0.1549190	0.3036987	0.0073226	0.0667314	0.4891426	0.6385062	0.5625259	0.6302629	0.8379263	0.1221656	0.2906895	0.5742698	0.6375860	0.0000000	0.2935265	0.0624909	0.7189101	0.3459807	0.1650413	0.6684154	0.4152114	0.3833403	0.0089527	0.3560282	0.0161507	0.2835763	0.6835750	0.0359168	0.7963275	0.6338776	0.7443962	0.2543694	0.5015285	0.6361759	0.3920965	0.5469720	0.1293117	0.3254886	0.5064731	0.6081022	0.7235655	0.7640789	0.4807795	0.6101021	0.5533150	0.4126302	0.7116459	0.2391266	0.6019834	0.5136946	0.6100658
0.3674926	0.6772357	0.1912826	0.2208411	0.5931829	0.2474782	0.5871374	0.2197593	0.1890352	0.1392639	0.4781038	0.1386339	0.0846076	0.1263451	0.0827042	0.4808351	0.7928084	0.4927990	0.4059562	0.6691709	0.4398632	0.2876660	0.5008987	0.2954534	0.4936892	0.6677882	0.3301725	0.5628306	0.2096385	0.5057057	0.2486356	0.0414094	0.0632209	0.0345286	0.5540424	0.8042651	0.2834048	0.1285414	0.0408379	0.5745366	0.2747033	0.6482782	0.7471073	0.3469298	0.4606239	0.7753045	0.5423699	0.4698195	0.5725759	0.0795732	0.4732880	0.4343043	0.7232515	0.6388330	0.7677032	0.5329372	0.3159123	0.6669552	0.3316448	0.4306753	0.3733292	0.6158053	0.3297357	0.0000000	0.1146091	0.6435118	0.3185011	0.1534503	0.5920497	0.4936691	0.4167072	0.0057160	0.3767980	0.0346062	0.3383348	0.7210318	0.0247760	0.5796375	0.4974079	0.1592966	0.3887176	0.3185925	0.5824605	0.4292516	0.5117111	0.2007042	0.3928892	0.4258958	0.6079528	0.6384381	0.6210448	0.4287927	0.0000000	0.0417605	0.0216987	0.6818123	0.2700845	0.5871710	0.6308099	0.7191697
0.6969633	0.5754038	0.5909585	0.3497518	0.6938889	0.2377190	0.6712824	0.4684391	0.3111720	0.1572519	0.5246625	0.1027672	0.1552261	0.0732907	0.0653191	0.6064724	0.7663157	0.5516397	0.4112931	0.6404401	0.5170780	0.2617826	0.6904175	0.4970226	0.6273920	0.5788008	0.3619514	0.4003623	0.6841856	0.5681042	0.1306139	0.0241969	0.0226249	0.0212841	0.6411434	0.7581217	0.0000000	0.0785837	0.0520902	0.7911173	0.2585722	0.7198346	0.6684777	0.0000000	0.4158308	0.7392080	0.3071541	0.2222672	0.5450496	0.0126406	0.7141000	0.5379978	0.6435127	0.5450688	0.6814036	0.5078166	0.3102535	0.6061296	0.6418713	0.7082496	0.6269347	0.6040926	0.0086297	0.5328372	0.0907482	0.6196330	0.4559369	0.2612728	0.0354664	0.7217010	0.7259516	0.7694422	0.6232463	0.6312695	0.4390796	0.1981783	0.5364782	0.7910870	0.7166790	0.6614783	0.3847659	0.3391929	0.5666442	0.3398943	0.5368593	0.0780343	0.4201889	0.4097332	0.7396938	0.6604575	0.7856260	0.3797139	0.6890878	0.7110757	0.5569687	0.6804847	0.2812303	0.7287848	0.5485694	0.5593024
0.0000000	0.0037031	0.0125329	0.1693513	0.0000000	0.7103957	0.0253461	0.0143121	0.0343245	0.0139129	0.8364167	0.4653270	0.6124220	0.7265400	0.6014495	0.6759858	0.7504480	0.7023757	0.6027238	0.7204469	0.5349906	0.0005059	0.6314345	0.3125997	0.5033435	0.7150289	0.4174684	0.3989417	0.2667106	0.3752884	0.0854276	0.0306093	0.0139291	0.0298818	0.7735375	0.7258984	0.4006399	0.0924431	0.0198913	0.7156685	0.2746153	0.6748149	0.6410459	0.2261694	0.3535964	0.7210374	0.3382845	0.4081904	0.6949762	0.0568666	0.6384364	0.4206313	0.6174317	0.6919635	0.6449055	0.5487351	0.3845555	0.4740722	0.3202792	0.4194267	0.6012331	0.4278744	0.1836171	0.2253871	0.0986321	0.7051603	0.2962771	0.1971175	0.6291591	0.4802111	0.4556585	0.0210623	0.4611110	0.0138665	0.2743006	0.6010931	0.0349178	0.7560172	0.6120907	0.2363616	0.3411574	0.3603200	0.5943669	0.4119717	0.4953018	0.1474880	0.5455917	0.5319901	0.7195640	0.7594436	0.7616526	0.3926085	0.6356601	0.6105429	0.5591797	0.7388144	0.2680409	0.6117298	0.6011564	0.5536814
0.4445778	0.7044993	0.3640442	0.2839256	0.6138420	0.2306726	0.5874625	0.2648865	0.2578478	0.1794797	0.5267473	0.1253429	0.0733055	0.1220172	0.0799007	0.4542885	0.6736437	0.5822801	0.4639181	0.6975439	0.6297768	0.2330731	0.5038630	0.3936707	0.3759251	0.6425131	0.3137022	0.4178579	0.2095163	0.4582262	0.1283689	0.0417730	0.0257039	0.0339654	0.6185559	0.7075069	0.4002355	0.0810291	0.0811546	0.7332557	0.2930217	0.7584525	0.7122954	0.3135640	0.4817796	0.7083072	0.4028838	0.4940206	0.6762761	0.0860855	0.5260870	0.5447229	0.6780493	0.5336820	0.3452444	0.4885764	0.3216109	0.7343179	0.2433041	0.5758651	0.3225486	0.7394301	0.3113864	0.3399805	0.0789999	0.6468220	0.2075430	0.1383797	0.5631214	0.4684670	0.3806089	0.0071649	0.5759875	0.0330614	0.4579460	0.7065592	0.0372435	0.6168975	0.5674921	0.1527270	0.3459536	0.0000000	0.8337883	0.3776761	0.4981643	0.1662536	0.4064822	0.5081478	0.7458034	0.6444340	0.5919559	0.3588725	0.6489255	0.6183269	0.4684501	0.6028140	0.2714482	0.5898003	0.0000000	0.7041412
