G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2707493	0.7512957	0.2210085	0.2572461	0.7032183	0.2468032	0.6796931	0.2922017	0.1685602	0.1701419	0.4331748	0.0817507	0.0951099	0.1091670	0.0461138	0.5311670	0.6053031	0.4838455	0.3321828	0.5172488	0.5738960	0.3004838	0.4929837	0.2949278	0.5123191	0.6626296	0.2998255	0.2797900	0.2061689	0.4594505	0.1449767	0.0142530	0.0312471	0.0232397	0.7144180	0.6540943	0.3067733	0.0967550	0.0255547	0.8565936	0.4112568	0.7028407	0.6302007	0.3366190	0.3838087	0.7151427	0.4903628	0.4306454	0.7986088	0.0292695	0.5784870	0.4614051	0.7136924	0.6387800	0.7147975	0.5575547	0.3516382	0.6271984	0.3054240	0.4352526	0.3373556	0.6414027	0.3987028	0.3678054	0.0544948	0.5848745	0.2865897	0.1414318	0.7200642	0.3867025	0.4601547	0.0099487	0.4422707	0.0179733	0.3708875	0.7862689	0.0402532	0.5340604	0.5471897	0.1210975	0.3227715	0.3188521	0.7014324	0.4257290	0.5629906	0.1214650	0.4228826	0.5461201	0.7140744	0.7043328	0.5670604	0.2748913	0.7083401	0.5790640	0.5009978	0.7415318	0.3342566	0.6694979	0.4889689	0.7230048
0.4622668	0.3514905	0.3494710	0.3533817	0.6994044	0.2647197	0.6862201	0.2860742	0.2979015	0.1227959	0.4584654	0.1009347	0.1132926	0.1045090	0.0470960	0.4447875	0.7201201	0.5026182	0.3183751	0.5929860	0.5692793	0.3085544	0.7048033	0.3071148	0.4672311	0.8297437	0.4321037	0.3002727	0.2702386	0.5401025	0.1674356	0.0175188	0.0275793	0.0143913	0.5917055	0.7589494	0.3421849	0.1068457	0.0431269	0.8453215	0.5591008	0.7903444	0.6544154	0.3432509	0.4778988	0.7549702	0.4670664	0.4908535	0.5518028	0.0641310	0.4337354	0.4011644	0.6680474	0.5187014	0.6759203	0.4755250	0.3721038	0.5868482	0.3772240	0.4469178	0.2129334	0.7303427	0.3748691	0.3214077	0.0838219	0.7677146	0.3239144	0.1613591	0.6452334	0.5305645	0.5441958	0.0177927	0.5147466	0.0544568	0.3709443	0.7209536	0.0292493	0.4842421	0.5740692	0.1477217	0.3981240	0.2912861	0.7452196	0.3900292	0.6346069	0.2329875	0.4377044	0.5943215	0.7496630	0.6537874	0.7737866	0.4618457	0.7171517	0.6233492	0.5448916	0.7197566	0.3521002	0.6568037	0.4454290	0.6337545
0.4458686	0.7034304	0.1574162	0.2766730	0.6810356	0.2514058	0.6675845	0.1913862	0.1941391	0.1841236	0.4373665	0.1395625	0.0825268	0.1648015	0.0417116	0.3858266	0.6892434	0.5970206	0.4742997	0.5654626	0.5069108	0.3232090	0.6091582	0.2477505	0.5512742	0.6626981	0.3794700	0.4544294	0.2557136	0.6209878	0.1400540	0.0557652	0.0536761	0.0315893	0.7092780	0.5854871	0.2961304	0.1268407	0.0721659	0.5919050	0.3800773	0.7503702	0.6626218	0.3171913	0.4073800	0.7074623	0.4315361	0.4672529	0.6559608	0.0957327	0.4815168	0.3732189	0.6195155	0.6899918	0.7673473	0.5071510	0.3550116	0.5361994	0.3109391	0.4400741	0.3572136	0.4903385	0.4199860	0.2827181	0.0629413	0.7321216	0.3348942	0.1222863	0.6850486	0.4776259	0.4845413	0.0219145	0.3902353	0.0315879	0.3377633	0.8124970	0.0419910	0.4845214	0.5184099	0.1521209	0.2665963	0.3273812	0.7436871	0.3345703	0.5170870	0.0755163	0.4508369	0.4946796	0.7783921	0.8461025	0.6713402	0.3959841	0.6429806	0.5350664	0.4946516	0.6741699	0.3139581	0.5733757	0.5568999	0.6575161
0.4909374	0.6251792	0.2959634	0.1277020	0.6542459	0.2855603	0.7837817	0.2071351	0.3547151	0.1056866	0.4330282	0.0925937	0.0743894	0.1175731	0.0181629	0.4557519	0.8116715	0.5276127	0.4655603	0.5427957	0.6431109	0.2851408	0.5544805	0.3114818	0.5482820	0.6921595	0.4513244	0.3542814	0.2380108	0.5263912	0.1598435	0.0384346	0.0325012	0.0173973	0.7074324	0.5995644	0.3452751	0.1127195	0.0274897	0.5630408	0.3809817	0.9235198	0.6480407	0.2970593	0.3867170	0.9297668	0.4325671	0.5266348	0.6617280	0.0443546	0.5904041	0.5293666	0.6776217	0.6539203	0.7749177	0.4561250	0.3672288	0.7690911	0.3326442	0.4445003	0.3615382	0.5063359	0.2801525	0.1746070	0.0916335	0.7893339	0.4054208	0.1536167	0.6232323	0.4294477	0.4866196	0.0053693	0.4674939	0.0176329	0.2484150	0.7022007	0.0679475	0.5285085	0.7641097	0.1417014	0.3570507	0.3353259	0.7569779	0.3126857	0.5331579	0.1879191	0.3682273	0.4466236	0.7028230	0.6450211	0.6136085	0.2831498	0.7478604	0.5098177	0.5719723	0.6759129	0.2913073	0.5756141	0.4928264	0.5791653
0.4510466	0.7692084	0.1921879	0.2322364	0.3497881	0.4076926	0.6048779	0.1925463	0.2486112	0.1654952	0.7013363	0.1126183	0.1769369	0.3592793	0.1068030	0.4730746	0.6290404	0.7005923	0.4493447	0.5847483	0.5751194	0.1979243	0.4999951	0.3256982	0.5983758	0.7356052	0.4498451	0.4891802	0.2671533	0.4913148	0.1711305	0.0178702	0.0489298	0.0339683	0.6934491	0.6616002	0.3945446	0.1571491	0.1069960	0.8005470	0.3536487	0.6146474	0.6967830	0.3466314	0.4632847	0.7583927	0.4522132	0.4937272	0.5633082	0.0410134	0.3836964	0.4170485	0.5996944	0.6140090	0.6822921	0.5290359	0.3428643	0.4841522	0.2344045	0.4019491	0.2424353	0.6056656	0.2354276	0.3044947	0.1011021	0.7522358	0.3398577	0.1588135	0.5866343	0.4554733	0.4455765	0.0096248	0.3186308	0.0297073	0.3630057	0.7769376	0.0253691	0.5374903	0.5763949	0.0903047	0.3397432	0.3054045	0.6435648	0.4178069	0.5422634	0.1728992	0.3965136	0.5855886	0.7885103	0.7973175	0.6663692	0.3327918	0.6259487	0.5474515	0.5324501	0.6389481	0.3223868	0.6285290	0.6161422	0.7177692
0.3121520	0.5807712	0.2867093	0.3664567	0.6564479	0.1044782	0.7322930	0.2531152	0.2235147	0.1556782	0.5469164	0.0793071	0.1655637	0.0950423	0.0488026	0.5787831	0.8090760	0.6470627	0.4116126	0.6082997	0.4873087	0.2798895	0.5034460	0.2669271	0.5015485	0.6603460	0.3144156	0.3580883	0.2277671	0.5266448	0.1838540	0.0374684	0.0168050	0.0672888	0.6463475	0.5681635	0.3302517	0.1205087	0.0339731	0.7330230	0.4148674	0.6922855	0.7402380	0.3986938	0.5052301	0.7257911	0.4605285	0.5289275	0.6628061	0.0471901	0.5997937	0.3979294	0.7369836	0.6035647	0.5984863	0.4727852	0.3856464	0.5788319	0.3359427	0.4345052	0.2588333	0.6408454	0.3704747	0.2824706	0.1079050	0.5455071	0.3497030	0.1928670	0.6087219	0.6286034	0.5171355	0.0029061	0.4684435	0.0222478	0.3434839	0.7349106	0.0317041	0.5713088	0.5449420	0.1416873	0.3335042	0.3108015	0.7987891	0.4425166	0.4717887	0.1515324	0.5164872	0.4835766	0.7254949	0.5950555	0.6135561	0.3505766	0.7836288	0.6139791	0.6120545	0.7285869	0.3151823	0.6983428	0.6307566	0.6426722
0.4603868	0.7539055	0.2359219	0.2862930	0.8050879	0.1894494	0.3440815	0.2234927	0.2856305	0.1409812	0.4930428	0.0930629	0.0662150	0.1872502	0.0367186	0.4895904	0.6852441	0.6230460	0.4676653	0.5260043	0.4600962	0.2949386	0.6250826	0.4396421	0.3859262	0.6282916	0.3420060	0.3854983	0.2569188	0.4712616	0.1141093	0.0245351	0.0397578	0.0294590	0.6619319	0.7505167	0.2436675	0.1571665	0.0347097	0.6628213	0.4806116	0.6733511	0.6997069	0.3492586	0.4798749	0.7279218	0.4436247	0.4533423	0.5093206	0.0629245	0.5085229	0.3279733	0.5931020	0.6054985	0.6057592	0.5174770	0.3679605	0.6718889	0.2565412	0.4443726	0.3844883	0.7357946	0.2715597	0.3093273	0.0791725	0.6109411	0.4710231	0.1639975	0.6220592	0.4438114	0.3808104	0.0401053	0.4910275	0.0205214	0.3127971	0.7250607	0.0288672	0.6344051	0.6144713	0.2144774	0.3489019	0.2672438	0.6994676	0.4218000	0.4320920	0.2050797	0.3600349	0.6073807	0.6934104	0.6906627	0.6694688	0.4600935	0.6973465	0.6409307	0.4812871	0.7511948	0.2974649	0.6710007	0.5189567	0.7302804
0.4510570	0.6412030	0.3588608	0.2900589	0.6529196	0.2507820	0.6175756	0.1121322	0.2405099	0.1167522	0.4584286	0.1193049	0.1112494	0.1776459	0.0437489	0.6066703	0.6813471	0.4480986	0.5059706	0.6570792	0.5779082	0.3240069	0.5046261	0.3651028	0.3344940	0.7023770	0.3239686	0.3795869	0.2185137	0.4499265	0.1647331	0.0311099	0.0458575	0.0370895	0.6124905	0.7810881	0.3616284	0.1301124	0.0964687	0.6862874	0.3260696	0.7413451	0.6515147	0.3028785	0.4157831	0.5553241	0.5137437	0.4242982	0.5604961	0.0730082	0.4819126	0.4213658	0.7857531	0.7132432	0.5955724	0.5049409	0.3757463	0.7372116	0.3754079	0.3759981	0.3813412	0.4485093	0.4083476	0.3417312	0.1181230	0.6886053	0.3199210	0.1621587	0.5795939	0.4748759	0.3970464	0.0099551	0.3971586	0.0196310	0.3921743	0.6452990	0.0329551	0.4629500	0.5766264	0.1403631	0.3596840	0.2577165	0.6467113	0.3472374	0.4997790	0.1165639	0.4460611	0.4788617	0.8915850	0.6414293	0.7192089	0.4154311	0.6037994	0.5852029	0.5246227	0.6873889	0.2319614	0.7870374	0.5632213	0.7195906
0.4835041	0.7064448	0.2571770	0.2123049	0.7164035	0.2016031	0.6126534	0.2985878	0.1334504	0.1165720	0.4919415	0.1418899	0.0651958	0.1054740	0.0293513	0.4893903	0.5226716	0.6684968	0.4556488	0.6399723	0.5936848	0.3072622	0.5127768	0.3643590	0.4340733	0.7488785	0.3005286	0.4098367	0.2430701	0.5776457	0.1788125	0.0401545	0.0186869	0.0065800	0.6439221	0.7393757	0.2582147	0.1200132	0.0986495	0.5766749	0.4368642	0.7637096	0.6803164	0.2928517	0.4075001	0.6368537	0.6570825	0.4819941	0.6245604	0.0171995	0.5792274	0.5243666	0.5646798	0.5973492	0.5773843	0.6428668	0.3557505	0.7293481	0.3394168	0.4491343	0.3930668	0.6480731	0.2531375	0.2340482	0.0593074	0.5415268	0.2882287	0.1054998	0.5510483	0.5316578	0.5397264	0.0116646	0.5178510	0.0212425	0.2706136	0.7373326	0.0542915	0.5992805	0.5968764	0.1687369	0.4132896	0.2589855	0.6485307	0.4400037	0.5439348	0.1782203	0.3347107	0.4890523	0.6347448	0.7413803	0.6423070	0.3813395	0.7067118	0.5004072	0.4416442	0.6253898	0.2810312	0.7111187	0.5345327	0.6361444
0.4187490	0.6661207	0.3375120	0.2617506	0.6986738	0.2154165	0.6909346	0.2883544	0.2118072	0.0751730	0.4654948	0.0696492	0.0966333	0.1209047	0.0444839	0.5233913	0.7604384	0.6360674	0.4675586	0.6492939	0.4131933	0.3007206	0.5213677	0.3054860	0.4546959	0.6723563	0.3520128	0.3472206	0.2324312	0.4699977	0.1177081	0.0612639	0.0054687	0.0198705	0.6717812	0.7175994	0.2726276	0.1482029	0.1392956	0.5821497	0.3292024	0.7925859	0.7725637	0.1973480	0.4150089	0.8385589	0.4689894	0.4306464	0.6340833	0.0457088	0.6019771	0.4144999	0.6252727	0.5730358	0.6292308	0.5746489	0.3475959	0.7819176	0.3431388	0.4726308	0.7053948	0.4294499	0.1550730	0.1933695	0.0636581	0.6234635	0.3318184	0.0919364	0.6791396	0.5273937	0.5086127	0.0139657	0.5802219	0.0473994	0.2644807	0.7376167	0.0183312	0.7992954	0.6215291	0.2015899	0.3985964	0.3528248	0.6527379	0.3854577	0.5354542	0.1528801	0.4469468	0.4377974	0.6768852	0.6656986	0.7259024	0.4062955	0.6722706	0.5546480	0.5652728	0.7518798	0.3538967	0.7236709	0.4969696	0.6425382
