G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0040429	0.2275333	0.0875078	0.5933237	0.2688238	0.6713468	0.2312334	0.2672958	0.1540867	0.4423030	0.1138894	0.0519552	0.1119264	0.0394171	0.5624530	0.7012485	0.6177613	0.4682068	0.6559497	0.6106320	0.2549158	0.5117651	0.3104260	0.4524696	0.7341641	0.4768805	0.3532031	0.2240811	0.5668180	0.1558932	0.0304945	0.0279235	0.0304806	0.5994108	0.6590765	0.2959535	0.1083216	0.0485717	0.8060304	0.3010660	0.6958788	0.5647986	0.3214873	0.5043462	0.6903192	0.4490744	0.3944354	0.5381847	0.1255400	0.5575122	0.3665581	0.6540545	0.6407777	0.6689213	0.5559011	0.4790412	0.6148108	0.2548756	0.5315211	0.3776666	0.5914455	0.4063652	0.3182552	0.0769011	0.6433700	0.2816855	0.1318833	0.5614247	0.5992688	0.3675413	0.0137137	0.4793763	0.0156336	0.3308366	0.6720086	0.0392608	0.5354868	0.6228568	0.1873308	0.3063537	0.3664494	0.7300386	0.2621537	0.6813715	0.1351670	0.4112752	0.4088406	0.7707591	0.6855699	0.5543752	0.2948353	0.7505833	0.6266503	0.4925510	0.7295231	0.3564068	0.5654584	0.4667563	0.7157671
0.5080410	0.0000000	0.1706804	0.2773790	0.5898755	0.2282280	0.6058725	0.2467378	0.1641525	0.1223162	0.4571854	0.1660832	0.1335189	0.1728943	0.0291494	0.4734853	0.6202046	0.5280519	0.4357023	0.6221771	0.6587853	0.2655131	0.5513137	0.3211898	0.3935896	0.5707446	0.3425619	0.3880946	0.2019049	0.4474720	0.1527011	0.0071368	0.0423505	0.0175496	0.6168164	0.6268024	0.2403015	0.1312764	0.0593873	0.7034650	0.3950022	0.6987433	0.6998888	0.4058758	0.3870774	0.6819290	0.4866475	0.5611731	0.6120163	0.0188129	0.5402031	0.3697055	0.6776887	0.6513762	0.6762554	0.4161853	0.3231731	0.6014115	0.3392860	0.5361612	0.3367715	0.6408317	0.3564323	0.3169663	0.1192071	0.7094528	0.3378159	0.1748708	0.5573750	0.5959974	0.3886695	0.0090398	0.4498646	0.0367560	0.3254798	0.6866058	0.0731675	0.5632185	0.5543677	0.1052107	0.3968259	0.2307037	0.6752607	0.4023337	0.5495179	0.1575651	0.3481864	0.4212971	0.6114718	0.7465637	0.6509822	0.3129019	0.8330390	0.5492240	0.5977319	0.7312973	0.3332478	0.7611464	0.6002329	0.7914529
0.3914358	0.6341050	0.0000000	0.2663123	0.7220727	0.2124159	0.5421801	0.2880599	0.2562681	0.1641934	0.4910216	0.1170520	0.0563854	0.0735639	0.0456725	0.6150828	0.7242695	0.6001993	0.4001896	0.7499281	0.5278561	0.2278843	0.4461178	0.4246782	0.5051697	0.7162260	0.3081590	0.3367329	0.1959730	0.5467029	0.1253493	0.0208011	0.0322048	0.0306476	0.6816125	0.6824522	0.3513329	0.1031957	0.0256077	0.6892184	0.3739962	0.6001659	0.7085822	0.2865322	0.4345713	0.7497177	0.4252888	0.3913554	0.7001236	0.0482572	0.6942384	0.4151625	0.6575364	0.5328624	0.6133109	0.5377450	0.3087941	0.6859448	0.3679255	0.4833163	0.3944686	0.6039374	0.3392557	0.3298690	0.0709761	0.8580219	0.3387868	0.2435652	0.6292328	0.4203849	0.4436881	0.0178432	0.4066495	0.0097726	0.3484198	0.7033844	0.0303495	0.6237629	0.6000346	0.1437365	0.3834167	0.3467454	0.7543065	0.3988832	0.5395519	0.1737643	0.4716386	0.5829913	0.6530760	0.6090199	0.5500773	0.3603867	0.6715827	0.5360693	0.4308379	0.6784420	0.4161356	0.6272916	0.5465341	0.6823097
0.4365126	0.7585577	0.2968590	0.0000000	0.6001219	0.2699449	0.6309272	0.3220600	0.1936005	0.1991511	0.5006363	0.1694102	0.0770113	0.1609439	0.0269372	0.5594853	0.7008033	0.5380757	0.5091128	0.6359784	0.5691795	0.3529699	0.5724616	0.2871761	0.5047441	0.7255769	0.3331088	0.4697577	0.2747032	0.4369414	0.1530331	0.0474564	0.0054094	0.0381626	0.7409899	0.6644329	0.2405182	0.0873628	0.0504422	0.6765612	0.3997121	0.7822988	0.5932665	0.2686042	0.4332229	0.6574988	0.5355920	0.4797023	0.5180716	0.0350646	0.5975111	0.4567254	0.5566554	0.6938227	0.6507600	0.4563777	0.3429378	0.6736950	0.3907880	0.5173268	0.2341085	0.6920169	0.3338436	0.3083775	0.0990847	0.6499029	0.3074813	0.1364347	0.5784641	0.4653491	0.5584532	0.0213025	0.5694466	0.0231223	0.3969147	0.6133546	0.0379215	0.4916579	0.5818484	0.1343559	0.2618855	0.3268277	0.6444153	0.4282737	0.5154272	0.1231806	0.4039905	0.5251735	0.5559582	0.7924223	0.6698932	0.3794064	0.6193620	0.5637960	0.6531969	0.6410629	0.2309122	0.7775467	0.6840619	0.6401473
0.4539195	0.0019718	0.0537261	0.1335816	0.0000000	0.6805172	0.0191328	0.0313514	0.0548722	0.0122646	0.8326413	0.4309264	0.6855832	0.6344403	0.7100906	0.5803830	0.7684183	0.5171751	0.7022876	0.7362004	0.5706121	0.0031909	0.5128922	0.2473059	0.4530811	0.6341730	0.3620333	0.4551177	0.2275478	0.4308387	0.1833790	0.0242164	0.0177817	0.0073734	0.6079048	0.6947424	0.2608805	0.1710565	0.1095873	0.7382821	0.2677902	0.8369825	0.6106232	0.2453537	0.3673102	0.7405819	0.4232725	0.4117386	0.6214888	0.0257966	0.5733619	0.4717483	0.6581900	0.7016528	0.6358320	0.4158341	0.3018042	0.6272949	0.4070697	0.5336423	0.6336726	0.3924923	0.1487460	0.1202831	0.1077270	0.6088396	0.4013266	0.1103407	0.6053052	0.5027687	0.5381380	0.0114649	0.4985721	0.0348191	0.3142353	0.8103505	0.0385817	0.6530498	0.7198665	0.2367556	0.3668005	0.3351331	0.6576918	0.2833075	0.5050442	0.1047109	0.4020738	0.4832874	0.6680259	0.8465717	0.5594588	0.4008830	0.7403605	0.5587662	0.4410078	0.6812257	0.3463139	0.5485188	0.5523109	0.5823466
0.4028213	0.6410966	0.3750015	0.2454791	0.6949259	0.0000000	0.8081843	0.2982548	0.3110409	0.1483395	0.4724006	0.1742713	0.0702985	0.1058309	0.0972126	0.5132974	0.7690174	0.4613580	0.4158547	0.6413026	0.5540645	0.2272141	0.5095813	0.3559545	0.5313114	0.7049373	0.4162511	0.4377768	0.2552947	0.6038569	0.1330004	0.0615651	0.0308544	0.0122877	0.7129962	0.6492199	0.3030944	0.1571014	0.0420308	0.7684170	0.3511630	0.6960844	0.7310327	0.3524913	0.4523607	0.5364723	0.4822263	0.4608123	0.7349079	0.0347607	0.5607943	0.4023052	0.6865999	0.6787118	0.7033991	0.4800595	0.4577618	0.5666793	0.3451798	0.3570325	0.2486171	0.6888893	0.4127208	0.4878467	0.0660065	0.5513684	0.4257210	0.1938700	0.5855306	0.6046738	0.5757278	0.0221391	0.5123323	0.0510094	0.4700438	0.7546786	0.0307282	0.4612362	0.6530874	0.1545439	0.4280944	0.2317118	0.7107921	0.4648451	0.5051044	0.1192444	0.4199358	0.5013011	0.6305145	0.8894436	0.7471353	0.4287763	0.6826534	0.5408863	0.5536845	0.6847391	0.3539645	0.5915597	0.6580115	0.7527338
0.5737449	0.8157863	0.3162471	0.2183703	0.6744355	0.2522230	0.0000000	0.2693738	0.2579616	0.2388468	0.4906022	0.1035212	0.1461287	0.0999855	0.0316706	0.5265273	0.9140433	0.5743702	0.4215048	0.6280576	0.6319950	0.2389979	0.4869243	0.2792558	0.4700754	0.6886934	0.4583346	0.2964888	0.1981277	0.5352823	0.1967603	0.0147605	0.0463339	0.0334988	0.6547489	0.8408848	0.2797774	0.1174129	0.0328211	0.6432206	0.4317765	0.5930741	0.7001375	0.3099016	0.5206151	0.6452059	0.5658194	0.4111331	0.6609674	0.0979494	0.4100297	0.4012962	0.6871908	0.7091784	0.6218589	0.4629943	0.3182719	0.6884951	0.1999832	0.5000611	0.1944919	0.6201670	0.3912345	0.3729935	0.1357218	0.6272602	0.3552392	0.1316492	0.6008355	0.4308502	0.3858766	0.0077167	0.3929797	0.0415900	0.5025698	0.7065455	0.0249459	0.4335627	0.4909476	0.0974586	0.4038467	0.3040287	0.7011335	0.3829068	0.5728616	0.1424118	0.4261124	0.4535135	0.5888387	0.8541771	0.6217672	0.3840286	0.7648541	0.6126034	0.5736747	0.6183416	0.3553196	0.8656584	0.5825159	0.6685186
0.5585596	0.6951166	0.2468634	0.3179354	0.6118773	0.2890919	0.7953282	0.0000000	0.2565660	0.1852174	0.5421715	0.1460569	0.0511517	0.0864920	0.0506634	0.4456143	0.6232857	0.5571579	0.5351519	0.6581702	0.5119544	0.3208431	0.5754468	0.3463983	0.5575086	0.7448846	0.4116798	0.3323292	0.2825546	0.5240440	0.1562139	0.0488303	0.0255904	0.0337980	0.8025481	0.7189130	0.3497559	0.1177805	0.0508119	0.7132761	0.3565431	0.5836296	0.7612228	0.2394786	0.4621306	0.7862429	0.4775195	0.4123479	0.6165788	0.0379461	0.4472319	0.4444821	0.5805826	0.6448087	0.7246370	0.4843322	0.4196719	0.5898663	0.3218983	0.3878667	0.4930820	0.5495231	0.2731171	0.2752808	0.0918916	0.7168454	0.3157510	0.1923474	0.6382450	0.3978062	0.4314810	0.0185915	0.3413537	0.0383576	0.2906322	0.7089856	0.0459230	0.5892818	0.6088205	0.1741452	0.4247877	0.2451869	0.6485969	0.3251183	0.4338026	0.2000570	0.3573037	0.5172024	0.6736342	0.7881216	0.6756431	0.4763213	0.7616552	0.5147874	0.5561117	0.5767736	0.2336442	0.6565412	0.4652423	0.6299194
0.4527093	0.5671423	0.4024248	0.3202205	0.6857136	0.2200389	0.6572185	0.2388328	0.0000000	0.2638259	0.5796550	0.1257284	0.0774862	0.0967612	0.0374711	0.5948401	0.6654876	0.6187572	0.5499126	0.7188489	0.6711695	0.2336355	0.5741211	0.2968609	0.4755228	0.6021576	0.3851298	0.4130015	0.2362854	0.5243036	0.1242356	0.0257836	0.0475153	0.0383522	0.7385844	0.5690383	0.3351148	0.1354463	0.0793679	0.7175005	0.3100591	0.5516202	0.6418676	0.3464602	0.4396223	0.6598131	0.4820841	0.3778433	0.5631080	0.0342444	0.5035150	0.4414942	0.5750173	0.6835330	0.7433752	0.4862763	0.3731269	0.5743191	0.3737099	0.4842053	0.2981498	0.6355609	0.2727373	0.2629799	0.0827479	0.6230375	0.3003321	0.1758702	0.5028865	0.5631161	0.4290551	0.0143460	0.5876679	0.0408260	0.4050062	0.6855428	0.0158503	0.5474893	0.6705141	0.1018827	0.4639981	0.2090506	0.7000428	0.4590310	0.5019756	0.1750034	0.4205923	0.5761967	0.7062337	0.6638337	0.6210040	0.3415758	0.6134190	0.5745589	0.5018614	0.6929745	0.3206179	0.7177952	0.6376861	0.6485350
0.3990013	0.5891291	0.3195198	0.2629528	0.6767574	0.2443756	0.5467038	0.2409382	0.2499189	0.0000000	0.5494876	0.1211048	0.1188675	0.1001758	0.0355632	0.3584778	0.7112072	0.6887449	0.4774238	0.6427428	0.6772258	0.2223849	0.5753490	0.4507243	0.4752466	0.7234858	0.3428114	0.4983254	0.2121485	0.5629700	0.1318332	0.0400231	0.0081890	0.0264115	0.7819821	0.7051709	0.2555566	0.1305039	0.0662151	0.5752951	0.3297583	0.6222040	0.5667939	0.1885833	0.4727512	0.6909398	0.4535314	0.5257103	0.5534196	0.0466284	0.6140241	0.4211223	0.6387767	0.5407061	0.7218582	0.4841487	0.3384482	0.7388137	0.3956026	0.4149192	0.6413212	0.3768098	0.0984355	0.1900456	0.0666635	0.7453720	0.4182222	0.1324630	0.4689599	0.5540751	0.4379476	0.0023647	0.4614928	0.0316509	0.2985445	0.7130906	0.0694806	0.5359123	0.7712784	0.2427143	0.4779759	0.3779688	0.7576831	0.4480160	0.4987368	0.1285343	0.5175919	0.5000949	0.7325353	0.7352734	0.6950248	0.4271859	0.7769785	0.5648714	0.4193121	0.7312851	0.3011507	0.5817681	0.5105436	0.8810762
